序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261190748529,3546729389492767,清风在黑夜里,4,保密,@我们说喜欢毛米,2025-05-05 19:37:58,0,0,,未知,否,https://i1.hdslb.com/bfs/face/80f05a9df3700f3e061ea3e36e7cfbb7fd01eebe.jpg
2,0,261103566561,521414080,最喜欢一花了,5,男,[支持],2025-05-04 18:24:45,1,2,,未知,是,https://i1.hdslb.com/bfs/face/763a6c7a60128c8cb7449295708ae46a06c83a16.jpg
3,0,261083416433,1350855581,GT792,4,男,想到有一次坐飞升的时候，有一队两只盾构一只哈基蜂想来抢火箭，两个队友全都壮烈牺牲，我当时碎头碎甲大残，拼尽全力把蜂医打倒，最后身上实在什么也没有了，子弹全都耗尽，认出两颗c4终结了那一队，把队友全都拉起来后成功撤离,2025-05-04 13:46:42,0,1,"限时回归！
下周四开始更新",未知,否,https://i2.hdslb.com/bfs/face/7cc1018da1c8e95b3a10f1aecb77d1eb333f5b31.jpg
4,0,261045415649,34159389,苦惺丶,6,男,我永远忘不了做未改版中坚标杆的时候，做完折翼拼尽全力从四队手里抢到飞升，队友也英勇牺牲，我在火箭下面听着这首歌，那一刻真的宿命感拉满，结果被一个已经二倒的泰坦哈基蜂不顾一切换掉状态，然后吃到老黑小面包陨落，我才知道原来主角不是我[脸红][脸红][脸红],2025-05-04 05:51:12,0,3,"May all the beauty be blessed
",未知,是,https://i0.hdslb.com/bfs/face/744cd563aae1b5da358d7b70747d1e4d9f3d72f9.jpg
5,0,261969082096,2084594137,代行者格洛莉亚,5,保密,"侦测到申鹤的大手正在降落，开始执行哈基米行动🐱
曼波3-1，播放哈雪大冒险，确保吸引所有人的注意😡
我被申鹤锁定了，申鹤在我六点钟方向，他们上钩了😱
进行视频缓存以防补档，曼波3-1现在撤出交战区域😡
干得好，现在派遣最近的制冰人员入场😋
制冰小队，控制溜冰场，将哈基米音乐补档至账号视频区，提前发射复合弓😡
视频补档进程已开始😎
注意，侦测到多个举办信号前往溜冰场，坚守阵地😨
小队请注意，xhs重型增援即将到来😅
干得好，曼波将帮我们监控申鹤动向。哈基米的天网将为我们开启。🧐
新的溜冰场已开启，也许你会喜欢哈基米音乐的最佳观众席🤗",2025-05-04 03:15:58,0,0,，，,未知,是,https://i1.hdslb.com/bfs/face/25b4a02512adaad6f0d34cf3c60dfe5934aa24a9.jpg
6,0,261010658033,3494377110374468,巨史强生,4,保密,闪电3-1：收到，领主2-1闪电3-1现在进入交战,2025-05-03 17:07:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3c8aa0d11b9fdff2d10a864c75ef07dbf4dae656.jpg
7,0,260945355409,237716753,牢VIII,5,保密,老太也干了,2025-05-03 03:15:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,260906258289,241654994,猫头喵呜,6,保密,腾讯也是神人了，现代空战还做成三四百米直飞脱离,2025-05-02 13:25:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/83edbcae68462045af90dddcae8ffd6d036c0df7.jpg
9,0,260864952529,3546554958874860,良心小部,3,保密,侦测到哈夫克火箭正在降落，开始执行飞升者行动\n闪电3-1，启动火控雷达，确保吸引所有人注意\n我被敌机锁定了，敌机在我六点钟方向，他们上钩了\n发射反制热诱弹，闪电3-1现在撤出交战区域\n干得好，现在派遣最近的地面人员入场\n地面小队，控制发射场，将密涅瓦程序上传至火箭返回舱，提前发射火箭\n注意，侦测到多个哈夫克空中信号前往发射场，坚守阵地\n小队请注意，哈夫克重型增援即将到来\n干得好，密涅瓦将帮我们监控哈夫克轨道卫星动向。哈夫克的天网将为我们开启。\n新的撤离点已开启，也许你会喜欢火箭发射的最佳观众席,2025-05-02 04:15:25,0,1,害人之心不可有 防人之心不可无,未知,否,https://i0.hdslb.com/bfs/face/af239f7145ebe7fa0cdfe52b0742bd0916e86b08.jpg
10,0,261769678928,135168046,炫炫疯狂的炫,5,保密,3x3所有任务基本都一两次过，只有中坚标杆把我卡到今天，当我从巴克什绞肉机里活着出来，带上耐久最高的6套，买红修带awm进航天，桥上高精力架十分钟狙后，听这首歌清小兵，回想起这些天在折翼被人踢死，被人抢任务，一起架做折翼的不让撤，被挂哥锁死，被护航秒，第一个闸抢不过别人，公屏合作的队友换了一批又一批，像是走马灯一样的五分钟回忆了这一周,2025-05-01 17:07:03,0,3,,未知,否,https://i1.hdslb.com/bfs/face/2707fe94736e58fc5391bc0ceebce5bbceee5caf.jpg
11,0,260515816577,27440086,莫得本子卖的Miku,6,保密,听起来有一点重装机兵战车恰恰的感觉,2025-04-27 14:43:37,0,1,该账号封禁中~,未知,否,https://i1.hdslb.com/bfs/face/b9c5a1f63fdccb555ad922d582abf3dc3639b3f4.jpg
12,0,260501318993,37775691,莫言轩辕剑,6,保密,我太菜了，我单三绝密航天，穿着偷死的老太的装备，拿着人机手上抢来的子弹和护卫队斗智斗勇[笑哭]，最后差一点点撤离掉了，火箭仓里的东西没拿到，一直被狙击兵打,2025-04-27 11:37:05,1,1,当你打开我的主页的那一刻，我估计你输的很彻底，我的观点像刀刃一样深深的扎进你的心里，假如你可以反驳你自然不会焦急的点开我的主页来查我的成分。,未知,否,https://i0.hdslb.com/bfs/face/435743939aa66720ad008375678b220a4e5d4ed0.webp
13,0,260480067905,1727907375,只是当时己惘然,5,保密,BGM一响，三种人(CS)登场[doge],2025-04-27 06:02:25,0,1,大梦谁先觉，凭生我自知,未知,否,https://i0.hdslb.com/bfs/face/e8a362e2ffd5a8b80248057b926a2bfa1d0d7a33.jpg
14,0,261326598912,2018136932,是只喵喵咪吖,5,保密,′′′,2025-04-26 08:20:01,0,0,,未知,是,https://i2.hdslb.com/bfs/face/3d1ae920f7f3ca2451bdab8d7d62ee7abe71b817.jpg
15,0,260405983249,49461963,传说-老鼠,6,保密,这游戏音乐确实可以,2025-04-26 07:22:36,0,1,,未知,否,https://i0.hdslb.com/bfs/face/24f4b2b4c6c27568405e814cf318fa791b5a8f14.jpg
16,0,261286992624,34693036,追星也追月亮,3,保密,不是的，外服是package，指的就是人员，你可以理解成某种军事术语，黑话之类的。,2025-04-25 19:08:04,1,2,月亮在发光耶,未知,否,https://i1.hdslb.com/bfs/face/4b60a92e1e919b414a1ceeaad5f45cad81a72661.jpg
17,0,260348089969,18108975,云凌柯丶,6,保密,@一只知南- @打脸不怕疼 突然就听懂了,2025-04-25 12:54:40,0,0,,未知,否,http://i0.hdslb.com/bfs/face/2e3cafc57042d94110f76e5bdc5ff67cae0b7109.jpg
18,0,261202433840,3494355996248633,等冬装桃实装,3,保密,@砂狼白子_由同学@毛线鸟awa,2025-04-24 17:27:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8f611bbc35a24908177a9359fe12fe86586f0be8.jpg
19,0,260289220641,1514698869,星光涵意-,5,保密,百万飞升！[给心心][给心心],2025-04-24 17:08:01,0,1,"这个人不神秘，因为他希望你的到来。
万物皆有裂痕，那是光照进来的地方。
也许你，便是那道光吧…",未知,否,https://i0.hdslb.com/bfs/face/0955d4928d598c96b741ebef9433e551402616b1.jpg
