序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260819207681,423968685,对方过后就没看,6,保密,虚化5看着果然舒服,2025-05-01 12:53:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d872cb2165c9e5cc25fb2ff1de53c25121c13184.jpg
2,0,261189486336,348606032,你舅吃猫鼠,5,保密,Fps游戏用手柄陀螺仪玩。,2025-04-24 14:19:31,0,0,,未知,是,https://i2.hdslb.com/bfs/face/006a5d2e77e920da0811cd52891b2e9ef0939489.jpg
3,0,261139326016,92601824,一个巨无霸炒鸡至尊长的昵称,6,保密,玩了，很好玩，就是太难了，单人打不过，匹配和路人也很难配合，单人不能复活，只能死一次从头开始，反复背板,2025-04-24 02:04:26,0,1,万物皆有灵，吉他也不例外，他会指引你找到自己,未知,否,https://i2.hdslb.com/bfs/face/ec1a1af5b6b909da54d956d3c5d9baf4bbe76e3f.jpg
4,0,260674874192,474369727,天选打工任97,6,男,能不能出个抗日战争的游戏[吃瓜],2025-04-18 09:26:11,0,0,记录生活 记录美好,未知,否,https://i1.hdslb.com/bfs/face/b86c8c684eca76adda52578cdfabb724678c7127.jpg
5,0,259442111265,28261056,臻彩视界Studio,5,男,2月21日上午10点发布，那你这事先录制好了 应该是拿到内测名额,2025-04-13 16:10:44,0,0,腹有诗书气自华，痛而涅槃重生。,未知,否,https://i0.hdslb.com/bfs/face/6321b0b94c2f25d4a535c90a06f3fd172234142b.jpg
6,0,258678630225,2126872969,三重梦o,5,男,@起p的昵称 这样看画质还可以啊,2025-04-04 09:49:13,0,0,必不是up懒，而是不想写,未知,否,https://i1.hdslb.com/bfs/face/1b1ab24d9dc9d2b935bbca16ceed1c1ec46f4ccf.jpg
7,0,259315125088,1354206936,法兰西-国皇,5,男,不知道啥时候复刻一下红翼行动，暴怒行动，沙漠风暴行动等等,2025-04-02 02:26:15,0,0,欢迎各位格斗爱好者，wargame玩家，军事爱好者交流！,未知,否,https://i0.hdslb.com/bfs/face/5febaa3485b5615645348e28b81cba6ac4d957e1.jpg
8,0,258459625937,3546879784651460,懰玥,2,保密,早就期待老戴打这个了，没想到真的打了，不愧是老戴[喜欢][喜欢][喜欢],2025-04-01 16:09:30,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,259177440512,454137900,珠里奈宝,5,男,[笑哭]这黑鹰坠落模式我昨天上网吧试玩了一下难度确实挺大的单排还真不好打但是组队也匹配不到好队友也难受😭,2025-03-31 10:19:57,0,0,战争雷霆国际服与从军萌新报道,未知,否,https://i0.hdslb.com/bfs/face/3cb42d92b41e0ffb0ed9c9c8b85860c5537f6881.jpg
10,0,258110665793,448813194,世界と和解,5,保密,免费的单机剧情，难能可贵,2025-03-28 13:56:30,0,0,懦弱是最大的问题,未知,否,https://i0.hdslb.com/bfs/face/2536bb30ca4d17dc282654856774b9cd39447b9c.jpg
11,0,257749496913,72988580,潇碧杨,5,男,视频应该叫 UP和他的3个工具人，一个火力压制的机枪兵各种表现，看的太出戏了,2025-03-24 03:09:33,0,0,,未知,否,http://i1.hdslb.com/bfs/face/041f4baddf6694e49a642b06bc0ea30800e15fe4.jpg
12,0,258018004896,504180635,素维星尘,6,男,先是黑猴，再是哪吒2，现在是黑鹰坠落，让我见识到了真正的生物多样性[明日方舟_喧嚣的风],2025-03-17 11:13:07,0,1,随缘随缘！直播号在置顶动态，聊天群：118744085，欢迎来一起看直播！,未知,否,https://i2.hdslb.com/bfs/face/027307eb05ca696db32ce944880386ec408255d0.jpg
13,0,257181569617,294718199,GiGi梁咏琪,4,保密,能不能降低难度？实在打不过去？,2025-03-16 18:37:10,0,0,,未知,否,http://i2.hdslb.com/bfs/face/e5cb2f45e257f337c756521bd73c56814443c8c0.jpg
14,0,257912674864,298091128,蓝色鳶尾花,5,男,子弹都不能捡，单人怎么通关？,2025-03-16 05:57:04,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c37e53720edc3b8a987870468840ffde881c39dd.jpg
15,0,257067148465,290116113,离李言行,6,男,弹幕小学生真的多啊！,2025-03-15 12:48:15,0,0,西瓜皮,未知,否,https://i0.hdslb.com/bfs/face/869be88e7d0a915de9e5916797e24501234771c1.jpg
16,0,257041876465,1617043188,弗兰帕德里赫特,5,男,这游戏能开修改器吗，我就是想单人体验一下童年，也找不来朋友全程跟着玩[笑哭],2025-03-15 07:35:32,0,0,上校，马孔多在下雨,未知,否,https://i0.hdslb.com/bfs/face/8a578f7b961538fffc637689ddb62b44caa18d4a.jpg
17,0,257586215904,256877519,玖栎狐,5,男,我今天刚刚通第一章，两个人玩的[doge_金箍],2025-03-12 09:30:57,0,0,寄,未知,是,https://i2.hdslb.com/bfs/face/7fe2b789d7f1b52b5388c4f5aee851868ea4dcf4.jpg
