序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261219387233,375069180,Calvin丶,6,男,那肯定得来个复合弓 70 70 140啊[doge],2025-05-06 07:27:46,0,0,,未知,是,https://i0.hdslb.com/bfs/face/c96afb24264cdd62f23e22cb844722d73e8e74f2.jpg
2,0,262075056688,330036910,御珏,5,男,感觉高级弹略微减少肉伤比较合理,2025-05-05 06:00:39,0,0,,未知,否,https://i1.hdslb.com/bfs/face/a052aba4876c5ada0807392e8a628e23641f948e.jpg
3,0,260482193473,13353090,冠希歌歌,6,男,我自己用2个子弹零件一直搓6.8仙弹 现在都快一页了 舍不得用，后面有一次用AWM堵桥快乐的一b，边打边笑 要是当初搓AWM子弹多好[大笑],2025-04-27 06:41:13,0,0,找到自己的目标,未知,否,https://i0.hdslb.com/bfs/face/7b0d3da45448c51aa0f78a444a0bc45c545aa002.jpg
4,0,261259782016,3546592810371507,三角洲强盛俱乐部,2,女,蹲老板纯绿俱乐部可看学信网,2025-04-25 12:16:11,0,0,"欢迎来到强盛俱乐部
俱乐部有护航女陪等服务
纯绿最低的价格
有意联系n19713156848",未知,否,https://i0.hdslb.com/bfs/face/58b7a666591079d43f1726a1fcc34abf3bd1fbc3.jpg
5,0,260221196113,1557112470,大鸡蛋咖喱,4,保密,那b队友变声器是啥啊,2025-04-23 22:14:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/190263c29c7f306e21b142b804389d0feff35974.jpg
6,0,260783825152,3546657373293038,圆环天理,4,保密,[黑眼圈_金箍],2025-04-19 13:41:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fe2869d6b4129692ab4a91883f5a3617139924fc.jpg
7,0,259728497521,3546391299230481,剪辑魂,4,男,对面：这人怎么秒的我，（看淘汰详细）仙弹？！没事了,2025-04-17 14:03:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d0103a042e52e8cb1c4e8691de3a6172fdaa7b7e.jpg
8,0,259711630497,3493123082685064,啊哈哈哟anaml,4,男,说实话，这个很没意义，因为M250真正出名的是他的甲伤，不是真的遇到六套，就是真的纯泼水,2025-04-17 10:19:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c15846ce4e4d7c7e1dbbd5400e191fe8a0d1c727.jpg
9,0,260565262080,3461577846033018,一只可爱的海盐,5,男,@二胡Ya 用这种装备猛攻才爽[doge_金箍][响指],2025-04-17 01:07:20,0,0,我是兽(⁄ ⁄•⁄ω⁄•⁄ ⁄),未知,否,https://i0.hdslb.com/bfs/face/b70bf8edf03a5bc301d2a7117ee6d2781ee0dc4e.jpg
10,0,260478644816,496408823,短兵之利III,5,保密,不耗！是刘涛，红蛋M250大人 快跑,2025-04-15 21:45:47,0,0,,未知,是,https://i2.hdslb.com/bfs/face/61188a654262e918908225a70c5a632f6e47ead0.jpg
