序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,258088373776,301496919,紫菜炖鸡蛋,6,保密,三角洲海删档吗[哦呼],2025-03-18 09:28:53,2,0,今天沒吃藥,未知,否,https://i0.hdslb.com/bfs/face/10f2b8dd2cede5b40d35322100e401ac5be033a9.jpg
2,0,256850326176,383020305,九ing命猫,4,男,"大学生在校跑刀 绝密巴克什 普坝
纯币 非仓库价值
 100w=8r
200w=15r
500w=40r
1000w=78r
1500W＝128r",2025-03-03 07:25:31,0,0,ing,未知,否,https://i0.hdslb.com/bfs/face/6760b0aac63a53542918f7fd89dec3b7bdbf731c.jpg
3,0,256094669537,3546654070278965,小余报道,2,男,"可以全程直播，有需要老板d一下就好
8＝100w
15＝200w
40＝500w
79＝1000w
纯手打[微笑]不是桂，纯跑刀",2025-03-03 06:25:18,0,0,"接单跑刀，8比100可直播
工作日18点开始直播打，放假12点开始
一天工作量大概2000w
预约联系v：XY__2056
已结13400w",未知,是,https://i2.hdslb.com/bfs/face/9c06e9cf2566f1721cdb6238a097b4e0a8cb9050.jpg
4,0,255956820032,1424921548,古见同学鞥,5,男,"主播主播我有刘涛能扫我的号不
[星星眼][星星眼][星星眼]",2025-02-21 00:32:10,0,1,零碎的岛屿终将靠岸，失散的人们终将团聚。,未知,否,https://i1.hdslb.com/bfs/face/bb1547596f6b645cbf3e73d7c75012619f792179.jpg
5,0,255011541649,3546618869582489,社会魏来,4,男,"三角洲烽火自爆卡车boss收割机（跑刀可用）（成功率≥75%）（可打盾狗）（原创：社会魏来）
阵容1：双威龙+红狼
方案一：发现boss后，红狼手炮吸引boss，并让双威龙将磁吸炸弹粘在红狼身上，之后红狼开超载迅速冲向boss
方案二：原理同上，敌人为架枪的玩家，红狼封烟，并让双威龙将磁吸炸弹粘在红狼身上，之后红狼开超载迅速冲向对方
阵容2：威龙+红狼+蛊/蜂医（这个阵容建议用蛊，因为有肾上腺素）
方案原理同上，支援兵可以丢烟增加范围，而是蛊有肾上腺素可以让红狼跑的更快
注：①如果想保险起见，可先吃止痛药，毕竟红狼大招可回血
②建议打老赛和老雷这种室内敌人或用它冲玩家堵门和堵楼梯口，打玩家最好红狼先封烟，攻其不备，毕竟谁也猜不到烟里一个自爆卡车直接冲脸啊。不建议打老太，因为老太射程太远了
方法旦是s1赛季十月份创的，实用却是S3赛季用的
好不好用评论一下呗",2025-02-18 05:57:01,0,1,,未知,否,https://i2.hdslb.com/bfs/face/85968b3e0da6175fe76d56dc391490516ccb147c.jpg
6,0,255655598496,3493136301034429,锁头王----赛伊德,4,保密,78推流现在还能看到9月28的视频在主页,2025-02-17 11:18:47,5,69,无,未知,否,https://i1.hdslb.com/bfs/face/925709485a1bd0dcecb0e8450a5808574a85dcb9.jpg
7,0,253870080417,35033150,看到我回去大坝跑刀,6,男,昨晚和朋友两个六套一个五套去打大坝猛攻,2025-02-05 23:52:50,1,1,除却君身三尺雪，天下谁人配白衣,未知,否,https://i2.hdslb.com/bfs/face/c7059fbdac96862894b51586f26f29f52e664fc0.jpg
8,0,253599424129,1388061966,大道无情-,5,保密,昨天就从这个拉闸撤离点  追了一队人  我跟队友一人200万[笑哭]估计他们也没想到  都踏马拉闸了还有人追过来[笑哭],2025-02-03 02:01:47,0,0,,未知,是,https://i0.hdslb.com/bfs/face/53ca9559e68d024b5d4f563c0fac9b97b8f59aca.jpg
9,0,253118694753,480152590,有幺哥,3,保密,78万播放量限时拿下,2025-01-28 14:23:22,0,1,,未知,否,https://i1.hdslb.com/bfs/face/990a3d63c8c8d2c735c0bfa7f15d1edff610a57a.jpg
10,0,251867536977,1315783182,漂叶清茶,5,保密,@路由器的夏天主播什么时候能和这位主播一样带飞我[tv_目瞪口呆],2025-01-15 06:51:18,0,0,别看了，快去学习！,未知,是,https://i0.hdslb.com/bfs/face/4a1e411820d5cb87666e7ae173f3378630805b3c.jpg
