序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261003239329,341891357,探洛夫斯基,6,男,一百万撤离点被蹲，道心破碎，老刘模拟器，启动[大哭],2025-05-03 15:29:57,0,0,,未知,是,https://i2.hdslb.com/bfs/face/d0166d238069930887b36874958b775062374187.jpg
2,0,260739548576,188607335,Jdez黎,5,男,有没有唐人兄弟一起玩的，本人经常混迹于普通长弓捡破烂，0.6KD的对枪笨蛋鼠鼠，偶尔做做任务，想找个伴一起打吹吹牛，一般晚上打，PC端，来了就送个epzg10,2025-04-19 04:17:07,0,2,凡是过往皆是序章 所有未来皆有可盼,未知,否,https://i2.hdslb.com/bfs/face/61b1d3e8c247690d6e7674f8393052d3b8d03ff8.jpg
3,0,259143620849,396238675,雨树晴花,5,保密,8r=100w纯币，不动仓库和任何设置，留红留金可说明。大学生绿玩手打，老板有意私我。[打call],2025-04-10 04:14:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/9c5bd991cd440de131d1fcbcf1c625ca3bcf6eb4.jpg
4,0,258848580417,1204865960,詚泡菜罐头,5,保密,其他地图的啥时候出吖,2025-04-06 08:36:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9d27e68b4fd18e131835acb348ffd0953a2c5fca.jpg
5,0,258362020049,220189481,鵩鷕,6,保密,@两仪滚 大坝阴间点位,2025-03-31 13:15:17,0,0,活着是寻找生命的意义,未知,是,https://i2.hdslb.com/bfs/face/9b297ecdc752cbf994229d8b8e4aea2ae505beba.jpg
6,0,259189499680,100023342,Solar-gw2,6,保密,岗亭2.0是不是被修复了[笑哭],2025-03-31 12:39:01,0,0,~~~,未知,否,https://i0.hdslb.com/bfs/face/489f1e1c39cb59afa9424977a9b67d236d140a4b.jpg
7,0,258817051808,12341623,Minazuki_Chocola,6,保密,三连留着有什么用？就在这交了！！！[花园花铃表情包_怒了！],2025-03-27 07:15:06,0,0,水无月(Minazuki)巧克力(Chocola)是只猫娘！花玲姐姐单推人！！！猫娘赛高！！！,未知,否,https://i1.hdslb.com/bfs/face/276754dceba3d70fe216b7f8cc691671b27c170c.jpg
8,0,255560230481,3934082,救薯之道就在其中,6,保密,已收录至🐭の意志中,2025-02-24 15:34:59,0,0,明日事明日愁，先享受当下的时光,未知,是,https://i2.hdslb.com/bfs/face/e1c99d13573d8690e6ecb3282e22b2d380bd253b.jpg
9,0,254973309344,3546614341831333,MC铁路长,2,男,你以为，我就举报，破坏游戏平衡的人我是不会关注的,2025-02-10 10:37:18,1,0,MC？战区我全都要玩,未知,否,https://i1.hdslb.com/bfs/face/a9d32758c0d4994659276d8004585e5419ea8875.jpg
10,0,254277826336,297699945,悲歡自渡,4,男,野外的好像有空气墙上不去了,2025-02-03 07:41:27,0,1,,未知,否,https://i0.hdslb.com/bfs/face/9858a91e4e8a5875f07495cf57c621da6ca7585a.jpg
11,0,252393571649,10803587,大自然卫士,6,男,所以这游戏还敢穿56套进场的，多半是新手或者开挂的。,2025-01-21 05:02:06,0,1,unity 技术员,未知,是,https://i2.hdslb.com/bfs/face/5fb61434a7b0d5fdecb6c356bd70921deb9c9274.jpg
12,0,251955657857,3546635252533569,滞销不前,3,保密,出声点位,2025-01-16 07:50:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/255ec88b4f5d67bd52c03e76302ae1bd896757f3.jpg
