序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260901579377,413401175,shadowstef,5,保密,《红薯窝模拟器》,2025-05-02 12:28:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/df15ceb02d004a3a36bb7e4d40d181cd7cb8a11f.jpg
2,0,261376331456,438393815,蒂塔蒂塔蒂,6,男,唉，飞机求援那里看得我难受,2025-04-26 23:26:19,0,0,你说什么？难不成我....,未知,否,https://i2.hdslb.com/bfs/face/e9ade12094888bceb75e1641deea9b154327d979.jpg
3,0,260398958641,3546888808696352,乖过硬有毒,2,男,@米大吖,2025-04-26 05:37:18,0,0,梗重提月光说余霜身影绰绰影影怪梗,未知,否,https://i2.hdslb.com/bfs/face/a276ace87952a26e101b3562f718f3a72de7000f.jpg
4,0,260397397345,3546677235419683,bili_18983031711,2,保密,[doge_金箍][蹲蹲],2025-04-26 05:15:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,261144219696,3546792048200237,凌冬少校,3,保密,当年几十年前的三角洲这几个任务也很难，枪也不能自由选择，阴在拐角的可能拿的甚至是M2。好在最后都过了,2025-04-24 03:26:23,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0b340c0132e6c08be86a6fbb65d49d5eff302427.jpg
6,0,259100925617,495755169,星のように降る,5,保密,希望各位能赞助每一个梦想，主播破1000粉就唱歌，这个主播是@艾比_Abyme,2025-04-09 12:59:53,0,0,孩子想和我打音游吗？,未知,否,https://i0.hdslb.com/bfs/face/980e15a2137d717b30a7a7cbd3d461a5cf27ab71.jpg
7,0,258765173617,2055263066,mi35,5,保密,当时要是有一架ah1z都不至于这么糟糕,2025-04-05 10:01:48,0,2,man,未知,否,https://i2.hdslb.com/bfs/face/a9b7cf0e7293792e3d60ee81afc1737152f5054a.jpg
8,0,259596466624,174523633,ABYDOS----砂狼白子,5,保密,要是当年美军不迷路.........awa,2025-04-05 06:23:39,0,0,"。。。
",未知,否,https://i1.hdslb.com/bfs/face/af638566ef630fa33227ff93f0d572de8cb127d3.jpg
9,0,259472084208,3546803483970524,摸鱼喵喵大喵,2,男,我管你这那的，我电脑都下载都下载不了，连最低配置都达不到,2025-04-03 17:53:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1c5f7b070959f1ee56806620a0701372145bc625.jpg
10,0,258300147729,85259955,张开眼睛是靛藍色,5,女,@白波トップウォーター [孤独摇滚_害怕][孤独摇滚_偷看],2025-03-30 17:10:39,0,2,"自信 疑心 欲に幸
自信 疑心 渴求之幸",未知,是,https://i0.hdslb.com/bfs/face/dfd8e64564230b89b54c8249bae4c24cfd8545d1.webp
