序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259886178737,13574350,lertsniml,6,男,回放bug的，放不全的，腾讯反作弊世界第一的,2025-04-19 13:26:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/85a16f69c8302921c1f62c1084541c2bc1ec2f5a.jpg
2,0,259798571121,691227896,起灵44,5,保密,不小心把amd插错了[笑哭],2025-04-18 12:30:30,0,0,,未知,否,https://i2.hdslb.com/bfs/face/984000eb611363b110ded30120a682c5264107b2.webp
3,0,259795324321,383977269,Rollingcez,5,保密,好笑吗，我只看到一个被六绝望了的人，开始惩戒老六,2025-04-18 11:49:10,0,1,人活一世，自己开心就好,未知,否,https://i0.hdslb.com/bfs/face/1924b5a8bf32519779c695760aa3815a801f5630.jpg
4,0,260685836160,176583639,mygo的爱音,6,男,片段鉴不了挂。。。放及时回放,2025-04-18 11:34:12,0,2,萤火惜明，不惜焚身伴夜明。,未知,是,https://i0.hdslb.com/bfs/face/c6b288e5240f01232b8cb5f7d1ef0abc0e836340.jpg
5,0,260685617824,473836637,不吃早饭会得胆结石_,6,女,这种鉴挂就跟LOL拿谁躲了俩技能然后在那里锤脚本一样好笑,2025-04-18 11:30:03,0,2,小透明,未知,是,https://i2.hdslb.com/bfs/face/5fbaa3020e487e81b2a12e8965e5dd98fc35b425.jpg
6,0,260685202512,473836637,不吃早饭会得胆结石_,6,女,谁知道前面什么情况，如果是你开镜切枪听到了也没问题，如果是透会第一时间瞄着脚的位置（因为趴着的）,2025-04-18 11:25:05,0,1,小透明,未知,是,https://i2.hdslb.com/bfs/face/5fbaa3020e487e81b2a12e8965e5dd98fc35b425.jpg
7,0,260683897232,1282115335,无暖躺在盒子里,5,保密,哦，这个我知道，你应该是走过这里，然后路上应该是有人机死了吧？,2025-04-18 11:10:57,0,0,我不是什么好人,未知,否,https://i1.hdslb.com/bfs/face/f3a7a1d6ff4d6434718daeedf09e74633a6f3dc2.jpg
8,0,260681877360,15248236,康康你的大脑门,6,男,玩三角洲不开挂 你玩什么三角洲,2025-04-18 10:48:23,0,0,,未知,否,https://i1.hdslb.com/bfs/face/58ab7d60236771904256a261a73fb5bd3a314077.jpg
9,0,260679761200,286364605,Simple丶阿浩,6,保密,琳琅地府的员工就靠手底下人卖挂反回来的分成好回他独自一人过年的家庭上坟呢。怎么能封他的衣食父母呢。[星星眼],2025-04-18 10:23:45,0,0,没错，我就是懒死了！啥都不想写！,未知,否,https://i1.hdslb.com/bfs/face/6475ed12d5f41a87bda11c27dce5bfd0115b7ecd.webp
10,0,259785646289,42025170,ふぐ毒,6,保密,还有一队挂狗故意放一个人过来勾引的，我上次变电出了刀片和单反，去了旁边营地的外围趴着，对面一队就一直在我旁边走来走去，一直漏背身骗我开枪，最后终于忍不住直接给我杀了,2025-04-18 09:53:37,0,1,四方食事 不过一碗人间烟火,未知,否,https://i0.hdslb.com/bfs/face/1ece6039e8242745493a7cd9dfdf803878ba2073.jpg
11,0,259784938145,190014680,邪月等待,6,男,我只看到了努力与汗水,2025-04-18 09:45:35,0,0,励志当一名屑,未知,是,https://i2.hdslb.com/bfs/face/9fc8c32d8955a00eccad801d877d2280a8c91546.jpg
12,0,259784225041,383713096,醉-往昔,4,保密,白天热成像看会不会显示对面是灰色的   要是这和开挂没啥区别,2025-04-18 09:35:12,0,0,,未知,是,https://i1.hdslb.com/bfs/face/3714150507946a0d5a96c556fa4f57bfcdf58416.jpg
13,0,259784053537,1835627785,聆风雨眠,3,保密,你呼吸声那么大当别人听不到是吧[doge],2025-04-18 09:32:57,0,0,,未知,否,https://i1.hdslb.com/bfs/face/10e2b8105d03cf799a3c203850a1c1d6b056dd1d.jpg
14,0,260674894224,2114745625,循环利用时间,4,男,威龙：嘻嘻，小手手露出来了的说,2025-04-18 09:25:40,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1151fa7251c378b9d36f491ad2062d4b78404192.jpg
15,0,260673100496,393376811,只想要有你的明天,5,保密,透视和物资挂多到爆炸,2025-04-18 09:03:01,0,0,何谓天道,未知,否,https://i2.hdslb.com/bfs/face/e2e8a8910bfa5a97203be556aa7c0528a0e1dbda.jpg
16,0,260672429456,340525839,强大的我已经死了,6,男,单纯看不像挂,2025-04-18 08:51:29,0,0,二字武器,未知,否,https://i0.hdslb.com/bfs/face/ecc3f1e8d4d7a33ca68c4a2a5a25b8c1598e8b8c.jpg
17,0,259780930673,480471466,Sasha丶,6,女,问题在哪？,2025-04-18 08:47:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/71388e700a0c9a9b3a28bfacea99e4a0276939b4.jpg
