序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261201749745,3494376583989655,书鍪,3,保密,微信粉丝群怎么进呀兄弟们,2025-05-06 02:39:44,0,1,,未知,否,https://i1.hdslb.com/bfs/face/62113bc25e6aba5e9ee8ecc3f3ed36a7d63af37e.jpg
2,0,261096819617,110775952,靠拥抱亦难任你拥you,5,保密,吃饭就看杨起家,2025-05-04 16:17:01,0,0,靠拥抱亦难将你拥有,未知,否,https://i1.hdslb.com/bfs/face/66f4e616516c6042e325f4461e2573830527f710.jpg
3,0,262018363600,1980180515,很疯的朱先生,3,男,3:59,2025-05-04 13:16:40,0,0,来看看收藏吧，中国名字的。,未知,否,https://i2.hdslb.com/bfs/face/33b81c8b5b7db39137dcabb8c3e4ab30c8c2b33c.jpg
4,0,261977479552,454744517,damnjoyhorizon,4,保密,主播摸红的几率大吗？看这么久感觉红咋这少[笑哭],2025-05-04 04:54:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4c4fc018ac2addef9d59aca5a17e8de936f941c6.jpg
5,0,260963835745,3546881965688997,小蓝鼬子,2,保密,[嗑瓜子],2025-05-03 07:18:56,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dfc68fe7a707fd413ac9654e4a2fb950e46efd94.jpg
6,0,260961516913,340997650,狼羊百合,6,保密,[辣眼睛],2025-05-03 06:43:43,0,0,,未知,是,https://i1.hdslb.com/bfs/baselabs/2d1aa7e3648bd5ec9c5152709cd4b774adec2a41.png
7,0,260701904465,24956377,心碎男孩坤坤,6,男,up这种画面怎么调的,2025-04-30 04:31:39,0,0,?          ?           ?    ?          ?           ? ✋,未知,否,https://i1.hdslb.com/bfs/face/43751c245543a52fc114e3ec127c52dae4365c02.jpg
8,0,261455719808,5529326,光之炼仝术士,6,男,太酷了,2025-04-28 00:05:03,0,0,,未知,否,http://i2.hdslb.com/bfs/face/ddce7b0101b28a69ca9619134b5f969e704bb237.jpg
9,0,260397161665,3494379526293771,云鸢fish,4,保密,6,2025-04-26 05:12:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c49197b2f62faa4ac8679ce561c2a23af3c59c95.jpg
10,0,260375078337,109504985,猫_大,6,保密,最开始这个bgm叫啥？,2025-04-25 23:05:30,0,0,爱生活，爱跳舞，爱动漫,未知,否,https://i2.hdslb.com/bfs/face/4ba1694d02d047cacae0ca1dd45933fc70e92cda.jpg
11,0,260356710193,630180687,bili_93353720151,3,保密,能帮我打吗,2025-04-25 14:41:36,0,0,,未知,是,https://i0.hdslb.com/bfs/face/4e7e8a56f2d71d8fd0f160b6fbda66dea2658d3b.jpg
12,0,260001425745,3546741976599484,爱之ling,3,女,捉,2025-04-21 01:00:52,0,0,给我手机！我要玩Phigros！,未知,否,https://i1.hdslb.com/bfs/face/6c5e6ea2dddb8320447a06fd4b61a77bbdc1ff79.jpg
13,0,259971287617,479489697,haxahsd,6,男,杨齐家本人女装吗，有点意思[脱单doge],2025-04-20 12:51:33,0,0,高三，努力，成功，猝死…,未知,否,https://i0.hdslb.com/bfs/face/586ac684ebc6c7e38cd3fa0fb4806274b338bcb1.jpg
14,0,259934936305,3537121444891381,错误实体524,4,男,我队友他妈的出了一个超算单元,2025-04-20 04:44:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d30352c67a2196104bcac4c25ecc0699c9a99a0b.jpg
15,0,260787914480,3546817836878028,龍的钏人,3,保密,求拯救,2025-04-19 14:24:14,0,1,,未知,否,https://i0.hdslb.com/bfs/face/3cbe29a16d8aacb672057c8be722bfc38a067866.jpg
16,0,259694847089,296523860,懒懒的网红衣,6,男,主播唱歌好好听,2025-04-17 05:22:16,0,0,"若人生只如初见
何事秋风悲画扇",未知,是,https://i2.hdslb.com/bfs/face/4bcf1e20dcc5951c564b3559da5f233cdb3342d0.jpg
17,0,259671830145,335827670,七草西,6,保密,杨齐家的m14丐版，有改枪码嘛？或者说，怎么改[笑哭],2025-04-16 18:49:48,0,0,やとがみとおか❤️,未知,否,https://i2.hdslb.com/bfs/face/6efe58b35cc8df794cba18602cfba099d124712a.jpg
18,0,259624435057,27207956,红魔馆扛把子,6,男,需要跑刀联系[笑哭],2025-04-16 06:46:12,0,0,我叫把子！当我以为我是扛把子的时候一切都太简单了.,未知,否,https://i2.hdslb.com/bfs/face/95a6f2f60451e47d472993eef59949f7dda4d674.jpg
19,0,259624572817,27207956,红魔馆扛把子,6,男,需要跑刀联系[笑哭],2025-04-16 06:46:12,0,0,我叫把子！当我以为我是扛把子的时候一切都太简单了.,未知,否,https://i2.hdslb.com/bfs/face/95a6f2f60451e47d472993eef59949f7dda4d674.jpg
20,0,260500866560,26197029,鸡西幼稚园长,6,男,科技威龙就是不一样,2025-04-16 05:06:44,0,0,喵喵喵,未知,否,https://i0.hdslb.com/bfs/face/63e8680fab69f789ebd3d6e8d032a0b3523adc77.jpg
21,0,259610058065,294215852,出租飞行航母,6,保密,对面这是什么菜🐶，都攀爬上黑板了居然没被直架的秒了？,2025-04-16 03:26:36,0,0,小黑盒业余游戏博主，和up主晓青不是菜菜合作负责文案呐。,未知,否,https://i2.hdslb.com/bfs/face/7ad7362c9a9414c1b7e68135d2807a283ad4160d.jpg
22,0,260456900272,505654512,得不到的人最挂心,4,男,今天九点钟刚打的[doge_金箍],2025-04-15 13:34:38,1,2,我本身就不是一个主动的人，灵魂也没有趣，不爱表达，还死犟，遇到懂我的算我幸运，遇不到也正常、,未知,否,http://i0.hdslb.com/bfs/face/3dbc517a2a57b4871fa8cecf5e6453b5c4ead530.jpg
23,0,260363759840,343559004,致命一击老谭,5,保密,借个位置 晚间固排队日常2缺一，招一个补位置的，来了就是好哥们，不求枪法牛逼，遭遇战听指挥就行,2025-04-14 10:01:47,0,0,我还欠你一颗子弹,未知,是,https://i0.hdslb.com/bfs/face/dfedee7e6d6cff27f3483db57989c8af22c7df55.jpg
24,0,260363345568,343559004,致命一击老谭,5,保密,up画质为啥这么独特啊，那个红狼的脸为啥白的发光啊,2025-04-14 09:55:58,0,0,我还欠你一颗子弹,未知,是,https://i0.hdslb.com/bfs/face/dfedee7e6d6cff27f3483db57989c8af22c7df55.jpg
25,0,259440562769,700599655,CWQCY,4,男,"大学生纯绿手跑，可以直播哦
100W＝7r，200W＝14r，300w＝21r
500W＝35r，1000w=70r，1500W＝105r
[蹲蹲][蹲蹲][蹲蹲]大老板们加我了解一下呗",2025-04-13 15:48:55,0,0,想要三角洲游戏代肝加CWQH20050921,未知,否,https://i1.hdslb.com/bfs/face/716b4891baacf9aa77956b53c364024476ee0036.jpg
26,0,260298860544,471367144,灿耀幻月星,5,保密,随一个[脱单doge],2025-04-13 12:34:48,0,0,舟舟人,未知,否,https://i1.hdslb.com/bfs/face/2ee16fd2a4117c01634252ed85086cecdddc9b7e.jpg
27,0,259417026065,3546845041134299,早濑邮箱OVO,2,保密,隐藏款吗？说是,2025-04-13 10:54:55,0,0,,未知,否,https://i2.hdslb.com/bfs/face/be03df36ed0c2c174d8444748a1a1472aec7cc09.jpg
28,0,259413016401,27375961,坎灬兑,6,男,[doge_金箍]左下角猫猫头很魔性，如果是柴郡猫猫头就更好了,2025-04-13 10:03:15,0,1,"一切由心   万事皆清
茫茫天数此中求   世道兴衰不自由   万万千千说不尽   不如推背去归休",未知,否,http://i1.hdslb.com/bfs/face/1a10efc772601488180db57e938e2c55d57a33eb.jpg
29,0,259393667809,3546830256212291,最好打的核心意志,3,男,呃，我很想知道巴克斯绝密一把打80万和70万撤离正常吗？,2025-04-13 05:27:24,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3ae3c1b3e8f5260b0f1f3ccbf0f33d1ff3eb219d.jpg
30,0,259391684817,3546791169493885,萨维奇-扎耶夫,2,保密,杨起家厉害的,2025-04-13 05:00:26,0,2,,未知,否,https://i1.hdslb.com/bfs/face/2e00d419cfbc0e504d9e411b2b5659b8bd628b32.jpg
31,0,259363217073,3546590677567871,万能贝爷,3,男,手机端可以吗？,2025-04-12 17:43:06,0,0,看我签名的，纯属是闲得没事干的乐子,未知,否,https://i2.hdslb.com/bfs/face/09254d48afce2f9c658cd47690085c998f998fd6.jpg
32,0,260229219536,1264322648,星粉羽粉,5,保密,"问，有信心用盾娘打够1,000,000吗？我自己打不动了，需要代一下[吃瓜]",2025-04-12 16:15:52,0,0,励志走遍有星极和星源的视频，但是一点多得慢慢来,未知,是,https://i2.hdslb.com/bfs/face/c0c6b18a8a49366fb3372ea1103e5dae046c6e83.jpg
33,0,259347051681,3537118011853284,白化之冬,4,保密,截到了[脱单doge],2025-04-12 14:04:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e2ab14f93aae6e8bc134bbe9706681311f32a0ed.jpg
34,0,260190162768,3546621985950232,晨晨曦曦1020,4,保密,杨麒嘉！,2025-04-12 08:40:43,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b510aa9e91aac77bfdd7766199f7bb061b1f024d.jpg
35,0,260174506064,3546792165640243,北秋不知秋,2,保密,建议主播以后可以带一把左轮装配件,2025-04-12 05:02:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,0,259300114433,3461578403874997,白泽最强钢板,5,保密,得劲啊（）,2025-04-12 03:55:52,0,0,"一个新人UP主
看似操作很厉害，实在很下饭
本人会以王者荣耀穿越火线一起更新，但由于上学问题，所以很有可能会断，还望请见谅",未知,否,https://i1.hdslb.com/bfs/face/d5bb9a49ceaba90daa24974e6f53e36bbba98e75.jpg
37,0,260133682528,3546718687725614,陆參金,4,保密,开头的音乐是什么呀？,2025-04-11 14:49:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
38,0,259265509569,1842191674,小朋友不讲武德,4,保密,不懂就问，找他扶贫要米吗,2025-04-11 14:38:48,1,1,,未知,否,https://i1.hdslb.com/bfs/face/4f670ecf3bb1e62aa86e4d55c34c42d7ee532771.jpg
39,0,260058686880,1119574927,爱玩FPS的老魏,5,保密,图不错，留着晚上吃[doge],2025-04-10 16:26:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/62038a0df816ccd49bc9d8865ab8a24a0207cc38.jpg
40,0,259190904817,3546569406155576,sorry对方已拒绝,4,男,不是，我怎么感觉这个带针，包里还有个血氧仪的是我啊？,2025-04-10 15:31:52,1,0,,未知,否,https://i2.hdslb.com/bfs/face/696e4ee62786ce8a1ef4d9eaf880580a0729c991.jpg
44,0,259185237953,1930950394,鲸落sdd,5,男,我想知道他那个滑步咋搞得,2025-04-10 14:23:07,1,0,,未知,否,https://i1.hdslb.com/bfs/face/2d7105ab235b704225450cca16746c9853002f8c.jpg
45,0,259184179633,3546574047152254,小恩骏,4,保密,不用谢，自已去,2025-04-10 14:10:52,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7216a1cb2acb86cd34aa7eaca072bf2df54eeede.jpg
46,0,260010280144,3493116608776313,江鹤的鸽鸽,4,男,得吃,2025-04-10 05:15:01,0,0,六,未知,是,https://i2.hdslb.com/bfs/face/bf391cd73b03eb812b9ae5d216b394cab4d0368a.jpg
47,0,260008531232,3546802710121143,三角洲的跑刀仔,3,保密,帮你们截了,2025-04-10 04:52:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dcca5dc01c71025b1a38f44c72db4e6238c618db.jpg
48,0,259141411041,2005974350,我人傻了昂,5,保密,主播的这个扫码上号是咋样一个流程啊,2025-04-10 03:44:16,1,2,,未知,否,https://i2.hdslb.com/bfs/face/68acbaacf62638546ba42580e7c181e657107d05.jpg
49,0,259994220960,71163546,IFSeeU,6,保密,不客气,2025-04-10 01:13:37,0,0,,未知,是,http://i0.hdslb.com/bfs/face/18aa5a69058d1ba8e3bc2f37d7e653c64add07ce.jpg
50,0,259958320624,1774341125,什么DLM,5,男,大佬们，玩这个游戏我老是看不清人怎么办[难过],2025-04-09 12:25:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6f2630923e2b7c2dab47c2ab19a6880909d0f646.jpg
51,0,259877590688,3546727156025645,麦扣杰克孙,3,女,狙击手,2025-04-08 12:11:54,0,1,西海！\o卐,未知,否,https://i2.hdslb.com/bfs/face/63356e8095a8b4455ace532c7aadb64d612782f4.jpg
52,0,259015780769,3546662591007397,bili_82885997153,3,保密,截到了,2025-04-08 11:13:14,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3da5e1ebdda0d0b9246260490355c342ecca1ee6.jpg
53,0,259871027024,3546883156871423,坏鼠鼠打大坝,2,保密,大佬，牛B,2025-04-08 10:51:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
54,0,259869367760,1789609024,蓝鹰64直升机主驾驶,4,男,🤔,2025-04-08 10:31:26,0,0,,未知,否,https://i1.hdslb.com/bfs/face/25f95094ccbf64fcee5db6bd5a98a61ebe8bf739.jpg
55,0,259820052416,1638058422,宇智波玲纱,5,保密,牛角洲行动[doge],2025-04-07 17:07:03,0,1,！该帐号正在封禁中,未知,否,https://i0.hdslb.com/bfs/face/005410725b537695e09e70245636ce1d4a08e869.jpg
56,0,259771750464,35397840,肉松猫薄荷,6,男,强烈要求出个死后锁包，可以选择死后让不让队友摸自己包！！！不是我打的包，是我的包，防止为了抢大红不救人！！！[生气],2025-04-07 06:25:54,9,15,为什么我没有脸，或许是因为你不想看到…,未知,是,https://i0.hdslb.com/bfs/face/b3f4a5dd1c3e8a50ee1b9f0aab60429bbf63327c.jpg
57,0,258890151297,14157654,大海的夜晚,6,男,请问主播在移动的时候快速抖动不漏脚步是怎么做到的？,2025-04-06 17:57:30,0,0,对，我很忄束负，没有简介,未知,是,https://i0.hdslb.com/bfs/face/17fdbd47987a758784e35879d493a4f51d4d3aa9.jpg
58,0,258883802049,3546882513045962,爱睡觉的zjl,2,男,[吃瓜][吃瓜][吃瓜],2025-04-06 15:54:25,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4860d6b065400b278949fcca4d739f785020bf5f.jpg
59,0,258845033393,40543793,安大吴彦祖,6,男,普坝真的有神人，我普坝见过48w的枪,2025-04-06 07:47:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/18e0c7df88b9383863572779820208e0c89de95f.jpg
60,0,259680061744,3546739174804041,超人强prom3,3,保密,呵呵,2025-04-06 04:28:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ecf93eeb4400a8e9fa36f87548846b542a0776b0.jpg
61,0,259661878080,3546675809356144,一只无机鲨,2,保密,大坝挣钱航天花，要看就看杨起家,2025-04-06 00:17:13,0,1,,未知,否,https://i1.hdslb.com/bfs/face/bb77147d5656b93e3e1ae934f02ae3de2e1af335.jpg
62,0,259651700704,1473739007,狠狠的入侵,5,保密,这M14怎么改的啊,2025-04-05 17:26:22,0,0,,未知,否,https://i2.hdslb.com/bfs/face/504d10eed24d8ee88620173bba469d2e09a7116a.jpg
63,0,259634496064,3546653493562239,沙雕网友1145,4,保密,悬赏:别信这玩意我号给他之后，我40m 第二天一看直接给我打到1m了仓库还放一堆全家福天下没有免费的馅饼只有免费的陷阱!,2025-04-05 13:58:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/03e834815ea551a037938df2629b73e060191425.jpg
75,0,258773111697,3546554816268883,哀哥很讲李,3,保密,主播救救我,2025-04-05 11:34:33,0,0,我要玩星穹铁道！！！！！,未知,否,https://i1.hdslb.com/bfs/face/1ed09c483034773b79a528c88559d80e4ebcc280.jpg
76,0,258769402097,84215750,Kirit0_Sama,6,男,"不好意思打扰了

本人大学生业余兼职跑刀 可全程直播跑 纯绿跑刀 

顺带降kd 命中率 可进唐人局

比例

8r=100w  

80r=1100w

有三乘三多加200w

越多越便宜

详情可私聊咨询 谢谢",2025-04-05 10:50:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
77,0,258765832849,2095156370,戴摩拉梅,5,保密,公测之后赛德伊不是削了吗？内测时我记得都是锁头的,2025-04-05 10:10:15,5,0,"    “从来就没有什么救世主，也不靠神仙皇帝。”
    “是谁创造了人类文明？是我们劳动者自己。”",未知,是,https://i2.hdslb.com/bfs/face/07b06bd5026d4c19fed8a68b78486073efe81149.jpg
78,0,258752188593,628473467,累了一起逃脱,5,保密,S4赛季3*3提前预约，纯绿一星期，这赛季做完8个了可每天发进度，也接护航,2025-04-05 07:03:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/58ea899d8ad9b50e6928a5b32ed6bea6bc05ceca.jpg
79,0,258741301361,454848180,带着闲鱼救世界,4,保密,我现在1001[doge],2025-04-05 04:39:27,0,1,,未知,是,https://i0.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg
80,0,258737317233,1038049271,小do的,4,保密,看半天原来是个音乐博主,2025-04-05 03:52:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
81,0,258734051233,3493094500600490,磁悬浮的小坦,2,保密,9,2025-04-05 03:07:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
82,0,259575426656,10764505,托利雅z,6,男,接纯币，如有打扰请私信我删评[妙啊],2025-04-05 01:47:32,0,0,你说对吧,未知,是,https://i1.hdslb.com/bfs/face/d2c43528aab2de110d19c44c6b6594ec4f5cf31a.jpg
83,0,259561973840,3546633534965936,酷啊mo,3,保密,"三角洲行动手游：
  1.   9.9米体验单120W
  2.机密大坝/长弓：25米保底180W，40米保底320W
  3.机密航天/巴克什：30米保底240W，40米保底350W
  4.绝密航天/巴克什：
           优惠单：50米保底360W    
 140米保底750W，170米保底1050W       200米保底1350W， 230米保底1750W 260米保底2050W，300米保底2450W",2025-04-04 17:35:28,0,1,,未知,否,https://i2.hdslb.com/bfs/face/3c9be478b0c219c15bf0eed75cc1ba37ff299031.jpg
84,0,258707567265,393622280,控制开关,3,保密,谁能带我打仓库就剩7M了离破产不远了,2025-04-04 15:24:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
85,0,258699324593,3493142181447873,咯开学焦虑,3,保密,求游戏搭子。,2025-04-04 13:48:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
86,0,258699303713,3493142181447873,咯开学焦虑,3,保密,家人们谁懂啊，我是新手，准备进航天的总裁室，结果被老太狙死！,2025-04-04 13:47:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
87,0,258699146177,3493142181447873,咯开学焦虑,3,保密,有人知道主播在哪直播吗？,2025-04-04 13:46:36,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
88,0,259509074752,3546602329344843,一只蟹丶,3,保密,有啥好说的？,2025-04-04 06:41:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/816ba04c8401189f98753b27edd1ee5374f86dfe.jpg
89,0,259503341088,1633882002,zj的天堂岛,3,保密,评论1314[喜极而泣]一生一世,2025-04-04 05:24:41,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
90,0,258646544049,3546880887753261,杰瑞jerryawa,2,保密,😯,2025-04-04 02:33:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/53ca9559e68d024b5d4f563c0fac9b97b8f59aca.jpg
91,0,259479824688,32354724,bili丶萝莉控,5,保密,兄弟们，不用客气,2025-04-03 23:50:22,1,0,,未知,否,http://i0.hdslb.com/bfs/face/ab5cccc45b1496f7fa64531c08a81ba4d04a5f3d.jpg
92,0,258623631457,33832450,海が恋人,6,保密,BGM：大展鸿图,2025-04-03 16:03:06,0,0,哎呀,未知,是,https://i1.hdslb.com/bfs/face/8a9f0acfef1132777f30c70576095b22a6a24b4d.jpg
93,0,259439699616,3546771311560800,哈夫克研发部门,2,保密,上一把我遇见一个光身子的，拿着满改的MK 16直接进游客中心开保险箱任务的,2025-04-03 11:04:02,0,1,,未知,否,https://i0.hdslb.com/bfs/face/b133d5bcc698698433d5a9696a9b0760260b1391.jpg
94,0,258584875329,666988578,玖混沌,2,保密,我只剩99万了,2025-04-03 08:01:31,0,0,,未知,是,https://i0.hdslb.com/bfs/face/0cfe1af54e0da2456dc21d969639f0bc1f2032f7.jpg
102,0,259410328496,392531316,在B站睡大觉,6,保密,帧率怎么高吗？朋友怎么搞的,2025-04-03 04:25:29,0,0,无名小卒,未知,否,https://i0.hdslb.com/bfs/face/35d40b3a3b06df063c3602c2aed61ed1d7d3fa7d.jpg
