序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261616238304,442175811,满血秀死闰土的猹,5,保密,后刷不知道但这个，官方自己都说物品同步有问题【《我们三角洲没有后刷机制》】 https://www.bilibili.com/video/BV1yXLqziEz8/?share_source=copy_web&vd_source=ac648ba75da99f871300ca845446437c,2025-04-30 01:11:36,0,0,,未知,否,http://i0.hdslb.com/bfs/face/47fdefd21835b979f6aed867a17767924402825e.jpg
2,0,260649474385,515565385,今晚喝椰奶,5,保密,出去玩真人版三角洲吗,2025-04-29 10:56:56,0,0,我在b站刷视频为什么b站不给我钱啊！ 屑！！！,未知,否,https://i1.hdslb.com/bfs/face/dcdc338c96a90d0c2b04d9771cb0e58694a72c7b.jpg
3,0,260580574417,1794394573,无言之蹊,4,保密,主播的声线范围很广嘛,2025-04-28 12:25:47,0,0,不知道说啥。,未知,否,https://i1.hdslb.com/bfs/face/694029371ed791c4fe4c9a3e99e0c0ab8bca3404.jpg
4,0,260572734497,3546654896556496,小蔡鸡539,3,保密,"[打call]摆摊咯[打call]
୧⍤⃝🥖长棍面包15
୧⍤⃝🍔汉堡20
୧⍤⃝🍟薯条10
୧⍤⃝🍗炸鸡腿15
୧⍤⃝🍕披萨20
୧⍤⃝🌭热狗15
୧⍤⃝🥪三明治5
୧⍤⃝🌮可乐饼20
୧⍤⃝🥙夹馍10
୧⍤⃝🍙饭团10
୧⍤⃝🍩甜甜圈5
一个赞全部带走[doge]",2025-04-28 10:44:24,0,0,这个人很神秘，什么都没有写,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,261386550064,3461582159874247,不爱伤心的人,2,保密,谁能和我一起玩？三角洲行动啊，我叫爱伤心的人,2025-04-27 03:00:25,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,260424522993,3493288489257299,空白的一切事物,5,男,祝大家送的箱子都能开出这个,2025-04-26 11:41:11,0,0,该账号封禁中…,未知,否,https://i2.hdslb.com/bfs/face/04ebf1d1eeed16b3188e65b65cba7b9058ac9ed0.jpg
7,0,260416945249,1075134481,郑晨彬,5,男,为什么我绝密巴克什爆率很低？,2025-04-26 10:03:30,0,0,自信即巅峰,未知,否,https://i1.hdslb.com/bfs/face/2d156d03ab88a3199d92918eeeff7f91cd496f6e.jpg
8,0,261331511536,3461562887048016,可爱绿藻头,3,保密,有人一起玩吗？,2025-04-26 09:30:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/889d8fa362a3605210d01c34c17a14c98289ff7c.jpg
9,0,260411102721,3546838206515461,参天牢大的肘击,2,保密,我突然觉得可以蹲鳄鱼牌子,2025-04-26 08:42:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f0796cc7d8f8dc707aa670b383874068463d2150.jpg
10,0,261290585136,3546832930081213,機ウッディーな,2,男,地上有一个到钻石。,2025-04-25 23:00:07,0,0,我是一名三角洲行动玩家。,未知,否,https://i1.hdslb.com/bfs/face/8c682e924e80b6c12489ba0af52e21e04ad5f95c.jpg
