序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261260381793,508989457,能力为零责任为零,5,保密,三角洲中登，方舟中登，有没有扩列的[蔚蓝档案静态_比心][蔚蓝档案静态_比心],2025-05-06 17:12:08,0,0,"
坏透了",未知,是,https://i1.hdslb.com/bfs/face/539ca3a287829b05eacca2832080ab3cc9da2ef6.jpg
2,0,261245321569,349816363,不及他半分温柔,6,保密,唉呀妈呀，这给我干那来了？这还是泰拉吗？你什么博士？这里也是巴别塔？,2025-05-06 13:42:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f9ea1ac347b06979e33aa9534d7bc7a51c6be806.jpg
3,0,262177451824,49537833,MatildaStMillu,5,保密,"巴别塔-绝密( 2/3 ),来3个裹骸死士蹲滑索，打暗号把特蕾西娅骗出来杀，博士帮我们刷关闭防御系统权限卡【加入队伍】",2025-05-06 11:35:52,0,3,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,262158891344,512334608,不关小圆的事,4,保密,@Therealdamage,2025-05-06 06:52:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/884947378bf492cc6657da363316877237e58ae0.jpg
5,0,261205457473,121867580,被几被几被,5,女,@暮雪足迹,2025-05-06 03:41:53,1,1,究极康批,未知,否,https://i2.hdslb.com/bfs/face/28ffff3c2ef0ce0497c64dd7daa1d755ca10c52c.jpg
6,0,261191699921,439224084,MattHardy999_,5,保密,@椰比yebe,2025-05-05 20:46:31,1,0,,未知,是,https://i0.hdslb.com/bfs/face/5a92c5c8bd42ae1bc61e7743ad10a11719d50af9.jpg
7,0,261190995169,445138484,幻汐彦,5,保密,有一起玩粥的，有一起玩洲的，但是不知道分享给谁[辣眼睛],2025-05-05 19:55:01,0,0,泡泡茶壶罢了,未知,否,https://i2.hdslb.com/bfs/face/6e73c92bf4ff5e5a03b756554dd3693d4c09ec41.jpg
8,0,262104322288,3493129393015549,伊达燧枫,4,保密,@克林德盟军 我思来想去发现好友你只有你能看懂这个视频,2025-05-05 12:18:16,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3c512e4b2391ac87ccdc2808a206fa5c061e4c85.jpg
9,0,262103398304,1997105702,早睡早起且运动,4,保密,机密巴别塔还是好打的，绝密我10把只能出来1把,2025-05-05 12:07:22,0,0,"落魄本科大学牲考PTEing
嘴太臭的人会拉黑哦喵",未知,否,https://i2.hdslb.com/bfs/face/6716c4e8f97c4cc9ce4ba4cff1343977a711b6a5.jpg
10,0,262077891024,549979510,偶亲爱的B站账号,4,女,huh（）,2025-05-05 06:39:10,0,2,逐渐成了动态区的屑,未知,否,https://i1.hdslb.com/bfs/face/1ee1f38c0c90d5168533ef6eeb7350893d62c329.jpg
11,0,261133348497,3493118947101378,题笔流萤,4,保密,三角洲创作激励,2025-05-05 05:28:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9ef6016d25c195a3339f2ae86c1e1abe9df42c9f.jpg
12,0,262070512976,1196713120,Louizs,5,保密,这78博士@网络行乞真君,2025-05-05 05:06:20,0,0,1,未知,是,https://i1.hdslb.com/bfs/face/036c5e5eebaed79c991429bf092fdd2e0e3fa244.webp
13,0,262065279424,3493119301520333,141幽灵中尉,5,男,告诉可露希尔，我的战车该保养了😡,2025-05-05 04:09:06,0,33,,未知,是,https://i2.hdslb.com/bfs/face/a599f34ad95917854a4798a4bb0fab6ba83de290.webp
14,0,262063151936,381802922,慵懒の橘猫,6,男,三角洲也是粥,2025-05-05 03:43:27,0,0,你流有点像一颗老鼠屎毁了一锅汤,未知,否,https://i2.hdslb.com/bfs/face/c098b369eb73ca3b014b6f17cea8a781168d9ba1.jpg
15,0,261123886913,3494359930506077,SOS_呼叫失败,4,保密,神人小广告[笑哭],2025-05-05 03:38:07,1,0,明日方舟是一款我的问题！,未知,否,https://i2.hdslb.com/bfs/face/57501463fc9818058781c7745c5947067586855e.jpg
16,0,261121223985,519062151,鹰角是我跌,5,保密,"哈夫克小兵：“博士他们进入园区了”😕
博士：“这一天还是来了，去吧，部署好对策”
😑
🚁🚁🚁🚁🚁🚁🚁
G.T.I指挥官：“我们即将着陆，再次确认行动目标，牢记以下事项，交战，搜索，搞定就撤！”
🤓👍🏻
巴别塔一号位，猛攻！😡😡

“警告⚠️，限制区域电力即将重启，门禁将在电力重启后失效，请所有安保人员保持高度警惕！”  × 5

🔥🔥💥💥💥💥🔥🔥💥💥💥🔥🔥💥

“撤离失败”
00：02：45😅",2025-05-05 03:04:17,1,2,,未知,是,https://i0.hdslb.com/bfs/face/98a500ef0056cb5ff136536d9d0902d13db302a2.jpg
17,0,262058352720,399758907,Shiro_A,6,男,@雪宁穆 来打三角洲[doge],2025-05-05 02:44:19,2,0,,未知,否,https://i0.hdslb.com/bfs/face/a9e45634c81599118c05ac4b0b212a1b9eb3e3f1.jpg
18,0,261114025713,699364279,皆扣墨提斯,5,女,@可恶的高木同学咩 @可叹--钱包归零 @裂缇 @快乐的老猞猁 @浣溪沙要瓦尼瓦尼,2025-05-05 01:18:20,3,1,有go&mujika可以@我，第一时间前往现场扣爆所有人╰(*´︶`*)╯,未知,否,https://i1.hdslb.com/bfs/face/db19639e224d577d2a150f03198d30e6c5e08906.jpg
19,0,261103973777,45867250,海盗狐狸Foxy,6,男,队伍名里有个叫普瑞赛斯的，然后我死后就卡bug了，只能观战，还退不出去[笑哭],2025-05-04 18:37:44,0,2,"一个很中二的furry控,ut,FNF,scp,FNAF,MC等了解了解一些。",未知,是,https://i1.hdslb.com/bfs/face/ac8e1bd093574fc9c9f200b722580801da4d0281.jpg
20,0,262031668064,3493077765327031,FSADB-2022,4,保密,[笑哭],2025-05-04 15:39:21,0,0,"我从来都不神秘
分清现实与虚拟",未知,否,https://i1.hdslb.com/bfs/face/828832dde61a0d081308d88bad2a386a7aa1972d.jpg
30,0,261080717377,3537114134219176,科比肘击李旎,5,保密,笑死我了😆,2025-05-04 13:18:03,0,0,,未知,是,https://i1.hdslb.com/bfs/face/37041064a9247e0316b7a249c1af76961e6d766c.jpg
31,0,261073980609,1316840291,RYUY0,5,保密,好活，多整点,2025-05-04 11:59:19,0,0,,未知,否,https://i2.hdslb.com/bfs/face/459bf4e5f3adfac40e73498b2fff66e45fd13420.jpg
32,0,261071758225,385468880,缘分缘分-有缘无分,6,保密,[绘之音收藏集表情包_探头],2025-05-04 11:34:20,0,0,他日诺是共淋雪，此生也算共白头,未知,否,https://i2.hdslb.com/bfs/face/11d1ce64355cb4123355d313055c3e036299da8c.jpg
33,0,262008567312,1818910945,骷髅T一T,5,男,"是否关闭全舰防御设施？
。。。。
。。。。
。。。。
。。。。警告⚠️，限制区域电力即将重启，门禁将在电力重启后失效，请所有安保人员保持高度警戒。",2025-05-04 11:26:13,0,1,,未知,否,https://i1.hdslb.com/bfs/face/2e3824c9fae47e286c912676b7fa9ef8c1a9a520.jpg
