序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260886602977,173482081,你說得對但是後面忘了,6,保密,挂个炸鱼的[汤圆],2025-05-02 09:22:15,0,0,成分？不知道                          捏,未知,否,https://i1.hdslb.com/bfs/face/a36134a95969b3d7c40899443ba39454da404fff.jpg
2,0,261067577216,1115669505,东巴拉王子,5,男,我20级，打瓦，对面有个精准率40％的奶妈，全程蹦来蹦去，我和队友打不中一枪，最后子弹打没了，我去刀她，还没刀过[tv_大哭],2025-04-23 03:39:25,0,1,王子和瞎熊同归于尽，悲伤的曲子从王宫飘向远方~,未知,是,https://i0.hdslb.com/bfs/face/349482bd7ecccee9ce075b4b3f5a5072fc51a0b2.jpg
3,0,260143729649,1010917653,终于过关啦,5,男,三角都上了，我使居然还是排不上号？[妙啊],2025-04-22 18:29:41,0,0,头像逆天的就是我！,未知,是,https://i0.hdslb.com/bfs/face/d2900fa23d5cf4a649e45f4eb943d42432a3309b.jpg
4,0,261038072800,9271411,紫夜Cool,6,保密,瓦学弟太狠了[笑哭],2025-04-22 14:51:08,0,0,技术菜得要命的up主,未知,否,https://i1.hdslb.com/bfs/face/af73b4a17ce77826f18d07c0c7a74b134037eb07.jpg
5,0,260128240529,1153089879,清风丶挽袖,5,男,所以来玩cf吧，只有抢6，就算对面是挂，也能在十分钟结束战斗,2025-04-22 14:02:11,0,0,主玩穿越火线，绝地求生，三国杀OL,未知,否,https://i0.hdslb.com/bfs/face/e480b7f2021adea602fbec622038a4fa47235806.jpg
6,0,260126211809,3546630510872658,网恋孙笑川被破雏,3,保密,apex是真的，强度从青铜到大师都高[笑哭]打了一年多没力气玩了,2025-04-22 13:37:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/14d66a0c01f66843ab3d979732f9bb50ae63fcef.jpg
7,0,260110697985,35316373,威猛先生泥头车,5,男,你记住，S也要排C后面[doge]因为他叫CS,2025-04-22 10:20:43,0,0,我这个人很懒，什么都没写。,未知,否,https://i1.hdslb.com/bfs/face/2a7d28f07f08a8056a2de1f184659fbb1259e265.jpg
8,0,260975577776,24028205,我的探姬迷路了,6,保密,我记得当时朋友拉我打apex我玩了三个小时一个人没啥[微笑]直接心态爆炸再也没玩了。他们还说说他们段位问题换个新号重新打就完事了。但是我还是卸载了[笑哭],2025-04-21 18:49:40,0,0,我们不是因为年老而停止游戏，而是因为停止游戏而变老,未知,是,https://i2.hdslb.com/bfs/face/94fd8709de3ca9f912c3d3ccd9f9581715406acb.jpg
9,0,260971247440,387117302,墨小忆QwQ,5,保密,老天赏鱼炸啊[笑哭],2025-04-21 16:48:56,0,0,糖果糖果！,未知,否,https://i2.hdslb.com/bfs/face/b7a7eaeb1a62eeb2562927540c9c37277ed40c25.jpg
10,0,260958569504,173395114,秘法化丹-半步元婴,6,男,[笑哭]压根不管的，我历史a，之后b+ b c+苦苦挣扎。遇上炸鱼打的超级累。 天梯适合突破手 补枪手 狙击手。前压，抱团rush胜率更高，而我喜欢默认是自由人，打起来很没劲。现在都是干拉玩手机算了。,2025-04-21 14:08:00,0,0,炎戒 大炎帝,未知,是,https://i1.hdslb.com/bfs/face/b4ce77c91a5fd69723a8fea985949b6709833e4e.jpg
11,0,260038070625,391410492,可乐味儿的淼淼,6,保密,ow没有炸鱼吗[doge],2025-04-21 10:45:35,0,0,,未知,是,https://i0.hdslb.com/bfs/face/9788b0e17de38b805d1a38ca00729d299feab365.jpg
12,0,260937432208,1429341318,培根味汽水,4,男,ow:wc!这76，百合这么准?然后就是“钻出来哦”“毁天灭地”  “温斯顿”  “哦吧刚哪死路深”[doge]（妹妹，狙谁呢？）,2025-04-21 10:10:17,0,0,“若你困于无风之地，我将奏响高天之歌，风会把你的灵魂带回故里”,未知,是,https://i0.hdslb.com/bfs/face/6358eb545375e8061cad10e0217964af71b7a956.jpg
13,0,260934863312,522187825,空田玖人,5,保密,堡垒之夜炸鱼，是真的打不过，甚至可能4打一被打的没脾气[捂脸]，人找都找不到。,2025-04-21 09:36:59,0,0,,未知,否,https://i1.hdslb.com/bfs/face/feec5ea585bce63a3824fa7cd6df7f7fc1f448ce.jpg
14,0,260032339249,3494364129004161,2k_n,5,保密,apex现在哪有鱼，沉淀下来的不是懒得换游戏的开子就是上万杀的老油条，要么就顶猎pro哥，就是万年白银也是大几千杀的[doge_金箍],2025-04-21 09:28:04,0,0,,未知,是,https://i0.hdslb.com/bfs/face/54c8855fd76dbbb5d9b1333a27c6666325e82017.jpg
15,0,260932956560,124644130,七の咲,6,男,半夜打的，把把捍卫者都是带师以上，被猎哥抓壮丁[大哭],2025-04-21 09:10:38,0,0,我本微末凡尘，却也心向天空,未知,是,https://i1.hdslb.com/bfs/face/d74894c44fd0ec6f431661a477e63985cb3dda41.jpg
16,0,260888964528,183430024,天不望天望,6,保密,彩六炸鱼一点都不坐牢，我们几个5排车队碰到上赛季冠军车队人家防守根本不装修直接就是翻窗出来明目张胆的偷你，你还对不过他4局直接结束比赛[大哭],2025-04-20 16:37:32,0,0,,未知,否,https://i1.hdslb.com/bfs/face/05104c494cbffd28659665e212dfba017f983cc0.jpg
17,0,260854490016,280965001,sun孙某人,6,男,ow枪法很硬的话就会召来一些飞天入地的东西，我朋友一直玩csgo的，被我叫来打ow，一开始真和炸鱼一样，黑百合和艾什玩爽了，但是到了后面就发现他枪法一准对面就开始换地里钻来钻去的地鼠，到处蹦来蹦去的猩猩，飞来飞去的铁拳，在他头上跳来跳去的源氏，以及到处闪现的猎空和打几下就隐身的黑影，最后的结果就是空有枪法一点用没有，像个傻瓜一样莫名其妙的就死了，就算偶尔马上要打赢的时候对面就会在刷新一只雾子，进行正义二打一，给他直接玩红了,2025-04-20 09:27:57,0,0,一个坏掉的表，在一天总能有两次正确的报时,未知,否,https://i1.hdslb.com/bfs/face/fb26e60b1cc208b21bd38ff21a328a0e6330d49c.jpg
18,0,259941574881,457890485,长恨歌离别,5,保密,我就是条5E八九百分的菜狗，天天碰见定级战神，前脚静步刚见到人，下一秒就躺地上睡觉了[生病],2025-04-20 06:07:40,2,0,,未知,是,https://i2.hdslb.com/bfs/face/a308bddb2c2e7b4bd0b7d12ce901a5c266a169d7.jpg
19,0,260811808368,526168535,JO馋之缘,5,女,某个已经似了的游戏:天杀的炸鱼✓， 我一眼就认出你不是这段位的，快把我的分还给我，你都害我没法好好打游戏了，捅似你喵！,2025-04-19 23:27:46,0,0,杂食up啥都发，我想发啥我发啥。,未知,否,https://i2.hdslb.com/bfs/face/3a04e7a6fd310a3be65133e5294f171a5e45be39.jpg
20,0,260807480272,505570014,屑兔某,5,保密,泰坦陨落:点击输入文字,2025-04-19 19:24:02,0,0,家人们，我猫死了,未知,是,https://i0.hdslb.com/bfs/face/35322dd271cf8522b4339809df878b7838665926.jpg
23,0,260795974384,3493257111669327,我到底是不是人啊啊啊,4,男,盐都不盐了[辣眼睛],2025-04-19 15:50:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/aba66a4312ddf1babb89740cd579c13bb40ddae1.jpg
24,0,260757218112,544027401,满嘴花Q的老艾,6,保密,别逼我开转,2025-04-19 08:22:51,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c05ec37eed5e73108f75d52c5da9e41ad7e967da.jpg
25,0,259805700833,390323686,M1stinger,6,保密,"apex怎么炸，每个赛季都只能摸个大师，打大号就是把把被猎哥和pro拉去当壮丁，只能被当路边踢死，要不就是晚上一堆怪东西。
   好，你说你大师要去炸鱼，那更好了😅。你炸最多三把，就开始给你排kd高等级低的人了（啥成分自己猜），再多炸两把又开始拉壮丁了，你能炸几把啊？",2025-04-18 14:00:29,0,0,我被一阵风困在这里，你就替我摘朵索玛花走吧,未知,否,https://i1.hdslb.com/bfs/face/8d02809d669b2a018be633c7d37a868cef0dffd8.jpg
26,0,260666743824,1871486736,吃鱼抱月的小猴,5,保密,A+炸D+有点不当人了我舍友虽然是躺上去的A（20连胜rt把把红垫底）然后觉得自己又行了去炸D+然后估计是炸出幻觉了又打自己号然后0.16rt被队里四个人合起来骂[笑哭],2025-04-18 07:19:18,4,1,,未知,否,https://i0.hdslb.com/bfs/face/3214ca886e76dbd52c79165aa4d627b667935550.jpg
27,0,259772454033,104338671,我想1分钟就梦见你,5,保密,唯一不怕炸鱼的一个游戏就是守望先锋，你就算500强来也得吃连跪。,2025-04-18 06:19:16,0,0,这家伙其实很勤快,未知,是,https://i0.hdslb.com/bfs/face/72e8ffc9f4c14f4123d0d1902782152ac8e1653d.jpg
28,0,260634136272,296804848,萨-麦-尔,6,保密,我们TF[doge]队友一级新号，对面钻石车队，我只是万年白银老登，天天被Pro哥当沙包抽[笑哭],2025-04-17 18:56:46,0,0,,未知,是,https://i1.hdslb.com/bfs/face/86184d439d681cd587200e282c9eab777b0d0da8.jpg
29,0,260615040112,283744719,Demomodi,6,女,apex新手玩家还是多 前几天和回坑朋友打排位 基本上都遇见的是新手,2025-04-17 13:40:28,0,0,当代评论员 ,未知,否,https://i0.hdslb.com/bfs/face/ea988cb1a83bdff587ba5cb7c8cef69f5664bf4f.jpg
30,0,259722562753,88828795,容成墨曦,6,保密,当年cf看到几颗金星的内心毫无波澜，看到笑脸肃然起敬,2025-04-17 12:46:16,0,0,"猫粮是老的，但没什么用，好吗兄弟
",未知,否,https://i1.hdslb.com/bfs/face/72cba4abfa64bade33523562f0807b295b26bd23.jpg
31,0,259714793297,3546376386382588,科尔-晨阳,4,保密,[笑哭],2025-04-17 11:03:01,0,0,,未知,是,https://i1.hdslb.com/bfs/face/08ae755c552b81e02e730ed5604907b199a8f4b8.jpg
32,0,259632868753,438347555,新沐司,5,男,"IGXE出售费率0.6%,出租0手续费！复制这条消息￥RmrY63km￥打开【IGXE】免费开CS2饰品盲盒~",2025-04-16 09:08:50,0,0,曼波·孛儿只斤·爱新觉罗·叶赫那拉·完颜·弗里德里希·威廉·彼得·亚历山大·默罕默德·伊丽莎白·哈布斯堡·路易·拿破仑·麦克阿瑟天师,未知,否,https://i2.hdslb.com/bfs/face/b6be2a18dd7d9230a2a60ce7ba28f17007d99f8c.jpg
33,0,260510566048,13579246,木土不做人了,6,男,[脱单doge]32年见,2025-04-16 07:37:19,0,0,这个人很帅，什么都没有留下,未知,是,https://i1.hdslb.com/bfs/face/a78381b4fee564d181a45a06b5c814ed3b384b15.jpg
34,0,260479094560,393649936,她跟星河一般闪烁,5,男,还得是永劫牛逼，三四千分能匹配到一两万分。高于400+，但是+多少别管[tv_doge],2025-04-15 22:29:53,0,0,所爱隔山海，山海不可平,未知,是,https://i1.hdslb.com/bfs/face/f4c3e6768b48474bdd65230986a8e11095c744e5.jpg
35,0,260475424144,2288633,宫泽隽也,6,男,哈哈..真的十年老兵,2025-04-15 18:24:17,1,0,ins：z_tomo_luxury,未知,是,https://i2.hdslb.com/bfs/face/ccc838dc56b818845ad6639696e71eb2e193eda2.jpg
36,0,259591494801,1922732896,傻尼铁塔,5,男,"伺服器已斷線
偷吃薯条？[doge]",2025-04-15 17:09:26,0,1,,未知,否,https://i1.hdslb.com/bfs/face/12a01f34ae22fb0ccd3715163580396045d2bf16.jpg
37,0,259586739313,2021062782,无头人穹齐,5,保密,我们CF手游不是主动炸鱼的[doge_金箍]传奇晋级赛有几率遇到枪王队友[笑哭],2025-04-15 15:47:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/360edb21970e0f77683c89196b570b60077eaf2f.jpg
38,0,260445225952,1246259627,睡懒觉打游戏,6,保密,把自己的高段号给鼠鼠朋友，丢人撤不仅降KD还得让口人魔沾因果[doge],2025-04-15 11:06:19,0,0,随便逛逛,未知,否,https://i2.hdslb.com/bfs/face/456013f4c64c74c0684644bfb146a2702a45ec62.jpg
39,0,259555954881,196809266,泽岚千,5,保密,@云巸 @神代彰 @黑-蔷-薇 @贝尔图斯米兰德,2025-04-15 08:53:36,0,0,不定期更新，感谢关注！,未知,是,https://i2.hdslb.com/bfs/face/33aaf2fe7c0006f366f2e9836744ff4d2b5bad11.jpg
40,0,259537203825,553135289,红尘劫数,5,男,我擦，我无畏契约青铜黑铁水平，黄金芮娜或者盖克一绝老是炸青铜，md，我要租个号去炸黄金铂金了[生气],2025-04-15 03:32:19,0,0,,未知,是,https://i2.hdslb.com/bfs/face/eff5f4a5fcb894b0909742c6903e2fe8d5a43997.jpg
41,0,259535354385,435504066,日暮华,5,男,炸鱼的cs程度仅在开挂sm之下,2025-04-15 03:03:22,0,0,"普通的手机游戏玩家、真心喜欢所有游戏
粉丝群：975396154
qq：1833040056",未知,是,https://i0.hdslb.com/bfs/face/702305546442799d0419dfd5784cb7c9c7f2edbd.jpg
42,0,259528074257,237084389,碧录长清,6,保密,ow不是炸鱼，而是官方把鱼送上去炸[笑哭]畜牲定级制度,2025-04-15 00:37:10,1,0,,未知,是,https://i2.hdslb.com/bfs/face/6dd6ae9f828529ad82bab374bbe7589284dfb87b.jpg
49,0,259468687121,3546712620665752,初音大金毛,3,男,@ksmiiii,2025-04-14 04:38:31,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ef71399b422cf6f3123822d267a3bd5400b99cb7.jpg
50,0,260336169408,439042800,lErenYeagerl,5,男,最能榨的绝对是瓦,2025-04-14 02:31:53,0,0,这个人是自由的，什么都没写,未知,否,https://i0.hdslb.com/bfs/face/381d5c0f78da48533917a9a1e76bd9f955796d61.jpg
51,0,259458455553,646104391,wo呢就这样,5,保密,[福来day_？],2025-04-14 01:49:29,0,0,,未知,是,https://i1.hdslb.com/bfs/face/230885438bafdbcb9c98e07f4d8bdb478fa34461.jpg
52,0,259448042081,3494363852180284,小哆啦001号,5,保密,类比一下就是你被老板厚入了很气，只能找新员工麻烦,2025-04-13 18:21:15,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b0bbedcbef47970f66eba17c7ea73979dea520a1.jpg
