序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261145735601,345922262,宇智波在逃宇智波佐助,6,男,无敌了,2025-05-05 08:18:48,0,0,不知名佐助,未知,否,https://i2.hdslb.com/bfs/face/f910ca6b5b65cb71e08d0ddc332755f6cba89f56.jpg
2,0,261127284161,438116463,漠寒MOHAN,5,男,七日商单吗[笑哭],2025-05-05 04:16:41,0,0,想留下自己的故事丨企鹅被窝: 647853725 ,未知,否,https://i0.hdslb.com/bfs/face/44a6b9307897641144a12277415e2c30413dd06a.jpg
3,0,262028332560,476514600,兰泽曦月,6,保密,年年出爆款的另一重意思，不就是玩家总会涌往新的爆款，老款会快速变凉[doge_金箍],2025-05-04 15:01:09,0,0,借水泽镜面，映万千星河。以茶品味人生，凭清掌握平衡,未知,是,https://i0.hdslb.com/bfs/face/3b929672f07b6d0fffa3c3a4ff6cd044eccca53a.jpg
4,0,261075509937,420451481,极略三国杀0L,6,男,七日爆火？我祝你们的七日手游玩家远超明日黎明星球。,2025-05-04 12:18:43,0,0,一个玩过上百款游戏的UP主。,未知,否,https://i2.hdslb.com/bfs/face/657f3a4c5d91e1c2235a881f4ecb50cf1ebccf70.jpg
5,0,261929923040,23818711,甘乐が,6,保密,七日世界怎么进来的？,2025-05-03 13:53:57,0,1,,未知,是,https://i1.hdslb.com/bfs/face/e196e9225bcce8dcfe311d8fa29fcc420e961854.jpg
6,0,261902465888,475527223,快乐啤酒配炸鸡,5,男,我觉得主要是交互好做，枪械攻击只有一个点，只要做好人物各个部位的划分，打手就手受伤，打腿就减移速，不同的部位能有不同的伤害与效果，不像别类游戏攻击只能在和防御闪避等数值进行计算后给予玩家血量上的减少，一个简单的射击就能给予玩家十几种不同的反馈，更真实的伤害与攻击方式的自由度能给予玩家相较别类游戏更好的沉浸感。而且在这点上，别说别的游戏的攻防交互，就连FPS游戏内的刀战也是十分抽象，各种摇头晃脑，穿模无伤害，没有训练根本不晓得有没有打到。枪械射击的容易实现，自由度高，就导致厂商更喜欢往这一类别下功夫，也更容易做出成品,2025-05-03 08:13:59,0,0,啊噗噗噗噗噗铺,未知,是,https://i1.hdslb.com/bfs/face/8e87413f369c5aebe6f7a0f772a4976e0803aeb3.jpg
7,0,261893968064,620883425,木子子丶李,5,男,1,2025-05-03 06:08:28,0,1,很神秘,未知,否,https://i2.hdslb.com/bfs/face/af8e6899d19076226e4aa32614b3f354f9f3ca05.jpg
8,0,261808332800,228908016,Amzssx,6,保密,1,2025-05-02 06:41:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/bbce46dbe50482552bf2b719d4b6973e8ff71026.jpg
9,0,260812598689,2027366793,Emilia-MT,5,保密,你知道FPS是什么意思吗[笑哭],2025-05-01 11:30:06,0,0,立春天 风渐暖 伊人一去不复返,未知,是,https://i0.hdslb.com/bfs/face/b9e53553bfa916db26b99352bbc6d84b5278b204.jpg
10,0,260806783937,3546814563224285,bili_44713795112,3,保密,不如cfm一根,2025-05-01 10:14:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b5a14678ce7dead922fa757cecc9baf00c7ebb35.jpg
11,0,261729010720,1575432800,eubdofkf,5,保密,招笑七日世界,2025-05-01 08:19:36,0,0,,未知,否,https://i2.hdslb.com/bfs/face/25206666b94b4b0e6ed2908b3ba40e2842bced74.jpg
12,0,260794494577,1103411184,Blond001,5,保密,国内FPS游戏永远领先不了的,2025-05-01 07:10:53,0,0,  If I lose it all,未知,否,https://i0.hdslb.com/bfs/face/dc66b16102a4cfa2825c918ccec59c5708996dc9.jpg
13,0,260785569265,3546822473681261,义先生2025,2,保密,使命召唤，暗区突围，和平精英，还有三角洲行动，萤火突击，这些都很火。,2025-05-01 05:05:42,0,1,,未知,否,https://i2.hdslb.com/bfs/face/785849da9bf5704140f6bbef6dcda1153af80bb1.jpg
14,0,260672154193,107116485,清风yyds,5,保密,七日世界其实挺好玩的，就是玩过一遍就腻了，没有新意，而且太吃队友，独狼很难玩的下去，就注定了是个小众游戏，游戏本身品质真的不差,2025-04-29 15:50:17,0,1,梦想做个啊噗????,未知,否,http://i0.hdslb.com/bfs/face/6e24dc3929c0f4a2982277068cc76d12b0e0f4c6.jpg
15,0,261589269696,82352222,l梦影随风l,6,男,你说瓦和三角洲行动我都没意见，你突然冒出个妻子世界给我整不会了[笑哭],2025-04-29 13:57:32,0,1,人间烟火气，最抚凡人心,未知,是,https://i2.hdslb.com/bfs/face/abae3de7b50c33dee268f40b51bb0dbfe5b1eb69.jpg
16,0,261585716240,175037036,Steal窃爱,6,男,cs-cf-cs2-瓦-三角洲，感觉这辈子有了[doge],2025-04-29 13:13:05,0,1,即使我心如红铁，也难融你三尺寒冰,未知,是,https://i2.hdslb.com/bfs/face/0388b2ed588fbc979b23264e7fe7aff7d006d5be.jpg
17,0,260652357281,404255269,泡面喜欢在驿站打架,5,男,没一个自己玩的素材就推荐吗，这钱也太好赚了,2025-04-29 11:33:17,0,2,,未知,否,https://i1.hdslb.com/bfs/face/12a27980660b7839f2c2774c2b818d81a3a056b5.jpg
18,0,260643515105,13597059,三十的生活照,6,男,咋老是有人在刷暗区，这弄得好像暗区很火一样。。。,2025-04-29 09:39:37,0,1,,未知,否,https://i0.hdslb.com/bfs/face/d76d145a64bd684139ab5cac2a398cad02584570.jpg
19,0,261556859568,12744248,怀栗,6,男,七日世界是什么路边,2025-04-29 06:24:18,0,0,,未知,是,https://i2.hdslb.com/bfs/face/6a45842c619789a7c600ee1fa35d7f04d6ab5271.jpg
20,0,260612502273,415217367,玟522,5,男,广子老弟,2025-04-29 01:05:05,0,0,"宿命天成命中败,仙尊悔而我不悔.",未知,否,https://i0.hdslb.com/bfs/face/8c483d2d18a9037b5e132c7ff9bec77bdf6fe330.jpg
21,0,261527057712,393238126,宸强Astraightman,5,男,只有CF长存，其他都是越来越烂,2025-04-28 18:11:47,0,0,记录骑行与生活，喜欢可以关注我,未知,否,https://i1.hdslb.com/bfs/face/849092cfb7a02959b3bd34b9b81c4bd3377f92f2.jpg
22,0,260582746625,99158552,柴刀警报,5,保密,因为打枪真的很能满足人类基因里那种狩猎（动物）记忆，钓鱼也是这样。反正我玩了十几年类dota游戏，30多岁了不喜欢打牌，本来都准备手游加PS养老了，自从接触到钓鱼、CS和瓦，真的好玩，爱玩。鱼咬钩的时候，爆别人头时候那种爽感，被别人爆的时候那种不服，太拿捏了，整的我现在开车跑山都不喜欢了,2025-04-28 12:54:19,0,2,爱国是无条件，无需思考的！但我们要清楚什么是我们该斗争的，把趴在我们身上吸血的巨蚊打死！,未知,是,https://i2.hdslb.com/bfs/face/8dca5da4448ba3b5435ec36f2015697db6a844ea.jpg
23,0,261505545040,62691109,爱学习的大应,5,保密,无畏契约能火是i因为不吃香草多,2025-04-28 12:54:18,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4ddbc0df47b95f75eae1838d365c710e18156270.jpg
24,0,260564687057,491198855,迷迷糊糊其实不迷糊,5,男,七日世界还爆火啊？而且七日世界不是第三人称射击吗，而且其玩法生存建造和射击最多也是五五开，你真能和封面里其他两款游戏坐一桌吗？,2025-04-28 08:52:54,0,0,,未知,是,https://i2.hdslb.com/bfs/face/323d9c41f33de777a28801eacb839e1a1dc71f76.jpg
25,0,260548839649,3546890131999097,账号已注销,0,保密,"正常，四川芬达那种纯招笑的东西某音直播间10万加观众，说明大多数人脑子都那样，所以三角洲玩家很多[吃瓜]。
哪些旺财会来我评论底下乱叫了[蹲蹲]",2025-04-28 04:24:34,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
26,0,261460443104,65583703,神霄天蓬元帅,6,男,瓦罗兰特确实是火，三角洲也是后起之秀；嗯？七日世界是谁[doge_金箍]？？？,2025-04-28 01:49:05,0,4,  堡垒之夜任务攻略大中华区创作者，游戏：Fortnite（堡垒之夜） 平台：EPIC:免费-140891633(新群)  ,未知,否,https://i1.hdslb.com/bfs/face/742e2d2a9e145fb69cf86aa4d91cab12b637e33f.jpg
27,0,261454840080,403798522,特伦特阿,5,男,七日世界明明是生存类,2025-04-27 23:43:15,0,0,,未知,否,https://i1.hdslb.com/bfs/face/59d2dc52d0a7f37f5188437bb816b5b1f9625b37.jpg
28,0,261444743808,16640822,冬居娜米,6,保密,七日世界是啥路边野犬？这能蹭得上？,2025-04-27 16:37:03,0,2,Don't you love me?,未知,否,https://i2.hdslb.com/bfs/face/9a3bbbeaa4b792e578a746d23f18d18d2f15c418.jpg
