序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262192004768,3537118188014013,Apthyo,3,保密,@6杯7喜味抹茶芬达 6666,2025-05-06 14:36:39,0,0,这个人很懒，什么也没留下…,未知,否,https://i0.hdslb.com/bfs/face/92033f398fa757dfd90f995a6c4a947e96a2eb07.jpg
2,0,262178142400,176262601,YHN-04B-008,6,男,护航一开透看到头上仨人天塌了,2025-05-06 11:45:55,0,0,你所热爱的，就是你的生活,未知,否,https://i1.hdslb.com/bfs/face/4fbfbc764361fa1171cd1693c99d5c2c35103364.jpg
3,0,262174881792,1509806007,伏现桃山,5,女,可以拍进好莱坞动作大片的操作[笑哭],2025-05-06 11:04:38,0,0,别查啦(>_<),未知,否,https://i0.hdslb.com/bfs/face/10b4e8f9d0e91d554e9567aa39a6c749dbe06ad8.jpg
4,0,261224867473,442294297,_Lingo-,6,保密,@食草凉先辈 @novelW,2025-05-06 09:10:08,2,2,你好,未知,否,https://i1.hdslb.com/bfs/face/76092ce7810ccd1068f639ff7ddcc14d1d1a163a.jpg
5,0,262163596592,85691335,听得心如故,6,女,@唐苏-,2025-05-06 08:23:20,1,0,,未知,是,https://i1.hdslb.com/bfs/baselabs/10908ccd8bc15211d783513c74d9615a6fdd2562.png
6,0,262163403968,3493263084357903,你酥皮蛋挞大叠,4,男,666用决心提取器提取的决心给自己整融化了,2025-05-06 08:19:09,0,0,呃，你为什么要来看简介,未知,否,https://i0.hdslb.com/bfs/face/76acda34a8099592a5be3e46856509675a8f36ae.jpg
7,0,262162615712,1575075930,JYE-Mreck,5,女,@PUBGのファン人,2025-05-06 08:05:07,1,0,,未知,是,https://i0.hdslb.com/bfs/face/e79d0a4ab8a97906f6dccf4dd07aee025b6ee8d1.webp
8,0,261219283185,3546813497870891,隐尘尘,2,保密,@老飞宇66 来学学[doge],2025-05-06 07:25:53,0,1,为世界上所有美好而战,未知,否,https://i2.hdslb.com/bfs/face/46b23686209b7f1f3f1e86e731d045a6016eacbe.jpg
9,0,262158917520,45958239,玄猫陛下,6,保密,好像落地前扒墙攀爬能免疫掉落伤害,2025-05-06 06:54:09,1,0,我倒下了 然后有站了起来  你猜 是涅槃 还是诈尸,未知,是,https://i0.hdslb.com/bfs/face/cdd181edc257884b4173451e26b0f4a4a689af22.jpg
10,0,262158318144,95923046,汪汪队的快乐老家,5,男,@做个好爸爸_ 无敌了兄弟,2025-05-06 06:44:45,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6f25b6b8ab5d01f329497d1e925d205446124ca9.jpg
11,0,261216565057,349231787,遐糯蝶香的清茶,6,保密,@爱莉味夹心 @希丶梦蝶,2025-05-06 06:30:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/d2bdaf0e7bbf57103043727b84fac732d57d9a81.jpg
12,0,261216160913,12321071,千古大混蛋,6,男,我猜是虎蹲炮后到地面没有判定为落地，一跳碰到地面才算落地，开始结算落地伤害,2025-05-06 06:22:08,0,0,,未知,是,https://i2.hdslb.com/bfs/face/aa5582dad18e68f171f8a43c4bfcf27c08528845.jpg
13,0,262157244816,297367147,油戏大王柚子,6,男,可惜今天没有哈夫克保险队了[笑哭],2025-05-06 06:20:46,1,0,随缘更新游戏内容，三角洲卡战备研究大神（每周二周三只找最有性价比的）,未知,是,https://i1.hdslb.com/bfs/face/de6df6256287d6c1e01d14bfa6b783e283340d20.jpg
14,0,261215532065,436174462,275妖夜孤皇雨,6,男,幸好你拉起来了一个队友[tv_doge],2025-05-06 06:10:40,0,0,粉丝群465715914,未知,是,https://i1.hdslb.com/bfs/face/1b76f2ac905e5022af5347346a57560fafa4c5a5.jpg
15,0,261214830593,1123945956,我不上大学,5,男,我勒个落地水,2025-05-06 05:56:39,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e4905770445f566d6d0883021ed04b5668222f71.jpg
16,0,261211898321,264218352,核动力吃饭机,6,保密,“雨停之后，我就会死”,2025-05-06 05:10:42,0,0,没有世俗的xp,未知,是,https://i0.hdslb.com/bfs/face/5307f194336c62b414db445daacae7478b99f70c.jpg
17,0,262152926384,14963844,12121251,6,保密,原来这个比虎蹲炮伤害这么低啊，我说怎么大战场老是炸不死人,2025-05-06 05:09:16,12,2,,未知,是,https://i0.hdslb.com/bfs/face/1f7bbe9d69bd38c5fe75b193f4f04c346e78fe36.jpg
18,0,262151942064,485215917,仙zsw,4,保密,这题我熟，救人挂搏命了[洛天依·戏游九州动态_登场][洛天依·戏游九州动态_登场],2025-05-06 04:55:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/21164d82d872c530081121cc77fc619bb4d82b9f.webp
19,0,261209000833,341573854,李某人eee,5,男,@淺玥喵 你能不能做到,2025-05-06 04:31:31,0,0,平平无常的up,未知,否,https://i1.hdslb.com/bfs/face/016012da53b2cabc39161a6db14b099cbdc1c409.webp
20,0,262143743152,285441628,非洲大求长,6,保密,bro在玩魂游,2025-05-06 03:02:08,0,0,fps苦手,未知,否,https://i1.hdslb.com/bfs/face/677ff9121772841829f5397375d60ab1b70d7cd6.jpg
39,0,261202856513,237716753,牢VIII,5,保密,这咋死的,2025-05-06 03:00:18,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
40,0,261200365777,39023494,I-O-I23333,5,男,牢三越狱新法[doge],2025-05-06 02:11:01,0,1,,未知,是,https://i1.hdslb.com/bfs/face/c3c46064847f822b63700b3a7feb784896e61d01.jpg
41,0,261199896593,393885588,70241930512_bili,5,保密,@老飞宇66,2025-05-06 02:04:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/fbe81db1baeee2a0de156eb068995ef570307b96.jpg
42,0,262140351920,31257702,ol4160,6,保密,cy一种基于三角洲行动的延迟攀爬技巧,2025-05-06 01:57:49,0,1,ⓘ该账号已被封禁,未知,是,https://i0.hdslb.com/bfs/baselabs/c6e6158b549fb475cb2e3ad12655fb605ae235af.png
43,0,261199773809,16048655,失宠铃音酱,6,女,这样坠落都没死的威龙，上个台阶磕到甲沟炎立马倒下了，啧啧啧[泠鸢yousa_滑稽],2025-05-06 01:56:06,0,1,编辑个性签名,未知,是,https://i2.hdslb.com/bfs/face/714d0510513dcd1342529e1fe914092c3ba773f0.jpg
44,0,262139806880,3546690109835342,゚安全总监德穆兰,4,保密,挂：六百六十六这人数值开的比我还高 这把我给了丢包去,2025-05-06 01:47:26,0,3,"群号：1012871597欢迎新入职和准备入职哈夫克的朋友们进来聊天了解哈夫克！
最后我想对阿萨拉和GTI两方势力表示：世界终将属于哈夫克！",未知,否,https://i2.hdslb.com/bfs/face/44ca6e2194e3e32db50ea6c255694b89713a1f90.jpg
45,0,262136021376,336553230,MFeng_048596,6,男,@夏目沐雨 @历战王缠蛙 @茄泥龟,2025-05-06 00:18:04,1,0,,未知,否,https://i0.hdslb.com/bfs/face/1bd735579366f8375805f2c20f1ba4f1dd508f2e.jpg
46,0,261191748769,479150967,羽毛笔记本,5,男,@某粥批,2025-05-05 20:58:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/eaf8f5c1e4babffc0cfeddb8edb2b60bb153a798.jpg
47,0,262131743456,438843436,神王珈百璃,6,男,回光返照了[笑哭],2025-05-05 20:35:47,0,1,全能高手珈百璃,未知,是,https://i1.hdslb.com/bfs/face/eba9c768d580daf7c8bcd4a2eec5e5f5b2589962.jpg
48,0,262131702800,473957728,可爱枫仔,5,保密,咸龙喷气机！假的[喜极而泣],2025-05-05 20:21:06,0,1,,未知,否,https://i1.hdslb.com/bfs/face/e46a0e6e93295fff764609125cffb291fddf36fe.jpg
49,0,262130747328,631716617,夏吉尔_乱边德,6,保密,@老飞宇66,2025-05-05 19:15:23,0,0,,未知,是,https://i2.hdslb.com/bfs/face/fd4440154a448b379e9c91df8bdd17510b5b0b9c.jpg
50,0,262130333344,407526919,会爆炸的龙王,5,保密,@太廷 @八倍镜咻咔咻 [思考],2025-05-05 18:53:54,0,1,,未知,否,http://i1.hdslb.com/bfs/face/f599c1192f2f014ed5a743b162960f67b8265e02.jpg
51,0,262130097472,8450338,想像象相,5,男,@老飞宇66,2025-05-05 18:40:06,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
52,0,261189217393,615977093,-红矮星-,5,保密,@老飞宇66 看看这个,2025-05-05 18:19:15,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fec16a8a855126bad89ed017d02b75fdbe9dfd8d.jpg
