序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,258766600865,1641324675,路基艾尔ダークルキア,5,男,就那个1分16秒的那个音乐,2025-04-05 10:18:17,0,1,,未知,否,https://i0.hdslb.com/bfs/face/8286ebb975f5c8f2f0bc365eb86b0328c9946b57.jpg
2,0,258766468913,1641324675,路基艾尔ダークルキア,5,男,话说回来，那个和萨姆的音乐特别像的那个是什么？，就感觉特别宏伟的那个音乐。,2025-04-05 10:18:00,0,1,,未知,否,https://i0.hdslb.com/bfs/face/8286ebb975f5c8f2f0bc365eb86b0328c9946b57.jpg
3,0,256056478641,1682746467,七小罪,5,男,天塌了,2025-03-02 15:37:06,0,2,,未知,否,https://i0.hdslb.com/bfs/face/16a4a8488d1fa9fc56c82b62c07644b3496832f5.jpg
4,0,256741652928,362444341,索罗亚克-TT,5,保密,小时候玩游戏cf，逆战基本一玩就是一天，不带累的，现在随便一把瓦，三角洲就不行了[辣眼睛],2025-03-02 02:44:02,0,1,,未知,否,https://i1.hdslb.com/bfs/face/14504df6cc46a26efe04a820ef7c2c873c5956f7.jpg
5,0,256688963376,179376334,lmiaooaiml,6,保密,有人需要跑刀吗，绿色pc跑，可以直播，大学生纯手打，可以给你看电脑周围环境，和我给别人打的战绩，7块100w，而且是功德流帮你掉kd，只打机坝[脸红][脸红]要的私信我，我是个人，不是工作室，微信随时聊，随时结都可，一般打1000万我会送200w，看总资产的[脸红],2025-03-01 11:15:58,0,0,我可不想,未知,是,https://i1.hdslb.com/bfs/face/5b1abf4efd3aa93062de90d56a686ad5df0ce0a6.jpg
6,0,256150563968,321367645,佬翟南,5,男,带不动，真带不动，我都快打吐了,2025-02-23 03:35:36,0,1,,未知,否,https://i1.hdslb.com/bfs/face/f6a001a208e878f323423d6b1d4d0421cdd8aa3c.jpg
7,0,255368112097,3546658855979670,流萤我对象,3,男,你别看现在5.7万粉丝，我加入了，过段时间不就成大阿婆主了吗？[doge],2025-02-22 10:18:17,0,1,,未知,否,https://i0.hdslb.com/bfs/face/dfdc7df0ef831ac8e126edc0e6385cf3f3a6a8a8.jpg
8,0,255738207472,3494380979620404,無纬,4,男,@朝阳区热心市民小明 三角洲,2025-02-18 10:46:48,0,1,"


请输入文本

",未知,否,https://i0.hdslb.com/bfs/face/adb276d42e1fd2fc3347b44d35265587be508dfb.jpg
9,0,255410726144,1101815646,艾拉永远神,5,男,你的盾兵怎么撞了那么多下啊，我就三下没体力了[笑哭]怎么做到的,2025-02-14 17:50:34,0,1,"《可塑性记忆》
艾拉一生推，永远的神！",未知,是,https://i0.hdslb.com/bfs/face/35efa57c3bdf0ec8d1a63a2879a4ae7f6939b06d.jpg
10,0,255260944688,3546759009667434,锐克丁真强健奶龙,3,保密,"GTI传来噩耗
干员深蓝血液堪比果冻石油
数十种体力负重听力针剂腌制入味
吃不下肾上腺素的苦, 就要吃子弹的苦
升库存没有捷径，饭前猛扎兴奋剂
三分练，七分吃，剩下九十分交给针剂黑科技",2025-02-13 08:02:26,1,11,,未知,否,https://i0.hdslb.com/bfs/face/901405ff382eef748e8fd58e0ee1ec4f663dbbd3.jpg
11,0,254433849985,1906714275,卡莫娜TV已逃往沙勒,5,男,孩子们，赢的一塌糊涂。,2025-02-11 18:40:03,0,2,一个闲的没事干的初二学生，不怎么会做视频。,未知,否,https://i0.hdslb.com/bfs/face/bf9e3d833bcd8ad0afbb388c0c0638aaa4c4b624.jpg
