序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260407485025,3546840874092669,只要这样,3,保密,普坝出了一个金条[笑哭],2025-04-26 07:46:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,260404418817,3493076116966256,天冷记得穿衬裤,4,保密,S1天天出特色首饰，也没现在这么值钱啊[笑哭],2025-04-26 06:56:18,0,0,“刮风这天我试过握着你手，但偏偏雨渐渐大到我看你不见。”,未知,否,https://i2.hdslb.com/bfs/face/673707853e21de23aec329287a263f42a344cf36.jpg
3,0,261118604096,1369014009,小财哦耶,5,保密,"我自己创建了一个聊天群，大家随便进[doge][doge]
1043554377
手游的哦",2025-04-23 15:27:36,0,0,,未知,是,https://i0.hdslb.com/bfs/face/74653f64607a83808e84656cc7f775b5f7d39688.jpg
4,0,260195796065,3461562257901690,up__on,5,男,呜呜呜，今天破产了，可以帮帮忙吗,2025-04-23 12:31:36,0,0,一个有点人机的小胖,未知,否,https://i0.hdslb.com/bfs/face/09ff04fd116ac93a746e1a39571f79a8313685d4.jpg
5,0,260105258881,447542068,语c演员_眼镜蓝染,5,男,[热词系列_打卡],2025-04-22 09:00:03,0,0,是语C演员，现在在扮演眼镜蓝染，目前在进行足迹旅行，我旅行过的每个冷清视频都会留下我打卡的痕迹。,未知,否,https://i1.hdslb.com/bfs/face/3990aec779586dcccc472e562b00c2dac63addd2.jpg
6,0,260977084704,479499142,紅钟牢大,5,女,[吃瓜]游戏里面也能请仙家上身是吧？,2025-04-21 20:22:00,0,0,皇帝的签名，你什么都看不见,未知,否,https://i1.hdslb.com/bfs/face/b800781e77693e26fc4f26da30f0abc04668127b.jpg
7,0,260051223281,1600424676,l独脚大盗l,5,男,这TM是普通大坝？,2025-04-21 13:17:24,0,0,CODM，启动！,未知,否,https://i0.hdslb.com/bfs/face/a896b6b48aa3890a340a6ef3652984e7bf02a283.jpg
8,0,259991501921,516592654,秋昊_2023,5,男,hmm，，，搞的我也想找个up给他扫个对局中的上去了[doge],2025-04-20 17:31:56,0,0,"这里是秋昊，一个非常普通的MC玩家，非优质up，偶尔写写小说。
对了，有个群，中转到其他群用的：883856922
",未知,是,https://i1.hdslb.com/bfs/face/c7d0e231963ddcef1d8b2b709dde1559e5998b99.jpg
9,0,260827213120,3494352189917437,秦赐h,5,保密,普坝，吃的很爽,2025-04-20 03:38:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e871e2dc5dd37ee781fbe8168a50f84f49fdcd83.jpg
10,0,260466216784,3546752592382309,张浩宇2,3,保密,机坝,2025-04-15 15:26:46,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f80e23ae5b6b786f5f4a252af103db03b8720c3d.jpg
