序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262173505040,33252915,冰屑鸽鸽,6,保密,本地首饰呢,2025-05-06 10:48:59,0,0,一只爱管闲事看热闹的马迷,未知,是,https://i0.hdslb.com/bfs/face/a2c2f72755285c13d83cf6b052babf2cdc207d33.jpg
2,0,262159282896,516763457,柯希林,5,保密,那我之前拿的还能检视吗,2025-05-06 06:59:14,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7924dc8b43fbb19139b53aeb4bc54de676a72506.jpg
3,0,262101772528,3493131523722024,認識城,4,男,[doge_金箍],2025-05-05 11:46:57,0,1,人，到底为何而活。这是个值得思考的问题。,未知,否,https://i0.hdslb.com/bfs/face/8fd49f815124b207c1abb9f6d2d0de884eab4766.jpg
4,0,262078267504,3546790280301220,抽象的弱兽,3,男,哎呀！,2025-05-05 06:43:54,0,0,福瑞控本控,未知,否,https://i1.hdslb.com/bfs/face/9854d9f2980c2221ba38d40f610b3aa81ac68b90.jpg
5,0,261878325296,371053825,暮入离殇,6,男,这个是反应炉......,2025-05-03 02:53:55,1,0,立于不周之巅，仰望星辰大海。,未知,是,https://i1.hdslb.com/bfs/face/0fd2896a57a36ef312803624af953b21ae2ffb4a.jpg
6,0,261778952368,152313336,Noe3568,6,保密,[大哭][大哭][大哭][大哭],2025-05-01 23:26:18,0,0,,未知,是,https://i0.hdslb.com/bfs/face/115ec56d896dc82fed417e17740725df08185e5a.webp
7,0,261777688368,1933722747,天骄0706,5,保密,挺抽象的，新赛季暖气片缩小模型后，有一把和一个风衣抢保险，结果人家没看到免保旁边的暖气片，笑死了[doge][doge][doge],2025-05-01 22:35:52,0,0,,未知,是,https://i0.hdslb.com/bfs/face/ccf1b319858ec52dc590378e3c6d59fe4c53ca1e.jpg
8,0,260829736801,54218790,最仁慈的莫过于一梭子,6,男,金表检视秒针前面动，后面就不动了。@三角洲行动,2025-05-01 15:00:47,0,0,请远离魔怔人和gay，那些人多多少少不正常。,未知,否,https://i0.hdslb.com/bfs/face/1e97140f13739cf0d73538f32b131c43eb3c4471.jpg
9,0,260750719825,3493287507789888,飝癶耂,4,保密,步战车：小子，居然你杀死了哈基蜂，那我就把力量继承给你吧,2025-04-30 15:44:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/780328729c212d473fcf11b33e3d5b99a0f9ae21.jpg
10,0,261548872848,250169541,于迭代中永恒,5,男,机密巴克什展台上刷了棘龙化石，第一眼还以为是个小蓝[妙啊],2025-04-29 04:26:40,0,0,无垠时空里的一抹光,未知,是,https://i0.hdslb.com/bfs/face/7290db5c53e553264308000a8fc96a265fe2a926.jpg
11,0,260483271921,3546863907113096,难触繁星,2,保密,ecmo，在桥下的井盖摸到一个，但是我没9格，只能含泪给队友[大哭][大哭],2025-04-27 07:04:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8b431df2c6bbf97cf0b0c9c211683936fb413996.jpg
12,0,261332376448,3537113754634909,进击的太狸,4,男,说实话，我感觉原版雷达那个已经足够便携了，毕竟军用款你也不好要求什么[笑哭],2025-04-26 09:41:05,0,0,"我上来就是给你一个，天动万象！
",未知,否,https://i1.hdslb.com/bfs/face/f54c02df8a6e56a9734dc507c0bce0c050b2e23a.jpg
13,0,261320402368,45279633,诗雨影,6,男,[大哭][大哭][大哭]上午出的雷达掉了,2025-04-26 06:45:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a539d13a44555e65c99424532bfe4110c62e6fb5.jpg
14,0,261284235728,687901549,cc是代肝,5,保密,"借一下楼大学生赚生活费接三角洲行动带干[打call][打call][打call][打call]看看孩子吧让孩子吃吃饭吧[大哭][大哭]
火箭燃料（不出一直打包亏损）
卫星锅
等级
哈弗b
通行证
段位
护航（可点指定大红单 不出打到相应保底）
9格保险（第一批做完）
这些咱们都接哈效率都很高的哦 绿色无撞车 都是手打 有售后有保障不会存在毁号有喜欢的板板加我主页联系方式哟让你享受根本花不完哟[打call][打call][打call][给心心][给心心][给心心]",2025-04-25 17:46:32,0,0,"q 3691414763
v cc03021913
可代三角洲 
高价回收三角洲  暗区突围账号",未知,否,https://i1.hdslb.com/bfs/face/e83cfb4f22f7e743b15891e010c522aebfce3285.jpg
15,0,260341269057,1413183378,浮生明月夜,4,男,三角洲特有的裤裆机制压缩技术[doge],2025-04-25 11:29:16,0,1,,未知,否,https://i0.hdslb.com/bfs/face/a59ffcc23ff98fa457043441cd272ff3b9a73456.jpg
16,0,261247972144,32526236,庭师卍,6,保密,你怎么知道我普坝出了便携雷达,2025-04-25 10:00:11,0,0,此生无悔入东方，来世愿生幻想乡………,未知,否,https://i2.hdslb.com/bfs/face/f33eed88c5dd2e5d34e5e6058a22bde9fb281aed.jpg
