序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262203404304,16023634,崔大枪上尉,6,保密,不愧是侦察兵隐藏技能灵魂出窍,2025-05-06 17:27:37,0,0,没有优，只有秀追你的人是86。,未知,是,https://i1.hdslb.com/bfs/face/907bcc12a4897e02dbb94da513f9bee68f0b954c.jpg
2,0,262148984064,13679036,A小屋,6,保密,这个老塞的模型看着比干员的小一圈啊,2025-05-06 04:19:46,0,0,,未知,否,https://i2.hdslb.com/bfs/face/daaf533752a5ef9d0ac1599ec03ef43659f4bc1c.jpg
3,0,261193454193,85461974,念远あ,6,男,还在推？,2025-05-05 23:00:40,0,0,地址：洛圣都   统合小道   T20经销商,未知,是,https://i2.hdslb.com/bfs/face/5fafef7085d0a2eae683b2e4f36b36e2efdb5a83.webp
4,0,261120411297,67357058,总是忘记曾经的教训,5,保密,牢赛上厕所了  应该有怀表,2025-05-05 02:52:29,0,0,,未知,否,https://i2.hdslb.com/bfs/face/421bbc29cc055ec266921734cc0c58e50983ce6a.jpg
5,0,262054775904,3546841863949121,东线医疗班,2,保密,666让他玩到伪装模式了,2025-05-05 01:54:07,0,0,只是一个玩勇猛，战警，三角州的普通留学生，常出没于反BA圈找乐子,未知,否,https://i2.hdslb.com/bfs/face/ffa981621eb62e36e2e68e04ea5cb90cb0b7e317.jpg
6,0,262038997424,28575716,三月为夜之底,6,男,你给老赛了？,2025-05-04 17:23:35,0,1,洗卡规律探索讲解，欢迎来直播间听课。如果抱有怀疑态度，不妨先听先试，不会后悔。洗卡指导群：272932549，粉丝水友群：470167814,未知,否,https://i2.hdslb.com/bfs/face/0884f2f8518baf13a4bed50d9f5f0a97f091b20f.webp
7,0,262031440976,413470942,爱和高粱酒,5,保密,[热],2025-05-04 15:34:02,0,0,二次元赛高～(￣▽￣～)~,未知,否,https://i1.hdslb.com/bfs/face/ec85f459a41cc8b6df9c96f9c40407356b661a9f.jpg
8,0,261072592785,3493264571238763,憧憬成为火影大王,4,男,赛伊德护航之翻翻滚,2025-05-04 11:43:41,0,0,打卡了摩托,未知,否,https://i1.hdslb.com/bfs/face/2abd0a30a7e926081d3006799b21802d67f9aa10.jpg
9,0,261072008577,601337374,我是一个不留神就摔倒,5,女,赛依德：哟，GTI小妞，带你逛逛我家,2025-05-04 11:35:35,0,0,,未知,否,https://i1.hdslb.com/bfs/face/dff2d84cec5b58eecdbe74751edf3946f11aaabf.jpg
10,0,262001230320,3546815458707940,临夜思,2,保密,新手，塞伊德怎么打啊，我被他杀五次了,2025-05-04 10:06:58,2,0,,未知,否,https://i1.hdslb.com/bfs/face/f1317d88c91a3b3514bc3e8d4c0c7d8c47ad16b0.jpg
11,0,261999659984,240786416,我真的不混c,6,保密,谢谢你让我第一次看见赛义德是怎么走路的,2025-05-04 09:48:35,0,1,,未知,否,https://i2.hdslb.com/bfs/face/7696324db169d027783b63866c6d61ad8287617a.jpg
12,0,261992578336,3546832493873313,一针见血别红温,3,保密,想象一下你是一个保安，天天去守护一座楼，然后有一天你发现身后一直跟个人而且还没有人影,2025-05-04 08:15:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dff64099ca9e4a19d88b4461b15c53842b438c55.jpg
13,0,261048317889,352673453,嘻嘻是正人君子,5,保密,kd2.5老赛穿烟六枪头全队回家睡觉[藏狐],2025-05-04 06:31:03,0,0,嘻嘻嘻嘻嘻嘻嘻嘻,未知,是,https://i2.hdslb.com/bfs/face/4c32182ddac619cbda3b9c3f4a550bb70602ddca.jpg
14,0,261043160897,38777765,灰骑士大导师Draigo,6,保密,黑商皇冠是这样的[OK],2025-05-04 05:21:34,0,1,当理性的高效取代了仁慈，我们将建立起伟大的帝国,未知,否,https://i2.hdslb.com/bfs/face/39648b26c4192b52713215d4c9370a0490675aef.jpg
15,0,261039397729,2451478,没大提时机跟库洛爆了,6,保密,你怎么知道老赛给我3次红卡,2025-05-04 04:37:08,0,0,那我问你大卡提西亚你抽不抽,未知,否,https://i1.hdslb.com/bfs/face/159ac7f40624da89c8004a84f80431741012988d.jpg
16,0,261033099697,85461974,念远あ,6,男,还在推？,2025-05-04 03:20:13,0,0,地址：洛圣都   统合小道   T20经销商,未知,是,https://i2.hdslb.com/bfs/face/5fafef7085d0a2eae683b2e4f36b36e2efdb5a83.webp
17,0,261032653025,1241009353,江晚最帅仔,3,男,电脑红温[笑哭][笑哭][笑哭][笑哭][笑哭][2024拜年纪_哈哈哈哈][2024拜年纪_哈哈哈哈],2025-05-04 03:13:41,0,0,每天开心,未知,否,https://i1.hdslb.com/bfs/face/8c674020314cfe9acb8a42e7eaef240f485c7809.jpg
