序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260546857729,303956177,香蕉是黄色,5,保密,咨询一下，负债10个亿用那种扶贫政策好？,2025-04-28 03:59:23,0,0,,未知,否,http://i2.hdslb.com/bfs/face/21f5464aa4ee3c676c7148b886a46dd9e995c2b9.jpg
2,0,259452030113,500646076,黑铁圣骑士,4,男,还是喜欢原来普坝刘涛金蛋堵撤离点,2025-04-13 22:42:41,0,0,我的好名字都没啦,未知,否,https://i1.hdslb.com/bfs/face/c9df30f811bec4bbe69dae43f43f03003239951f.jpg
3,0,259403268593,3493133945931893,白浪泉,5,保密,《从零号大坝开始的三角洲生活》,2025-04-13 07:45:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/5f919939fc0e697a88139a86f44772e43a28dba3.jpg
4,0,259351979329,539955467,只因风剑豪,5,保密,居然还有肉肉的彩蛋,2025-04-12 15:02:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/127b56b6184facde68247d2b0ffba9e901f464a2.jpg
5,0,259343237985,587329874,云南野军-大肘子,3,男,我打普通大坝打上了1000万，需要服吗,2025-04-12 13:20:47,0,2,,未知,否,https://i2.hdslb.com/bfs/face/e63e3e55eadce97375abb21b843a09bbcd46a4f3.jpg
6,0,260100583984,474156724,鬼玩人不伤人,5,保密,昨天杀了个机密大坝六套，光速撤离,2025-04-11 08:04:05,0,0,,未知,是,https://i1.hdslb.com/bfs/face/e0bb80d4f74a0dcee6f254abb7de4517a1c10f4d.jpg
7,0,259920685168,289837049,灵笼灬白月魁,6,保密,臣本蜂医，跑刀于普坝，苟全性命于管道，不求闻达于东楼，大红不以臣用制式，猥自枉屈，三顾臣于普坝之中，赠臣以百万撤离，犹是得吃，遂许刘涛以驱驰，后值航天，受任于总裁之室，被堵于飞升之间，尔来二十有一局矣，大红知臣谨慎，故临崩寄臣以保险也，出红以来，屡战屡败，恐红不复出，以伤先帝之明，故女郎牛角，出于免保，今m14一定，刘涛已足，当奖率三乌鲁鲁，绝密航天，出生堵桥，攮除老太，兴复仓库，还于燃料，此臣之所以报小鼠，而忠猛攻也，至于战损之比，队友忠言，则老太，赛伊德，雷斯之任也,2025-04-09 03:37:18,0,0,,未知,否,https://i2.hdslb.com/bfs/face/66736cfdbc690cdd35133fd51e0bbd4db2698aad.jpg
8,0,259783275968,2021257333,肆逝,4,保密,我算是知道我为啥好好的在普坝捡些不要的蓝色垃圾突然就被一脚踹死了，原来是被扶贫的主播当启动资金给补了[笑哭],2025-04-07 09:34:39,0,0,,未知,是,https://i1.hdslb.com/bfs/face/39362e19a1b500ad636813667eac186297515081.jpg
9,0,258711412289,357798769,千门梦宇,6,保密,我小电宿舍干出俩医疗贼离谱，水泥厂办公室开完了都没出一张卡，楼里图书馆出过吊桥和蓝市，今天长弓跑刀酒店黑桃给我一张六百万总裁卡还有小电宿舍卡都暗示好了，最绝的是第二把四个小红,2025-04-04 16:12:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/305b518e117624081a47c9e7649ff39032242f5b.jpg
10,0,258656153985,1731483893,只如初见可好,4,保密,大坝的这个金库怎么开啊？每次都找不到开的地方。[难过],2025-04-04 04:38:51,3,2,日常分享,未知,否,https://i2.hdslb.com/bfs/face/e025654ba9754d9c4741a5ab321d67e5370fefba.jpg
