序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262106343584,316054710,不励志的小张,4,男,5、6级的老登赶紧给我点赞，我也要当老登[白荆回廊_好好好][白荆回廊_好好好][白荆回廊_好好好],2025-05-05 12:43:10,0,1,,未知,否,https://i0.hdslb.com/bfs/face/e447ac2a6377eb00d29f08a2f725eb586df9d1e6.jpg
2,0,261079763569,1647653779,孤眼-G,5,保密,这运气实在太差了,2025-05-04 13:05:25,0,1,,未知,否,https://i1.hdslb.com/bfs/face/b3c5fbea4d249cfbeed5a1dcaad05179d107c825.jpg
3,0,259234400705,3546876703934868,小猫喵没睡醒,2,保密,还接嘛？蹲个可以长期的,2025-04-11 07:58:10,0,0, q；3057946984,未知,否,https://i0.hdslb.com/bfs/face/bf55f0634c1bc0fc481760547101c78dd5f2ae45.jpg
4,0,259669075040,3493126360533309,狠逼五逼,4,男,桌子上好像有个火箭燃料[微笑],2025-04-06 02:16:18,1,2,,未知,否,https://i0.hdslb.com/bfs/face/90ad19331350a5762903a0273fd3a656dd557772.jpg
5,0,257721940864,23380305,余笙一直浪,5,男,捡垃圾,2025-03-14 03:57:08,0,0,,未知,是,http://i0.hdslb.com/bfs/face/c399c7840029385e5a013c705d302ab7b95674a8.jpg
6,0,257300597984,455621938,韦建大帝,4,男,出租新号纯币5000万，150，诚信可先，给账密，打完结单，有意加，VX 19976086717 ，先到先得。,2025-03-08 17:09:58,0,0,,未知,否,http://i1.hdslb.com/bfs/face/87643d0997c4ebbd13b8da90ecbd73047da45b86.jpg
7,0,256404293857,12573950,读C°,6,男,才发现之前的航空总裁跟现在的，俩装修风格不一样……,2025-03-07 07:25:13,0,0,成分复杂，若查成分，你认为是啥就是啥，喵~（头像AI）,未知,否,https://i2.hdslb.com/bfs/face/d5508ac62b429c30ea71ac81c75b216cc2b91d06.jpg
8,0,255997099937,3546375906134191,海盐PAP,3,保密,小布小布帮跑刀吗？,2025-03-02 03:28:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/7461718897b2956e8d1da960d995be2cac79c13a.jpg
9,0,255658280481,107778290,叶天问羽,6,保密,说四人队的，一看没打过航天，绝密一扫六个大全装，护甲等级没有低于5的，这是扫描上限而不是只有这么多少，机密扫四个算是少的[笑哭],2025-02-26 02:32:43,0,1,问羽，不问天。天不会理你，我，必有回应。,未知,是,https://i2.hdslb.com/bfs/face/135f4defef3c49125932e06da03f67a79c75eff0.webp
10,0,254850789360,695675933,杰哥来哦,5,男,今天航天机密扫到5个人[笑哭][笑哭][笑哭],2025-02-09 05:52:00,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ca384cff441eab8432eb9503ced5b4bbbf501b0e.jpg
