序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261884760368,250865147,有谋无勇的匹夫罢了,6,保密,俺拾雷！,2025-05-03 04:14:56,0,0,,未知,否,https://i2.hdslb.com/bfs/face/38f774a78f48341ea33562518d22b59bbac8f04b.jpg
2,0,261719352416,1661388700,小小精灵琪琪,3,保密,？？？,2025-05-01 05:56:51,0,0,,未知,是,https://i1.hdslb.com/bfs/face/149f643807d3777efe7fc7bb7f24db0683beda5e.jpg
3,0,261507516960,631105229,灵贶之声,5,男,这东西好搞啊，局内搞个移动速度和位置路径检测，腾讯的技术想针对这种太简单了，但是腾讯就是死人[藏狐],2025-04-28 13:20:42,0,0,这位旅人，请问你是否承认絮雨小姐的善良与美丽盖世无双,未知,否,https://i2.hdslb.com/bfs/face/f3e86c517544976a0597811565b4987896600edb.jpg
4,0,260531524433,3493260219648261,铁甲小斗士,5,保密,所以外挂在哪里买,2025-04-27 21:49:42,0,0,,未知,是,https://i0.hdslb.com/bfs/face/0ca5e1fa94dcd185e06e027ae1c02113a8bb3a3b.jpg
5,0,260353447937,304946963,MLS枫叶糖,6,保密,这是真的，我笔记本最近一段时间每隔一两分钟就卡一两秒+爆音，我把反作弊禁用了就好了,2025-04-25 14:00:33,0,0,个性签名真的很好吃！！！,未知,否,https://i2.hdslb.com/bfs/face/c19c1a0be7c6b25f2b11119cb298fff836a80c1e.jpg
6,0,261006615056,296081940,_KotomineKirei,5,男,此事在塔科夫,2025-04-22 08:00:01,1,0,人无再少年,未知,否,https://i0.hdslb.com/bfs/face/e5c82b3e0c64f395b608e178386008a3d6e00bea.jpg
7,0,259127385633,3546388075907277,衰神shift,4,男,@小破站还我名字啊,2025-04-09 22:44:54,0,0,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,未知,否,https://i0.hdslb.com/bfs/face/439255360bfe0eac9d3102d9709a298375ddb18d.jpg
8,0,259120293841,318934267,非要凑热闹,5,保密,见过隔空取物没[OK]我亲眼见到一个刚落在我脸上的空投，东西已经剩一半了，刷一个消失一个，给我都整笑了,2025-04-09 17:06:48,0,1,,未知,否,http://i1.hdslb.com/bfs/face/08c859ebae065b2bcbf9184a608a9b4e4f9c2023.jpg
9,0,259119621217,158266382,i心艺,5,保密,这种挂能被检测，直接修改内存了都,2025-04-09 16:51:23,0,0,,未知,是,https://i2.hdslb.com/bfs/face/0ed34152e26ec286058afd85b7f0742890add47e.jpg
10,0,258932654529,1943482,晨尘桑,6,男,此事在BVZ亦有记载,2025-04-07 10:13:39,0,2,天黑，关灯，开躺！,未知,否,https://i1.hdslb.com/bfs/face/1dbce0d3f412ce9de324ba7e0ba193d0ea6ef31f.jpg
11,0,258821675633,292037974,莫语蝉鸣,6,保密,前两天我也遇见了,2025-04-06 02:49:21,0,0,,未知,否,https://i1.hdslb.com/bfs/face/228ca29149d5ef4195b1f51e2cda9aaf06bc35e0.jpg
12,0,259582113728,357295523,王司徒干丞相,6,保密,沃尼玛天降神兵[笑哭]离大谱,2025-04-05 03:29:08,0,1,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,259563658304,9869036,大无聊,6,男,@Hyperionvl,2025-04-04 18:18:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/1b4ac797b7cbf647783a439307aec1b1a8269ed4.jpg
14,0,258713291697,169508495,Hyperionvl,6,保密,@大无聊 @觉得你的不对劲 @零の次方零,2025-04-04 16:40:42,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7fca17cbfca71cfa4416004744b761b357487106.jpg
15,0,259215048720,351179219,恶龙塔拉斯克,6,男,@笑容宇宙,2025-03-31 18:22:25,0,1,,未知,否,https://i2.hdslb.com/bfs/face/2db9ad8c604a06e5686938d730a28303727ecb1f.jpg
16,0,259192823312,1515725,叶子の屋子,6,男,"这个挂PC很难实现，但是手游端正好卡在内部的断网修复问题。
断网的时候有一部分时间是可以操作的，然后内存方面可以检测到有人死了变成包，就可以通过断网1000ms以内瞬移抢包回去原位。
基本上1000ms以内自己调，反正这种挂很难查，就那1000ms以内的数值有异常，但是也没杀人 啥都没干，就捡个包，一般查数据一局数据几亿，有异常的也有几千，我都懒得查。因为压根没杀人。只能查包位置。
总的来说这种挂在pc基本不太可能。",2025-03-31 13:17:32,12,6,我是谁来着？,未知,是,http://i2.hdslb.com/bfs/face/0a871915a2d34cd9708a40f590862cd2b857a919.jpg
17,0,258219757441,35172166,胖高2,4,保密,我去好像遇到过，手机端普坝打死一个威龙，我蜂医封了个烟准备舔包，找了半天包不见了，就凭空在脸上消失，离谱。,2025-03-29 22:19:28,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,258035640433,638420365,一飞冲天013,5,保密,刚刚雷达站打直升机看到天上站了个人，比直升机还高，队友也看到了，不知道是bug还是开了,2025-03-27 15:11:37,2,1,,未知,否,https://i1.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg
19,0,257744863649,302254674,迷路的阿珂,3,保密,为啥看着想笑[笑哭],2025-03-24 01:49:32,0,1,,未知,否,http://i0.hdslb.com/bfs/face/06260a22b6bfd6b414d774ace73b4c21dddaa937.jpg
20,0,257684385185,1684355052,我的SOPII天下第一,5,保密,我嘞个,2025-03-23 06:45:13,0,0,她是天使为我所属,未知,否,https://i0.hdslb.com/bfs/face/51c5c1076e04cf98aa14665b69667299341a7827.jpg
36,0,258168778896,499039547,帕兽不是受,5,男,谁家末影人,2025-03-19 10:03:52,0,0,不会画画啊啊啊啊啊啊啊啊！,未知,否,https://i2.hdslb.com/bfs/face/1dbef5fb141b1cfa6bcb1244e33c9d2cbfb4d90d.jpg
37,0,257641168032,2782519,Touma和纱,6,女,@独慕周@弹屏小燊@乌冬冬东东 我怎么现在才刷到 这个太六了,2025-03-13 03:32:13,2,0,恶搞之家第23季已开播 UP会在每周二三四更新完最新一集 主页内有完整的第21、22季恶搞之家剧情 来看吧,未知,否,https://i1.hdslb.com/bfs/face/ad2c4fa2bddea0b84a2fe132d6b618fd59f54cce.jpg
38,0,257489222576,510003812,熵-attack,5,保密,那有没有大招式喷火器的干员啊？然后投掷物是粘粘式诡雷比如说可以把这个雷粘在刚打的包上然后敌人一碰那个包马上给炸倒当然是虎蹲炮那种击倒,2025-03-11 04:45:02,1,0,皮套过一段时间再换,未知,否,https://i2.hdslb.com/bfs/face/fd843e281315a4d24ad5b740945c1431859ce581.jpg
