序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261190409905,486564862,havk安全总监-德穆兰,5,保密,别让我看见你,2025-05-05 19:13:33,0,1,,未知,否,https://i1.hdslb.com/bfs/face/d5f19d926fbfc01bb8a42f27ed8baf2e88944f57.jpg
2,0,261134769537,550874278,爱喝蒙牛酸奶a,5,保密,这个航空箱里出过复苏呼吸机，但是大多数有点拉,2025-05-05 05:46:05,0,0,ʕ⁀ᴥ⁀ʔ,未知,否,https://i1.hdslb.com/bfs/face/1cfbf0edcc92870eb56d0964f38bd9c5eeb7075e.jpg
3,0,259422580065,279662777,拗青花,6,男,顶级华容道,2025-04-13 12:05:43,0,2,逮捕周树人,未知,否,https://i2.hdslb.com/bfs/face/55ee311ae27042f9df7096ef040595e6a95e7ae0.jpg
4,0,260262639840,491372534,火腿加饼等于饼,5,男,"很抱歉打搅大家看视频，属实没钱了[笑哭]
大学生纯手打绿玩（网瘾巨大）

8块打100W（绝不动仓库，装备全手打。红全留，顺路做任务。摸大红超出金额也一并带出。）

有意请私信再次抱歉打搅大家看视频了[大哭]",2025-04-13 04:43:28,2,3,想成为博学的人。,未知,是,https://i2.hdslb.com/bfs/face/f6eff3c1eb400c80c0bd827bbd92925503dd89c1.jpg
5,0,260198317792,327329107,宁萌什么时候酸啊,6,保密,医疗无人机放保险，你也是个神人,2025-04-12 10:23:33,0,0,从不看私信,未知,否,https://i1.hdslb.com/bfs/face/f35b26300497dc7a30c56cc21dfd6ebe54b4c8b1.jpg
6,0,259767224432,3461567039408210,偌向秋,4,保密,[蔚蓝档案静态_生气]吃着噎死了,2025-04-07 05:09:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e2aed10010c9267ccb167324b571edc7bcc3deb3.jpg
7,0,259654162544,1661353611,玉衡-霆霓雨,5,女,普坝说是,2025-04-05 18:19:03,3,1,（∠・ω< )⌒,未知,否,https://i0.hdslb.com/bfs/face/8aa48a05c203a68a62e58cb56bb2efcc33a26629.jpg
8,0,259416335536,86899849,蛋再咸还是蛋,6,男,机密巴克什集市的登山包[笑哭],2025-04-03 05:37:52,0,3,,未知,是,https://i1.hdslb.com/bfs/face/d942af17d6e18f5def676aa47176d991176fc2af.jpg
9,0,258378661313,470215750,螺蛳粉114514,6,保密,那油漆现在跟那个单反差不多贵,2025-03-31 16:36:51,0,0,晚安,未知,否,https://i1.hdslb.com/bfs/face/7d638c071f011611646806d8c5b41b1bc7e9fe26.jpg
10,0,259164531744,183318501,我吃吃吃饱了,6,男,今天打机密航天，出生就猛跑不带停的，结果不管到哪都已经被吃完，吃的特别干净一点动静都没有。明明才刚开局啊，游戏刚开始就结束了,2025-03-31 07:17:57,0,1,啦啦啦啦,未知,是,https://i0.hdslb.com/bfs/face/e9c5e586fad7f79c36b0c4e46cb212749a9f799f.jpg
11,0,258317253249,235897262,我要炫西瓜,6,保密,大哥你旁边哪个通道貌似有油[doge],2025-03-31 02:56:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/43f11aa82eddf04ec347c1ac646025282a3722fd.jpg
12,0,259103537664,1470998528,洋洋招打手,3,保密,这边是线下实体工作室，有押，都退，派单员一对一派单，提供营业执照，有合同盖公章，二八分，可以线上打单，能接受的来长期合作,2025-03-30 12:07:32,1,1,这边是线下实体工作室，有押，都退，派单员一对一派单，提供营业执照，有合同盖公章，二八分，可以线上打单，能接受的快来加我吧,未知,否,https://i2.hdslb.com/bfs/face/2bad1c8c138202be864f1b36934d6c8a4f9cc6cc.jpg
13,0,259079330384,3537119221910131,突击小皮卡,3,保密,基本满仓的井盖[辣眼睛],2025-03-30 07:09:29,1,2,,未知,否,https://i1.hdslb.com/bfs/face/985a9454d059a7f5a26a83c3b031583418e0b370.jpg
14,0,258243047905,43767352,谁冲谁短一厘米,6,男,[doge_金箍]满级航空箱,2025-03-30 05:03:13,0,0,,未知,否,https://i1.hdslb.com/bfs/face/40c2c239eb541ecd5c4a2f3fe53a05895af7f488.jpg
15,0,258190170497,1599544096,栋羽--无名帅B,4,保密,航空箱？垃圾箱！,2025-03-29 12:30:34,0,0,万纸没罪河,未知,否,https://i1.hdslb.com/bfs/face/534afb8970237f1fea8beded04de8119917e44e7.jpg
16,0,258998912304,662098109,末字以列,5,男,求固排[大哭],2025-03-29 09:38:29,7,0,,未知,否,https://i2.hdslb.com/bfs/face/386960aecbaaa83d0d9907642bede7d4849b8a45.jpg
17,0,258133564241,3494374962890889,Finee4,4,保密,以防你没见过出高速阵列的大坝航天箱,2025-03-28 23:08:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/77f74cd7410d0615d8cb9aa0738b119df3978fdd.jpg
18,0,258912716688,485017606,冰镇薄荷小西瓜,6,保密,[doge],2025-03-28 10:24:24,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f91abb6c32090b4be3ef096ee18252e7f6035bf0.jpg
19,0,258910443024,3537113769314441,-Tm-b,4,保密,😊😊,2025-03-28 09:58:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/706d437ef0a2c7b83f38d526ffe1270b181195d4.jpg
34,0,258873934864,386083234,宁顾可逆不可拆,6,女,你怎么知道我昨天普弓出心了,2025-03-28 00:57:49,0,1,（≧∇≦）,未知,是,https://i1.hdslb.com/bfs/face/37fae610135449808ae3315065c2c0bf4c20ff72.jpg
35,0,258725281920,357418534,BlueSkyStars,6,男,我开过满的保险箱[笑哭]滑膛枪＋2个6格,2025-03-26 04:33:33,0,0,,未知,否,https://i1.hdslb.com/bfs/face/be083116bdd429c2f2c9f2d7a55463d2e6d7ff49.jpg
36,0,257826315649,109867069,灰毛亚特拉斯,5,保密,昨天和队友搜同一个箱子，一个刀片阵列我就看到了0.000几秒就没啦,2025-03-25 03:05:45,0,1,拥有越多越迷茫。,未知,是,https://i1.hdslb.com/bfs/face/7c34f7440814caeb6017ef2429b43dbc5834a5fa.jpg
37,0,258635269312,1400961520,鼠鼠想吃心,3,保密,"绿玩纯跑刀，有无老板需要的，家底蹲，搞点生活费。

8r=100w

38r＝500w

70r＝1000w",2025-03-25 02:51:37,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4980367a3fdff174e95070c0e6fb875f536c0211.jpg
38,0,258584451424,516374605,o0木_木0o,5,男,高级行李箱，扑克牌9 10 J [给心心],2025-03-24 10:11:55,0,2,,未知,是,https://i1.hdslb.com/bfs/face/e6142abf9f9d39ca93266fb06c1c10645acad9b9.jpg
39,0,257764868081,1383714688,一十一-橙,5,保密,《一大包水泥》《一桶油漆》《显示器屏幕》很肥很肥[妙啊],2025-03-24 07:05:32,0,0,,未知,是,https://i1.hdslb.com/bfs/face/40cf4186192d831dcc07f9814e7d661d2ac31452.jpg
40,0,257674658385,401941989,逢君w,6,男,[微笑],2025-03-23 04:37:28,2,1,内心丰盈者，独行也如众,未知,是,https://i0.hdslb.com/bfs/face/dc12545274bfc53ea9888f0f893e8ecc4a677266.jpg
41,0,257613974129,6504355,老鹰吃小只因,5,保密,那我这个呢？,2025-03-22 10:30:52,0,4,,未知,否,https://i1.hdslb.com/bfs/face/c593788a472aeee2a899330546f098c613369a47.jpg
42,0,258320674592,131286217,爱伦彼的黑猫,6,保密,我的航空箱里面只有一盒火柴，要不是听到喷气的声音我还以为这是被舔过的,2025-03-21 09:02:41,0,0,,未知,否,https://i1.hdslb.com/bfs/face/22fa5a63ae5fda1e9c86ca78a2bd91ba923c5921.jpg
43,0,258281202416,1739255719,执事芝芝士,4,保密,变电站稳定发挥[doge],2025-03-20 19:13:41,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bb95189af537197277333bea32c9f8475b435967.jpg
44,0,257481628897,477135196,野生马化疼,5,保密,我见过三个太阳能板的,2025-03-20 17:49:08,0,0,"每天的日程
吃饭
睡觉
打游戏",未知,否,http://i1.hdslb.com/bfs/face/a328c1dd98f277f5ce9899499ec378821af47a57.jpg
45,0,257442067521,87223780,Ayaseの单推人,6,男,@风也有他的归宿,2025-03-20 08:31:03,0,1,批判的武器代替不了武器的批判,未知,是,https://i1.hdslb.com/bfs/face/a17cf1c12b1276c323c5e404a4e4c5991d27734c.webp
46,0,258157585808,109199545,織_Alter,6,保密,@AztraumZ @B_X_A @Startdash-_-,2025-03-19 06:56:51,1,0,一个普通的Fps玩家，没有特别的天赋，但对自己所到达的一切而骄傲,未知,是,https://i1.hdslb.com/bfs/face/4b25a0b70ed5a36349d7c925766fe27656f24969.jpg
47,0,258140195376,504953019,白8度,4,保密,"大学生纯绿跑刀不动仓库
7r＝100w（9格）
8r＝100w（6格）
9r＝100w（4格）
要求可提可商量（留红留金）",2025-03-19 02:29:00,0,0,跑刀➕Vq1050634503,未知,否,https://i0.hdslb.com/bfs/face/25bdbcda5ee90695ff99d367e8a05003730b3f41.jpg
48,0,258125692560,2053251431,天天开摆的屑笙,5,男,黑室的阵列背心，总裁面包的留声机，全是我出的，然后我自己还没大保险（最后被夹总裁似了）,2025-03-18 17:40:11,0,0,"cn屑笙 坐标惠州
杂食性游戏玩家，啥都玩玩，啥都玩不明白
主玩欧卡，三角洲，卡拉彼丘（目前
喜玩模型",未知,是,https://i2.hdslb.com/bfs/face/d001dc5ff48794c3ed1aea72fae5ff266c599f12.jpg
49,0,257328259089,3493256482523683,大槐树哇,4,保密,三个双持滑膛枪[微笑],2025-03-18 16:09:10,0,3,,未知,否,https://i1.hdslb.com/bfs/face/ab4ca716ff71d0698bb9908eaeb8e764e7b06ce3.jpg
50,0,257326169937,1609946654,鹅城小公主苏菲亚,5,男,见过，同款勾式,2025-03-18 15:39:41,0,0,此人成分复杂,未知,否,https://i2.hdslb.com/bfs/face/f5e3e0eee686ea658b67b48b14848abba6166c0b.jpg
51,0,257299831441,282972191,葬别忆与名,5,保密,一个子弹箱和一个航空箱[doge],2025-03-18 10:11:03,0,1,我本凡尘人，最喜烟火气；奈何时镜迁，烟火渐薄凉。,未知,否,https://i2.hdslb.com/bfs/face/d70f0d43185d10a3a7ccbf9cb6744214064156da.jpg
52,0,257299169281,3493259882007464,帕咔切片,4,男,见过吗老弟,2025-03-18 10:01:28,0,0,失败乃摆烂之母,未知,否,https://i2.hdslb.com/bfs/face/099c0d5eebf45f6d5dccaeb754b397cc8feacaf0.jpg
53,0,258080632624,1835591149,奈何秋泪藏风华,4,保密,还记得我在过年期间接触这个游戏，普弓跑刀玩的时候去雷达站，那个时候我还不熟悉图，连保险也找不到，但是在三楼航空箱翻出了高速磁盘阵列，当时我一度以为这就是地图上黄色的保险标记，后来我好几次翻航空箱看到3✖️4都很激动，结果就一个紫甲[笑哭],2025-03-18 07:23:14,0,2,奈何秋泪葬风华，彼岸再无朱明花,未知,否,https://i1.hdslb.com/bfs/face/871b8d0882d6d2911a3ab153d37b34334b36ebe2.jpg
57,0,257179441201,1152453396,XY2334,4,保密,0.o,2025-03-16 17:30:09,1,0,,未知,否,https://i0.hdslb.com/bfs/face/3c7d850fa8159574ee315061bfd3fa9a1f0eedf1.jpg
58,0,257155608449,30559870,我一生气就开心,6,男,第一次进航天，啥也不懂，装配的时候稀里糊涂开了个高级安全箱，进图跟着队友屁股后面干掉几个人，然后稀里糊涂舔了个大红塞进安全箱，再然后跟队友绕了半天不会撤离，最后行动失败，可怜我那价值百万的装备和背包啊。[大哭][大哭][大哭],2025-03-16 12:19:46,0,0,悠闲的人从没心事,未知,是,https://i1.hdslb.com/bfs/face/9d4fa314478bdfcab1d1fe62aea9a2dc0f849e1f.jpg
59,0,257138482385,693775054,奻溪,5,保密,三角洲俱乐部招人 是有企业认证的大俱乐部 有保障，想做代练的加我了解,2025-03-16 08:43:52,0,1,,未知,否,http://i1.hdslb.com/bfs/face/b8029bc9be8cf84e05efd96eca162172ee4cc6da.jpg
60,0,257923523696,1712531117,终末的龙族赘婿,5,男,中控桥下面[无语],2025-03-16 08:16:52,0,1,喵喵喵~,未知,是,https://i2.hdslb.com/bfs/face/8267a9f35e714072d1c09149b9c42e2f8cb84be4.jpg
61,0,257112852641,261801892,非物质文化遗产打小抄,6,男,真的装不下了[笑哭],2025-03-16 03:29:34,0,7,"谨以此身向光明，我渡人间不自哀

人是鬼的幼年体，死亡是鬼的成年礼",未知,是,https://i1.hdslb.com/bfs/face/b1de9d88fe41e5210e1e05368cf839d1851bad25.jpg
62,0,257092448369,23961170,粉丝最爱吃粉丝,6,女,我见过满的收纳盒,2025-03-15 18:23:28,0,7,现在就好,未知,是,https://i2.hdslb.com/bfs/face/049c23f9769a454149df570fa1e71e0b9b48f43e.jpg
63,0,257862513504,451922007,情曲流觞,5,保密,q区普坝有一起当鼠鼠的么，手机端，太菜了打不过机坝以上的[大哭],2025-03-15 14:39:53,0,0,哟？准备狗叫所以点开我空间了？,未知,否,https://i0.hdslb.com/bfs/face/6f778892cfa1ade8f9e84d3bfb904d3536412a67.jpg
64,0,257862486944,451922007,情曲流觞,5,保密,都打广告？我也来,2025-03-15 14:38:55,0,0,哟？准备狗叫所以点开我空间了？,未知,否,https://i0.hdslb.com/bfs/face/6f778892cfa1ade8f9e84d3bfb904d3536412a67.jpg
65,0,257794741184,550629845,口Azathoth口,5,男,我以为是拉满了，没想到是拉满了[少女乐队的呐喊表情包_哈哈],2025-03-15 00:12:05,0,2,这个人很神秘，他什么也写了,未知,否,https://i2.hdslb.com/bfs/face/418e2c716dc2bab5c96b821f0bcfb1125e282f5c.webp
66,0,257005770641,554635090,青空アンズ花,6,保密,cnm俱乐部,2025-03-14 19:21:43,0,2,飞舞UP坠机了，突袭者得无限拖了,未知,否,https://i1.hdslb.com/bfs/face/0325c74c8cb423dedfab0a2596789e72f619631a.jpg
67,0,257005398481,334227780,陌路呀QAQ,5,保密,还是机密航天跑刀好，至少容易丢包撤，小蓝都愿意塞包里,2025-03-14 19:07:10,0,2,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
68,0,257770825808,122714504,沐鱼不摸鱼,5,女,宿舍楼开局航空箱如何呢[吃瓜],2025-03-14 14:22:06,0,0,又菜又爱打,未知,是,https://i2.hdslb.com/bfs/face/868f3bbe179e32ac77a68de60dcfae19324e33c4.jpg
69,0,256910633073,1411531076,超絶最かわ可爱超天酱,5,保密,我见过这种的[超天酱表情包_拳头硬了],2025-03-13 15:04:02,10,59,†升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天††升天†,未知,是,https://i2.hdslb.com/bfs/face/1cfd1344d385767c08cdd605967dab0e7efa01d4.jpg
70,0,256897176337,501200187,Hina精神支柱,5,保密,啊？,2025-03-13 12:17:22,0,0,这个人很无聊，写了一大堆字,未知,是,https://i0.hdslb.com/bfs/face/ddfb23b6c842b860589905f353044998ecea4b16.jpg
71,0,256838622017,1985596471,勇往直前少女心,4,保密,我也出过这格式，不过我出的3×4是刀片服务器,2025-03-12 15:43:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
72,0,257588940672,263282502,花飘离人泪,5,保密,刀片服务器 俩个无人机 俩把滑膛枪 加一个香槟[脱单doge],2025-03-12 10:08:20,0,0,,未知,否,http://i0.hdslb.com/bfs/face/cd1b15b1f4707c674c6db84d41f4b02a3f3a0458.jpg
73,0,256809673297,2007382195,咔泽KAZE,4,保密,"投币打广告
本俱乐部单皆以跑刀，装备券作为启动资金

哈弗币跑刀，1比13w

小红单（双格）
18元/单，单局内出退8元
保底上限188w
 
中红单（四格）
38/单，单局内出退8元
上限388w

大红单（百万及以上物品）
98/单，
单局内出退18元
上限988w

火箭燃料 98元*1
卫星锅 28元*1
高级咖啡豆 12元*1

指定大红及护航私聊",2025-03-12 09:34:48,0,0,原神代肝，价格公道，魔术师新人up~,未知,否,https://i1.hdslb.com/bfs/face/cc938cca227ef8a4a432c384bc78cc87bc82211d.jpg
74,0,256768792561,23208559,电子竞技没有过年,6,保密,跑浮力开局2分钟4红,2025-03-11 17:34:41,1,1,(ᵒ̤̑₀̑ᵒ̤̑)哦,未知,是,https://i1.hdslb.com/bfs/face/d8500c467d25db76e750654e83d3ee879c9aa41a.jpg
75,0,257544036560,57939443,war_dog,6,保密,昨天裸着进图摸一个航空箱就变五头四甲了,2025-03-11 17:28:59,0,0,故失道而后德。失德而后仁。失仁而后义。失义而后礼。夫礼者忠信之薄而乱之首。,未知,否,http://i2.hdslb.com/bfs/face/99dc0e9f3cd1bcc49aa4b528b25e57c8799d2bde.jpg
76,0,256742345601,111070767,笑个der呀,5,保密,满满登登,2025-03-11 11:36:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/41b8e7a4980dc0cbb7545e2b18f1cd6f9d0d8ec3.jpg
89,0,256730654769,345654395,Rorschach丶罗夏,5,男,见过满的保险柜[doge],2025-03-11 09:01:25,11,18,,未知,是,https://i2.hdslb.com/bfs/face/591aa62fc0404dec95834c2cf0558e19c38c6f33.jpg
90,0,257440515104,411069821,Emmzms,5,保密,点进来前就见过了[支持],2025-03-10 12:06:35,0,1,,未知,否,https://i2.hdslb.com/bfs/face/90d568442d5b81efbf7241249e3b7089602c5c1e.jpg
91,0,256651852145,4711785,dsalndal,6,保密,我没见过[支持],2025-03-10 08:08:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e9980b8dc29c8cbdeb1db961fe5eec5b44dd600e.jpg
