序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261180248913,3494355184650261,臭气首,4,保密,同款改枪码（已精校）：M7战斗步枪-烽火地带-6FCB5J00EFDUI9JDLLU7K,2025-05-05 15:27:56,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4e23d6e5763be344b3388d0f4f68e222002ee950.jpg
2,0,262033219504,577780441,小狸酱呐,5,女,感谢教学[脱单doge][鸣潮_好呀],2025-05-04 15:56:08,0,0,,未知,是,https://i1.hdslb.com/bfs/face/318d397605cabbcdca3627ffbb6b41a2c5d1a308.jpg
3,0,260980111857,244504494,阿银的b站账号,6,男,选m7还是m14[笑哭][大哭],2025-05-03 11:04:29,1,0,123,未知,否,https://i0.hdslb.com/bfs/face/d5b0a36cd3144f056d2f74996a384a6394d382e3.jpg
4,0,260938855409,399728276,二分兽,5,保密,看爽了[打call],2025-05-03 01:40:01,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dbd79794d3189ee438c5a1c7f538289d054909ed.jpg
5,0,260762301169,3616853,蓝桥_X,6,男,我还是不会玩这个游戏能教教我吗@sjjxnns,2025-04-30 21:22:29,2,0,,未知,是,https://i2.hdslb.com/bfs/face/533464613b6e30d4a4e9ec6bd7ac61e5de754212.jpg
6,0,261445268160,418289414,吐司将军D,4,保密,M7战斗步枪-烽火地带-6G3IUG4088K3F0VLFD241，个人常用,2025-04-27 16:47:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/00752ad8f84089513dd0a502382e22d4dbfbe045.jpg
7,0,261086351824,3546623271504325,沙拉吧碧池,3,男,实测，好用,2025-04-23 08:35:22,0,0,,未知,是,https://i1.hdslb.com/bfs/face/dec116da7e1514850eb1c3515a72e7aeeddcf3f2.jpg
8,0,260946246288,37602118,SinCrow,6,男,这二次定位拉头，玩m14秒得更快,2025-04-21 11:56:28,0,0,理解，尊重,未知,是,https://i1.hdslb.com/bfs/face/3e732bbf4022d5fe3bdfbae917607b63bd1e8976.webp
9,0,260912153312,445616225,Juang_pe,6,保密,这我学鸡毛,2025-04-21 03:51:13,0,0,天上白玉京，十二楼五城。,未知,否,https://i2.hdslb.com/bfs/face/c2c8c1e3b624d752c4ca34a175c83645e7b54516.webp
10,0,260790318880,3546751858379610,泥石流发生的原因,3,男,6FCB5J00EFDUI9JDLLU7K,2025-04-19 14:49:10,0,1,,未知,否,https://i0.hdslb.com/bfs/face/312a95df692eb89aa04c86de8e75aedf2d7424a1.jpg
