序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257496469712,383094036,城南李爱己,5,保密,我的jet75在这  很需要,2025-03-11 06:42:12,1,0,,未知,否,https://i0.hdslb.com/bfs/face/cf8c5e6c93dc415c8c30a65021ed58e6ade405b7.jpg
2,0,255340355776,405600114,哈比下的雨,5,男,这个用了半年多了 感觉挺好用的 脏了直接水洗 可塑性很好 触感也不错 唯一缺点就是会变形 不太美观 能接受这个就没啥缺点,2025-02-14 04:37:17,2,0,利刃随人,未知,是,https://i0.hdslb.com/bfs/face/3fd297541d2be9b9aa4739a2ec27ff240084b5a5.jpg
3,0,254608222561,3546599712098987,欧皇狗头猫,4,保密,我就没有这种烦恼了，蝙蝠骑士的键盘自带手托[滑稽],2025-02-13 14:53:44,0,0,,未知,是,https://i2.hdslb.com/bfs/face/76c43d206d1d71ffdb2fdb15f3608bb750e8768a.jpg
4,0,254424646976,19933026,不吃葱花的直至,6,男,没货了啊   超慢回弹能不能做个大号的？想要,2025-02-04 17:14:43,0,0,宠辱不惊,未知,否,https://i0.hdslb.com/bfs/face/9fe464b78635ecdb17ca1d0ed3d28756ea6af25e.jpg
5,0,253767773025,2206185,小石多餐,5,男,我吃右边那个,2025-02-04 17:14:15,0,0,大概是个烂人。,未知,否,https://i0.hdslb.com/bfs/face/2db368ffd14be860eef73ba098e68c8485cf8e94.jpg
6,0,253767460993,1044591557,爱捏溪溪,5,保密,我以为是两个面包[微笑],2025-02-04 17:09:53,0,0,,未知,是,https://i2.hdslb.com/bfs/face/01c37122a2c9bf64c7d5fdf8cb9cfa9803e88a97.jpg
7,0,253767213409,276597377,Oveana,6,女,看看腹肌,2025-02-04 17:05:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6752a2a82d5118a19c0edc1ceb6ea478702a915b.jpg
8,0,253765118129,475810990,挨透忍者常陆茉子,3,保密,0元手托。每次去澡堂都会送一条，想要多高就几折叠。现在这个是3x2＝6初始厚度,2025-02-04 16:34:06,1,0,,未知,否,https://i1.hdslb.com/bfs/face/a44b2ddd8e7b8824521cb3cfde0102392126f2da.jpg
9,0,254421611888,1347290915,超级爱milet,4,保密,[笑哭]相关视频,2025-02-04 16:29:00,5,12,,未知,否,https://i2.hdslb.com/bfs/face/8c073b285e1bfb57420a54c1cbbe60bbfca7705b.jpg
10,0,254421230608,17464010,时之哀伤,6,男,很多国产键盘前高特别高，不用手托不行的,2025-02-04 16:24:45,0,0,还是想得太多，作业太少,未知,否,https://i2.hdslb.com/bfs/face/9dc46850a5cdf393435930098d9962a35d4553b4.jpg
