序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262143403040,28205008,东咚东咚咚咚咚,6,男,此事在巨人城废墟亦有记载,2025-05-06 02:55:36,0,0,发弹幕就好,未知,是,https://i1.hdslb.com/bfs/face/85532f1cf482176b0a8949cf1c95254bf21f1696.jpg
2,0,261925730240,3493276820703627,DSSC后裔,4,男,牢雷和牢塞:666谁家罗尔夫从卡莫纳电视台跑到三角洲了[doge],2025-05-03 13:11:22,0,1,"DSSC后裔B站账号，
一个不爱更视频打游戏还挺菜只会苟分的入罢了",未知,否,https://i0.hdslb.com/bfs/face/daacf19014a06bfd6587bcd401411b58bd9792e5.jpg
3,0,261655045520,586720420,竹安满天星,5,保密,就刀过劳赛，普坝跑刀时候，威龙加速冲上二楼装他怀里，三两刀剁死，才发现是劳赛,2025-04-30 10:44:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/5c31e01d6b2f20920f85a321e571fc05f006ac83.jpg
4,0,261577132624,3546745805998916,苏某77,3,男,我铁人三项完成了,2025-04-29 11:24:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8f2f39ef752c17b6a9a1e3c7feb547d9f486b484.jpg
5,0,261545744416,253235419,苧檬水,5,保密,和牢塞对过枪和牢太对过狙。但这个互肘真的没干过,2025-04-29 03:48:00,0,0,"这个是群号1022021174
要一起玩的话加一下。",未知,否,https://i1.hdslb.com/bfs/face/71c1ed98f4ef2fd95ca46e29404f8f45aa1bbb5c.jpg
6,0,260617640385,93940352,哈喽ENXY,6,男,我也是拿刀杀了雷斯，然后工具箱就出炮弹了。队友开保险什么都没有,2025-04-29 02:44:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e59587c0b3fa5c7d45607426960ab4ee7d60fc64.jpg
7,0,261491097008,484591794,SOP好耶,5,女,昨天赶集交易完之后跑酒店顺手给雷斯刀了，但后面被他护卫抽风全自动打了[笑哭],2025-04-28 09:53:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7b102cf1ff1e5b5e3c018d89172244de439fc258.jpg
8,0,260521088753,450688163,是木梓林啊,5,男,我勒个无极剑圣,2025-04-27 15:50:43,0,0,当一个人抵力前行，整个世界都会为之让步,未知,是,https://i2.hdslb.com/bfs/face/074165bea871ffe0ec63b33dcd7e74bd39beea54.jpg
9,0,260517659745,408686482,吃伊万的喵酱,5,女,@tenpsen @凯里欧呕鸥殴文,2025-04-27 15:07:10,0,0,是在个中幸大上学的大学牲,未知,是,https://i1.hdslb.com/bfs/face/82cb990b793b20c57127e24aef73116dbcf3e260.webp
10,0,260422478705,3546734319897151,落于海无处寻,3,保密,置之死地而后生，不至绝境就无法爆发最大的潜力，哈基狼你这家伙,2025-04-26 11:14:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6511fafb71fb2c099e0836f2321095b922d94af0.jpg
11,0,261325120976,12003129,NikeBilly,6,保密,牢雷不可怕，怕的是带着一群小弟的牢雷,2025-04-26 07:56:44,0,0,"台湾省是中华人民共和国不可分割的一部分！
警惕个别分裂分子、行走的550W！",未知,否,https://i0.hdslb.com/bfs/face/2c1cbf75b7de0fe4a9300835c5068810837f1fde.jpg
12,0,261311230208,1842451517,YF小哀三角洲娱乐,5,男,新创的俱乐部缘分俱乐部缺打手有人来了吗？,2025-04-26 04:43:09,1,1,,未知,是,https://i2.hdslb.com/bfs/face/057359ee40c36895df59eb2fe684c58e982708d6.jpg
13,0,260356256625,3493145983584796,烧饼凿冰,3,保密,@蓝月亮计划 @羽宏xy,2025-04-25 14:35:00,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4a64a573011c1c435099f4788aa645293e320b14.jpg
14,0,260355296801,3546383288109167,鱼猫AX,4,男,雷斯也就那样,2025-04-25 14:24:00,0,1,,未知,否,https://i2.hdslb.com/bfs/face/60c319a7271cba623e4b9fa163598f6a0524d994.jpg
15,0,260320013745,693157954,我将扭转_万象,4,保密,普通跑刀雷达出了一个100万的阵列，20发子弹的野牛（舔的人机），我直接一打2，我都不知道自己怎么做到的,2025-04-25 06:10:11,1,3,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,260306256129,3493116826880551,龘记八,3,男,@会飞走的照片,2025-04-25 02:47:15,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ff2a8e4c07eb2a069dadb5f3a81c278c1d4e7186.jpg
17,0,260250935761,287143985,国民情绪哥哥,5,男,斧头是不是不好刀,2025-04-24 08:06:21,0,0,,未知,是,https://i2.hdslb.com/bfs/face/694049278a443fc8c1cf47373b61ee886bb0b6f8.jpg
18,0,261138097808,3494359190211114,薄炒Makima,4,男,蓝鹰直升机驾驶员:在想我的事？[doge],2025-04-24 01:37:08,0,0,可以没活不能不活,未知,否,https://i0.hdslb.com/bfs/face/1fa601982568479ffab30bac436c751a226e9c25.jpg
19,0,260206993041,3493136567372592,萨班卡甲鱼,3,男,我是你们的肘击王雷斯,2025-04-23 14:55:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/67e4353b993fa4241b7e8b28ae8a664dc2c08c3b.jpg
20,0,260202991745,36041758,不可思议之旅人,5,男,这玩意多少血啊,2025-04-23 14:07:18,0,0,,未知,否,https://i1.hdslb.com/bfs/baselabs/bc1ffbdca78afa3d2fd65a4fff29f97949fa80e9.png
23,0,261068214304,3461575922944526,龙骨米切尔,5,保密,[热],2025-04-23 03:48:56,0,0,上学力（大悲）,未知,否,https://i2.hdslb.com/bfs/face/f1d88a492266064bc70150ca1777e64cffbc9735.jpg
