序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262013209968,3546768390228747,叮叮咚咚可可爱,3,保密,博士护送队都还好，除了那个盾兵是超人,2025-05-04 12:18:27,0,0,哦了,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,261749869024,19443845,白月179,6,保密,世界名画hhhhhhh,2025-05-01 12:54:06,0,0,喜欢小猫，喜欢小马，喜欢海豹,未知,否,https://i2.hdslb.com/bfs/face/1b937eec0ea5138d010540c1032b09cc251a7d3d.jpg
3,0,260796407089,1023886259,二币尊者来也,4,保密,"啊哈，我二币尊者路过[脱单doge]
*你感到仁慈浸润了心田
*你感到毅力振奋了躯干
*你感到正义充斥着双臂
*你感到诚实轻附在双肩
*你感到勇气贯穿了脊梁
*你感到耐心流淌于耳边
*这一切使你充满了决心[笑哭]笑点解析:冷知识：B站评论发到15个字以上，可以获得经验值，我就是过来蹭经验值的
B站发评论只需要超55字可以加很多经验，，所以我遇到的每个视频都会发一遍这段文字
B站发评论只需要超55字可以加很多经验，早日变成lv6硬核会员，所以我遇到的每个视频都会发一遍这段文字哈哈哈用来蹭经验，只要我坚持下去，马上就能变成LV5了",2025-05-01 07:40:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/79a33b2e1bb2318eae3c1ad8389672da4ff98dc1.jpg
4,0,261590672208,1773219744,使劲叫唤策划老王1957,5,男,博士以后发大财，博士以后天天顺利[胜利][呲牙],2025-04-29 14:14:18,0,0,账号封禁中,未知,是,https://i0.hdslb.com/bfs/face/557b29948a0719f7d79cd2263016d3f8212ca829.jpg
5,0,261263541456,3461577109932311,Dove_noT,3,保密,找了半天,2025-04-25 13:03:50,0,0,,未知,否,https://i2.hdslb.com/bfs/face/24384c91436a90ccf6f9371140926f2582734241.jpg
6,0,260279610209,3546573803883187,龙舟划划,4,保密,更新一下吧,2025-04-24 14:44:41,0,0,,未知,否,https://i1.hdslb.com/bfs/face/77460679bb671deb58d9ce8f75376bbe138db7fb.jpg
7,0,260255893377,3494364770732287,Z-99A,4,保密,还记得一次接博士，在停机坪上等撤离，有一个六甲五头的红狼来冲我们，只见那个红狼一个起跳在接一个滑铲再接一个战神起跳扫射，然后被盾兵拍斯了,2025-04-24 09:29:39,0,0,9爷不满万，满万不可敌,未知,否,https://i1.hdslb.com/bfs/face/405f514a6b0a63f48554208295ed31be49cb8ad6.jpg
8,0,260229420481,245217999,六个硬币改了这个名,6,女,在保险的位置给干灭队了,2025-04-24 02:06:13,0,0,,未知,是,https://i0.hdslb.com/bfs/face/af25f9000e437350563d5ebb6439b8aaa0021474.jpg
9,0,259915935009,3493093405887068,象限构造者,4,保密,终于知道这个表情包出处了,2025-04-20 00:08:12,0,0,"有事私信或QQ@我
QQ号：3945411577",未知,否,https://i2.hdslb.com/bfs/face/491b8dd32d492db24d133e63cfb5ebfdca84f809.jpg
10,0,259838061185,3546393337662279,如我似我非我相,5,保密,经典,2025-04-19 02:42:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/054d3a87a841d80317c1560d57f1ab8971e88d91.jpg
