序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261504366576,3493123156085547,-莽泉-,3,保密,够惨,2025-04-28 12:39:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ca6a574e771b001777ec733015a0a2478e86434b.jpg
2,0,261504356720,3493123156085547,-莽泉-,3,保密,[doge_金箍][笑哭],2025-04-28 12:38:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ca6a574e771b001777ec733015a0a2478e86434b.jpg
3,0,261410484080,2005624629,Yiukilido,5,保密,当鼠鼠的时候遇到一个好鼠鼠能开心一天。,2025-04-27 09:16:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5b357d07d8faab367e87e6d352940c0dcfb69991.jpg
4,0,258355766800,2052030012,奈晚北,4,女,"交友言论 礼貌借楼，up介意可删（￣▽￣）
10后初二生，本人男，VQ都有，说话有时会有点磕巴，有一点点社恐，想找一个年龄差不多的搭子最好会找话题已经脾气好一点的，希望空余时间多，周末可以上线，平常也可以聊聊天那种，刚需开麦因为边打游戏边打字真的有点麻烦[原神·枫丹_下雨了]，有一些简单的电脑问题都可以问我
我有游戏资源网，纯绿色，想找些水友一起玩cod16（学习版，可局域网联机无需购买）最近想买双影奇境一起玩（双人成行和逃出生天已通关，以前的搭子被收电脑了所以玩不了），不是很贵的游戏基本都可以买，基本没有性能焦虑（3060ti+13400f）[原神·枫丹_好戏！]手游玩王者v星耀五，端游基本都有接触过，例如森林，泰拉瑞亚，使命召唤冷战/现代战争，星露谷物语，cs，minecraft，地平线5，战神4-5，荒野大镖客（非正版），植物大战僵尸和睦小镇，原神，三角洲
最近主玩原神和王者，因为很多游戏没有搭子一起玩，有点游戏荒希望给点新奇的游戏，想接触恐怖游戏但是有点不太敢玩[原神·枫丹_补充能量]
欢迎私信！直接发自己在玩的游戏，以及以后买游戏的规划，活跃时间等，打算建一个中体量的游戏群（好脾气的来），然后呢刷到什么好的游戏也会分享出来大家有空一起玩，周末搞搞团建一类的，希望可以让没朋友一起打游戏的找到游戏搭子
重申一遍，没钱买游戏的也可以来，资源网有些游戏是可以局域网联机的！[原神·枫丹_补充能量]",2025-03-21 15:57:00,0,0,"新人高中生主播
寒假回归
纯手工代肝
全程直播",未知,是,https://i0.hdslb.com/bfs/face/e7fd4b2b989187519c27f746c298ff402293b917.jpg
5,0,255398215905,1170274057,重装上阵真嚎完,5,男,手机版永远也体会不到[大哭],2025-02-22 15:55:57,0,0,爱玩重装和MC的屑，wwr炒鸡老萌新，ikui一个,未知,否,https://i1.hdslb.com/bfs/face/dd89363a61193c39876636e50791ba2408f9f91f.jpg
6,0,255085687521,35094953,遊戱鬣豞,6,男,没看完有送钻石的嘛,2025-02-19 03:54:51,1,2,无偿解答任何人生问题，仅供参考。,未知,是,https://i2.hdslb.com/bfs/face/7c3befbf4f05ab0b84cb0cadc2af84f1aad5d33b.jpg
7,0,254698401120,1086146608,爱自由的小孤独,5,男,让我想起我这一把了，这把开局十分钟那会儿后面就没有打斗了，可能也就死了一两队。后面我们达成和平的人都在这。人太多了而且比较分散没有截全，还有几个鼠鼠到最后撤离都没敢来。手机端这个太难得了[少女乐队的呐喊表情包_泪目],2025-02-07 13:52:59,0,10,梦是现实的延续而现实是梦的终结,未知,是,https://i1.hdslb.com/bfs/face/e1f051c7865a820e77443f0400a9754e9def881b.jpg
8,0,254687113072,1101525429,生吃生抽的朋友,3,保密,在哪能看到博主的直播呀？,2025-02-07 11:59:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/5829a0461d0e321d5c68f8f6ecedb4b7bba61741.jpg
9,0,254600047600,1108816923,流水那么低你睡得着,3,男,蹲个大佬，摸金我就在后面捡垃圾吃[OK][OK][OK],2025-02-06 13:52:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d5a2894a8338743cb17299b69f67f63e0147430a.jpg
10,0,253918982225,472874552,鸠个鸡,5,保密,感动了🥹,2025-02-06 10:49:29,0,0,,未知,否,https://i2.hdslb.com/bfs/face/44a2cdc5a8125ef6e8c73f0df4879111b3650371.jpg
11,0,253908959969,1103329657,理-塘-顶-针,5,男,举办了，非法组队[doge],2025-02-06 08:55:53,0,0,6,未知,否,https://i1.hdslb.com/bfs/face/0fb37843f39f0ae4e492a78e456dab2925733b67.jpg
12,0,254529855264,1947311745,蛋白的粉丝粉,2,保密,他摆的像一个白,2025-02-05 22:39:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b7a5e038e79f33c195c4ded47927f1e0a45abfdb.jpg
13,0,253852418545,453970496,as凝泉,6,保密,老太：今天航天好安静啊,2025-02-05 15:26:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6bfd4d9ad0211916218a6f23ee2d42efbec25e44.jpg
14,0,254510483664,3546631005800620,特遣队员特种兵,4,保密,我还记得小鼠那一集,2025-02-05 15:01:09,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0edc4461bc9137d7b9308a946b1731e3a53de01f.jpg
15,0,254508498672,90425510,章鱼哥50,6,保密,唉，前两天大坝跑刀碰见一个，我拿枪打他，他就是看着我左右晃，我是真的不忍心打（枪法还行能秒，也就是马这两枪看到不对了）走过去给他开了摩斯门，他也没拿房卡，就走了，我都有一个带他清图的冲动了[笑哭],2025-02-05 14:41:54,0,1,,未知,是,https://i2.hdslb.com/bfs/face/787c32d9d0047be562464d06ac56a6f2dd1bbd01.jpg
16,0,254492201264,104682414,成成----,5,保密,最好的配置是朋友！v区端游玩战场一个人玩太无聊，找固玩一起玩。,2025-02-05 11:55:55,1,2,,未知,否,https://i0.hdslb.com/bfs/face/64f0d724bd1a6bb69d9c3f07dac7c73f6c84d7a6.jpg
17,0,253795572929,35181755,不是错觉我可以,6,男,pc端打暗号了   撤离还有1分钟    整局结束还有2分钟    依然被捕了,2025-02-05 04:42:32,2,3,,未知,否,https://i2.hdslb.com/bfs/face/1e05460c011df75c0d4d7a412ec04da73a04a4fb.jpg
18,0,253790605889,3493126582831382,蓝莓味羊驼_,2,保密,越看到后面就越想哭T﹏T,2025-02-05 03:44:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
19,0,254436129936,1266654516,寓教于乐乀,5,保密,我装备配台电脑玩pc三角洲 稳定90帧只有3000预算能配出来吗,2025-02-05 00:41:59,2,1,,未知,否,https://i0.hdslb.com/bfs/face/73e629246c00740c05c4c3a91ebc1f81555f86b9.jpg
20,0,254431268528,3537112169188248,龙辉哒哒哒,5,保密,这就是三角洲老弟!@时光Buddha,2025-02-04 20:38:40,0,0,,未知,是,https://i0.hdslb.com/bfs/face/aedd82c3b9c2fa27002f67a5c630daf104d48702.jpg
27,0,254373093568,8557734,狐生若梦还得努力,6,男,还得是白泽长官，能拉很多水友！,2025-02-04 07:36:42,0,0,Do you what you want do.,未知,否,https://i0.hdslb.com/bfs/face/29f27e746a7e4fca1b6bb39b1feca25eddda2544.jpg
28,0,253688929441,3493260674730574,我善良别当我傻,3,保密,@三角洲行动,2025-02-04 01:19:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,253684466449,2097367186,最后的喵桑,5,保密,老太:你大业啊？小b崽子给我干那了？这还是航天吗？GTI打过来了？,2025-02-03 22:49:26,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f1317e8aa7cb6c4f7f5fad7147ba285b19657cef.jpg
30,0,254245368240,526497440,海炎齁咸,4,男,求 BGM,2025-02-03 00:44:51,1,0,新人 UP 主请大家多多关照,未知,否,https://i2.hdslb.com/bfs/face/15583897052a777c663a74d51073c1f9d0d7d489.jpg
31,0,253591610097,3909854,论剑挨打的一俊,6,保密,忠！诚！,2025-02-02 21:44:44,0,0,天刀萌新一只,未知,是,http://i2.hdslb.com/bfs/face/2ddecfaffd4eca54d85294df7f0797d25eeaebe4.jpg
32,0,253547643825,76950690,a弯道快才是真的快,6,男,有没有人可以给我送个油[笑哭]，爆又爆不出，撤又撤不掉，对别人来说只是哈弗币，对我来说这是升级仓库必备啊。。。,2025-02-02 10:31:21,0,0,且随疾风前行，身后一许流星,未知,否,https://i0.hdslb.com/bfs/face/16fe941899bce1fb50fa6c6f2262ba1e8a7f755a.jpg
33,0,254196024592,3546773876378435,三角洲给我出心啊,2,保密,三玄武，没有坦克[笑哭],2025-02-02 10:07:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e013362cffc80f13cccefcbc2b0ca1b1ae1af9e8.jpg
34,0,254160961056,305876131,星宝不是萌妹,5,男,《78》,2025-02-02 03:16:57,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ebe2ba213760806e17a11cdcc78f0cce93f49be2.jpg
35,0,253495405105,28535090,冥归渡,6,男,有人一起嘛,2025-02-01 19:05:39,1,0,你永远都不知道明天会发生什么事情,未知,否,https://i2.hdslb.com/bfs/face/e40563e89d2acb43c8ceec185eb842755591303d.jpg
36,0,253480096145,1411975668,忆夏亦人,5,保密,这不是三角洲的魅力，这是朋友的魅力，游戏最高配置是朋友是兄弟，当你又钱时不一定有朋友有兄弟有时间玩游戏，但现在如果说你有时间有朋友有兄弟陪着打游戏请珍惜眼前人和眼前的时间，有没有钱有没有和的配置无所谓，时间和回不去的他（她）最可贵。致敬那些陪我玩游戏的人。[抱拳][抱拳][抱拳],2025-02-01 15:01:03,0,8,,未知,否,https://i0.hdslb.com/bfs/face/1ab27aa7f49fce9a7ca3cde390fb4fe3c2e93133.jpg
37,0,254109710016,33791714,冷晖c,6,男,给长官🫡,2025-02-01 11:57:46,0,0,有一种童年的梦想叫做彩虹海,未知,是,https://i2.hdslb.com/bfs/face/5f770507515643888e47ddcdee2e1f058e882708.jpg
38,0,254058117616,3537114541066746,0一o一0,4,保密,我哈弗可以就剩两百五十一了,2025-02-01 01:33:09,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e373c1485ac3491315a7df716e3edd3549d4ed8b.jpg
39,0,253407566993,59695969,王小小强,6,保密,除夕一把因为错过拉闸走的游客中心撤离点。路过空投舔出一个玄武,2025-01-31 22:20:22,0,0,cheer，bilibili,未知,是,http://i1.hdslb.com/bfs/face/6f5a715a401e6b1f07c7a72194dd45ea03c408c8.jpg
40,0,253401805345,3546654676355897,qqwrse,2,保密,你们谁可以带一下我吗,2025-01-31 17:56:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
41,0,254031711824,3546791163202108,辟邪是一只貔貅,2,保密,此时的座钟，已经变了他本身的意义……,2025-01-31 14:42:09,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c559dec742e7bd4ccfe2b72523fba693c92b60ec.jpg
42,0,254018419440,3546554516376337,坷Dlgu,4,保密,@萧毅辰,2025-01-31 12:23:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3826926664b0941a7117f021cad1a6aebeb36472.jpg
43,0,254002886912,3546845986949746,天下第一加油姐我,3,保密,我角洲的魅力确实很大,2025-01-31 09:32:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
44,0,253985443008,1543704536,Jasper饿了,5,男,想起来以前Apex最后一个圈打拳的氛围[墨镜],2025-01-31 05:51:36,1,5,普通大学生/通信工程/五星好市民,未知,是,https://i2.hdslb.com/bfs/face/9cbef57c3b9586f83d620961e9dda2b637343f61.jpg
45,0,253333382305,3546633753069577,梦中镜如月,3,女,快破产了。,2025-01-31 03:47:47,2,1,"除了生死
皆为小事",未知,否,https://i1.hdslb.com/bfs/face/f9ff6190ea54a13a8b3306e4b1b09f5da562062a.jpg
46,0,253161056017,3546792568294086,甴曱666,3,保密,我有两个玄武。,2025-01-29 04:37:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8ff359897054c623390a257dbc163730d77a6e45.jpg
52,0,253775070368,1035412223,我要看野史口牙,5,保密,火箭：头一次载这么多人，这还是航天吗？谁给我搬战场来了？,2025-01-28 21:54:33,0,1,混吃等死咸鱼一条,未知,否,https://i2.hdslb.com/bfs/face/248662736cc9c4af1190e5f9b772de6601757ef9.jpg
53,0,253731527616,3493135067908817,老雷别背锅,3,保密,刚看我挺难受的，因为暗区比不了，但是，我一想，在三角洲之前，暗区就有了，还是近赛季，不信的，去看梦求真给粉丝扶贫的视频好吧,2025-01-28 10:36:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d75f80f245f83a32b66e05b4c9a09f556cdc514f.jpg
54,0,253671954320,485009124,吴克007,4,男,新人航天巴克什求带，求教怎么拿信息和培养意识，谢谢好人老大哥了[抱拳][抱拳][抱拳][保佑][保佑][保佑],2025-01-27 17:56:27,1,6,,未知,是,https://i0.hdslb.com/bfs/face/aae7f77aaa3ac6b194f228e304021ffbbbea56c9.jpg
55,0,253035829809,475655064,闲不住的anke,5,保密,魅力个屁，他们打了5分钟信号不打一起撤，送了两个钟给队友到了撤离点直接把我们秒了，看笑了以后尽量不要信,2025-01-27 16:04:25,0,1,,未知,否,https://i0.hdslb.com/bfs/face/ac705cfa8598a7d37c6fa2735a5b4d282931a209.jpg
56,0,253663463088,3461581734152840,學游,3,保密,BV1ghfbYHEC3好像有什么奇怪的东西,2025-01-27 15:49:57,3,0,,未知,否,https://i2.hdslb.com/bfs/face/e1e20b13ec2feca9ad634c373adaf8eba8334a1d.jpg
57,0,253606135856,449939202,碎月吖,5,保密,我也想找一个手机端的固排啊[大哭],2025-01-27 05:23:25,0,0,,未知,否,https://i0.hdslb.com/bfs/face/8551bb563de63463bba30624908eeef5148dfe66.jpg
58,0,253601121968,2011746722,社会你冲冲,2,保密,好感动,2025-01-27 04:28:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7e4e6f17a9aefc6c5565358673ce0619a12424e4.jpg
