序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260468575969,194733651,奇怪的水瓶儿,6,男,这不是金枪客的枪嘛,2025-04-27 03:13:52,0,0,做平凡的梦，做最不平凡的事。,未知,否,https://i0.hdslb.com/bfs/face/096b21e420f921a4d6643f30b1c384123b733168.jpg
2,0,260276590385,1614439996,蒼血冥灯寝不足BlooDArK,5,保密,[热词系列_啊?],2025-04-24 14:08:09,0,0,“吾是绝对的邪恶，偶尔也化作正义的天平。”通宵是常态，昏睡也是。专精Ⅲ落井下石。在观测自我的路上渐行渐远。汝等所见的“我”皆为由假得全。,未知,是,https://i1.hdslb.com/bfs/face/da6b233da5370fda56deebaada48345362a8e517.jpg
3,0,260734387376,397328636,熙啓,5,保密,就是，问一下，九格的保险箱怎么弄啊，我一直没找的[大哭],2025-04-19 03:13:05,0,0,,未知,否,https://i2.hdslb.com/bfs/face/cdac890b17e3f917036d702d91b4487ec9a3e301.jpg
4,0,259459895601,620048972,佩佩ep,5,男,前天刚缴了一把一模一样的[笑哭],2025-04-14 02:15:41,0,0,为人民服务。,未知,是,https://i2.hdslb.com/bfs/face/b2d4d210ea8cd37ed08949b7ddcc85364f81c9fe.jpg
5,0,260230120064,22164704,御剑飞行脸着地,6,保密,本集知识：好兄弟是拿来用的,2025-04-12 16:27:37,0,0,欢迎喷子进来玩玩，来了就别走了，毕竟你十族马上就要撞大运，魂魄都要被吸到这里炼化。,未知,是,https://i2.hdslb.com/bfs/face/f647b07a6d0eec6810829a031a0ca54f65a414e6.jpg
6,0,260222298752,3493109583317019,nsanasan,4,保密,玩成apex了,2025-04-12 14:55:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6c8b3ecfcaeaa97cbd28246d75f145d609068901.jpg
7,0,259276637713,607069,看似平平无奇其实很帅,6,男,其实就应该这样匹，以大欺小是搜打撤中很重要的一环，不然你觉得五套是比四套好看么，也不好看呀，凭啥贵一倍。不以大欺小摸金毫无意义。摸金就是为了以大欺小。没有以大欺小，以小博大的乐趣也就消失了。,2025-04-11 17:16:24,0,0,我一般不会骗你。,未知,是,https://i1.hdslb.com/bfs/face/58ac1d76110fc3a73796e1bef081c37dd253f643.jpg
8,0,259026761201,234550297,御坂10384号,6,保密,开局队友骂骂咧咧的把钱给了（,2025-04-08 13:31:56,0,0,御坂10384号，某非常不科学的动态御坂[uid:100103733],未知,否,https://i1.hdslb.com/bfs/face/1df868f23a60bc9f355b41c4b02bcd2fd9ef6fab.png
9,0,259699407888,232760636,Diamonds小释,5,保密,视频最后up为什么飞升啊？这里打了博士那队不是可以从博士那边安全撤离么？萌新诚恳提问,2025-04-06 08:38:07,4,1,,未知,是,https://i2.hdslb.com/bfs/face/138c1b563585ea74998f1cdc35ff5b383bc70700.jpg
10,0,259070818112,441560517,亓官樂樂,5,保密,qwq[笑哭],2025-03-30 05:21:29,0,1,阳光快乐小男孩，直播时间不定。主玩原神，次玩星铁。其他游戏随机掉落。,未知,是,https://i0.hdslb.com/bfs/face/a736e5940df1f364d7468ffe3bc727344c213621.jpg
11,0,257558445601,11303997,11月6号夜钓休闲塘破百,6,男,修脚之都-巴克什洗浴中心VIP贵宾区巴别塔,2025-03-21 16:39:03,0,0,总有一个人她自人山人海中来。来时携风带雨，你避无可避。走时乱了四季，你久病难医。,未知,是,https://i0.hdslb.com/bfs/face/ca6331ba7fe3d57f40b51e72c23d1c0964c5e7a2.jpg
12,0,257473749457,83092375,无相燹主,4,保密,"QJB201轻机枪-全面战场-6F9DRDS05VBTF43TO6PHL
这个，包好用",2025-03-20 15:33:50,0,1,夏至,未知,否,https://i1.hdslb.com/bfs/face/463a6b76727d007f4a5d438efdfeb1a207090eb4.jpg
13,0,258128645536,3493264095185538,雨天火尊者,4,保密,被打飞了。,2025-03-18 19:49:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a0429446d384399d238cb5267a1e886313e7436d.jpg
14,0,258124626336,513730148,樱桃怎么那么贵,5,保密,我看很多主播玩的时候都有不报信息的麦小鼠啊，为什么对这个up恶意这么大,2025-03-18 17:16:45,0,2,你进我主页查成分的样子真是可笑捏,未知,否,https://i2.hdslb.com/bfs/face/e915ea1142d28390a17f92b7ee7af94241bf5075.jpg
15,0,257972374544,50402012,自有大儒为吾辩经,6,男,我今天一个人吃巴别塔，没人进来绝密，400w得吃[doge]没开卡,2025-03-16 21:23:09,0,0,当你不过脑子回复我评论的时候，不是我不能回复你，而是我觉得没有必要对一个不讲罗辑思维的脂肪，产生人类行为,未知,否,https://i2.hdslb.com/bfs/face/c803e403c38c4930d428a61e80595e6a9be5feaf.jpg
