序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259798362768,452390409,金甲蟹,5,男,想要娃娃那，[阴险][阴险],2025-04-07 12:36:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a91acbce6e747af9a7d3dcdfab79b8c06cbcde13.jpg
2,0,259011812480,628645521,sunjiajun_666,6,男,我玩过，拿95式打爆一半[doge],2025-03-29 12:04:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a3665f1160f410315853e3505cdde639233bbdd6.jpg
3,0,258723438512,499618620,tienan0412同志,5,保密,这种枪，最怕子弹不好或者一枪出两发子弹,2025-03-26 04:13:46,0,0, 英特纳雄耐尔，就一定要实现,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,257874301761,1962669677,用户193926,5,男,这不按子弹算钱吗？一袋子弹xx元，气球随便打,2025-03-25 14:15:59,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7aa91c442e9be242ac6096de57a33ec572653ad4.jpg
5,0,257856484273,40945290,鬼魅소년,6,男,能不能不切画面，想看看完整版到底有多准,2025-03-25 10:37:01,0,0,自閉症,未知,是,https://i0.hdslb.com/bfs/face/7a2d7f779eb2beddea077d1668cb863f4ec00d4d.jpg
6,0,257839212769,32964,SherryEX,6,男,[笑哭]小学二年级的时候春游去公园玩，同学玩吸盘弩枪的游戏，前4枪都没打中中奖区域，我说最后一枪让我来，然后我一枪打中了特等奖的范围，结果那个老登伸手把我的子弹挪了一下，说没全在圈里不算！30年过去了还耿耿于怀，后悔没喊老师来评理。,2025-03-25 06:05:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4ae538caf543b095ddd34ed66511137930b0895d.jpg
7,0,258512466480,2739009,再见了可可亚,6,保密,神枪手退役了？,2025-03-23 11:48:24,0,0,已经看不懂了,未知,否,https://i0.hdslb.com/bfs/face/328167bf9c2ad23d815fa7e33efbec663420527f.jpg
8,0,257455221457,3546389053180469,小鳄鱼爱奶茶,4,保密,有谁注意到开头的彩蛋：老头还打出了KO完胜的字样,2025-03-20 11:37:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bef26d4936f953d37d4736d3088f64892d8abf12.jpg
9,0,258186759840,483099207,失忆阿狸,6,保密,wc  这么离谱？,2025-03-19 13:59:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b5f233c967c4f9304cc2adde3f059693bc7f4e65.jpg
10,0,257170574033,421662,锐眼白豆芽,6,保密,老板太老实了 一般都是不满气的气球混一半满气的 不满气的 你让神枪手来都没用 根本打不爆,2025-03-16 15:16:55,0,1,,未知,是,https://i0.hdslb.com/bfs/face/53ca9559e68d024b5d4f563c0fac9b97b8f59aca.jpg
11,0,257838360000,3546716087257337,是沫白不是小白,3,保密,up你三角洲ID叫什么啊？能加吗？[星星眼],2025-03-15 10:14:10,0,0,,未知,否,https://i2.hdslb.com/bfs/face/23b0e8f902e19b121e67fe9b937ee440ec09672e.jpg
12,0,256500079953,388089565,和泉纱雾のLYX,5,保密,店主:禁止职业选手参赛。[艾尔莎收藏集_偷笑],2025-03-08 10:25:20,0,0,不劳者，不得食。,未知,否,https://i1.hdslb.com/bfs/face/67b4cc11f867989ea81f591ec0a6418f080c42c7.jpg
13,0,256253657536,525895607,Theheadofhell,5,保密,我估计肯定是退伍老兵[doge],2025-02-24 08:01:50,0,0,Советский&Deutschland即是正义！即是真理和神明！消灭jüdisch.细胞和Япония怪兽！,未知,否,https://i2.hdslb.com/bfs/face/9cbcbd3b9487d5c36b748d4eea73b8904919e44f.jpg
14,0,256171198336,19943308,Kenzero,5,保密,小拳拳锤你胸口 又不敢,2025-02-23 07:41:31,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f56597c9eaf695a1c0e2a44491b7fbac4a3dc0d4.jpg
15,0,255354900497,3494374738495899,bili_51328101775,3,保密,上一条视频还给他伤感的，这一条又来,2025-02-22 07:24:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg
16,0,255290809537,1519592779,勒16与汉44,5,男,这是沈阳的南湖公园吗？[doge][蹲蹲],2025-02-21 12:16:41,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2138238bd6c9e06ceaac9720408b073e314d7244.jpg
17,0,255964865344,529085347,憨憨的一个猴鸡,5,男,那种枪怎么做到那么快的攻速的？神力啊？,2025-02-21 02:58:53,0,0,世界的真理，我已解明！哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,未知,是,https://i1.hdslb.com/bfs/face/9831383fd8e9d8e7ff88420a9238c4feb8278d1d.jpg
18,0,255128812513,85962263,按altf4更新游戏,5,保密,《老兵回归》,2025-02-19 13:21:59,0,1,,未知,否,https://i2.hdslb.com/bfs/face/4ab1049d72f83151a615a2d978ec83851528a367.jpg
19,0,255111592337,434390581,二姜CAT,6,保密,[酸了],2025-02-19 10:04:19,0,0,,未知,否,http://i1.hdslb.com/bfs/face/b7c9eadc95827f0411718e1a4c6b75f0f7999434.jpg
20,0,254924970913,358584990,吴彦祖河北分组,5,保密,这个大爷跟北京卖切糕的大爷长的挺像,2025-02-17 04:47:56,0,0,这个人很神秘，什么都没有。,未知,否,https://i0.hdslb.com/bfs/face/94a6599aeb948c24fbba1346c01865f9640ac815.jpg
21,0,255528280352,1489011416,永不严弃,5,女,大爷好像喜羊羊与灰太狼里面的那个刀羊前辈,2025-02-16 02:41:55,0,0,曾有你的森林,未知,是,https://i2.hdslb.com/bfs/face/b513a09849b551488867837c6fa0a8d864a66cf7.jpg
22,0,254806190689,298792290,求撚期啦,5,保密,老板的演技吊打当代小鲜肉[喜极而泣]也许是真情流露,2025-02-15 16:29:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/bd362ee00a47e75e1390c1f8b27d92e8fd73a204.jpg
23,0,254783873217,3546712736008570,好剧菌菌,4,保密,这玩意我上次都20中20,2025-02-15 12:27:59,0,0,关注自动发，没收到扣666,未知,否,https://i1.hdslb.com/bfs/face/b6c9a0deefd19c0e406fc53b86bf92dbaa08ed3f.jpg
