序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262041719984,123435811,爱睡觉的凉,5,男,@盒马院士,2025-05-04 18:24:08,0,0,不用送花，坟头会长。,未知,否,https://i1.hdslb.com/bfs/face/a19aded335c99699eda10da18b73a11713e7163c.jpg
2,0,261006091905,327427484,橙子Zero2,5,保密,@雨中的雪夜,2025-05-03 16:03:06,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9b40d860d60668b68ec065cee7ab27866c19e1c0.jpg
3,0,261317654752,522011512,IG进世界赛就改名,5,保密,这种载具我死十次也要炸了它[笑哭],2025-04-26 06:06:12,0,0,自由为伍，佳人为伴，还有值得献身的道义。,未知,是,https://i1.hdslb.com/bfs/face/66347d4debbd8f716fa652990c20c2569c37aa18.jpg
4,0,261144501344,343655802,王小仙-,5,男,@机器工具人,2025-04-24 03:30:08,0,0,本人免疫一切精神攻击,未知,否,https://i0.hdslb.com/bfs/face/c029961285a09c03810c17feb8897cbc2ba2e722.jpg
5,0,261002194656,3493256987937531,阿博Uinn,4,男,坐突击车工程兵哦，泡大呢？根本不适合你的。等一下威龙c4炸弹崩死你,2025-04-22 06:30:56,0,0,阿博不想摆烂,未知,否,https://i0.hdslb.com/bfs/face/76b581df86ec45d7ca425a87149cad2125ea62f5.jpg
6,0,259989420817,304746479,才知道要煮十分钟,5,男,反坦克地雷:你好,2025-04-20 16:47:58,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ca1d66e79875424daba43c7a73996353257b0bfd.jpg
7,0,259973651265,515419271,汐澜丶,5,保密,@茶仙ya,2025-04-20 13:23:13,0,0,我重生了，前世我是万分宿伞，但被小人谋害，重生归来，我将拿回一切，关注我，聆听我的复仇计划),未知,否,https://i2.hdslb.com/bfs/face/f78afbee7d3b923832ed72766fbf36262a77bed0.jpg
8,0,260860695168,339073604,塔尔啊塔尔,5,男,上回刚坐上一辆坦克，直接5个威龙朝我飞了过来,2025-04-20 10:48:26,0,0,愿你也可以被温柔对待ovO,未知,是,https://i2.hdslb.com/bfs/face/21534b5280c292f6adb22502cd8507558a94db7a.jpg
9,0,259959238737,1524362076,小小的可莉吖,4,保密,我们都在用力的活着,2025-04-20 10:17:58,0,1,,未知,否,https://i0.hdslb.com/bfs/face/f8e03b5b961751880b8760124e994b2a787d1a37.jpg
10,0,260857997328,600250302,疯狂的圆德二,5,男,你猜我为什么不笑[藏狐],2025-04-20 10:14:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ba8d8cc3969158cd56292588967e0bf014510f85.jpg
11,0,260852692000,23465733,师从哈令使,6,保密,人机有点多啊,2025-04-20 09:04:51,0,0,我早已忘记了最初的目的......,未知,是,https://i0.hdslb.com/bfs/face/7ec977c13837570abfded6187c6adf7863fad52b.webp
12,0,259945270113,2035885753,進擊の小興Xin,5,男,策划这下看了恐怕是不知道下回是该削车还是威龙了[笑哭],2025-04-20 07:00:19,1,2,"damn bro~    高三牲up开学了，以后随机更新，别看啦！说的就是你，彭于晏Ծ‸ Ծ 
",未知,否,https://i1.hdslb.com/bfs/face/578b4b6cc77b85621618928c728d9c6b9b5ab3ea.jpg
13,0,260835558704,512554405,存在于美好未来,5,保密,我看了半天，这是三角洲不对不对这是战地2042不对不对这是三角洲，不对不对  这到底啥？,2025-04-20 05:12:58,0,0,,未知,否,https://i1.hdslb.com/bfs/face/31d4a0bffb9138852c0c5e17f87abc303034e38c.jpg
14,0,259932836641,383375399,雨待ちの人,5,男,《我以为是减速带》《那你跟保险说去吧》[doge],2025-04-20 04:19:53,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7b4f0501037a9376d411d90d8dc4d26144568d95.jpg
