序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260941659937,523096163,西北农大三角洲,5,男,设个好唉,2025-05-03 02:21:30,0,0,西北农林科技大学三角洲行动官号，群号：925684343，写好备注进校群吭，不然不通过,未知,否,https://i2.hdslb.com/bfs/face/70a0ef38c5cc3f75f99c5691879b13447f2b99ad.jpg
2,0,258464232801,488735852,恰水水,5,保密,胡克：孩子们我没死，我在逆战被自研出来了,2025-04-01 17:34:01,0,1,欢迎加入地球猫猫教ฅ•̀∀•́ฅ,未知,是,https://i2.hdslb.com/bfs/face/e0c3f7284d427fbef23cf62a356651a55992240f.jpg
3,0,256930308944,510149913,质朴黑可,6,男,我要是没玩过就信了，大战场做的遭罪，做夺金和黑鹰坠落得了,2025-03-04 07:39:50,0,2,,未知,否,https://i0.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
4,0,256081053617,20269697,奥特曼2号,6,保密,之前不能理解，玩了几天上瘾了，我还不知道居然是国内的游戏,2025-03-03 03:11:12,0,0,又来看你跌了？,未知,否,https://i2.hdslb.com/bfs/face/495eac913858fdd95cb7e97f9e1dd907ee2fc021.jpg
5,0,256773446080,1302236,逃跑p,6,男,音效实际上做的很烂，上下分不清,2025-03-02 09:05:44,0,1,失败意味着你努力过了，亲爱的,未知,否,https://i2.hdslb.com/bfs/face/f1bb24b4bd6f784629dc27b69d4c9c8ccaf3d33e.jpg
6,0,255944013169,375042377,落花语逝,6,男,评论区也是各种难绷,2025-03-01 11:28:09,0,0,,未知,是,https://i2.hdslb.com/bfs/face/5454802b393cb37e0f61102c34982472979c48c0.webp
7,0,256479140320,1270434846,皓月IV,4,保密,@魔方工作室官方号 [吃瓜],2025-02-27 04:09:19,0,0,,未知,是,https://i0.hdslb.com/bfs/face/f3c0cfd758f445cdcfef6a7c0dd80d3a2df1429f.jpg
8,0,256475301472,309484034,doge永远滴神,6,保密,这次是真[热词系列_排面],2025-02-27 03:15:59,0,0,喜欢配音的影视爱好者,未知,否,https://i2.hdslb.com/bfs/face/c8e7c6ba497ae1bfc9b2b5797bf76cfbe578d008.jpg
9,0,255687112497,457383267,小米MIXFold4,5,男,【我玩完原版和新版三角洲了，现在可以评价了吗？【攻击性预警】-哔哩哔哩】 https://b23.tv/zKIDd9R,2025-02-26 10:13:33,0,0,"#尽掌控·超会玩#
在掌中探寻无限可能，ROG掌机，正式亮相！全新升级的游戏冒险即将启程！唤醒封印的热血与回忆，和我们共同加入这场狂欢",未知,否,https://i0.hdslb.com/bfs/face/1b8ba4a5796160d59b10ae9f9fc6faf124011c81.jpg
10,0,254656503505,475289658,冷默t,5,男,风和佳潮汐，豪一个自创研发,2025-02-14 06:11:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c693c2412a17fb8d01c8e2c4391e2e3466f70147.jpg
