序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,245023859856,3493079097018926,嗯略君,4,保密,99个任务就算了，还必须是机密才能完成，还有去特定的地方调查，之前就有一个准备去调查结果遇到一队五级套跟四级弹的，突突两下给我秒了，十几个任务在机密这样还能接受他喵的全部任务都在机密一把机密几十万，任务没完成就先损失几百万了。,2024-10-20 00:44:43,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f56c8f21821f49910629d2af4ff16e7fdd24e674.jpg
2,0,244462008000,565591947,兰奕安Oo,5,保密,"没出红：  随便打架 
出红：     草木皆兵",2024-10-12 20:47:18,1,1,搞笑男,未知,否,https://i0.hdslb.com/bfs/face/0f67e2040bf4be1a4298f8cbb96fc0e87e9fda61.jpg
3,0,243919068368,52477126,落泪之烛,6,男,保险箱里拿出来不能算非绑定嘛？真的假的？,2024-10-05 19:47:53,0,0,丸辣～我这样都被你发现了！,未知,否,https://i1.hdslb.com/bfs/face/317419fa1b68249557139b532200bc57bb268d5b.jpg
4,0,243597873697,630223459,jinze909,6,保密,问一下就是越过生命线潜伏之影那里如果不小心把监控手机卖了怎么办呀[星时影迹_呜呜]现在任务完不成了,2024-10-03 17:53:17,1,0,,未知,否,https://i1.hdslb.com/bfs/face/113506a1da75e18f066cd088ab7b44de9cc6e6d3.png
5,0,243484929457,456163791,b站一定要有b,5,保密,不懂就问做这些阴间任务的开销，不会比3×3获得的收益要大吗？,2024-10-02 08:56:23,4,0,,未知,否,https://i0.hdslb.com/bfs/face/4ac394f17c71ec0cb8510dc5f736596ebabb0a88.jpg
6,0,243533926000,411869042,欣然努力赚钱,6,男,双子的时候单人下航天一把箭头喷天下无敌,2024-10-01 03:19:52,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0998d1277c92cd516b59bd22769d85f0cc41a849.jpg
7,0,243373812913,432778657,账号已注销,0,保密,兄弟，包里放了个一体式机器人被打死了，红温以后来找3*3,2024-09-30 19:36:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,243437738448,2073123416,社恐患者梓轩,4,男,不懂就问，最上面这个任务是不是没必要做？,2024-09-29 17:11:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d7b69f05f508066825c8e78a489b240939c3f98d.jpg
9,0,243418941456,11934346,大夏龙国的皇帝,6,保密,第一把就捡了个东北大板，卖了200w[doge],2024-09-29 12:42:45,0,0,你是骗不过本桃的,未知,是,https://i1.hdslb.com/bfs/face/7b01545e5b90cb16e508f8368ede15857f45fcf1.jpg
10,0,243258081409,225189571,asd1504201871,6,保密,哈夫克机密档案哪里找啊,2024-09-29 06:50:45,1,0,,未知,是,https://i1.hdslb.com/bfs/face/b86f9ea79dba2d9fb903be88adaa3e747de3043d.jpg
11,0,243374823152,455465329,雷鳴ぐ,6,男,赛季太短了，爽不了几天,2024-09-29 01:13:05,3,2,知其不可为，而安之若命,未知,否,https://i1.hdslb.com/bfs/face/63f47bb6b103c56885bcc31481ec00e0722fe561.jpg
12,0,243365553248,275710617,aka大橙子,5,保密,从拍卖买自己带出去是不是也行[喜极而泣],2024-09-28 18:18:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/499ff5cc743a74e2470e3d291a8739cd93f6a3b2.jpg
13,0,243161298897,17411188,暴力大绵羊,6,保密,公测后东西不会有变动吗？,2024-09-27 23:56:12,0,0,,未知,是,https://i1.hdslb.com/bfs/face/87bac7352eb57cc3da8bb3f88ad710fd735cbb9a.jpg
14,0,243136844113,42232863,missyou末央,5,保密,只喜欢玩里面的全面战争,2024-09-27 13:14:30,0,0,,未知,是,https://i0.hdslb.com/bfs/face/70a29a3a6565530f5cfe54fda66c31c6088eac77.jpg
