序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261089787120,107552526,阿西爸阿姨吧,5,保密,48小时50多场？我7小时就能70场！现在完全不贪，一局6到10分钟拿15万到20万直接遛。每局交1万撤离。因为这个撤离点没人绝对安全！,2025-04-23 09:28:59,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,260271588256,632808520,过客意鸣,4,保密,我在坠机之地小保险旁边桌子上出过劳力士,2025-04-13 06:35:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/88eb04ba86f3e2d15dfe53ce18046ef8aa081879.jpg
3,0,259317974897,3493131163011281,杨小疯不想说话,5,男,啊？那个地方我去过两次了，没出什么好东西啊[辣眼睛],2025-04-12 08:05:13,0,0,生活是为自己而活，并不是为别人而活，不要因为别人的话而放弃，不需要理他们说的话,未知,否,https://i2.hdslb.com/bfs/face/954da0471b6ba63ac133eaf890ea0e2af1113da7.jpg
4,0,259692755056,545343003,I7w7t,6,男,我小保险出了便携军用雷达和化石，便携军用雷达还是开了的小保险里面的，可能是某个刀仔正在找背包的时候被我拿了[笑哭],2025-04-06 07:05:48,0,0,不是哥们,未知,是,https://i0.hdslb.com/bfs/face/cbe4b865e03b4e75b904950544b0773903dd8410.jpg
5,0,258970767664,3546385213295420,我渴望2024,3,保密,普坝暴率真高,2025-03-29 03:38:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,258217153888,1053809402,广吴宰,2,保密,吉吉国王房,2025-03-20 03:01:34,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,257344728081,204295564,calm鱼鱼,5,保密,100 哈币8 r，有需要私我。,2025-03-19 01:48:11,0,0,,未知,是,http://i1.hdslb.com/bfs/face/aa6d22dd477c2abb7ed3cf8f488a2da94d42c7c2.jpg
8,0,257527460128,3546733258737838,jsgshhhds,3,保密,之前我搜这里由于我队友说的不太仔细，然后我在一个框架上我看见一个大大的东西。结果一看这个叫做军用炸弹,2025-03-11 13:43:57,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2cd390ac137c194a9ca6b32a5ffbc40664cdff21.jpg
9,0,257342351600,470369248,这个憨批莫得昵称,5,保密,这个坠机地我出过军用炸药和显卡,2025-03-09 07:32:04,0,0,没人样了，烂完了,未知,否,https://i1.hdslb.com/bfs/face/75916cb2af5dd4b76d7abee503c99275f6a31d3f.jpg
10,0,256467379216,287577937,星空lv7,6,男,这游戏除了红卡，别的所有卡爆金概率都低的离谱 ，但如果用卡的次数和买卡的价格比，性价比看似很高，但你已经付出了太多时间成本和哈夫币成本了。而且开卡房间都是在核心区，会遭遇队伍，各种精英兵小兵骚扰，开的物品质量和野点差不多，这样来的话感觉被一张卡束缚住了，开也不是，不开也不是。再说一下，各种核心区的保险箱我基本上开不出红，金都稀少，但野区随便搜搜刮刮，金色咖啡豆，各种金，各种小红，甚至二百万中红。最搞笑的有一次保险箱蓝色，上一楼沙发静静躺着一个二百万扫地机器人，如果不是我觉得沙发上躺一个这玩意儿不对去凑近看了一眼，可能都错过了。还有就是爆破保险箱那类任务和空投最容易得红和金 。最后说个爆率很特殊的地方，长弓一条河中各种小渔村，小渔船，能爆100w的金，或者200w卡，以及各种小红小金。比搜房间爆率高很多。,2025-02-27 00:57:05,0,1,内个,未知,是,https://i1.hdslb.com/bfs/face/e8baa219595fa733cda7ec041f4b80db686eb32b.jpg
11,0,256431444320,3493274255886819,宙斯巴达勇士,4,保密,这里真的必去[微笑],2025-02-26 12:04:04,0,1,,未知,否,https://i0.hdslb.com/bfs/face/10597416610e9c4731bed09c6167c30f74119602.jpg
12,0,255673301937,11249973,我来负责踩坑,6,男,桌子上出炸药,2025-02-26 06:23:37,0,0,,未知,是,https://i0.hdslb.com/bfs/face/3bc46dc46aae7446a414c2f3f85523d75d9e8549.jpg
13,0,255503111873,3546556573682464,bili_56024842946,3,保密,捡过医疗机器人,2025-02-24 01:38:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,255346185681,3546649781602467,Lever笑魇,3,保密,最边边上的那两艘船会刷军用炸药,2025-02-22 05:23:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3a71bd1a44e1584b7a967e4622825616a4f891f9.jpg
15,0,255344550897,65344966,跑刀代肝鼠鼠要饿死了,6,保密,"大学生纯绿跑刀不动仓库
6r＝100w（9格）
7r＝100w（6格）
8r＝100w（2、4格）
80r=1000w
大学生纯绿跑刀要求可提可商量（留红留金）
有单就b站全程直播",2025-02-22 05:04:14,0,0,"代肝买斐济呗，求求了我真的很需要它
v A3594025074",未知,否,https://i1.hdslb.com/bfs/face/e4082343aa84535b2cf4d783f0bf20b7674887d9.jpg
16,0,256039270224,38828232,珈喻户晓王先生,6,男,感觉不如大坝效率高[吃瓜],2025-02-21 20:16:46,0,0,just monika,未知,否,https://i0.hdslb.com/bfs/face/e95f65afc4400bb4d0e19d3823759c619fa48742.jpg
17,0,255066851473,33759569,雨儿往上游,6,保密,我七个小时才能两千万[笑哭],2025-02-18 18:54:20,0,0,感谢关注，你的关注是我更新的动力！,未知,否,https://i2.hdslb.com/bfs/face/1d29468944175d1a188eb47486c828d4d6c61b4d.jpg
18,0,255031487169,23937285,人游梦,5,男,普通大坝单人出了这个呼吸机一千万,2025-02-18 10:46:51,0,0,,未知,否,https://i0.hdslb.com/bfs/face/cb84a0a87bdc24f962c5d4571ced160942195254.jpg
19,0,254471565297,7987588,亩产千八的大西瓜皮,6,保密,机哥的装备太差了根本打不死装备精良的[呆],2025-02-12 06:34:16,0,0,开始尝试2D动画，私信我必回哦。(●—●),未知,是,https://i1.hdslb.com/bfs/face/89caa657a7f323068df6299f223223abfe49006f.webp
20,0,254450323761,3493280834652452,莱克斯路瑟,4,保密,小渔村可是很香的，[吃瓜]曾经一把出过两个炸药[滑稽]五米内,2025-02-12 02:39:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
21,0,255025497088,3537120786385534,crazy欧尼酱,3,保密,房卡要去机密开普通图开太亏了,2025-02-11 01:34:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/789f52ef7f8555492c589d875c45c50563f365e8.jpg
22,0,254136296289,689847986,SFXTCDX,3,保密,那也确实之前在这拿到一瓶香槟,2025-02-08 15:57:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b74b9fc51d5ffbffb17f2d13c8339e896b3c101f.png
23,0,254422383424,1138505223,bili_16702086599,4,保密,机密模式坠机之地直接刷了三个炸弹，太好了,2025-02-04 16:40:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
24,0,254415747824,51413811,54088-54088,6,保密,零号大坝，坝顶随手翻了下铁皮房的旅行包，掏出个显卡,2025-02-04 15:21:18,0,0,舔舔舔舔咬咬咬,未知,是,http://i0.hdslb.com/bfs/face/efaf4677c535af92c0b974e04802b6a6e5e8cf9d.jpg
25,0,254155158080,1648507010,爱吃土豆丝的土豆丝儿,3,男,我上次在小保险箱里开出了坦克模型没带出来,2025-02-02 02:04:36,0,0,鬼畜视频UP主（点个赞吧！）,未知,否,https://i2.hdslb.com/bfs/face/c1a7988bf57a6f3a1ce02deb2fac1156d418e92d.jpg
26,0,253189264225,382400356,意叹郁孤,6,男,全是普通大坝跑刀 没做任何行动,2025-01-29 10:53:56,0,0,你就像是一场雨，来过却没有留下永恒的痕迹。,未知,否,https://i1.hdslb.com/bfs/face/07c4abc079e3cb7f84ca73886f28b48b1ce50cdc.jpg
27,0,253122601425,3546821930518684,小然了,2,保密,是我去了无数次坠机之地，也没看见这,2025-01-28 15:07:02,0,0,游戏综合UP主，说你呢！给个关注,未知,否,https://i1.hdslb.com/bfs/face/82b297d93a8f7e6e3e478ce2d7d8e6759094fc98.jpg
28,0,253731760208,3546676146997814,一九秒过去了,3,男,在成功追击之地常规图的野外物资箱中出了一个价值六十来万的照相机,2025-01-28 10:39:34,0,0,,未知,是,https://i2.hdslb.com/bfs/face/66af87343df0ca208b1f13d03b7150d840855652.jpg
29,0,253625618592,3461581081938647,水之灏,4,保密,如何呢兄弟们，普坝武器箱开出来的,2025-01-27 09:16:51,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
30,0,253590360656,9314,光こ暗,6,男,这哪是打野点，这是打架点，每次去都能碰到人，货会出，人也不少,2025-01-27 02:20:15,0,0,,未知,否,http://i0.hdslb.com/bfs/face/aebba6e18d3c6533bb79bf2c1aa6ecd237c7ad40.jpg
31,0,252789487921,247172573,奇奇怪怪的萝莉君,6,女,我刚开始玩这游戏的时候也是在跑刀。然后遇到一个同行，他对我摇头，我不知道什么意思，直接给他两下头刀死了。[笑哭]当时不知道,2025-01-25 04:55:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/64876196120fdf99a889664b3714a97bf675c5d4.jpg
32,0,252191331681,3546751231330985,风暴凋零魔,3,保密,他的确有可能不舒服，当我家哥，我家哥他的坠机之地见到了金色的军用炸药与军用电台,2025-01-18 22:23:06,0,1,,未知,否,https://i2.hdslb.com/bfs/face/1bfe913bdbc52e4d932b925ab5b769d416af7a37.jpg
33,0,252241261040,1437294308,帝风-,5,男,长弓我一般喜欢先吃酒店，搜完撤离或者来人跑路了回去看一眼，船上军用炸药刷的多，上赛季初见到过纤维板[脱单doge],2025-01-13 01:16:47,0,0,流萤到我这里来！,未知,否,https://i2.hdslb.com/bfs/face/c2b3f148cdcf5615496136d67ebc08270ea2961d.jpg
34,0,252155066272,3546739852184110,我的眼睛很小吗,3,保密,你们知道怎么换刀吗？我那里显示刀是锁着的，不让换。,2025-01-12 02:20:19,0,0,什么时候出大金啊？,未知,否,https://i1.hdslb.com/bfs/face/8240b1ed9ec67de38c0e6f68e105ac69e85c6e0f.jpg
35,0,251871369120,1366342434,遇穹千里慕,5,男,这曼巴之地开局出生到这里，我都不敢多待，生怕让人拿一级蛋给我打成筛子,2025-01-08 16:47:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/23608bc69f8421997698c570725b78ddd1976c4a.jpg
36,0,251191121809,251377260,苍天饶过谁3,5,保密,麦小雯真是又骚又可爱捏[星星眼],2025-01-07 04:38:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg
37,0,251692353456,259928334,我比黄花瘦啊,6,保密,今天连着被阴了四次我要崩溃了,2025-01-06 14:52:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/db0c40f95e43b68e20f7a7e42a5b41d2ea0315f6.jpg
38,0,251075618897,1233641597,快乐与我永存,5,保密,放心，只要我去过的地方，只要能搜的，只要是被我看到的，包不放过一个的,2025-01-05 14:59:55,0,1,,未知,否,https://i2.hdslb.com/bfs/face/af0817406fa754d9a37ba7d18cf238c699568bb0.jpg
39,0,250938720593,3493124993189984,招笑_逗孑_,5,保密,建议开卡的时候开机密,2025-01-04 04:38:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f9860f79fb57e0bcbf6a1998b4a4085c1a8c902f.jpg
40,0,250149602737,597353393,脚本6230,4,保密,行了，下次小渔村人比货还多。,2024-12-25 12:19:05,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
41,0,250414859264,14460913,红烧刹车盘,6,男,这里黄色收纳盒摸到两次导弹,2024-12-22 16:51:08,0,0,"钓鱼大师                                    ↓
你已经上钩了
钓鱼  爽！",未知,否,https://i1.hdslb.com/bfs/face/2c8fa5d8b514a7390dd6cfcfec14fe0484811023.jpg
42,0,249886645777,3546682130172774,平常想玩,3,保密,机密航天六人，在他包里摸出这两个,2024-12-22 06:24:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
43,0,250189534752,3546649586567647,南烛kl,3,保密,得吃[脱单doge],2024-12-20 08:14:31,0,0,,未知,否,https://i1.hdslb.com/bfs/face/c1b81d99b61f60661824add4cf4b0a887176b3e2.jpg
44,0,249681939441,247692482,苹谷狗粮,6,保密,遇到人的bgm黎明杀机连体婴的弟弟声音[doge_金箍],2024-12-19 16:27:51,0,0,狗粮要好好画画,未知,否,https://i2.hdslb.com/bfs/face/bf690ce50f182b1ec3ea3d16a3141690d1296544.jpg
45,0,249677390705,10425675,十射九不准,6,保密,你进的是普通还是机密，我记得机密必须要有级别门槛啊，如果是机密，你们跑刀的是咋进去的,2024-12-19 15:25:04,0,0,,未知,是,http://i0.hdslb.com/bfs/face/37f67d5314f2e2085a7d522536bb3a349b94298e.jpg
46,0,250092956928,1641356532,进击的小冀,5,保密,我在这里也出过炮弹,2024-12-19 05:47:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/552c4493832c25f8ba47665846eb5f492c98abb5.jpg
47,0,250070292720,453086747,想不到郝名字,4,男,纯绿色跑刀哈夫币 不动仓库纯手搓直播跑 黑奴价,2024-12-18 23:43:18,0,0,红红火火恍恍惚惚,未知,否,https://i2.hdslb.com/bfs/face/7e9d2139f13189816ea1ef19b51f2d79c14abab3.jpg
48,0,249527506609,221492264,哈哈努努,5,男,感谢你，好人，帮我把买卡的念想给断了[吃瓜],2024-12-17 19:52:56,0,0,哎呦哎呦哎呦，不错呦呦,未知,否,http://i2.hdslb.com/bfs/face/0c873654cac2590afa78c313f846e5ec6904a8e2.jpg
49,0,249821068512,22386347,曼波-哦耶,6,女,我在登山包出过军用电台，4格280w[doge],2024-12-16 02:00:06,0,0,,未知,是,https://i2.hdslb.com/bfs/face/529c7efa6a768e0aeb107cf8a3ad0493718f8fd0.jpg
50,0,249041784097,1129917474,进出口贸易哥,2,保密,一个个好的不教专门教这些，把中国男人教怂了，将来打仗怎么办？给你一百亿又能怎样，怂货活不下去,2024-12-12 05:04:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0ac4a4b59075c5e4dabcf070d22138ae4184ca3d.jpg
51,0,249167434208,350695634,纯粹人参攻击,5,男,没啥好说的，还愿，今晚出了炮弹[doge_金箍],2024-12-08 11:12:27,0,0,脑量告急乐队候补吉他手，主职是端茶倒水拿外卖（bushi,未知,否,https://i2.hdslb.com/bfs/face/c93a614a366170b2a7478ae57ab9a1ab4e8cf83b.jpg
52,0,249142474944,350695634,纯粹人参攻击,5,男,只能说，这个点确实好用 摸了张西区大门卡[doge_金箍],2024-12-08 06:02:22,0,0,脑量告急乐队候补吉他手，主职是端茶倒水拿外卖（bushi,未知,否,https://i2.hdslb.com/bfs/face/c93a614a366170b2a7478ae57ab9a1ab4e8cf83b.jpg
53,0,248722124577,2084547786,随时出现的啊哈,4,保密,"家人们，谁懂啊？
长弓机密模式不小心被列车撞死了，结果那破车在停靠和再次发车的时候还会不管多远，再把我撞死一次，并且把我送到第一次被撞死的地方",2024-12-08 05:30:50,1,1,,未知,否,https://i0.hdslb.com/bfs/face/617f1e0e145e24eeebed79637eb6a7a3f121bdb4.jpg
54,0,248954313856,357991920,-一樂_,6,保密,都怪你[大哭][大哭]我现在去哪里都捡不到垃圾了[大哭][大哭][大哭][大哭],2024-12-06 03:38:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/ff2e7904325943a584836d5a502b8df0510a9447.jpg
55,0,248597009312,1209686504,INK一瓶墨水,5,男,最抽象的有一局别人把这个地方搜完了，就剩一个小箱子没开，然后那个里面我出了燃料电池，让你刮地皮不挂干净，不过可惜那把没撤出来[笑哭],2024-12-01 20:48:19,0,0,喜欢手工，画画，整活的一个人,未知,否,https://i2.hdslb.com/bfs/face/59a99f281167288afa03205ae62d137aa9c698f4.jpg
