序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260635563185,1799161,寂月凝雪,6,保密,在三角洲居然是全自动垫底水平[笑哭],2025-04-29 07:25:24,0,0,你可真是个人才  ,未知,是,https://i1.hdslb.com/bfs/face/a8442d9b4824877eae0f1aafd8370240455f920c.webp
2,0,261499120688,334076138,眼镜蛇王-77,5,保密,hk437德系天花板。,2025-04-28 11:31:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,261308692416,355833849,具装干粮,6,男,是这个吗,2025-04-26 04:13:19,0,0,约稿请私信或加v juzhuangganliang,未知,是,https://i0.hdslb.com/bfs/face/453d905c787739457f11ce21a609e73500039f92.jpg
4,0,261120887632,530935048,果壳里的榻榻米,4,保密,qbz191跟hk416比如何？,2025-04-23 15:56:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,260299436096,1656323944,三人的旅行,3,保密,唯一的缺点就是太贵了，在暗区里10万多一把[笑哭],2025-04-13 12:40:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/294d948eac7dd5f11ec6413f33f34086d74ad30a.jpg
6,0,259983308256,409907508,没有名字789789,3,保密,现在是xm7和n4,2025-04-09 17:54:52,0,0,无聊,未知,否,https://i0.hdslb.com/bfs/face/783f6c4dc0f8864560741e7a64c2eb3e7d7061c8.jpg
7,0,259744111296,73803306,凄沥时雨,6,保密,IK416见代突步之彐,2025-04-06 18:45:16,0,0,噗～臭打游戏的还戴上锁了,未知,否,https://i0.hdslb.com/bfs/face/e165377d9b7f3cde1f9d097c7db43dd52a6449e4.jpg
8,0,258797313280,3493087168957028,三花弟弟,5,保密,三角洲老兵改枪[滑稽]三十发弹匣，416稳固枪托，密令三角前握把，两个游侠护木片，紫镭射，先进全息热成像（枪口没看见）,2025-03-27 02:18:35,2,1,,未知,是,https://i2.hdslb.com/bfs/face/f8155aa5a8c1c9f8779bb38a514f1eea959c8184.jpg
9,0,257788361696,549675540,Unreach,4,男,hk416的后坐力很大的[笑哭],2025-03-14 18:59:03,0,1,愿次行终抵群星,未知,否,https://i0.hdslb.com/bfs/face/b7f8859235a914f83efec64072ae05a672d7dcca.jpg
10,0,256832118768,21126841,メdlilb彡,5,男,更喜欢HK437[吃瓜],2025-03-03 03:05:35,0,0,,未知,是,https://i1.hdslb.com/bfs/face/f36ec9dcc505098bf1f587ec2db397cbbdaaf0cd.jpg
11,0,256562209792,1385582801,USMCM81Woodland,5,保密,并不完美后座力大、重心在前、还重即便是换了活塞导气也没有比气吹强多少本身就是为了解决气吹反吹的毛病但也没有解决多少cag现在还在用这东西就是纯赤石鹤鸟了属于是,2025-02-28 03:45:33,0,0,War is hell,未知,否,https://i2.hdslb.com/bfs/face/2f4c668881f92af88d6b75bde2d5ef165cdd19da.jpg
12,0,256374883744,1027108019,缺钱不缺精神,3,保密,确实AR系的币AK系的漂亮且更符合人机功效。,2025-02-25 17:00:10,0,1,,未知,否,https://i2.hdslb.com/bfs/face/3a7a874700224adc7a045f81d39b1ecb6d5225e3.jpg
13,0,255874856752,1763483513,user1763483513,4,保密,@飘yi而过,2025-02-20 02:10:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c78c3f2534439fe13274289955f836d4cb2b565e.jpg
14,0,255761654720,430016949,90后中老年大叔,6,保密,hk416已经不算什么先进了 但是在本世纪初hk416确实令人惊艳  可以说hk416开创了一个集成式枪械的概念   不管是后来的m7还是191其实都参考了hk的优势 比如那令人震惊的模块化配件系统,2025-02-18 15:08:15,3,28,老年人 勿扰,未知,否,http://i0.hdslb.com/bfs/face/7f76d45c1bf0336ad43ffcfe8bad2d4cd219bc6b.jpg
15,0,255656609456,146034735,纵横西海岸,5,男,拉登说这枪太好用啦,2025-02-17 11:30:43,0,1,在游戏中旅行，在旅行中生活,未知,否,https://i0.hdslb.com/bfs/face/fae69bd3430076d6c354243be32d5b5872ad2920.jpg
16,0,253984015873,3546658570767177,幻huan神shen,4,保密,朱雀,2025-02-07 05:07:16,0,0,"
",未知,否,https://i0.hdslb.com/bfs/face/c59724607552b0c1cd36c11530e3cdfc40af99f8.jpg
