序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261838437104,283499024,马歇尔-宝国,5,保密,哪里直播,2025-05-02 13:11:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3ca6b62be0a665681ef9afdfbfc066a14d91f089.jpg
2,0,260384568241,3546712983472776,我叫白大子,3,男,我去了那么多次长弓溪谷，还不知道这地方呢,2025-04-26 02:24:19,0,0,我什么游戏都玩，偶尔也会做一些吐槽类视频 部分游戏的部分账号名称:蛋仔:白大子2 圆梦:白小白mk 和平:白晟嘉,未知,否,https://i0.hdslb.com/bfs/face/dde775d8fb55efa58cd1514ac8b34b94ce3ce748.jpg
3,0,261062246224,10454637,古见汐,6,保密,这个点经常刷金或者红的[doge]，我经常在这里捡到野生的小金大金小红，大红倒是没见过[doge],2025-04-23 02:08:25,0,0,这个世界足够令人痛苦了,未知,是,https://i0.hdslb.com/bfs/face/2a587a7f983078631dd55a4e09b3b4d92c3ae061.jpg
4,0,260073024609,1141353085,xjjdnzkx,4,保密,开卡一定要等队友走了再开，我的刀片,2025-04-21 19:48:58,0,2,,未知,否,https://i1.hdslb.com/bfs/face/dc40595cea92bd3746ce3fd2d4ec6ae12223a058.jpg
5,0,260941628688,33206723,不是这为什么,4,保密,我靠，你画质这么好吗，怎么调的[大哭],2025-04-21 11:01:23,0,0,你说的太对了,未知,是,https://i2.hdslb.com/bfs/face/5fad0b00da6455be0cc38a4658aa9e8bf3348b2f.jpg
6,0,260927704096,284761937,啸桃儿,3,保密,我在哈夫克火车站拉闸点的正下方见过动力电池组[笑哭]玩当时没拍照人都傻了，还想着这是不是哪个干员的技能陷阱没想到靠过去一看woc120W就这么水灵灵的放在地上,2025-04-21 07:46:08,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b00672a82c296539eedff817e289cf5f37381fa3.jpg
7,0,260918086048,391264500,改名还要硬币,6,保密,有一把在火车站售票处钥匙房开了个阵列服务器出来，准备过隧道沿河边撤离的，结果好巧不巧碰到一个人，那我寻思我封烟跑路呗，那个威龙又很巧合的拿了一个满改连狙，我都到阿米娅小镇门口，他在隧道后面的坡上给我抽死了[笑哭],2025-04-21 05:01:26,0,0,不定期水各种视频。,未知,否,https://i0.hdslb.com/bfs/face/7727154c12dc7806a3602e220ed722e1757e165a.jpg
8,0,259889848433,293229787,弈旧19,5,保密,这有个洞的？[笑哭],2025-04-19 14:05:40,0,0,无情的关注机器,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,259874329697,571621792,小乔意,5,男,"握草！！主播画面怎么设置的！！
握草好清晰！！！！   求！！！",2025-04-19 11:04:28,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3fdb18a6a25be2c535a86525d18f8456a3462ece.jpg
10,0,259825226753,94754768,赫欣,6,保密,"我的滑膛枪就被蹲了，但没两把就出了服务器，也算是吃回来了。
三乘三任务已经不抱希望了[喜极而泣]",2025-04-18 20:12:52,0,0,愿星辰照耀着我们的相遇。,未知,是,https://i2.hdslb.com/bfs/face/698e4ff791f029ee87df22eafd1cdd5a2f1f7915.jpg
11,0,259635529425,34131952,永雏塔菲籍贝,6,保密,这个卡爆率还不如我航天跑刀搜个黑市或者离心,2025-04-16 09:46:14,0,0,,未知,否,https://i1.hdslb.com/bfs/face/5d16795d4a03f66136d5d1b80a9d559bf8c4e81d.jpg
12,0,260503996528,18658824,MrHungery,6,男,就冲up不配那个似人bgm 三连了,2025-04-16 05:51:34,0,0,你再看？,未知,否,https://i0.hdslb.com/bfs/face/cbf7feb628869dd5dde222c6509d0a36fe68e324.jpg
13,0,260287431856,12606925,裂霓人,6,保密,这个撤离点有CS蹲的话骇爪大战是扫不到的,2025-04-13 10:13:01,0,0,,未知,是,https://i1.hdslb.com/bfs/face/7a658482b7ba296b1e2cd0112fff1a85d5599391.jpg
14,0,259370667265,23048775,螭猫愚,6,男,为什么你的雷达站没有人[酸了],2025-04-12 23:36:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7245358e13c932f9eb7ee39e82fed75792b6130c.jpg
15,0,260208719360,246185623,游子何时归乡呢,3,保密,无人机平台我刷了十一次没见过无人机和红，但是给我四个压缩六套，算赚还是算亏[笑哭],2025-04-12 12:23:06,0,0,,未知,否,https://i1.hdslb.com/bfs/face/047baaf834084638affb8cb228de8148bc355de0.jpg
16,0,260076957168,359922634,叕叒吢,6,男,我在旅馆开过的武器箱里捡到来炮弹,2025-04-11 02:12:33,0,0,今生无悔入东方     来世愿生幻想乡,未知,否,https://i1.hdslb.com/bfs/face/4541117a5d077a660c2eef8f47a208b1a4d553ca.jpg
17,0,259988522800,289837049,灵笼灬白月魁,6,保密,臣本蜂医，跑刀于普坝，苟全性命于管道，不求闻达于东楼，大红不以臣用制式，猥自枉屈，三顾臣于普坝之中，赠臣以百万撤离，犹是得吃，遂许刘涛以驱驰，后值航天，受任于总裁之室，被堵于飞升之间，尔来二十有一局矣，大红知臣谨慎，故临崩寄臣以保险也，出红以来，屡战屡败，恐红不复出，以伤先帝之明，故女郎牛角，出于免保，今m14一定，刘涛已足，当奖率三乌鲁鲁，绝密航天，出生堵桥，攮除老太，兴复仓库，还于燃料，此臣之所以报小鼠，而忠猛攻也，至于战损之比，队友忠言，则老太，赛伊德，雷斯之任也,2025-04-09 22:42:28,0,0,,未知,否,https://i2.hdslb.com/bfs/face/66736cfdbc690cdd35133fd51e0bbd4db2698aad.jpg
