序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262107524752,3546383967587214,紫色的此糸色,4,保密,别人一出货就是唐人，你这么聪明，你咋还眼红呢？莫非是没出过？就不能说点好听的？搞笑,2025-05-05 12:56:17,0,0,紫色,未知,否,https://i0.hdslb.com/bfs/face/3cf5a19d18a3157b4871f5266d8bb521044352c9.jpg
2,0,260931564097,22904983,IvonKonev,6,男,我也是普坝 非洲心[doge_金箍],2025-05-02 22:40:38,0,0,,未知,是,https://i1.hdslb.com/bfs/face/fc94f46863cf7d9d47a171ae8991728471d2763a.jpg
3,0,261850036432,3546800671689044,82853829256,3,保密,我删了好几次游戏了,2025-05-02 15:22:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,260871724161,648778492,广东第一小黑子,4,男,为啥别人出货了就要骂别人是唐人，我觉得这种人才是糖[笑哭],2025-05-02 05:40:51,1,0,,未知,是,https://i1.hdslb.com/bfs/face/2b490eb0fe48b6f94a4fbd9b70b4e824995aec2c.jpg
5,0,261790605824,96762238,你真的好搞笑hh,5,保密,我一级第一次玩烽火地带，零号大坝，普通难度，出了一个军用导弹[笑哭],2025-05-02 02:52:39,0,0,,未知,否,https://i1.hdslb.com/bfs/face/987f9d6009137664a3ce7e17f0faabe89c2465c2.jpg
6,0,260835789601,631090962,反殴,5,男,陪一个，我刚放到保险就被人杀了，吓死我了,2025-05-01 16:19:21,0,1,这个人很帅气，什么都写了,未知,否,https://i0.hdslb.com/bfs/face/1ee208ac34a0c458d846ce6353b8cd30c448d95d.jpg
7,0,261740772592,3493113582585923,霜月游星海,5,男,不一定要说人家糖，再有实力普坝有几个人出过xin[笑哭],2025-05-01 11:00:57,0,0,1,未知,是,https://i2.hdslb.com/bfs/face/73e3a1ae6d124b9c7d5051d9028711eb80fa6802.jpg
8,0,261735025776,14902235,SmallRedz,6,男,躲了20分钟才出去,2025-05-01 09:47:10,0,2,心碎到失眠。,未知,是,https://i2.hdslb.com/bfs/face/d4514c0839b38a7c149fe412578a33fef82f9767.jpg
9,0,261726704608,3546602316761815,燕元狸sitafu,3,男,我有次普坝开出刀片服务器了[墨镜],2025-05-01 07:43:56,0,0,死他夫是个孬种（doge 微信：yanyuanli666，B站：bili_59874965664（记不住了只能记这儿了）,未知,否,https://i1.hdslb.com/bfs/face/94a3b4e3c832f4fd68b922a8ba3022a33ae00c1a.jpg
10,0,260625156417,32322972,浪客红凯XZY,6,男,@可怜的鱼啊 @绫白夜啊,2025-04-29 04:35:37,0,1,我是夕阳下的浪客,未知,否,https://i0.hdslb.com/bfs/face/3860c6e4e8a5552716b4333fd0067ba4ae8833ec.jpg
11,0,261529621888,3546604657183235,川夏清沐,3,保密,我也普坝出了，还是一天两颗[脱单doge],2025-04-28 20:31:41,0,0,时光流转，愿你与珍重之人重逢,未知,否,https://i2.hdslb.com/bfs/face/7f200ffac1fa2e3e712f23d16985c587f6ad68e1.jpg
12,0,260448852737,1610514385,三年期满-_-,5,保密,可惜可惜,2025-04-26 16:50:44,0,0,loser,未知,否,https://i1.hdslb.com/bfs/face/169bbc688bec31f0e1cbf6486d56a52c2b9098c9.jpg
13,0,261341690416,3461568629049608,FHAJK7,2,保密,寻血猎犬：什么东西一闪一闪的,2025-04-26 11:37:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,260255103953,3546577197074468,看美少女贴贴呀,4,保密,心都出了，还差那两三万给我唐红温了,2025-04-24 09:17:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/698138bbc46f9cb7197bb63cb5e3609fce772c93.jpg
15,0,261120363904,11383439,AMD就是屎,6,保密,普坝，变电站桌上面刷的野生大红[doge]更牛的是，已经有两队人吃了变电站出来了，我是第三队人,2025-04-23 15:50:38,0,2,B站若子争夺,未知,是,https://i2.hdslb.com/bfs/face/b0692ee04bc2c17b6ee67976f0a1a126db272aa1.jpg
16,0,260990142416,7611513,野猪拆家了,6,保密,我终于知道为啥我打死的那位老哥胸挂里有颗心了[吃瓜],2025-04-22 03:14:53,0,0,挣钱好难,未知,否,https://i0.hdslb.com/bfs/face/766ca6b9f0ef728b7944ebc330a059ee43312cfe.jpg
17,0,260931020448,500386048,千恋万花是什么番,5,保密,今天晚上有个红狼要睡不着觉了,2025-04-21 08:41:16,0,2,,未知,是,https://i1.hdslb.com/bfs/face/a27eaa7e2d06b9cfc6d6210740320920592af27d.jpg
18,0,260018085329,306963964,Fatfish_肥鱼,5,男,看着太难受了，我只能说这种视频就不能给人乐呵，看到了只会难受,2025-04-21 05:19:07,0,5,这里是肥鱼fatfish哟，随缘更新，qq闲聊群1051702669，欢迎加入mine音社,未知,否,https://i1.hdslb.com/bfs/face/2f3cdd511dae104587f06aefbbac14d55900dc9e.jpg
19,0,260730036112,1494680832,雪糕_劲呐,4,保密,普坝鸟窝非洲之心说是,2025-04-19 02:08:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f04e5433c811293554cffb0a6a593d5608003ff2.jpg
20,0,259826741297,2091939267,我不是耀神js,5,男,普坝鸟窝出了一个[doge],2025-04-18 22:14:47,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c1896b500e1a640db347001bb7f1836779c70d5b.jpg
22,0,260718134560,410122236,我总会陪着你的,5,男,今晚是玩了17天的洲，第三次去恐怖的航天基地，吃了个130万出来，然后半夜就刚刚，去做赛季任务放三个物品，开局吃了营地的保险。，出了非洲之心！！！而且搜完之后，我封烟跑到角落里趴着，三个人从我头上跑过去[大笑]对面三个人去打我两个队友了，然后我偷背身杀了两个，收了40万的两把枪[笑哭][笑哭][笑哭][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑][大笑]非洲之心！！！玩洲的第17天终于出了！,2025-04-18 19:44:19,0,0,乌拉乌拉,未知,否,https://i0.hdslb.com/bfs/face/12eda3b1ce934b38fbd16f21734a21658bf22ea5.webp
23,0,259740364737,12807390,BonnyCraigie,6,男,up自己都说了自己唐了没毛病，是个人都看得出来唐，但凡犹豫一秒都是对心的不尊重，up还在那取舍半天[笑哭],2025-04-17 16:44:53,2,3,,未知,是,https://i0.hdslb.com/bfs/face/e25e14f5cb1680eed510047443c605c56e06808d.jpg
24,0,260611888720,411534038,ypkbzxt,6,保密,唐人确实容易出货，我朋友们玩FPS游戏厉害，到现在他们里就一个出了非洲之心，我因为FPS游戏很菜，所以比他们玩的晚，但是我20级的时候就出了非洲之心[doge],2025-04-17 13:02:38,0,0,临渊慕鱼，不如退而结网,未知,是,https://i2.hdslb.com/bfs/face/c10a82f877e5cacb09c69aa47622a09178115d56.jpg
25,0,260558222640,4111181,RGM-Jegan,6,男,我今天也是普坝保险极限出心,2025-04-16 19:45:13,0,0,,未知,是,http://i2.hdslb.com/bfs/face/f25ac35ff23b9550dacb05960d1b1287cf025ab1.jpg
26,0,260425150192,12998841,洛洛又菜又爱玩,6,男,我普坝衣服摸了总裁卡,2025-04-15 05:37:35,0,0,,未知,否,https://i0.hdslb.com/bfs/face/31206751d5a7781ec72bd5f7a14e3835514d75d0.jpg
27,0,259532483441,359945597,亡灵钟,6,保密,怎么就唐了，喜欢到处说唐的有一个算一个，超过18了吗？,2025-04-15 02:07:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a94a931e37e12afae6f9d6fa0caa841900009ffb.jpg
28,0,259489292209,672730474,非赤与非墨,4,保密,行政二楼小保险出了心和金砖，因为我破产了[OK],2025-04-14 10:26:48,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,259255586273,1981903964,writewords,5,男,这就是我们三角洲的评论区环境啊[打call]，出货视频全是刷唐人,2025-04-11 12:37:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/395aa8562cb73434b305441bc7e2ddd3c7d6e9d8.jpg
30,0,260049952336,13080411,加入军团使我,6,保密,令人不安的手速,2025-04-10 14:35:17,0,0,fgo治愈了原神对我的伤害,未知,否,https://i0.hdslb.com/bfs/face/76c1b6118cb8d906ba8186609250c2fabc59f8ba.jpg
