序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260852296176,3461565107932002,用户已销毁账号,4,保密,"我说标题怎么是赔了夫人又折兵的艺术 
艺术是个人啊",2025-04-20 08:59:50,0,4,国,未知,否,https://i0.hdslb.com/bfs/face/f7a2fe4bd267fab108c1eeba149fd27ff1e85433.jpg
2,0,259949428129,3546746854574854,贪吃的老六但没有实力,3,保密,之前搜了一个小保险，得了一个黄金邓玲！然后进了巴别塔被人阴了,2025-04-20 08:01:23,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4d2198355b28ce0126577a67627dd1adf62f0507.jpg
3,0,259692530961,523741092,鸢鹄免,2,保密,让我看看你发育正不正常啊[呲牙],2025-04-17 04:49:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,260392384224,414688432,栾利兴,4,保密,0：54,2025-04-14 15:57:46,1,0,,未知,否,https://i1.hdslb.com/bfs/face/3e51dcb57118dae89460558a9002f34184b90965.jpg
5,0,259438832321,3493289871280259,秋白夜下士,4,男,第二个笔记本，你居然忘了，果然，电子竞技不需要实力[呲牙],2025-04-13 15:27:21,5,2,,未知,否,https://i2.hdslb.com/bfs/face/72cc78cb6b10c9880350187a7217138c3b2f0067.jpg
6,0,259325558833,2059734252,的城,4,保密,互关,2025-04-12 09:49:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/34f1f7404d62d651a2d08236674a9a9819ec9e12.jpg
7,0,259262701969,1708962984,奶茶店西溪,3,保密,在54秒的时候有地上有个电脑。,2025-04-11 14:04:56,1,2,,未知,否,https://i0.hdslb.com/bfs/face/b36c1dcb300339246ecb944fbe1d552bc524e39b.jpg
8,0,259248076977,547274082,光之塔守门人,5,保密,"在一个fps游戏里你能玩到什么？
《人性の秘密》《零和博弈》《反诈宣传》《反赌宣传》[doge]",2025-04-11 11:05:15,0,13,,未知,否,https://i0.hdslb.com/bfs/face/dc1a67b2e1c54e6d2d4cfeadc0040f757610901b.jpg
9,0,260007735296,669481401,小綦不吃香菜,5,保密,这个是不是笔记本[思考],2025-04-10 04:43:34,2,8,,未知,否,https://i0.hdslb.com/bfs/face/4add3acfc930fcd07d06ea5e10a3a377314141c2.jpg
10,0,258841933873,3546570070952477,家有饭票上条当麻,4,保密,那爆率很有生活了[吃瓜],2025-04-06 07:01:23,0,0,B友们，别看了，没什么好看的,未知,否,https://i2.hdslb.com/bfs/face/055d709bc5ebee27d2e651c005e114a4da3f31ea.jpg
11,0,258769120337,3546833510991989,温迪的仙君,3,保密,为什么我最近一个红都没有出？[笑哭],2025-04-05 10:46:45,0,0,随意的人生，逍遥自在（简称:摆烂）,未知,否,https://i2.hdslb.com/bfs/face/b6c0fbc3d9ba3b9631c63df59e3c26bfa4a251d0.jpg
12,0,259328011680,148169944,以我江山许你盛景,6,保密,最后来一个珍爱生命，拒绝赌博将是绝杀,2025-04-02 05:19:36,0,5,,未知,否,http://i1.hdslb.com/bfs/face/024101e6a603fb9615d5e9c82be1b0533b553ad0.jpg
13,0,259224216256,1086201717,乐乐乐乐6乐乐乐乐,5,保密,有点意思破产了[doge],2025-04-01 01:11:14,0,0,,未知,是,https://i0.hdslb.com/bfs/face/579e97f5aeb7d6712486c13245822f63af65d936.webp
14,0,258093962801,1786608172,枫汐檬,5,男,我跟我的队友没有任何配合性，别人都是清完人再开箱，我去清人的时候，我的老鼠队友已经把所有的东西全给摸完了[星星眼][星星眼][星星眼],2025-03-28 10:43:15,1,1,,未知,否,https://i1.hdslb.com/bfs/face/a50c6252f2dbf95a180679e420ce25e3d837b9ae.jpg
15,0,258090144561,3546619947518771,英文童话故事机,3,保密,哎呀妈呀，那得是小小烟吃烟最过瘾那一集呗，哈哈，具体是哪一集，你得具体说说是哪个电视剧或者动漫的。,2025-03-28 09:59:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
16,0,258909942208,3546866012653944,薪火电竞-客服,2,男,"部门任务   
战斗部门1-4=150元（1天左右完成，不包币，包币+60元）     
战术部门1-4=150元（1天左右完成，不包币，包币+60元）  
医疗部门1-4=120元（1天左右完成，不包币，包币+60元）  
后勤部门1-4=130元（1天左右完成，不包币，包币+60元）  
研发部门1-4=130元（1天左右完成，不包币，包币+60元）   
亿唐特价:五个部门任务全包1-4=900元（完成时间以打手反馈为准，包币）  
  
一个部门任务1-2=40元（1天左右完成，不包币，包币+50元）   
一个部门任务2-3=60元（1天左右完成，不包币，包币+50元）   
一个部门任务1-3=80元（1天左右完成，不包币，包币+50元）    
一个部门任务2-4=100元（1天左右完成，不包币，包币+50元）",2025-03-28 09:51:50,0,1,"三角洲行动承接3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
QQ 2961553035",未知,是,https://i0.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg
17,0,258822211248,301714749,無痕驀,5,保密,你怎么知道我昨晚偷别人的自动扫地机[doge],2025-03-27 08:40:32,0,2,,未知,否,https://i0.hdslb.com/bfs/face/3d54b276bbba57a3de07652551d9d8cd688079f5.jpg
18,0,258766817648,1934222016,叶师傅不是g,5,保密,为啥我没在巴克什出过大红啊？[呆][呆],2025-03-26 14:00:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4bd94a0a1457a97b9ffcb254a06579dc6127a899.jpg
19,0,257951611505,492260754,入机123456-,4,保密,欢迎收看赌狗TV,2025-03-26 13:58:15,0,5,爱玩蛋仔派对,未知,否,https://i0.hdslb.com/bfs/face/c46fe783ac7a5291dac4773744b3d35d7cebd77f.jpg
20,0,258759882464,22220905,人型自走白给怪,5,保密,机坝垃圾桶有货真给啊,2025-03-26 12:38:48,0,0,,未知,是,https://i1.hdslb.com/bfs/face/534ddfd2e93fabeafd9c354f228d67332fa94297.jpg
31,0,257944522177,3494377569650758,阿怪爱剪辑,3,男,欢迎收看赌徒的荣耀,2025-03-26 12:31:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b440cecae6d564f4b2a4047d1a3c3fa5267a0736.jpg
