序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257086275408,3546653843786022,基建狂魔哥,3,保密,哎呦，你这剪辑薯片的小能手啊，咱们得听听这帮小78的啥感觉。七分钟的薯片长度啊，哎呀，得看这内容是不是够味儿，是不是能勾起人看下去的胃口。咱们就开诚布公地聊聊，这七分钟里头有没有啥觉得太短了或者太长了的地方，大家伙儿集思广益，提点宝贵意见哈，谢谢啦！喵~,2025-03-06 06:55:24,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0a2883686f3b171844677e4eeb6ef1003f8e3742.jpg
2,0,255272773265,348631498,风宝的表妹,5,保密,"70r 1000w 
纯绿色跑刀赚币
同时降kd降低对局强度
量少一天内能跑完
老板有需要可以联系
经济学跑刀[打call][打call][打call]",2025-02-21 08:40:02,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f44b797a1aabf1f9f4225510084e25ab7a7a3e10.jpg
3,0,255749296064,91810400,柠檬酱cp0,6,保密,左下角有个威龙[doge_金箍],2025-02-18 12:50:29,0,0,,未知,是,https://i2.hdslb.com/bfs/face/a225994e9069cbe102211f288dd94ef9a4d92223.jpg
4,0,254282145217,3546619947518771,英文童话故事机,3,保密,外卖还没到啊，那咱就耐着性子等呗。哎哟，7点开播正好，咱们就先等着，到时候赶紧开黑，玩会儿游戏解闷。,2025-02-10 08:10:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
5,0,254229500944,3537117175089945,瘾线,4,保密,[吃瓜][吃瓜][吃瓜],2025-02-02 16:19:55,0,0,喜欢各种各样的的游戏，二次元。,未知,否,https://i0.hdslb.com/bfs/face/c98d693f050cbc43909b2ba0c7d60595551eb299.jpg
6,0,254183488016,2095723820,雷欧他爹巴巴尔,4,保密,知道为什么，老鼠不玩野排吗？因为野拍只会影响，我搜大红的速度,2025-02-02 07:38:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ed9c265c823718964ddbc6b6c70bdedff92121dc.jpg
7,0,253481399985,490939957,草莓乌鱼子,5,保密,五级号是一种领地意识很强的生物，只要有人在它的领地回复评论，它就会出来咬他，并表现出凶狠的表情((٩(//̀Д/́/)۶))，但是它遇到六级号就只能乖乖变猫娘了(ฅ•﹏•ฅ),2025-02-01 15:15:05,0,0,不想管那么多，我要快乐,未知,是,https://i1.hdslb.com/bfs/face/5b4205ad8bbb0c94b3d7b7f6380ce3a6302bea80.jpg
8,0,253345312753,3461576600324353,柠月zz,2,保密,1,2025-01-31 06:18:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4a3e14f8940965d2844a259853fd550c2a4a91df.jpg
9,0,253779502384,3546744767908804,展狼,4,保密,兄弟们我服了啊，打机密大坝这个入倒了，我就去救他，把那一队灭完后就剩几秒的时间，我就赶紧跑过去救他，另一个队友抢我包我也没管，就差两秒被我拉起来了，我正打药呢，他直接就冲着我包跑过去了，我赶过去的时候什么都不剩了，把好东西基本都拿了，家人们，气得我肚子疼,2025-01-29 00:56:42,1,1,,未知,否,https://i1.hdslb.com/bfs/face/e6cd5933bfd8797fee003cb209e707a238048462.jpg
10,0,253737859872,3546843736705547,光坠劳懂,2,男,是,2025-01-28 11:45:20,0,0,BZ,未知,否,https://i2.hdslb.com/bfs/face/2bb7668d7a3e8fe86bd999f6bdab43a8bf6e67ba.jpg
11,0,253066377425,6686256,你想干什么锕,6,男,普通大坝储物箱出军用无人机望周知[doge],2025-01-28 04:01:41,0,0,冰冻三尺非一日之寒，沐晴小肚子鼓鼓非一日之馋。,未知,是,https://i0.hdslb.com/bfs/face/1c68d2d183a73c87c03216349b80bfd05800c09e.jpg
12,0,253040285889,406020975,扣弄DKP哒,5,男,死因：瞄准镜挡视野。[doge],2025-01-27 17:09:02,0,0,,未知,是,https://i0.hdslb.com/bfs/face/5558d58b9d1ccbfaa449c4023ec316ce2e0e6926.jpg
13,0,253480207056,630647147,白柏摆败,5,男,航天绝密有时候是真的高，一把里摸了刀片，阵列，两个卫星锅还有雷斯的留声机，,2025-01-25 20:25:42,0,0,,未知,是,https://i2.hdslb.com/bfs/face/672cc5ea4998795addfc8f29db1afbb13154226a.jpg
14,0,252688358913,3493074764302662,田金豆爱吃饭,3,保密,背景音乐是啥,2025-01-24 04:01:13,1,0,,未知,否,https://i0.hdslb.com/bfs/face/bb61e278cd190c36b86530143b6a629ae9263670.jpg
15,0,252908987664,450096717,清烛台,5,男,寂寞的人舔着伤心的盒[doge][脱单doge],2025-01-20 07:36:16,0,1,诗书里，忆春秋,未知,否,https://i0.hdslb.com/bfs/face/ced401f5a2bf002c58539ff36383c6b188fca455.jpg
16,0,252852162752,504863331,睡不饱的裴乐ん,5,保密,1分16的bgm是什么,2025-01-19 14:16:06,2,0,这个家伙很懒，还没睡醒,未知,是,https://i0.hdslb.com/bfs/face/2c22e6f1d8fd71803602f16aa99d81cd1e6b8a58.jpg
17,0,252568454688,357430118,park3000,5,保密,m700比起便宜的两把栓狙厉害在哪里呀？看数据差不多，搞不懂为什么那么贵,2025-01-16 14:07:32,1,1,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,252487228192,1713343629,鲨声四起,5,男,@星镜瞳 最值得学习的一集,2025-01-15 15:52:32,0,0,祝你开心,未知,否,https://i0.hdslb.com/bfs/face/2ce7307a2a75ff7cf5013217ab6b63126cb6f7d5.jpg
19,0,252412656880,342512415,Ai-孤舟,5,保密,"这标题太能吸引眼球了！🐭🚀  
【评论区: 各种表情】",2025-01-14 22:14:28,0,0,我不做人了！无聊的世界，无聊的我！毁灭吧！,未知,否,https://i0.hdslb.com/bfs/face/1027eb2fa76045405b1ac16c6c803af6ffaa2473.jpg
20,0,251800806017,400381671,抑郁233,6,保密,我今天为了花9保卡战备去绝密航天，第一次狂炫300多万（有一个单三刘涛哥来丢包撤来抓我被我反杀）太爽了,2025-01-14 10:49:55,0,2,,未知,否,https://i0.hdslb.com/bfs/face/d7b9bebf811145ae1fd4095d0017a9c931cc4432.jpg
26,0,251784828241,8488698,非酋海澜,6,男,看过切片,2025-01-14 07:13:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/678fac9f31b2cadfbac158a9cbd0c2e41e041799.jpg
27,0,252344448032,3546594980923545,蛋黄猫-小蛋子,4,保密,《1440闪避78鼠》,2025-01-14 04:35:49,0,2,,未知,否,https://i0.hdslb.com/bfs/face/259bf0db0686d500787f7fd199532618417cbe30.jpg
28,0,252308988096,669503140,非洲芝心,5,男,看到577就想到7.1了[无语],2025-01-13 15:38:57,0,0,,未知,是,https://i1.hdslb.com/bfs/face/9a314ada26868953db31b8e2f52caf9c2a12be49.jpg
