序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261993229360,3493273173756617,星辰羊羊qwq,3,保密,包都没搜完，你不怕出钥匙吗？,2025-05-04 08:24:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/dafe706da64947595547f43bb1704fb285a726bf.jpg
2,0,260047713873,3493123476949077,一颗十月,2,女,每个月8万哈夫币，感觉也不多呀,2025-04-21 12:37:50,1,0,愿一切顺遂,未知,否,https://i0.hdslb.com/bfs/face/aece80564243f5b48ecd15c748b1a33c2fcd8ea6.jpg
3,0,259576590321,3546827949345452,no9527803425801,2,保密,巴萨拉卫队还招人吗？,2025-04-15 13:41:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/56eeb13d6b96c610369a234c3f31c28ecb46998c.jpg
4,0,258179449728,3537114140510811,喜欢乐高波兰球的穆,3,保密,别说了，威龙真跳槽去阿拉萨了[笑哭][笑哭][笑哭],2025-03-19 12:24:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/714daad9874958809c0d911157a01564e6e17b7a.jpg
5,0,257354799936,3546652856027202,麦晓鼠爱大红,3,保密,不是领不很好打吗我都打了十几次,2025-03-09 10:20:02,0,0,"一个爱玩游戏的人
",未知,否,https://i0.hdslb.com/bfs/face/2ea0417ece4a8c00d75bbe28d6832fb498d9964f.jpg
6,0,256351702913,3546604330027783,泥嚎小--你,3,男,@oi小鬼_-,2025-03-06 13:12:24,0,0, 卷不动了，以后一天一两个视频,未知,否,https://i1.hdslb.com/bfs/face/00777bc4ba6c16e475c046373059f14d935ac888.jpg
7,0,255291832545,3493132580686584,白夜54,4,保密,@一只屑屑のZTZ-99A酱,2025-02-21 12:29:24,0,0,……,未知,否,https://i0.hdslb.com/bfs/face/d20ccfb4673d12ae9b593b47681748cac3f8958a.jpg
8,0,253899839025,700868893,贝利亚权威一大王,3,男,第四级什么时候出？,2025-02-06 06:58:34,0,0,,未知,否,https://i1.hdslb.com/bfs/face/867702919bd7535f94576075e32b202963cdb6ae.jpg
9,0,253257814865,3546771150080672,李富宁,2,保密,上次以为他是人机，随便就杀了,2025-01-30 06:35:05,1,0,,未知,否,https://i2.hdslb.com/bfs/face/3f771a44aaa42fe8b1d0ee6f4e5f23c22c2e5f04.jpg
10,0,252817306689,3546558257695387,高人非,4,保密,他有一张电变战技术室,2025-01-25 10:42:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/dd34afb2e3ba9452cea75f19dc14d6cda0511034.jpg
11,0,253402433616,3546763684219707,1111234700,3,保密,威龙听完后，羡慕死,2025-01-25 04:04:07,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,252735767953,3546755998157462,三角洲吗喽,3,保密,来了（没错，是我）记得有广送我红皮[doge][doge],2025-01-24 13:03:11,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9cbef78194ea4a8ce8548a99d2416914fecb3042.jpg
13,0,253317617856,2079538538,普通的Minty大号,4,男,我早上去打一把，结果在地下听见听到了一阵脚步，然后我挥了几下刀，结果那赛伊德突然从我旁边那门窜出来，然后被我几刀搞死当时我都没反应过来，而且我打那时候打的是机密,2025-01-24 06:57:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/efe7800ce7e39e83d4ef8b3f64d26142aafd43f5.jpg
14,0,253311300192,3546687974935107,泰坦尼康,3,保密,我和朋友用深蓝肘死赛伊德,2025-01-24 05:40:57,0,1,,未知,否,https://i0.hdslb.com/bfs/face/1ee97a0d9323f4c2b4890a99bbfc73a7a885a270.jpg
15,0,252303028865,667013664,缘杰Jie,5,保密,家人们，Q区爱抢包的可爱小狗子[星星眼](打算带他溜遍100个评论区。),2025-01-20 05:21:18,0,0,搞点儿好玩儿的,未知,否,https://i0.hdslb.com/bfs/face/7731ac1fdebdac19f02e87207f9ae61090f2032b.jpg
16,0,252847630608,3546752451872842,甜瓜游乐场更新了,3,保密,你们看一下。,2025-01-19 13:29:15,0,0,,未知,否,https://i1.hdslb.com/bfs/face/4fdf1d84ea7a5351cdc420b88356b621064dc311.jpg
17,0,252788361344,3546834811226723,在下空调仙尊,3,保密,为什么最后威龙刀死赛伊德的时候，弹幕上那么多啊？,2025-01-19 01:29:49,0,0,,未知,否,https://i2.hdslb.com/bfs/face/651f3b78179a88caa8e2d57d02f8a615a3499b2a.jpg
18,0,252786675744,1970347211,电驴555,2,保密,这打个蛋的枪枪爆头,2025-01-19 01:00:46,0,0,,未知,否,https://i2.hdslb.com/bfs/face/f2afd5151eeb3c6bcbe03a539ca5fb1afad15f36.jpg
19,0,252624890432,3461579725080946,施工车子,4,保密,我来了,2025-01-17 06:58:07,0,0,孩子们，我强吗？,未知,否,https://i1.hdslb.com/bfs/face/2cf279c67112f484f614e3e6dc22880df58d3a97.jpg
20,0,252584253792,3461580540873039,胡堂主-HH,4,保密,今天塞伊德一个滑铲过来给我三头打烂了，先扫深蓝再扫我，要不是有个深蓝顶着我早TM死了（还是普通）,2025-01-16 17:15:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7cf141742a3c8ae34d3bdca5fdf1ceb0314588e4.jpg
