序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262172496240,122967941,killer-117,5,保密,我也玩三角洲,2025-05-06 10:34:50,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7c06d0f3d0b3bdc962bfde4da9256d3c5a98fe80.jpg
2,0,261837473024,1968050331,乌乌乌乌乌乌兰,4,保密,之前刷到过，当时是1000多来的，没关注直接滑走了,2025-05-02 12:59:24,0,0,"白垩纪末期，银河系和伽尔马星系、阿尔法星系融合。地球面积是原先的三倍，地形改变，国家和历史改变——乌兰世界观（乌兰原型：中国和蒙古国）
",未知,否,https://i0.hdslb.com/bfs/face/7ad3d0ce5344c8010892d4b31c87c841482666ab.jpg
3,0,259868995777,629530497,_豆沙包子_,6,男,[打call],2025-04-19 10:00:51,0,0,豆沙了,未知,是,https://i0.hdslb.com/bfs/face/7c6b8a4150ca0e64fc21eafc52bd8c5e4c30d5c3.jpg
4,0,260364017216,3546885574888402,暗鑫A,2,男,我被人机打死过。你们被打死过吗,2025-04-14 10:03:00,0,0,掉皮掉肉不掉队， C4炸弹已就位,未知,否,https://i1.hdslb.com/bfs/face/6e7ee177b5cc681b9609c07f8d5eb574b52d409c.jpg
5,0,260293503216,3546764579703313,正在红温时,3,保密,改名吧，改成糖牛角工作室,2025-04-13 11:27:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/44b6d3c95f9a54f982ef141b1e9671cae1ce0cea.jpg
6,0,259102574513,3493122302544584,码头的薯条半价,4,男,入股,2025-04-09 13:18:48,0,0,,未知,否,https://i2.hdslb.com/bfs/face/943f8299eebfba3f74f74cafd17e152153a82413.jpg
7,0,258761616577,11734492,你的宁晏,6,保密,入股,2025-04-05 09:17:36,0,0,守护全世界最好的苏暖,未知,否,https://i1.hdslb.com/bfs/face/2ed9281e1dcfc6c3145eba9d2ec98e70a9ac92bb.jpg
8,0,258572027249,2514186,沈沈沈子墨,6,保密,我日，什么推送机制，今天推送过来,2025-04-03 04:41:38,0,0,不求浮名，只求同好,未知,是,https://i0.hdslb.com/bfs/face/15ad3fce35fb51658e96e3ef788136cde21508f0.jpg
9,0,259298605152,276613100,得闲时撒欢,5,男,投币入股[脱单doge],2025-04-01 17:15:05,0,0,这个人很帅，什么都没写,未知,否,https://i2.hdslb.com/bfs/face/bf890e31c26184e9afb8459b45def6fb20d51bfe.jpg
10,0,258209654865,406004576,-_咕噜咕噜_--__-,5,保密,豪看,2025-03-29 16:26:03,0,0,,未知,否,https://i2.hdslb.com/bfs/face/992ec17e8117f6ca6f0ceecfa5492296b472a5b7.jpg
11,0,257830568849,3546875940571184,cyhvb,2,保密,垃圾三角洲,2025-03-25 04:06:44,0,0,,未知,否,https://i2.hdslb.com/bfs/face/2a466edd9c310ff0548d9cd2639f42ce6f34847c.jpg
12,0,258152313376,496915002,哈哈歌酒,5,保密,饺子，这里有民兵，快来快来,2025-03-19 05:25:28,0,0,我爱坦边,未知,否,https://i0.hdslb.com/bfs/face/7666d21edd446e59931bb5039325fa0e7025a056.jpg
13,0,258088457088,1115129213,xiaoyang678,5,男,碎星文化的，看来清酒工作室的创作内容很广泛,2025-03-18 09:29:53,0,0,"该用户需要你的关注。
虎扑，快乐的小手：@xiaoyang678",未知,否,https://i2.hdslb.com/bfs/face/84708abf826b7502385337f9c002a7652967628d.jpg
14,0,257159665457,342848388,细雪折枝,5,男,以前还跟朋友唠过三角洲烽火模式三人小队，勇猛的虎善战的狼以及装饭的桶组成稳定的糖三角哈哈[笑哭][笑哭],2025-03-16 13:09:25,0,0,,未知,是,http://i1.hdslb.com/bfs/face/dc8785c4cc3eaf500429722359309f72fb1894a9.jpg
15,0,256761696113,1262625760,科赫乳业,5,保密,[蹲蹲],2025-03-11 15:35:22,0,0,拖更区up主。CAG联络棺,未知,是,https://i1.hdslb.com/bfs/face/dfd57764e50d4636dc65b12b01da71b0777d2e52.jpg
