序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262193285728,1744157745,冰冻西柚哥,3,保密,我和你们玩的是一个游戏吗 为什么我普通图能出坦克,2025-05-06 14:51:00,0,0,,未知,否,https://i0.hdslb.com/bfs/face/98b21a7fb6186e4f7a19cf785583bb172cb4545f.jpg
2,0,262106853392,1338933039,九组生物科技,5,保密,主战坦克模型。这玩意谁没有似的,2025-05-05 12:48:52,0,0,九组兽设武器工作室，改名为九组生物科技，服务于那些刚加入军迷圈的萌新,未知,否,https://i0.hdslb.com/bfs/face/caf43bb388e0b94cf4a81d7e6cfda91ac718fea0.jpg
3,0,262072921296,64666042,传说之下的小号,5,男,[doge],2025-05-05 05:33:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,262071386304,50311728,暖阳照木生,6,男,我要给艺术生猴子[星星眼],2025-05-05 05:15:41,0,0,不可以变得带刺又贪婪，要经常让自己的心保持柔软，人应该要有一颗柔和的心，跟别人手牵着手生活，不要只是考虑自己的事​,未知,是,https://i0.hdslb.com/bfs/face/389a792c63e9657b1beab6417929daa49a16f536.jpg
5,0,262063472688,2016196341,把偏爱都给桑桑,3,男,@三角洲行动,2025-05-05 03:47:10,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a5c45b3aef3e65cfe8b12789bbbc0a6621b15204.jpg
6,0,261109385633,3546689797360168,桃花不比桃花香的桃花,3,保密,玩三角洲你不贪那你玩什么三角洲,2025-05-04 23:31:44,0,0,,未知,否,https://i1.hdslb.com/bfs/face/ca929fb7dd8dcd7d8a69b6a52e21975e8e4c383f.jpg
7,0,261107431025,3546896316500460,友谊与背叛,2,保密,天才少年啊！,2025-05-04 21:46:40,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d8e15f612e5b2b4e13d219b9d16c928eec614bad.jpg
8,0,261097146177,1876503458,bili_1876503458,2,保密,6,2025-05-04 16:21:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/af8a6e434e78d6a72d7217a14bbcea9c763cd198.jpg
9,0,261086361569,3546648783358886,电子天火,3,保密,知道吗？我一朋友给我算了一卦，说我走出门就会死，结果我刚踏出门就被一个人在100m开外用狙打了。,2025-05-04 14:18:07,0,0,,未知,是,https://i2.hdslb.com/bfs/face/b9d16396cff92d4973c70bb18ea97db2f456a1e3.jpg
10,0,262018012752,3546895471347911,大大光长宫,2,保密,到评论区的各位实力的边缘了吗 ？,2025-05-04 13:12:27,1,1,,未知,否,https://i2.hdslb.com/bfs/face/95d2794a41945de2998b25d0c1416f07f2ee37fd.jpg
11,0,262002038000,2009698549,C神降临了还有史上,3,保密,今天刚玩，有人能带一下吗？微信的，巴克什还没开,2025-05-04 10:16:35,1,2,10,未知,否,https://i1.hdslb.com/bfs/face/e3a70c519301d990201fb88daacfc3c635a24ab1.jpg
12,0,261985827792,3546771659688702,绿帽子的爹,2,保密,[星星眼],2025-05-04 06:40:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,261983418176,3546799828633613,白给小伙AV,2,保密,寻血猎犬来抓我了😭,2025-05-04 06:07:08,0,0,,未知,是,https://i2.hdslb.com/bfs/face/e330d70f35b65e184ac705693406f36072e760dd.jpg
14,0,261036642721,1324075383,蜘蛛监控,2,保密,能不能带带我？,2025-05-04 04:03:33,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f1086cc1f5f65a487f547db04746ab27f686f37e.jpg
