序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261199778832,3546859888969730,肖祖荣,2,保密,看个视频，主播粉丝涨了五千[吃瓜],2025-04-24 16:34:21,0,0,肖祖荣本人，高考物理满分，全省第二，全世界美女都偷偷暗恋我,未知,否,https://i2.hdslb.com/bfs/face/d7c6ae429fb3ffe933e2b3d8f42b72772eaf6d7e.jpg
2,0,259575012192,671875847,bili_32736092339,3,保密,小小烟，他是舔狗。我给你们讲,2025-04-05 01:43:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,259402480544,1255313420,逢南雀,5,保密,"7＝100W
14＝200w
35＝500w
70＝1000w
在校大学生 不动仓，绝对纯绿，只跑大坝
打前仓库截图，不动物资和哈弗比，摸到大红大金需要算价值，需要的哥哥姐姐留评论",2025-04-03 02:44:16,0,0,,未知,否,https://i2.hdslb.com/bfs/face/be3265252653abc7b82e527d3fc3e038eff4e8b8.jpg
4,0,258507151936,510646028,令狐长益,5,男,上回我当鼠鼠被追着打就是你们嘛[大哭],2025-03-23 10:43:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/067587e6043534f160a34eef0b084eca9de3bb70.jpg
5,0,258215217760,21521738,阿贞头上是紫拉,6,保密,两只汤姆被狠狠拿捏了[doge],2025-03-20 02:29:55,0,0,调查你蝶是吧，你已经被我拉黑了沙勾,未知,否,https://i2.hdslb.com/bfs/face/6ea1beda8b379544339a0a1e26af85ae3cce114b.jpg
6,0,257379244017,3493143179692266,彝蘭,4,保密,不懂就问手机端有显示吗？,2025-03-19 11:04:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/709bb60e6ecb1243b2ae3adb88c6bda6f2c478d7.jpg
7,0,257274557985,80017877,袖卷春秋,6,男,[OK],2025-03-18 03:40:03,0,0,o_0,未知,是,https://i2.hdslb.com/bfs/face/930f55aaeb25300799b71d164f23809b57037687.jpg
8,0,257272010001,192264161,DarlingJWYF,6,男,声音像麦小鼠，长的像乌鲁鲁[doge]谁谈？,2025-03-18 02:57:23,0,0,中日英三国语，软件工程师,未知,是,https://i2.hdslb.com/bfs/face/30a1195d1984ccd038e242d9730be57f1c223c1b.webp
9,0,257079312576,451936407,XxGuoi,5,保密,7r/100w，纯绿大学生跑刀,2025-03-06 05:01:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9c5c2310c729847bed16cf634ef980a36a63a2d2.jpg
10,0,257018181008,610906807,和平SJ,4,保密,@sky_小梨 哈哈哈哈哈你看看这个,2025-03-05 09:49:05,3,0,,未知,否,https://i1.hdslb.com/bfs/face/e440e466fc356036474314ee6dea0f544e71ff89.jpg
