序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261134172593,95466292,千里香馄饨店,6,保密,这个号还有下一期吗，想看[捂眼],2025-05-05 05:37:07,0,0,萨日朗萨日朗，只见一个馄饨追着顾客猛打了十条街...,未知,否,https://i1.hdslb.com/bfs/face/f6f452a0b94f904811c8f2a589b167d36f4254f0.jpg
2,0,261951489680,1863276233,你-的gb,2,保密,不是上面那个普坝被仙丹打死的人，说的是人话吗[笑哭]你家普坝能带六级弹,2025-05-03 19:12:26,0,0,,未知,否,https://i2.hdslb.com/bfs/face/530fbc2b39e3994ccddb47626e9c22e25c9e128d.jpg
3,0,261725395840,16195644,九格大红来咯,3,保密,我一个人打了两队四人，队友打一队，我穿四头六甲用的金蛋，不在同个位置，背包都塞满，180万，损耗，九十万[笑哭][笑哭][笑哭],2025-05-01 07:23:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/993d800d31bd9138fdbf6b135f7756136c59e7f5.jpg
4,0,261705238448,95432214,LichKing18,6,男,大学生贪玩纯瘾大，20r过3*3任意任务（包括蓄水池，金枪客等除观光客收集者），求老板支持,2025-05-01 02:51:25,0,0,……,未知,否,https://i0.hdslb.com/bfs/face/53a3ff4e7edaaa10f6c5998b503d514aa2b09374.jpg
5,0,261536332736,1646015234,游戏糕手静静,6,女,你的总裁怎么和我的不一样,2025-04-29 01:03:13,0,0,"隐约雷鸣，阴霾天空，
但盼风雨来，能留君在此。
隐约雷鸣，阴霾天空，
即使天无雨，我亦留此地。",未知,是,https://i2.hdslb.com/bfs/face/3ef6aa7c2c4f31e387adb610d0b1e154513120db.jpg
6,0,260363987457,23090863,雪日初晴,6,男,Digital Drive,2025-04-25 16:15:58,0,0,引体是对天空的向往，俯卧是对大地的敬畏...,未知,是,https://i1.hdslb.com/bfs/face/f5aab3f81ff48c0254008b4da1540359192de0e1.jpg
7,0,261167046576,1257306900,Midx_岩墨,5,男,初创工作室 招打手老板 价格白菜 打手待遇优厚 有意者私我哦,2025-04-24 09:30:06,0,0,喵,未知,否,https://i0.hdslb.com/bfs/face/c67d9c69947534c7c378e4bfdaa49cd4132646d4.jpg
8,0,259935380609,275061293,薪火电竞,5,男,"带上主播粉丝截图享受额外优惠哦
部门任务   
战斗部门1-4=150元（1天左右完成，不包币，包币+60元）     
战术部门1-4=150元（1天左右完成，不包币，包币+60元）  
医疗部门1-4=120元（1天左右完成，不包币，包币+60元）  
后勤部门1-4=130元（1天左右完成，不包币，包币+60元）  
研发部门1-4=130元（1天左右完成，不包币，包币+60元）   
亿唐特价:五个部门任务全包1-4=900元（完成时间以打手反馈为准，包币）  
  
一个部门任务1-2=40元（1天左右完成，不包币，包币+50元）   
一个部门任务2-3=60元（1天左右完成，不包币，包币+50元）   
一个部门任务1-3=80元（1天左右完成，不包币，包币+50元）    
一个部门任务2-4=100元（1天左右完成，不包币，包币+50元）",2025-04-20 04:48:25,0,0,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg
9,0,259935308481,275061293,薪火电竞,5,男,"带上主播粉丝截图有额外优惠哦
三角洲S4赛季预售~ 3*3任务 新赛季优先安排，包损耗！    （具体价格看新赛季多退少补）
套餐一：拿到保险箱（包含期间哈夫币损耗） 1000元    普通加绝密解锁保险柜 
套餐二：拿到保险箱（包含期间哈夫币损耗，一般还会赚钱） 1200元    普通加绝密解锁保险柜  77个赛季任务（2-3天左右完成，超过3天是打手原因可退百分之20差价作为补偿）   
套餐三：收集者1-6全包=320元（包含新赛季物品）         
 
注：1.中途需要终止代练的，  需要进度结算",2025-04-20 04:48:21,0,0,"三角洲行动3*3哈夫币部门任务
需要+V  faqng5131421
频繁加V  qazplm5131421
频繁加Q 2961553035",未知,是,https://i2.hdslb.com/bfs/face/21c25e46713b9057bc764dd35b00475e49ee3310.jpg
10,0,259909192225,409335666,麻辣牛肚味QQ糖,5,保密,为什么他的总裁和我的不一样，极致画质还能改场景吗[思考]还是说是电脑端独有，我是手游玩家,2025-04-19 18:40:30,0,0,,未知,是,https://i0.hdslb.com/bfs/face/317f078046c820ff2947d5548fafbebd969a3664.jpg
