序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,258653500096,516721038,Captain_Rainbow,5,男,耳机太好了，听到麦小🐭的游戏机电流声了,2025-03-25 07:19:34,0,0,手机里有一个视频平台，给它充个大会员，每天还要看广告和一堆60FPS的纯商单视频，里面还有一堆水军不管，我也是这辈子有了。啥b平台啊？,未知,否,https://i0.hdslb.com/bfs/face/3fd85ef50dc40d64a3443f5c6375f1ebd4e0ad9b.webp
2,0,257833858945,3546871943399899,账号已注销,0,保密,自从看了这个神奇的视频后，我就不会玩王者荣耀了，王者荣耀不会玩了使我的cod16玩起来也变菜了😑使命召唤16变菜了玩植物大战僵尸也集中不住注意，集中不住注意整个人整体思维也变慢了，整体思维变慢了，就容易打瞌睡，打瞌睡了第二天去学校就提不起精神，提不起精神上课老师讲的内容我也没记在心里，没记在心里考试又考不到高分，考不到高分就不能上好的学校，上不来了好的学校就只能辍学在家，辍学在家就只能打开电脑玩使命召唤16😋,2025-03-25 04:45:57,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
3,0,257751765697,43392380,断桥丶残雪灬,6,保密,竞技游戏开挂真的是tm出生中的出生。尤其三角洲这类游戏被挂干死是真jb恶心。,2025-03-24 03:44:35,0,0,,未知,是,https://i2.hdslb.com/bfs/face/08bac58c4ffc546993130c9b05b34a62ef362492.jpg
4,0,258542912368,533874340,春风不拂秋叶,5,保密,天空属于哈夫克 但天才只在GTI[脱单doge],2025-03-23 20:10:57,0,0,事需缓图 欲速不达也,未知,否,https://i1.hdslb.com/bfs/face/8e603b2b5e70448e5d9dd815214321fc255ebbb3.jpg
5,0,257725414833,1102658798,祖师堂爆破手,5,男,我上次也是明明被打死的视野是威龙加步枪但淘汰回放是麦晓雯的射手步枪然后是在她打我的视角她发现我的原因居然是我的破晓手电筒光（我手电筒是关闭的）这逼游戏bug真多,2025-03-23 15:34:31,0,0,我是薇尔莉特的狗,未知,是,https://i2.hdslb.com/bfs/face/a5ad4523302b93b1e56a73cf8a247eccd3eadc14.jpg
6,0,258525672912,403261104,秋道信,5,男,大惊小怪，戴了10级听力头，听到呼吸声了呗[doge],2025-03-23 14:27:51,0,1,颓废～,未知,否,https://i0.hdslb.com/bfs/face/a5f6076098417d0399fef8ef9a1e22608d7b8250.jpg
7,0,258503226240,3461567215569622,蛋升,4,保密,航天基地一个充满未来科技的地方,2025-03-23 09:56:16,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
8,0,257684240449,472911694,嫩滑的雪糕,5,保密,举报人别说使用外挂，写上对面使用枪械换肤，或者刷点券,2025-03-23 06:40:35,0,0,本人很懒啥也不想说,未知,否,https://i1.hdslb.com/bfs/face/818df6ce9b198ce6436ae094c84cc26589ac5a32.jpg
9,0,257675303105,3546587957561781,咸鱼大帝104,4,男,虽然感觉是挂，但是我总是喜欢往里面打虎蹲，无论有没有人，有一次还真炸倒了一个[笑哭],2025-03-23 04:45:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/20a1d53a3d6165a3a0722482346685946b6a77d4.jpg
10,0,258399487184,154145726,给你打个眠,5,保密,直接找有点怪，应该是透，但是那个一帧拉枪好像是死亡回放的bug,2025-03-22 06:49:27,0,0,?就别来叫了,未知,是,https://i2.hdslb.com/bfs/face/d0c91711bec0e4905d7737891b7e1db19e48fe98.jpg
11,0,258390792080,2026035439,灯火隔帘明,4,保密,这点我因为被老鼠阴死过所以每次都扔个虎蹲进去排点，但是你这演都不演了，起码打完虎蹲正常人看门口防你跑啊,2025-03-22 04:54:31,0,0,清醒温柔知进退，努力上进且优秀,未知,是,https://i1.hdslb.com/bfs/face/13c072e84c7f88bec7abb3bacb059d9ac5b4829d.jpg
12,0,257580418545,2066477,n_U_U_n,6,保密,全是天赋和努力啊[doge],2025-03-22 03:01:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c9e19c6000bd053ebd545b628c9b07f5d661d724.jpg
13,0,257575271697,1893097956,DK_Virgil,5,男,还怕打不过你呢[赞了],2025-03-22 01:46:37,0,0,2333,未知,否,https://i0.hdslb.com/bfs/face/99027dc5411096d5f5ca1bc1adb58a2db45d8528.jpg
14,0,257569909105,1885994573,墨柒ya,5,保密,如果举报了没封的话，那就只能说是正常排点了，一般段位高的局这些点位都会排的，也别怪[笑],2025-03-22 00:04:34,10,3,,未知,否,https://i2.hdslb.com/bfs/face/16d159150c83ab2e082a379ceb262e1f49b63929.jpg
15,0,258300950608,3546848346245846,我命己死,2,保密,都说了这里充满未来科技了,2025-03-21 04:10:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/73e629246c00740c05c4c3a91ebc1f81555f86b9.jpg
16,0,258281457952,1862969436,怪我没有本领,5,男,"刚开始看视频：“不太像，说不定之前up漏过脚步，这个人来排呢？”
看视频看到一半：“为什么只看左不看右？”“他的枪口怎么有点阻尼？”
看到最后：“6”",2025-03-20 19:30:47,0,0,全体目光朝我看齐！我是个（）（）,未知,是,https://i0.hdslb.com/bfs/face/382bef2ac6db66b02fdec1ddd27a94b0f7a3e499.jpg
17,0,258236654464,233207103,在杭州卖防晒油破产,6,男,三角洲有很多bug的，我玩威力静步走被别人提前发现打死了我也以为是挂，看回放才发现我居然有喷气声，但是我又没喷,2025-03-20 08:01:31,0,0,西方打压，绝对是西方打压！,未知,是,https://i0.hdslb.com/bfs/face/9658428f809492f0c261324e28bff0622d6c81d5.jpg
18,0,257417220737,389613364,金边大蚂蟥,6,男,在网吧里我看到不下五个挂狗了,2025-03-20 01:44:02,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ab315dcec16db27c285a50c16c67f6f549bcdfab.jpg
19,0,257416063569,356244366,夜枫angst,4,男,"借楼同出，祝老板大富大贵
破产的鼠鼠们看过来
三角洲代肝哈弗币
1.8R=100w纯哈弗币
2.16R=200w纯哈弗币
3.24R=300w纯哈弗币
4.32R=500w纯哈弗币
5.56R=800w纯哈弗币
6.70R=1000w纯哈弗币
8.不动仓库任何东西
9.需要留红/钥匙请提前告知
10.效率高 全天可接",2025-03-20 01:21:58,0,0,"有需要的+ⅴ:ANGSTCYH555
Q:2350046824",未知,是,https://i0.hdslb.com/bfs/face/6f7dd7f190fca905ab8ab4bdc654cb0aeeb64f61.jpg
20,0,257389417681,1856545399,小七在这呐,5,男,呼吸声太大了被听到了呗[doge_金箍],2025-03-19 13:24:27,0,0,遇见就是缘分，所以可以给我一个关注嘛（喜）,未知,否,https://i1.hdslb.com/bfs/face/e1d2bc72f5a273f4c7e4ab95bf80c672f2863006.jpg
31,0,257370648961,87094270,一只会飞得PDD,5,男,科技现在巨多，绝密航天我不打,2025-03-19 08:58:55,0,0,我已经1000%准备好了。,未知,否,http://i1.hdslb.com/bfs/face/47e7ed30d7641b3061eeab7bac79fab51b3a9910.jpg
32,0,257366519873,240789783,让我独享欧气啦,6,男,搞不明白，打个游戏开挂了，这种人玩什么游戏，破坏游戏平衡，腾讯是怎么处理？真的是,2025-03-19 07:47:25,1,0,,未知,是,https://i0.hdslb.com/bfs/face/9320abb18351c03d82b802ac618d0b1eb5dc0921.webp
33,0,258140978288,1195406213,小黄qqq,5,男,gggggggg,2025-03-19 02:42:03,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4aaf1759fb179a92c9546200d1e7da7e9963f4cc.jpg
34,0,257338623649,1860507284,主流犬,5,女,打那个比红薯窝全是瓜[笑哭]，有一局那红狼演都不演锁血一挑六打完跟你说天赋＞努力＞浮木,2025-03-18 23:23:42,0,0,,未知,是,https://i2.hdslb.com/bfs/face/9ea5fff8ad20b5171e8e6e36703d365e3a487fe4.jpg
35,0,257326472129,543850178,我徂东山_慆慆不归,5,男,我只看到了天赋与努力，顶尖外设懂不懂？听到你心跳声了，这都离不开夜以继日的练习，后面忘了,2025-03-18 15:45:31,0,0,,未知,是,https://i2.hdslb.com/bfs/face/95afd906f634b6bc3ada49afce125bd4d06b1bbf.webp
36,0,257316634865,1988171869,流萤可爰涅,5,保密,都来航天基地了，没点科技的气息都说的过去[笑哭][笑哭],2025-03-18 13:44:29,0,2,,未知,否,https://i1.hdslb.com/bfs/face/94ea0fae8ea278b72e8cf78d62edf554c7f35a1d.jpg
37,0,257287758673,86639996,喵鱼瞄,5,男,在酒店房间里等楼下打架，5分钟没动了，那个孤儿开门就是俩c4扔过来[tv_冷漠]，看回放枪口就一直在我身上,2025-03-18 06:58:51,0,0,这个人不懒_写了几个字,未知,否,http://i1.hdslb.com/bfs/face/d35f9c2461194548d6d519b3dc9f0a8236e65953.jpg
38,0,257981189184,3546597619141148,我曾是你的喵,3,保密,腾讯的游戏疑罪从有就行,2025-03-17 02:03:55,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ec05089819c5bcef813f1699b3b38e1236ffc88e.jpg
39,0,257185323585,689855084,男闺蜜哦耶,5,保密,我只看到了努力和汗水，父母暂时没看到,2025-03-16 22:57:38,0,0,很高兴认识你 许昊龙梦男,未知,是,https://i2.hdslb.com/bfs/face/c334c19da7fc757d51505324b575e5da1e70cb9b.jpg
40,0,257148577089,3546709414119751,穿破云雾,3,保密,机密大坝满血三枪给我干倒,2025-03-16 10:53:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d0797d13bb4ddcc91c46be6ba54d93d92d700ea0.jpg
41,0,257913747728,408041337,逆驱动AntiDrive,5,男,别尬黑，插了哈夫克脑机罢了[滑稽],2025-03-16 06:10:38,0,0,"最喜欢优香了
AI翻唱：@逆向时针link
网抑云播客：逆向时针X",未知,是,https://i0.hdslb.com/bfs/face/ca8e7741aeaee6eb0b3eb664cc4a1f7461078084.jpg
42,0,257846291248,506152330,橘子汽水96,5,保密,我巴克什也遇到过这样的，红狼隔老远直接开大来干我，我就是一直蹲下然后小挪了两步，但是他知道我在哪，而且离得很远,2025-03-15 11:42:22,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1f59e5306c8b2b16bcbda4fac1154dc7f606abb9.jpg
43,0,257833075712,3493288717846532,AXSLP,5,男,可能是对面离那个墙壁太近，显示快速近战的标了，但也可能是挂,2025-03-15 09:08:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ab348ab553431e7d6ac81ec1c905a02edcd88288.jpg
44,0,257822603328,2079594201,欢PL,5,保密,"高刷显示器，成都打外地，高敏手感好，磁轴停的快，昨天睡得早，而且没有导，高帧打低帧，反正不是挂，总之别尬黑                                
#压制 #手法 #绝境 #突破 #自我 #证明 #巅峰 #枷锁 #答案 #依赖 #尽头 #诠释 #冷静 #逆境 #自信 #无限 #打破 #困局 #质疑 #逆转 #磨炼 #极限 #止步 #假象 #结果 #终将 #问鼎 #冷静 #挣脱 #限制 #领域 #绝巅 #过去 #诀别 #回忆 #束缚 #破镜 #零碎 #绝劣 #缺口 #细节 #天赋",2025-03-15 06:39:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/542e362120acb45a0044b616740dc00a74e4dc45.jpg
45,0,257018445153,1777742691,我是肘纸派啦啦啦,3,保密,看到了吗,2025-03-15 02:23:45,1,1,喜欢02和喜欢玩现代战舰,未知,否,https://i0.hdslb.com/bfs/face/b81076d515640fc4bc185d3374effaefc10b766b.jpg
46,0,257748208992,13782002,crazystars,6,保密,下个游戏再说吧免费的[呆]，你刚下飞机人家在雷达站就听见了，去大坝做快艇就过来逮你了,2025-03-14 10:09:04,0,0,????,未知,否,http://i2.hdslb.com/bfs/face/48ccdec46f02502b24a61984c5c2ee633eb85370.jpg
47,0,256883076193,1076307999,似有疾风起人生不言弃,5,保密,大哥科技高一点，有智子帮忙怎么了？,2025-03-13 09:06:43,0,0,阿姆罗，别让我在阿·巴瓦·空看见你嗷，看见你头套给你薅一地,未知,否,https://i0.hdslb.com/bfs/face/f5f7db7d1d4cde3094603b6101f89e56cbb02c26.jpg
48,0,256866065521,902473,要命的小小小宇,6,保密,可能是你身上的气味从那个高压锅铁坡炖大鹅的仓里飘出来了,2025-03-13 04:22:53,0,0,一个人走,未知,否,https://i1.hdslb.com/bfs/face/fce0984d63cc132d8462efc8dc5b54dd2d2eb163.jpg
49,0,257588416224,14985832,一加一等于阿怡,5,男,你漏呼吸了,2025-03-12 10:00:01,0,0,缘分往者不可谏     来者犹可追,未知,是,https://i1.hdslb.com/bfs/face/f5fa48e213269803c68cf879245cc4afddae8c3a.jpg
50,0,257586621872,283104545,猫娘辣椒精,5,女,不好评价，感觉是科技,2025-03-12 09:36:31,3,1,跟着我唱～前世今生的眷恋～往生复见的悲欢～为谁而唱为谁而叹～又为谁而悲,未知,否,https://i2.hdslb.com/bfs/face/cfa733c7718344ec95e9d4a2e6f5008cf2372e74.jpg
56,0,256809425313,306352566,月下梧桐影慕风,5,男,手游都遇到挂了，举报了，官方发邮件说先封一天，再观察一下，第二天又发邮件说确实是封了十年[笑哭],2025-03-12 09:31:34,1,2,,未知,是,http://i0.hdslb.com/bfs/face/120b2b8da1cc57a68532da087e594a53c433cde4.jpg
57,0,257580636592,3546868105611342,账号已注销,0,保密,因为需要带价值18万的装备，万一死了那装备就没了，还是喜欢玩那俩个图，当跑刀仔,2025-03-12 08:00:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
58,0,257572807360,3493083895302320,翔子也想吃吃喝喝,5,保密,哈哈哈哈哈哈哈哈哈这些挂真的恶心,2025-03-12 05:36:25,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f168442aeea130fbfaa5d2f10eaf67750440c776.jpg
59,0,257564422448,293644344,星尘之使,5,保密,这不是很正常吗，耳机头和听力针，听到你呼吸空气的声音了，一帧拉不过是腰射弹道随机罢了[脱单doge],2025-03-12 03:47:22,1,18,分享游戏趋势的UP主,未知,否,https://i0.hdslb.com/bfs/face/f1fc593b1fa27f9651e538b815d8db65a1f7973e.jpg
60,0,257548119472,132610624,溺死在人群中的鱼,6,男,[大笑]幽默完了，这杂种锁头都不松手的，一个飞天大潮给我4枪头，隔着60m给我五级自闭头队友六枪头，还有个路人队友也是直接锁,2025-03-11 20:30:11,0,0,"Finders keepers
Losers weepers

",未知,是,https://i1.hdslb.com/bfs/face/544c4bdc96a194353aac91b413dc02307cf6b6dd.jpg
61,0,256767350337,286673496,舞欃枪,6,保密,有些人是真蠢还是假蠢，这么明显的挂看不出来吗,2025-03-11 17:02:48,0,0,幸会，再见,未知,是,https://i0.hdslb.com/bfs/face/89ea2d1ff62ddef2e5901116d98b1c53b2f27427.jpg
62,0,256761780017,3546392744168067,皎皎-云间月,4,男,很明显的挂，往左边看是想确认你到底在哪，走到左边后发现你在右边果断回头丢虎蹲，然后进来装一下不是挂再开枪,2025-03-11 15:35:38,0,1,现实里得有多卑微才在网络上找存在感啊,未知,是,https://i0.hdslb.com/bfs/face/7ef2228ca51dc49dcc27cc75df83be54ffec5040.jpg
63,0,257514500432,3494359724985046,白柏_o,5,保密,不是，他这个喵都不带瞄一下，就直接0帧两枪头?,2025-03-11 11:06:34,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
64,0,257511851120,478803633,青誓不会撩,5,保密,我遇到一个锁左腿的[大哭],2025-03-11 10:34:13,0,0,,未知,否,http://i0.hdslb.com/bfs/face/dc8560d959588d1014f2206afac65ba48fab6d99.jpg
65,0,257494785104,443057114,离碎玩,5,男,很喜欢一句话：三角洲一天封的挂比你一年封的都多（三角洲一天开挂的人比人家一年开挂的都多）[妙啊]至于封没封，相信官方公告好吧,2025-03-11 06:11:40,0,0,,未知,是,https://i2.hdslb.com/bfs/face/0721c82dd2bcae2c29f74494ca5de9ab322fe41c.jpg
66,0,256710286001,436886253,Cheatingyourself,5,保密,"可能是因为他被蹲这里的阴过，或者他也蹲过这
举个栗子我长弓先手坐车撤离经常躲在最后边那个箱子后面，所以有一次我后手上车直接给那个位置一发虎蹲炮，还真逮到一个大冤种",2025-03-11 03:35:53,5,0,,未知,否,https://i0.hdslb.com/bfs/face/2d7e461ad73158592676570ee1fcdf61fff129d6.jpg
