序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,258145819264,693805933,l白菜I,5,男,可以播彩六[doge],2025-03-19 03:59:33,0,0,(●—●),未知,否,https://i1.hdslb.com/bfs/face/cb5bc076620d0f68daf264b81acbdc394bed3ac5.jpg
2,0,257277750033,160227350,丨摸鱼高手丨,5,女,教教我,2025-03-18 04:22:31,0,0,•ェ•,未知,是,https://i2.hdslb.com/bfs/face/c437a19634752904693bfc97afc7110d19d4fb7c.jpg
3,0,258064389312,22256711,一次性想念,6,男,可以拿来播r6,2025-03-18 03:21:05,0,0,这个人懒死了，什么都瞎鸡儿写,未知,否,https://i2.hdslb.com/bfs/face/a98a422736b17254d21bcc82a1b66094cacff0d5.jpg
4,0,258040722208,373037236,X圣文森特,6,男,可以播彩6了,2025-03-17 15:47:38,0,0,嗨嗨嗨,未知,否,https://i1.hdslb.com/bfs/face/c722966737dcfbf30962dba474ac266b913dbf7c.jpg
5,0,258036948096,10081816,乌鸦非鸦,6,保密,天才啊，治好了我的晕3d,2025-03-17 15:02:06,0,1,,未知,是,https://i1.hdslb.com/bfs/face/437bea692e73fc3f0d3b1de63aae76d0fc1a21da.jpg
6,0,258019107424,295985648,星晨曦园,5,保密,能播彩六,2025-03-17 11:27:45,0,1,。。,未知,否,https://i2.hdslb.com/bfs/face/3e51dcb57118dae89460558a9002f34184b90965.jpg
7,0,258017482832,64205600,TeleVisior,6,男,显卡：低端局好意思叫我,2025-03-17 11:07:47,0,0,贪玩up，好玩爱玩天天玩,未知,否,https://i2.hdslb.com/bfs/face/caad1625c61b214c22065dd26203b34fa8aac9dc.jpg
8,0,257223823169,3546387966855963,纯鹿忍才,2,保密,超广角[滑稽]👍🏻,2025-03-17 10:18:23,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,258004569456,125282648,徐先伟,5,男,"屏幕买大了X
分辨率买低了✓",2025-03-17 08:07:01,0,0,,未知,否,https://i2.hdslb.com/bfs/face/05bdb5ba334c92dc0f201d4f566d11a24a68ae24.jpg
10,0,257214263025,434266553,豆fu呀,6,保密,以前LOL也有这个bug,2025-03-17 07:50:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/e26ccddfa4a600e14ef21ad2ec91008b376670b1.jpg
11,0,257997621152,87376542,NoMoreThinking,6,男,@这里是岚九,2025-03-17 06:05:40,0,1,,未知,是,https://i0.hdslb.com/bfs/face/576727f143c37a952bcddee0988f1330924b89e0.jpg
12,0,257992429264,701531414,伊蕾ccccc,5,男,带鱼屏比例性能消耗可是很大的,2025-03-17 04:47:48,0,1,"社恐！社恐！社恐！
如果我表现不正常可能是精神问题 很抱歉给你带来麻烦
宅子一个——",未知,否,https://i2.hdslb.com/bfs/face/437687fdf1de3641b44e9ff5f615f17632962df8.jpg
13,0,257195701969,12541294,不止拾光,6,保密,我当初剑灵打本就是这样玩的，因为电脑不行，缩小提高流畅度,2025-03-17 02:59:13,0,0,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
14,0,257195697025,3493284492085557,寅yu---增肌版,4,保密,带鱼屏,2025-03-17 02:59:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
15,0,257195285217,378026076,盼盼与干脆面,6,保密,弹幕有个说能播彩六笑死我了哈哈哈哈哈,2025-03-17 02:51:33,0,1,POKEMON,未知,否,https://i0.hdslb.com/bfs/face/64c531e59df3cb8ed9e8a56b7cf8f04ade317350.jpg
16,0,257944923600,3493121440614425,小辞-星星,2,男,这是win10哈，用的winXP壁纸,2025-03-16 12:40:32,0,0,这个人很懒，只想把你留下。,未知,否,https://i2.hdslb.com/bfs/face/79d82a0cbafe3d22dcbafc793ffed79c989311fc.jpg
17,0,257149464161,1217018780,休闲骑的小鱼,4,男,bro玩到手游版了[doge],2025-03-16 11:04:22,0,0,上40得喘却梦想辣堡波加查的武汉菜腿,未知,否,https://i2.hdslb.com/bfs/face/ee5286161637a088755cc0d60fb8ce1df133b75c.jpg
18,0,257148320769,509986355,l-------l这是1cm,5,男,1200帧,2025-03-16 10:50:21,0,1,,未知,否,https://i2.hdslb.com/bfs/face/a8c83ae5abe71a62e5b85d294fdc19f588a9d8c3.jpg
19,0,257935024416,3493088095897644,折纸鸠鸠,5,保密,@庄佳吉 甚至带鱼屏比例,2025-03-16 10:43:46,0,0,每天都在想佳佳和yousa,未知,是,https://i0.hdslb.com/bfs/face/96361acc3d23d8214bb00d65679bdcfdac7ea34a.jpg
20,0,257935054112,32290836,胖三三三三金,6,男,这个bug我也遇到了，但是有点不一样的是我全屏依旧这个画质[吃瓜],2025-03-16 10:43:06,0,0,勿谓言之不预也,未知,是,https://i0.hdslb.com/bfs/face/2e1bc6aa40454c2e469c4e9029c0b4774912e4f2.jpg
21,0,257146881233,627557364,荒泷114514斗PLUS,5,男,10.80P,2025-03-16 10:31:45,0,0,原神节奏真是糖丸了【笑哭】带节奏能不能有点心意啊你们,未知,否,https://i0.hdslb.com/bfs/face/942c6762821b220320c4f9bc93ccf33308638e77.jpg
22,0,257146645921,398235387,有车请踹我,6,保密,🐭视角是吧[微笑],2025-03-16 10:29:00,0,0,,未知,是,https://i0.hdslb.com/bfs/face/14edec0961ba20c2e6169b0e7ad237993cbe4ad4.jpg
23,0,257141878033,3546843436812666,虹星是只狐,3,男,《三小洲》,2025-03-16 09:29:41,0,0,没事别闲，熵了就好???,未知,否,https://i0.hdslb.com/bfs/face/db5027fba94fadcc7a8d53b9c8bfa008e8e9f6bb.jpg
24,0,257926065184,227565104,玲花乾,5,保密,《能玩》,2025-03-16 08:51:54,0,0,三垣二十八宿,未知,是,https://i2.hdslb.com/bfs/face/5fe66fc5565888218b6cfc868ae954ae08ca153d.jpg
25,0,257133792545,34467872,和煦Season,6,男,这个好办，你用电脑放大镜功能放大一下就行[脱单doge],2025-03-16 07:39:43,0,1,"曾经有人问我二次元是什么？
我只说了一句话：那是一种信仰，一种缘分，早在很久以前就已经命中注定
在残酷的现实里，我一无所有，他却给了我全部。",未知,是,https://i2.hdslb.com/bfs/face/56b73f216f7cabcad362cb580ce07547d284cba2.jpg
26,0,257110386353,296269386,鹿鸣青羽,6,男,放大镜呢？,2025-03-16 02:58:06,0,0,虽然有一些想法，但是无法实现~,未知,否,https://i0.hdslb.com/bfs/face/a534809bedc930753ab9120801bd46c3a152a481.jpg
27,0,257096879281,24701072,IN2U-JJKCHU,6,男,"21年的时候显示器坏了，让我姐搞个高刷显示器给我，她弄了个4K144的，我当时用的rx580，玩游戏带不动，后来升级显卡花了我4000多[呆]
她当时在显示器工厂上班",2025-03-15 22:06:07,0,0,"喜裸奔，爱好女，工程狮，社交悍匪
",未知,否,https://i2.hdslb.com/bfs/face/3eae1310cd9089361e58fb531ae5db1902c5802e.jpg
28,0,257873896384,430738211,别总是奖励自己,6,男,哇，原来打电脑多了真的会让眼睛近视[笑哭],2025-03-15 16:56:51,0,0,生于理想，死于欲望,未知,是,https://i2.hdslb.com/bfs/face/949e71eed2f484b228783b1a8a320bb3d5ec5e40.jpg
29,0,257869881248,427672109,Dontcare冰片糖,5,男,1×3彩6专属豪华电竞屏[doge],2025-03-15 16:01:08,0,1,呱,未知,否,https://i2.hdslb.com/bfs/face/0fde615ba603894c4bd63cfdb5764131c35a3035.jpg
30,0,257867495376,470864518,超级牙签扎心间,5,男,别人玩游戏开倍镜，你玩游戏显微镜,2025-03-15 15:34:06,0,1,我很懒,未知,是,https://i1.hdslb.com/bfs/face/665b9c4154cf44684b80827d76e019a4915da8c4.jpg
31,0,257080346177,521327651,可能是叫Joren吧,6,保密,以前玩gta5我就用这招，即使这样只有也只有10FPS不到，也让我打到麦克抢银行那里。然后打不动电脑在那卡崩溃了,2025-03-15 15:15:31,0,0,,未知,是,https://i2.hdslb.com/bfs/face/614f6a0d1cdf1b790b9c7be7990ff965a047df34.jpg
32,0,257864500192,173396638,核子_cola,6,保密,以前用这个方法玩过gta4，集显[doge],2025-03-15 15:00:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8826369e8a862ce0a22fe3fac7cffd9728579230.jpg
33,0,257851772528,400073601,阿润周末不上课,5,保密,不如放水冷冷头上面玩,2025-03-15 12:41:45,0,0,To be better,未知,否,https://i0.hdslb.com/bfs/face/c1488902df3e18155791aacb4b5492e804605521.jpg
34,0,257846956000,3546691112274525,_把海弄干的魚_,4,保密,可以播彩六[doge],2025-03-15 11:49:25,0,0,弱小和无知都不是生存的障碍，傲慢才是,未知,否,https://i0.hdslb.com/bfs/face/9832edd7e656020e3ca0f5c1825ac138ded0b47e.jpg
35,0,257846573984,445343700,Vainglory-VAG,6,男,开无框窗口化更好一点[大笑],2025-03-15 11:44:39,0,0,虽然前方拥堵，但您已在最优路线上!,未知,是,https://i0.hdslb.com/bfs/face/2f7e344dba4a6084ab4e5818dadb339a6ca04a44.jpg
