序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260200489297,88083851,袁凯剑,4,保密,球jm引路[蹲蹲][doge_金箍],2025-04-23 13:33:11,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
2,0,260637185264,591844845,櫜獸,2,保密,行,2025-04-17 22:40:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b16b9384e7eecb2c65e865d6d736340d3284f822.jpg
3,0,259395628512,3493095633062107,上岸ya__,3,保密,卖哈夫币  有大佬买的吗？,2025-04-03 00:51:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,258373848577,276327893,不说化州高手,6,保密,女友套装啥意思,2025-03-31 15:36:30,0,0,我就是主角,未知,否,https://i2.hdslb.com/bfs/face/c3ded56d696fd8761c4481821ede385ca9122a85.jpg
5,0,257585875265,383881071,辅宝今天吃什么,6,男,@kkkkkenny,2025-03-22 04:12:09,0,1,ⓛ 该账号封禁中,未知,否,https://i0.hdslb.com/bfs/face/d2bdcf0cf462e829bb23f07f525fff87a2acfa45.jpg
6,0,257673286576,1525213636,梦溪浮云梦,4,保密,有没有需要跑刀的   通宵跑  纯手动  不占用你们游戏时间,2025-03-13 11:31:21,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0af2d71879f9cb90c44299afa15c717103055ff4.jpg
7,0,257515017936,35397840,肉松猫薄荷,6,男,我感觉老飞宇这样的对枪才是纯绿玩，你看那些主播又是提前枪又是不停左右探头的，露一个缝就秒，就很不真实[辣眼睛],2025-03-11 11:14:11,0,0,为什么我没有脸，或许是因为你不想看到…,未知,是,https://i0.hdslb.com/bfs/face/b3f4a5dd1c3e8a50ee1b9f0aab60429bbf63327c.jpg
8,0,257086205568,3546653843786022,基建狂魔哥,3,保密,哎呦，我靠，那咱碰上了，我那把跑刀在那儿看见四个没开过的盒儿搁草丛里呆愣了五分钟，后来一看牌子，哎哟，原来那摔死的家伙是你啊！,2025-03-06 06:54:28,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0a2883686f3b171844677e4eeb6ef1003f8e3742.jpg
9,0,256151390433,3546576221898899,bili_3546576221898899,2,保密,有没有要做3×3任务的板板什么任务都接，在校男大学生（可以压学生证）赚点零花钱，需要可以联系我[星星眼],2025-03-04 01:02:30,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,255344428129,65344966,跑刀代肝鼠鼠要饿死了,6,保密,"大学生纯绿跑刀不动仓库
6r＝100w（9格）
7r＝100w（6格）
8r＝100w（2、4格）
80r=1000w
大学生纯绿跑刀要求可提可商量（留红留金）
有单就b站全程直播",2025-02-22 05:01:06,0,0,"代肝买斐济呗，求求了我真的很需要它
v A3594025074",未知,否,https://i1.hdslb.com/bfs/face/e4082343aa84535b2cf4d783f0bf20b7674887d9.jpg
11,0,255279551440,435262698,雨一直下丶头也是,6,保密,真的服了啊，野排真的好多神人，md我拉烟救队友，完事儿他不帮架枪，人家直接突脸，我给人杀了去扶队友呢，这b直接就舔宝,2025-02-13 11:39:43,1,1,啥也不是,未知,是,https://i0.hdslb.com/bfs/face/577c6437e204e336e8373f22fe80d34d9e156b43.jpg
12,0,254570305633,3546619947518771,英文童话故事机,3,保密,哎呀妈呀，这事儿可够绝的！今儿个你那啥，机密巴克什给整了个大漏勺，一纤维板子给你捡着了。你本来想着直接进塔飞走，结果还剩五分多钟的时候，你摸进塔里，发现好多地方都没人，机哥也没人打。你跟机哥斗了一圈，就剩下一分多钟的时候，终于在二楼角落里找到一个尸体，但是……哎呀，这后面的情况是啥来着？,2025-02-13 07:31:01,0,1,,未知,否,https://i2.hdslb.com/bfs/face/d1edab7adb4effc2879dad02d97d4c030be180d5.jpg
13,0,254525726193,1926789297,XFreaks,5,男,@___Rocky___,2025-02-12 16:18:59,0,0,嗨嗨嗨,未知,是,https://i0.hdslb.com/bfs/face/2f174568ee7864e144d01cb77423fa96dfc0fae8.jpg
14,0,254472500449,3493267190581571,9EYi,4,保密,[doge_金箍],2025-02-12 06:46:43,0,0,正在输入中……,未知,否,https://i2.hdslb.com/bfs/face/09dfa40382922ab81449b8bd2182b5f24fe4a940.jpg
15,0,253682867809,412982563,月亮星空メ,6,男,45万直接进去夺舍，被我杀了一个六套的满编队笑死了,2025-02-03 20:47:58,0,0,花有重开日，人无再少年,未知,是,https://i1.hdslb.com/bfs/face/3ec8d4ebe492689eac7966120f292fecc21cac71.jpg
16,0,254174931136,1399616203,m0NESY529,5,男,"礼貌借楼，大学生放假没生活费蹲个老板赚点窝囊费
8＝100w
15 ＝200w
38＝500w
75＝1000w
3x3任务单说
效率高现在能上号",2025-02-02 05:53:12,0,1,if i want,未知,否,https://i1.hdslb.com/bfs/face/fd6bf4053f5af37cd322ab5d44ff7c871ea95b93.jpg
17,0,254129923392,3546740053511022,10086个10086,3,保密,666,2025-02-01 15:22:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,254129260352,1209423243,麟刀殇,3,保密,平等怨恨所有人,2025-02-01 15:16:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d12196f8de2c7e4ebb03f8ff9bce66375a2db98f.jpg
19,0,253788289792,3494370361739811,ikunTails,4,保密,问一下，飞鱼的uzi是全腰射吗,2025-01-29 03:11:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f717812d5345c88c904bf90daed4d87079e169f4.jpg
20,0,253766005296,388188117,zjb1986217,3,保密,福利是刷了两个，西区大门被开了，去宿舍楼，拿到一个漏的[doge_金箍],2025-01-28 16:57:20,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
22,0,253492465984,1014818010,智费账号,2,保密,问一下，这人用的啥枪射这么准？,2025-01-26 02:22:45,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b5f641097df7046852acc34b0b91002c27291ad6.jpg
23,0,252595312385,3493126689785995,nbwcwdf,3,保密,48秒清图,2025-01-23 05:09:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
24,0,252570837217,672748696,一锅傻几,6,男,78主播再不玩牢麦就取关[微笑]😭😭😭😭,2025-01-22 22:59:54,0,0,看到签名者出门忘记带钥匙,未知,否,https://i1.hdslb.com/bfs/face/b3721c77a780bed989699ac6bcb3488bc3e12f77.jpg
25,0,253147680352,2124225119,bibilili以,3,保密,预备，各就各位,2025-01-22 13:20:31,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6bd3ef13b602fc5cdad2ee6b2dbc90a9f8dc5988.jpg
26,0,253122026192,590814902,宴火啊,4,保密,开头bgm是什么[doge],2025-01-22 09:04:12,0,0,,未知,否,http://i2.hdslb.com/bfs/face/95e8560c2214665f98c0ec461a27b336a7c86543.jpg
27,0,252385687873,3546620668938885,落翔爱徒,4,保密,强，跟开挂了一样,2025-01-21 03:30:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/e1a008818258c2e548c387d014986d85452fcba3.jpg
