序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,254674847296,3493292102650401,HAAVK安全总监伊蕾娜,4,保密,建议官方出个功能，让我在烽火地带能拾取人家的刀[笑哭],2025-02-07 09:56:11,0,1,,未知,是,https://i0.hdslb.com/bfs/face/b5f8f255f2b46856e79a45299fac58c84cc6d649.jpg
2,0,253767196817,3546615004531371,寥寥风月寥寥风月,3,保密,老师，请逝一下我这把枪.357左轮-全面战场-6F8I6R80EE9US1V7OCIB0,2025-02-04 17:07:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d396a6dfca52ecc8b52380e08dcfde2c9f24f379.jpg
3,0,254141343840,1007284941,我是李扯蛋,3,保密,必须支持粥师傅,2025-02-01 18:04:08,0,1,第一代营养师，22年初开坑和平龙狮城,未知,是,https://i0.hdslb.com/bfs/face/fa947c7c18fd44d575a772510aac337d017cd9dd.jpg
4,0,252619850752,1782714140,手机都不充电,5,男,拿下S2的[微笑],2025-01-17 05:48:56,0,0,生而为人，我很抱歉,未知,否,https://i2.hdslb.com/bfs/face/133194b351fee4b5ac17d64a76cba4c1f99b295c.jpg
5,0,249721642032,2119805135,莫橙dada,5,男,《海恩塞弗罗》,2024-12-14 22:08:26,0,0,"本人现在玩的造型不代表任何政治立场
游骑兵CC造型进度30%
PLA87常礼进度80%
小军宅随便玩的尼龙大手子们轻点喷
RG毕业后考虑玩W",未知,否,https://i2.hdslb.com/bfs/face/12e0933e2f0960712304c10826f6d01bea64f6a7.jpg
6,0,249691543360,3493117359557341,当初为何离开她,5,保密,他🐴的，全面战场的人就跟开了一样。,2024-12-14 13:07:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/2d83b5591909ff148319aaa3da2dababe07c1e65.jpg
7,0,249446018080,21988702,在下皮皮龟,6,男,我橙皮第一个10连就出了，还挺好出,2024-12-11 17:16:36,0,0,呵，这个老兄一点都不简单。,未知,是,https://i1.hdslb.com/bfs/face/cfc113bcec5e0f2fa8f9583bf81e6fc252931382.jpg
8,0,249419836960,518984730,1949101日,4,保密,钢铁洪流真正玩法，开着坦克。向对面前进，对面准备把你坦克炸爆的时候，一车的威龙全部下来去跳炸坦克,2024-12-11 11:53:25,0,0,,未知,否,https://i0.hdslb.com/bfs/face/76877f8ab5ca507e2795a377df6beb356e9d4d13.jpg
9,0,248838039953,8996166,实在想不出sao名字,6,保密,看了下，锁国区........,2024-12-09 13:28:07,1,0,,未知,否,https://i0.hdslb.com/bfs/face/6574bf4b115a1bf8043d40cb5a3492e269ee73c6.jpg
10,0,248740622129,16613095,cheems丁,6,男,好家伙 捅了麦当劳后厨了,2024-12-08 09:40:57,0,0,,未知,是,https://i1.hdslb.com/bfs/face/87ab7e8a96ede1e1c6ad1b5d5dae16f7e7905389.jpg
11,0,248740258657,1830896555,伊藤陈皮,4,男,诶,2024-12-08 09:34:51,0,0,始于鸦，归于羽，愿人类荣光永存！愿每一位重返地球的人类之子平安！,未知,否,https://i2.hdslb.com/bfs/face/af4be8a4dc70bfe483eff5067a4a6af351eb5967.jpg
12,0,248722016193,1035880464,炼金之星2,4,男,打副本，你背包里面得装一堆子弹,2024-12-08 05:29:07,0,0,因为一次无意间的涨粉，就开始做视频了，当时我没有发任何视频和动态。是因为我这个头像而涨粉，还是因为我这个名字而涨粉？,未知,否,https://i0.hdslb.com/bfs/face/d60736328d89e869d6c2623cec59c0c090022e73.jpg
13,0,248708590289,112380476,维寒迪科学家,5,保密,你们怎么做到这枪看着还不抖还能看清人的？,2024-12-08 02:38:27,0,0,什么？？？？？？？？？？？？？,未知,是,https://i2.hdslb.com/bfs/face/5e84a594d869a3b9af30d48fe541569acf53c188.jpg
14,0,249079801584,3546774897690815,斯达半导_,2,女,我硬生生把95式改成两种模式，一种突击，操作速度，后坐力，腰际射击精度都在70以上。还有一个60发弹鼓的95班用轻机枪[笑哭]这里面后坐力好难压，我只有95和car15改成了能压住的手感[大哭],2024-12-07 11:41:39,0,0,这世界很吵，做自己就好。,未知,否,https://i2.hdslb.com/bfs/face/eec25481b174a677069e2daaf28a696894b59acb.jpg
15,0,249078246592,45506718,海拉鲁李光头,6,男,不是，你那么远怎么没被打死？我老是被80多米的冲锋枪打死，还是移动靶,2024-12-07 11:24:01,0,0,啊对对对你说的都对,未知,是,https://i0.hdslb.com/bfs/face/b9b12031f65e07ff09f58cf2a9340aa8984e3245.jpg
16,0,248655477249,3494369887782963,州长和风,4,保密,威龙表示终于能在载具模式吃个爽了[doge],2024-12-07 09:56:08,0,0,慎终追远，且惜春光，,未知,否,https://i0.hdslb.com/bfs/face/95f5d0b6d584c9658dc29a4b6d1428404e90ab54.jpg
17,0,249063460800,1520404733,被困在陵墓里的始皇帝,5,保密,这分不清建议把眼睛捐给需要的人[给心心],2024-12-07 08:26:57,0,2,,未知,是,https://i2.hdslb.com/bfs/face/6acf7bc14516eed4bddb5a1f81fd413f2df7a367.jpg
18,0,248987303280,1542450839,jsjsjsjajssxxxx,4,男,bro第一次玩2024年的游戏,2024-12-06 11:00:50,0,0,,未知,是,https://i2.hdslb.com/bfs/face/9920046561d505f3e2c8be372f5a19de20d2eb68.jpg
19,0,248538124241,399245059,寡妇之友-,5,保密,分不清那是你傻,2024-12-06 01:59:49,0,0,,未知,否,http://i1.hdslb.com/bfs/face/d60fb059d93b1d292c8307fa294befaa3ed8fc5a.jpg
20,0,248508815505,1064364662,11K-T11,5,男,人机模式能不能选地图啊，匹配选不了就算了为啥打人机熟悉图都不能选啊,2024-12-05 13:49:32,0,0,,未知,是,https://i2.hdslb.com/bfs/face/605999916724880fc46c01fe7d079d4192ed7f82.jpg
22,0,248456369969,511990961,快乐的呆逼,5,保密,赶紧把这个地图改下，nm枪线多的你数不过来，大战场是枪线的大战场[黑眼圈_金箍],2024-12-05 01:08:51,6,2,22亿种希望，33亿份爱,未知,否,https://i2.hdslb.com/bfs/face/6787cd9d9f860b1b3dca651d99d12f00dc9ab4e2.jpg
23,0,248449042145,123640697,天才爱抖露鹤酱,6,男,能玩这个的也是神人了,2024-12-04 19:18:06,0,0,这哪叫加班，这是为人民服务啊。,未知,是,https://i2.hdslb.com/bfs/face/5f8c22e631f2014a06fdbf311671b52af4fa0244.webp
