序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259053764129,504470561,虾修机,5,保密,开始收搜了几天，一天就100万左右，但是昨天就赚了300多万。还是杀人来得快！,2025-04-09 00:57:00,0,0,,未知,是,https://i2.hdslb.com/bfs/face/ce3d5a83057bbd3f2549eb1c10298422f2c06726.jpg
2,0,258836877233,210036879,绫红药华,5,保密,"接三角洲跑刀，大学生纯绿色手工
1000w,75r
500w,40r
100w,8r
大学生想挣点外快吃烤肉",2025-04-06 05:54:10,0,0,萌新一枚，企鹅2048512372,未知,否,https://i0.hdslb.com/bfs/face/2a1459f0c8e2a786e7a39c2e84e6de18250b6c32.jpg
3,0,257416275168,137958335,KUANGAGUI,6,保密,我开第一局就直接破产了，没兴趣玩了直接卸了,2025-03-10 06:06:54,1,1,,未知,是,https://i2.hdslb.com/bfs/face/50542f04a0c2bd3dd93f12555b7926742a347dac.jpg
4,0,254965315040,27424617,誩静丶,6,男,摸金模式有啥意思呀不懂拿钱可以抽奖吗,2025-02-10 09:14:17,1,0,,未知,是,https://i0.hdslb.com/bfs/face/5df3407bb00fda21fdb22cfc929b2def4ae24148.jpg
5,0,254081038529,1142074261,独立宣言2,5,保密,教人买金[笑哭][笑哭][笑哭][笑哭],2025-02-08 05:27:06,0,1,,未知,是,https://i1.hdslb.com/bfs/face/3b7e0c7115869aa6547826454ed6d3eda55bb0ff.jpg
6,0,254350709376,3546614341831333,MC铁路长,2,男,是单3不是单4,2025-02-04 03:12:14,0,0,MC？战区我全都要玩,未知,否,https://i1.hdslb.com/bfs/face/a9d32758c0d4994659276d8004585e5419ea8875.jpg
7,0,253599507696,1530037903,雷霆黄豆,4,男,@老飞宇66,2025-01-27 04:11:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/6985f5959741f7fb1f96d2a4c39b6f25e8e6f3ac.jpg
8,0,253102224656,160178716,论群,5,保密,哦~,2025-01-22 05:10:08,0,0,帝国早已不复存在，故人早已离去而历史终将向前，万物都将毁灭，什么都没有意义，能有自己的精神支柱就是好的，不要在意他人的眼光——论群,未知,否,https://i1.hdslb.com/bfs/face/61b5a99b494700aac3c55336413bdae3b3773eaa.jpg
9,0,252140596609,23644277,德生生生生生生生生生,6,保密,上亿还是很简单的,2025-01-18 08:48:03,0,0,2233身上贴两块布就出来了？,未知,否,https://i2.hdslb.com/bfs/face/8508e7b92ddbe5ec20bfb55104732abc11966f01.jpg
10,0,251617263121,1142074261,独立宣言2,5,保密,牢毛,2025-01-12 06:35:55,0,0,,未知,是,https://i1.hdslb.com/bfs/face/3b7e0c7115869aa6547826454ed6d3eda55bb0ff.jpg
11,0,250199164433,107169157,难得莲花似六郎,3,保密,什么时候更新,2024-12-26 05:29:02,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
12,0,249786094113,630600377,东极二级军士官,5,男,游戏送了我还几把抢玩不过来都卖了，,2024-12-21 03:12:51,0,0,刚离婚恢复单身狗，,未知,否,https://i2.hdslb.com/bfs/face/3116b73e8a25457070c67cdad5e9c1369c4d839b.jpg
13,0,249811098000,363449506,魔法少女魈魈,5,女,女大，也想玩，有人带吗[傲娇],2024-12-15 19:53:22,0,1,我不看月亮 也没说想你,未知,否,https://i1.hdslb.com/bfs/face/0e7b6a67c44ca468248d1eacca1a2bceb4346562.jpg
14,0,249355962833,551584363,楚子航の太刀,5,男,@老飞宇66 这里有你精彩操作,2024-12-15 16:07:43,0,1,小丑孩子，你又破防了,未知,否,https://i1.hdslb.com/bfs/face/d23883c22c98d06392866d1272d83324326a2469.jpg
15,0,249774460176,34969111,砂狼白子-阿贝多斯,6,保密,普霸爆率好高啊！第二把是我反杀了几个炸鱼的拿的四套[tv_doge],2024-12-15 11:09:01,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f36e02579b94984277ab5373a274171ec2147a93.jpg
16,0,249271671025,390057656,骚奥,6,保密,新鲜的[脱单doge][脱单doge],2024-12-14 17:25:25,0,0,,未知,是,https://i2.hdslb.com/bfs/face/90e9c29a0de01c6ab805b64be4adbd6a0ac49233.jpg
17,0,249261490689,1049116796,存在之暗,5,保密,一个多小时一个五级套加150w，，，我六十级钻石在机密都不一定赶干得到，你则么做到的？？？？？,2024-12-14 15:10:55,0,1,,未知,是,https://i2.hdslb.com/bfs/face/f924aceb1aaa524e9777b8336745f37075789fce.jpg
18,0,249313639008,5644141,许仙Yoshiki,6,保密,更新完视频之后就没有玩过了，战绩停留在11月25日,2024-12-10 06:51:04,1,49,什么什么什么什么？！,未知,是,https://i1.hdslb.com/bfs/face/bc1879974cec5b190d9ac54c010bb0e6d1ec80d7.jpg
19,0,248878069873,275042653,Shown0mercy,6,男,@流入虚实@暮夏枫林,2024-12-10 04:22:36,0,0,知行合一,未知,否,https://i1.hdslb.com/bfs/face/8ca68a439789a41c5a9a6fb7587a022368f89dc4.jpg
20,0,249252306400,678639412,北极星的大熊,5,男,主要地图颜色和人员颜色也太接近了，真看不清,2024-12-09 11:45:40,0,0,,未知,是,https://i1.hdslb.com/bfs/face/7e8de71f543742fcc5d167e2f54a05878f79f81f.jpg
24,0,249252306384,678639412,北极星的大熊,5,男,主要地图颜色和人员颜色也太接近了，真看不清,2024-12-09 11:45:40,0,0,,未知,是,https://i1.hdslb.com/bfs/face/7e8de71f543742fcc5d167e2f54a05878f79f81f.jpg
25,0,248806669089,49982278,希尔风Tsirphon,6,男,只要什么都不带，摸个绿油油也是赚[doge]没问题啊我们拾荒者老鼠人[doge],2024-12-09 06:10:09,1,0,B站非著名便宜主播、若智写手、怨种UT AU创作者、评论区UP主、全站第一位可互动式赛博猹梅，这里是希尔风，很高兴认识你！,未知,是,https://i1.hdslb.com/bfs/face/aa2c3d1583e79e4ad667a7f96f63e77ccbd62d35.jpg
26,0,249222465840,38832414,巴黎城下的小木匠2,5,男,你只要有好运气就行，我在终点等你,2024-12-09 04:48:49,0,0,格拉苏蒂.百达翡丽.欧米茄.宝珀.宝玑.江诗丹顿,未知,是,http://i0.hdslb.com/bfs/face/e452003f725c4bd137f9d19b6901fcfe4e511797.jpg
27,0,248605693937,316327890,最讨厌想名字了-_-,5,男,kd零点几怎么办[跪了],2024-12-06 17:15:16,0,0,,未知,是,https://i0.hdslb.com/bfs/face/8b3b93fc98e321b68304b0a0ecc8e5961e2897ae.jpg
28,0,248791145184,1691681345,你就等着吃牢饭吧,5,女,GTX650TI 1GB+I5没法玩[笑哭],2024-12-04 04:10:40,0,0,一个FNF圈UP主,未知,否,https://i2.hdslb.com/bfs/face/bd282c44d4ab4bbe43832b2a1915bc9bbe36288e.jpg
