序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259410384785,1285700757,bilbibi3244,3,保密,求结尾bgm,2025-04-13 09:28:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/31806025cb85ee54b79767363f7976c5b6f9b0d9.jpg
2,0,259239810817,316576585,风の忆铃,6,保密,"我见过充几万的哥们，又是找人做部门又是找人撞金，他觉得这游戏就该起装，把把满改加5套干大坝。
他枪准不准不说，但他确实玩爽了，后面号被搞没了，找了个租号玩六套满改，后面觉得没意思退坑了。
他号没纯粹是那些撞金代打不靠谱，因为他天天抱怨S3刚开被人趴地上修脚。[笑哭]",2025-04-11 09:22:54,0,0,享受竞技，热爱生活,未知,否,https://i1.hdslb.com/bfs/face/179ccbf9e850283960adb4d1c2731333b0c64a7f.jpg
3,0,259023885217,3546744056974191,鼠鼠想要一颗非洲之星,3,男,有像我一样想要九格，但是不懒得肝的吗？,2025-04-08 12:57:36,0,0,要一颗非洲之星,未知,否,https://i0.hdslb.com/bfs/face/6a8e59258fbcd7b66d4b0d75ca0d08f05c4e086d.jpg
4,0,259012432897,11128090,夏瞳不想早起,6,男,众所周知，这游戏是不会让唐人破产的，而且破产的大多都是喜欢猛攻绝密的，所以老板的技术。。。,2025-04-08 10:30:56,0,0,,未知,是,https://i1.hdslb.com/bfs/face/530460ed112c64791ced73c4919c839f461b5656.jpg
5,0,259000323425,433429554,爱上崔智云,6,男,我点护航只是懒的打而已[笑哭],2025-04-08 07:25:35,0,0,,未知,是,http://i0.hdslb.com/bfs/face/dfc9fe7a5990ccd476adccaa183ab8a59eb2f214.jpg
6,0,259413509840,1211494220,斐乐达人,5,保密,这不是红狗三种人盾狗吗？,2025-04-03 05:02:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/9c41e119302795362d7b7b02ae69f1b49fff3f74.jpg
7,0,258432557297,3546758386813193,大红得吃了,2,保密,1：44的音乐应该是深渊，没错吧？[笑哭],2025-04-01 10:56:17,0,0,,未知,否,https://i2.hdslb.com/bfs/face/7b834d948b185a064df10279d4edb61dd3a75845.jpg
8,0,259242868944,1999234546,野生的926弹挂,2,保密,所以剧中这三个人的关系应该是固排吧,2025-04-01 05:28:18,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,257985607025,38447860,单吃睿马,6,男,我还真在这儿搞过一个雷达，就桌子上放着，队友冲进去吃面包被人逮捕，我去救他，一看桌子上一个雷达，他，敌人，都没看见，我封个烟冲上去就塞裤裆，然后我也被逮捕，普通长弓，爽,2025-03-27 03:31:29,0,0,,未知,否,https://i1.hdslb.com/bfs/face/211ac7348b2eae813efe662cfe027d37ae770903.jpg
10,0,258772088848,3546704179628514,minecraftwct95,3,保密,@三角洲行动,2025-03-26 15:01:10,0,0,每周六周日更新。,未知,否,https://i0.hdslb.com/bfs/face/5d22de29fb3eb6dbbdd92cd0d3b0c95b420df643.jpg
11,0,258637983584,3493129067956240,浅念ao,3,保密,CF？[doge_金箍],2025-03-25 03:34:29,0,0,给大家带来优质的视频或者是师，打游戏，找朋友可以进群聊天,未知,否,https://i1.hdslb.com/bfs/face/e04345860324ada9aad26c2c050a2d42838545ac.jpg
12,0,257779927521,627622151,为开塞露带盐,4,保密,长弓真的有护航吗，我每次打长弓不是遇到连发狙就是单点狙[藏狐],2025-03-24 10:52:21,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9f6502fb3ca343f47039d0e4b3ef2205ae5afd32.jpg
13,0,257719624449,3546388983974591,12628层楼高玉米,4,保密,这特马是啥？一整个视频全是这个弹幕，可以飘字，可以发评论区，可以打开，就是视频卡了,2025-03-23 14:25:52,0,0,,未知,否,https://i2.hdslb.com/bfs/face/3c69d4479fc41308ed1a3671ba53ba59dbcd9fa0.jpg
14,0,257713290977,3546680400022362,_DDMET,2,保密,三连了,2025-03-23 13:08:27,0,0,,未知,否,https://i0.hdslb.com/bfs/face/1217d9beb67bfa382c35f41f3a7e9ec720a2e258.jpg
15,0,257588580081,109449383,深渊禁地,5,保密,你们应该庆幸官方只给三人小队，要是给个4人小队够。我们这些普通玩家受的三个6套，一个老板。那才是够呛。,2025-03-22 04:42:57,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0a3c30e7c92e9264e27d09b20d0a2de1dba11a42.jpg
16,0,257429702913,1232625460,有爱美意识的山顶洞人,5,男,"你以为的鼠：被打会反击，逆天修脚枪骇爪
实际上的鼠：见人只会跑，撤离只丢包蜂医",2025-03-20 04:55:26,0,0,"鸡鸡(蔡徐坤)
个人爱好是唱跳RAP篮球",未知,是,https://i1.hdslb.com/bfs/face/7cc2065645c495dfdf95065db3296a24214f6f03.jpg
17,0,258214992272,1105505521,花火nella,4,保密,好活当赏,2025-03-20 02:27:09,0,0,,未知,否,https://i1.hdslb.com/bfs/face/46155e650ad4aa3ab5bc2d188dcb1cadeeef7bc1.jpg
18,0,258177713328,587436834,mc白喆丫,5,男,快出一个老板吃亏的局，有点看不惯这个私人老板了😡,2025-03-19 12:00:39,0,1,"多去捐钱吧，我挺心痛的，我b站乱翻发到个捐赠的看到一个是给病危的老人捐钱的，我爷爷就是癌症晚期痛死的
.",未知,否,https://i0.hdslb.com/bfs/face/f30fe324c40942ae60696d19567c87c954f12cfe.webp
19,0,257259618689,158266382,i心艺,5,保密,我觉得把老板杀了包抢走衣服罢了更有节目效果,2025-03-17 20:14:09,5,3,,未知,是,https://i2.hdslb.com/bfs/face/0ed34152e26ec286058afd85b7f0742890add47e.jpg
20,0,257139175297,350333883,坐在墓碑上看夕阳,6,保密,其实可以最后烟雾散了发现雷达没了，然后是鼠鼠队大胜利,2025-03-16 08:55:20,1,3,孤独一生，充满着希望,未知,否,https://i0.hdslb.com/bfs/face/7894bcf439854798745aebd863b5bb6f32f70f6b.jpg
27,0,257920943744,425138904,极恶堵桥乌鲁鲁,5,男,@三角洲行动,2025-03-16 07:43:10,0,0,年愁今夜未到乡,未知,否,https://i0.hdslb.com/bfs/face/e45b2b740c6e54e27226dc8aa079af61bbb3144c.jpg
28,0,257095408097,325573661,菓子不是果子狸,6,男,谢邀 普通长弓办公桌拿到了雷达[doge_金箍],2025-03-15 20:09:37,0,0,有空就会录视频，感谢老爷们的观看,未知,否,https://i2.hdslb.com/bfs/face/9bfefa47ce8f97752e9b2c8eb3ec2805f1a6e59e.jpg
29,0,257089962065,3493085631744481,深蓝Isit,3,保密,没错，这就是我,2025-03-15 17:27:34,0,0,,未知,否,https://i1.hdslb.com/bfs/face/23bde3f033fdf7deeed6061bed5cc79ea68962b4.jpg
30,0,257849615728,1125451016,米苏荷饮,4,保密,"在公交车上；旁边一位美丽的少年引起了我的注意
他笨拙的操作和不屈、生气的神情，那么引人注目。即使打到一个鸡哥也高兴的浮在眼神中；只可惜到站了，没能看得见他的ui d
但是侥幸的记住了名字：米苏荷饮
哪一位好心人能带带他呢？",2025-03-15 12:17:42,1,1,米苏荷饮，苏苏脆脆,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg
31,0,257833328848,1872312209,超叙事奋进者,5,保密,老板：我破产了，你猜我为什么破产？,2025-03-15 09:12:26,0,1,,未知,否,https://i2.hdslb.com/bfs/face/f1787fb17eada8fa967e2f381eac8c911ed67426.jpg
32,0,257803667728,2966417,忘却的镇魂曲,6,男,老板只有刚落地最好欺负，老板子弹是随便泼的反正最后撤离钱不够打手是要补单的,2025-03-15 02:43:57,0,5,懒的写,未知,是,https://i2.hdslb.com/bfs/face/0d1b18d1447346765e36531c86432dea3ad0c67f.jpg
