序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,259632019025,2063047994,爱玩游戏的得吃鼠鼠,5,保密,北京音乐是什么啊[doge],2025-04-16 08:55:01,1,0,"你的三连是使我更新的最大动力！赞是免费的！
想来俱乐部当打手或者老板的私聊
因为打手太少的原因只能周六日接单",未知,是,https://i2.hdslb.com/bfs/face/5ab1744722dfd5e2e12468e87978d11212ebbe62.jpg
2,0,260213126832,3546738646321236,12爱打篮球,3,男,米米粥行动[doge],2025-04-12 13:14:18,0,0,来国道试试？？？？？！,未知,否,https://i0.hdslb.com/bfs/face/d5ddd60ed0ca9fece8930eb2222249af934ac8e3.jpg
3,0,258954851697,321533894,我嘞个哈基wow,6,男,@界定自守,2025-04-07 14:47:45,0,0,这个人不神秘了，写了丶东西,未知,是,https://i2.hdslb.com/bfs/face/279783ec54c3e1235d5ffee52daabcad7f0e44c7.jpg
4,0,258058930753,7312851,菲里普格瑞夫斯,6,男,"这就是主要我固排扫到刘涛，我只要看见佐娅她就得死的原因😋
我队友似了？不怕我打死扛着佐娅跳水撤",2025-03-28 02:15:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/1d6a7d74a395df6ef090309e409be28a4d575e58.jpg
5,0,258093290592,355139239,19岁事homo,6,保密,很难想象这是人想出来的剧情,2025-03-18 10:30:41,0,0,,未知,否,https://i1.hdslb.com/bfs/face/dcccc323a9da22f80e205028ef158f346dcc6545.jpg
6,0,257822305776,1751424211,78三角鼠,4,保密,呜呜呜😭没有地方住了😭只能找个地方安顿下来😭⛏呸！😡这个鸡腿真难吃！😡👇🍗嗯？😰鸡…鸡腿？😰嘿嘿嘿嘿嘿嘿😆鸡腿😆✋🍗老大😡他居然抢走了你的鸡腿🍗傻子😡谁让你抢走我的鸡腿的？！😡👇嗯…嗯😰这鸡腿你们都不是不要了吗？😰嗯…真好吃🤤✋🍗还敢吃我的鸡腿？！😡本少爷不要的东西你这个傻子也不能碰，知道了没😡赶紧给我吐出来😡👇嗯…嗯😰我都已经吃了吐不出来了😭我给你们磕头了😭求求你们放过我吧😭呸！😡你个傻子😡，赶紧给我吐出来，信不信我们帮你吐出来😡👊🐕唉唉唉😰狗妈！😰我给你们跪下了😭别打狗妈😭,2025-03-15 06:36:05,0,1,绝密猛攻！！！！(其实破产的时候只是去普通捡垃圾的鼠),未知,否,https://i1.hdslb.com/bfs/face/c5ae91f5ca9d1d9db262c5516638857b2ad5e270.jpg
7,0,255270105729,57920173,作为一个死神,6,男,主播的精神状态让我很是担忧,2025-02-21 07:58:10,0,0,我只是个兴趣使然的up主，以及英雄联盟2024年全球总决赛冠军⭐一冠王,未知,是,https://i1.hdslb.com/bfs/face/5861f1bba161b81073bb75096206b73f1446fe64.jpg
8,0,255756643456,3493079914908626,磕癌小黄鸭,4,男,细节三条腿[doge],2025-02-18 14:13:20,0,0,,未知,是,https://i2.hdslb.com/bfs/face/f912d09fff62ef43b42d71131eff4de369ebe74b.jpg
9,0,255046491937,1462552994,温斯莱特-七墨,5,保密,视频BGM：https://b23.tv/BV1DL411B7Cg,2025-02-18 13:42:45,0,1,,未知,是,https://i2.hdslb.com/bfs/face/7602ff7b8a4536c16f7f5768609fc041f1702af6.jpg
10,0,255752032464,3493089769425735,林木梓杺,5,保密,你是如何在一个没有毒品的国家获得这样的灵感的[笑哭],2025-02-18 13:22:42,0,7,伟大梦想，不是等的来，喊的来的，而是拼出来 ，干出来的,未知,否,https://i0.hdslb.com/bfs/face/6a2f300b6d280c02c3ada4eb6e4b7abfd52d27c2.jpg
11,0,255751307968,1942642707,学豹肺痒痒,5,保密,高质[doge],2025-02-18 13:15:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/070474021533dbbda8c2681fc0a43d8d36e5893a.jpg
12,0,255042372017,1581055785,枯月-,5,保密,三角洲这地方有点说法[笑哭][支持],2025-02-18 12:56:13,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d74a0d88b8ba9b68e331574b9f5cab9bacd94317.jpg
13,0,255038213121,3493117548300587,zonesoil_带土,5,保密,[笑哭],2025-02-18 12:05:13,0,0,,未知,否,https://i2.hdslb.com/bfs/face/2c4ddda9d5d5bc26270ac2e7df5987d9159aeb2e.jpg
14,0,255038110321,1127899774,小陈不想挨揍,4,男,up你的精神状态什么时候开始变颠了[doge][脱单doge],2025-02-18 12:03:22,0,1,,未知,否,https://i1.hdslb.com/bfs/face/e4bfe1f22a373488e6072dee83eed506c6dffc50.jpg
15,0,255035974593,400726361,真司羽,4,男,开宝箱开到宝箱怪了[笑哭]只能关注了,2025-02-18 11:37:32,0,2,"
做的事情是兴趣使然或是一时冲动",未知,否,https://i2.hdslb.com/bfs/face/7f55f0b5aeb1ff5101c5059fc2e7eb38116de597.jpg
16,0,255742825296,1746919714,一芝日奈,5,男,你怎么知道我今天出坦克模型？[笑哭],2025-02-18 11:36:49,0,0,帅哥,未知,否,https://i1.hdslb.com/bfs/face/f38e747deefb7af5ede3d5d6d1ec36383c567baa.jpg
17,0,255741555312,430230303,瓦姆珀尔,5,男,护航：诗人握持,2025-02-18 11:22:47,0,1,,未知,否,https://i0.hdslb.com/bfs/face/d7d817a92958d56071d92cea942e106270c6f826.jpg
18,0,255034250081,409499090,夜下梨,6,保密,[滑稽][兔兔岛_睡觉],2025-02-18 11:17:05,0,0,运气等级:X 不问东西南北，只问吃好睡好玩好,未知,否,https://i2.hdslb.com/bfs/face/f1801b9eae1038e7af16cb4ea6c116afdf771c59.jpg
19,0,255740358960,472513825,鱼飒飒cc,5,男,打了一天绝密巴别塔一个大红没出，想着3×3要过期了随便打吧航天结果直接双大红[干物妹！小埋_好吃](高速磁盘离心机服务器开的，雷达就刷在旁边地上)还正好都是我没有的，这下只差反应堆和金冠就s3毕业了[干物妹！小埋_人生赢家]。希望点赞的各位也能有这个运气！,2025-02-18 11:09:23,0,0,‎⌯'ㅅ'⌯,未知,是,https://i1.hdslb.com/bfs/face/efced200c2283b5db1115d2bb285454de8b7ff90.jpg
20,0,255739453776,484949923,niszn07,5,保密,"一个玩家的坚持会有多难？
在场的所有三角洲玩家都能回答这个问题。
因为在他们当中，有的因为财富而坚持，有的因为固排而坚持，有的为了账号而坚持，有的为了猛攻而坚持。
而鼠鼠的回答呢？
他仍旧面无表情，毫无所动的向前进。
我曾经呐喊过，渐渐的我不发出声音。
（一穿三，将队友救起，面对的只有cs野排抢包）
我曾经哭泣过，渐渐的我不再流泪。
（除了大红，如非洲之心一般珍贵的野排，护送离开，自己却死了）
我曾经悲伤过，渐渐的我能承受一切。
（濒临破产，出大红带不出去，咬紧着牙从头再来。）
我曾经喜悦过，渐渐的我看淡世间。
（千辛万苦终于出了属于自己的非洲之心，可当初的非洲之心早已不在。）
而如今，我只剩下面无表情。我的目光如磐石般坚硬，我的心中只剩下坚持。这就是我，一个小人物——鼠鼠的坚持。
光芒绽放，不可逼视。勇士冲锋枪，在这一刻，炼成！",2025-02-18 10:59:21,0,10,。,未知,否,https://i1.hdslb.com/bfs/face/c0c58ab22ff11141460a0c84932bfa3ec7badcb5.jpg
22,0,255032016193,3546648265361573,学生瓜蛋子,4,男,求两个咕噜噜的小猫素材[打call],2025-02-18 10:51:57,0,2,分享游戏生活日常～,未知,是,https://i2.hdslb.com/bfs/face/0a426a49fd725723ceb27441ced4edab5c09d24f.jpg
23,0,255031027233,3546573803883187,龙舟划划,4,保密,精神状态看来有点不妙[doge],2025-02-18 10:41:49,0,2,,未知,否,https://i1.hdslb.com/bfs/face/77460679bb671deb58d9ce8f75376bbe138db7fb.jpg
24,0,255030149137,243823874,霸道晓笙,6,男,不打鼠鼠，鼠鼠蹬鼻子上脸想来杀我,2025-02-18 10:31:38,0,0,死宅臭打游戏的，vrchatID霸道小生,未知,否,https://i2.hdslb.com/bfs/face/e6e2e782edc7ff7c958289522cebb8287ccf3d0a.jpg
25,0,255735268880,535123432,碳C素,4,男,好癫，好抽象，好喜欢[滑稽],2025-02-18 10:14:53,0,0,黯淡无光,未知,否,https://i1.hdslb.com/bfs/face/157a65413b013364dbc98c772f7100d7e6403090.jpg
