序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261177510257,1065872388,64976497679,2,男,主播怎么凑战备啊,2025-05-05 14:55:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/feb319ecc715437a9e30f7fbf38876befe98860f.jpg
2,0,262088013552,33883946,暗星杀劫,5,男,今天刚在一个小兵身上摸出金卡[笑哭],2025-05-05 08:58:03,0,0,暴力元帅,未知,是,http://i2.hdslb.com/bfs/face/9b50f3f8e1a6f4c5032537a9e79b10840e383575.jpg
3,0,262083996432,1518863430,纟罒厶罒,5,保密,6,2025-05-05 08:05:15,0,0,,未知,否,https://i0.hdslb.com/bfs/face/06fbd1bf6709a6b49812fc222854a0797dc1a683.jpg
4,0,261143334625,3546725050485256,枝在得乐子,3,保密,怀念上个赛季的航空箱爆率,2025-05-05 07:44:32,0,0,,未知,否,https://i1.hdslb.com/bfs/face/72e8f74c92a0d45ad55fe75e0d0017bb6af07012.jpg
5,0,262067357024,352996136,蓝色方天画戟,6,保密,2000万货币多少钱啊？,2025-05-05 04:31:28,0,0,你好，买奔驰吗？,未知,否,https://i2.hdslb.com/bfs/face/043e8cca88c9f910a38fe7075f22cfd6fe29fb8c.jpg
6,0,261973622352,2082487540,创世锰钾边缘人,4,保密,普坝永远的神[打call],2025-05-04 04:08:52,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e2ddc2275df94af1cebf7028aa1bdc1bb30e78f4.jpg
7,0,261946200688,480245749,板板板板老板板,5,男,这和我玩的是同一个游戏吗？为啥我开的都是蓝紫一片。,2025-05-03 17:01:42,0,0,,未知,是,https://i1.hdslb.com/bfs/face/9adf1074f10193a4e4a04112a19cec7e867bfacd.jpg
8,0,261772182464,514224412,草莓小熊小饼干,5,男,谁说大保险没东西？博士送的[呲牙],2025-05-01 17:58:45,0,0,,未知,否,https://i1.hdslb.com/bfs/face/16ccabba11c1c9e4e617f60d98f5e8a6b75807dc.jpg
9,0,260760660625,433214970,亓一川,5,男,路边黄色呕尼酱出过化石和金条，酒店游泳池边丢金表，雷达站一楼地上出摄像机，我都不知道我天天抢保险箱图啥,2025-04-30 19:24:39,0,0,这个人太神秘了，什么都不会写！,未知,否,https://i0.hdslb.com/bfs/face/98079d965b13eb8fdb4806a81229a1c591122d70.jpg
10,0,260495087185,88154692,姬千翰,5,保密,我们玩的不是同一个游戏，和主播,2025-04-27 10:17:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/1774d187903f202a297f70290c9c56f9a051ce6d.jpg
11,0,260366853825,650587774,我的硬币都要没了,6,男,我见过三根金条，但是航空箱玩到现在一次大货没出过,2025-04-25 17:03:21,0,0,别别别,未知,否,https://i1.hdslb.com/bfs/face/6ae5ac38d6cc8a6f208ca1aa3959a74e7317a34f.jpg
12,0,260071272657,176449990,上仙平板,5,保密,好消息是变电站技术室出了变电站，坏消息是变电站宿舍,2025-04-21 18:18:59,0,0,,未知,否,http://i1.hdslb.com/bfs/face/0b3db933182003bf7f807cc95ca137beeb4ba668.jpg
13,0,259828542785,374608994,该昵称以经存在了,6,男,队友机枪兵出非洲之星关键还是我打的给我气坏了[生气],2025-04-18 23:36:04,0,2,略略略略略略,未知,否,https://i2.hdslb.com/bfs/face/6f762e2f672f8085bb24c834cfd3bd2c61b601ec.jpg
14,0,259728772193,100425296,魑魅魍魉濲䰪纔㚁,6,男,想起那天普坝单排开保险，才开了几个（刚好塞满裤裆的小金）我也懒得跑，仨人冲进来哒哒哒我连背包都没带，保险也开不了了[滑稽]刚好开下把,2025-04-17 14:08:11,10,0,,未知,是,https://i2.hdslb.com/bfs/face/f9b36db291a66a32dea6938ed2c0a3570cda4703.jpg
15,0,259687466464,2045451414,RoskstarGames,5,保密,人机摸的小红[笑哭],2025-04-06 05:56:31,0,1,只要你主动   我们就有故事,未知,否,https://i0.hdslb.com/bfs/face/18b1f52c0c465a200f98f653f99084f323fa1533.jpg
16,0,259575064304,3493120484313837,小苏爱和平,3,保密,我跟我朋友玩的时候，他在巴克什子弹箱，出了仙丹，也就是6.8毫米的六级弹,2025-04-05 01:41:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/2f4cf4b77275d1954ce7eaa6be699b93bf5b5ee0.jpg
17,0,259344890448,3493108140476719,Zonnery,4,保密,为什么你爆率比我还高,2025-04-02 09:47:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/8f3ac8027439728f92817b8babe0415b40b5e80a.jpg
18,0,258486220225,3546554914835363,魔方别回头我是红面具,4,保密,你们的卡是自己买的还是仿制,2025-04-02 04:14:08,0,0,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,未知,是,https://i2.hdslb.com/bfs/face/10c4b111ffc96be5dcd2f6d0c005f89afe6abff3.jpg
19,0,259296717360,3493128403159814,絕兇のPti酱,5,男,这个爆率已经超过大多数人了,2025-04-01 16:41:48,0,0,喜欢油炸,未知,是,https://i2.hdslb.com/bfs/face/dd82f0075a13af01ab89ad956652217a7aa710f7.jpg
20,0,259295898864,69492702,夜牧晨曦,2,保密,这是专门录的素材吗 感觉和我是两个游戏 我怎么开出来基本都是蓝紫 金都少见,2025-04-01 16:29:08,0,0,,未知,否,https://i0.hdslb.com/bfs/face/a81cd8564948618c9268b965a04da9f413ff89ba.jpg
31,0,258425460961,3493277359671961,健美圈传来传圈美健,4,男,三根金条[doge]还不是简简单单？那让你见识下4根  我是醋森的夺舍流[doge],2025-04-01 09:27:55,0,1,"祝大家练的又大又恶心，南桐请不要打扰俺?俺害怕
",未知,否,https://i1.hdslb.com/bfs/face/22af00d7bbe20120d965456d436b1e945e49aa8d.jpg
32,0,259236108304,3546380886870624,风卷Miku_,4,保密,机密大坝有没有好用的枪推荐一下[脱单doge],2025-04-01 04:09:29,0,1,无聊,未知,是,https://i0.hdslb.com/bfs/baselabs/9331d06f9a3887d13a3ef6f3ab8c8d7aaa28fec3.png
33,0,258380509441,1736994467,Conviction工作室,5,保密,主播跑刀多少钱,2025-03-31 17:08:45,0,0,"天才总是孤寂,无闻于众...931529373(q群)",未知,是,https://i2.hdslb.com/bfs/face/87c9298faeeb2cc322e1739c95a2f7cc6d22910f.webp
34,0,259183847152,678394632,丿冰梦,5,保密,不科学这么高爆率,2025-03-31 11:32:49,0,0,,未知,否,https://i0.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
35,0,259122518208,432318065,MITIS米叔,5,男,机八连着两把跑刀，第一个没撤出去，两个都在保险柜里开的，卡在东楼一楼那个房间门口的衣服，被蹲撤离点了[tv_呕吐][tv_呕吐]，第二个行政楼后面靠近拉闸撤离点那个航空箱出的,2025-03-30 15:43:14,1,3,。,未知,否,https://i2.hdslb.com/bfs/face/7802af2b76f49dc417a20dbe6c851fc27de5b9a8.jpg
36,0,258290124081,37603471,滴水_藏海,6,男,手游裸吊单排，普坝变电站的桌子上放的，还好盾哥给力，爆了个绿包，不然我都带不走[doge],2025-03-30 14:53:31,0,0,阿这,未知,否,https://i1.hdslb.com/bfs/face/4a2c62c3b003a186d72c0f22254903edab24a4ec.jpg
37,0,259107869584,1470998528,洋洋招打手,3,保密,这边是线下实体工作室，有押，都退，派单员一对一派单，提供营业执照，有合同盖公章，二八分，可以线上打单，能接受的来长期合作,2025-03-30 12:57:37,0,0,这边是线下实体工作室，有押，都退，派单员一对一派单，提供营业执照，有合同盖公章，二八分，可以线上打单，能接受的快来加我吧,未知,否,https://i2.hdslb.com/bfs/face/2bad1c8c138202be864f1b36934d6c8a4f9cc6cc.jpg
38,0,259082430384,1569258805,洛二氏,4,男,误入大红局,2025-03-30 07:50:54,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e167ceb749d0b5dc7e5288a705d1dd1cd79b10b3.jpg
39,0,259063529312,1044517425,一个老旧口袋,4,男,玩巴克什玩破防了，大坝才是家,2025-03-30 04:02:32,1,0,粉石群号：929784847 欢迎各位进来被论剑,未知,否,https://i0.hdslb.com/bfs/face/2d7bd0885936b803b024d02c172c5b775a3dfd3e.jpg
40,0,258217595201,110948596,考试结束后的晚上,5,保密,总部给我送过20发aw红🥚，当时还是新手不知道有啥用，还不能上架，就一直放着，后面打aw真爽，拿了10发，一次扣3发，放枪里，一枪一个。。,2025-03-29 19:42:14,0,0,,未知,是,https://i1.hdslb.com/bfs/face/fb1bd1d7fef475ac2682403b52f0f8221c60cd28.jpg
41,0,258213657633,444132752,慕枫的吖,6,保密,"大学生纯红跑刀
100元等于1兆
开局直接演都不演，直接开转
十秒钟不留活口，鸟蛋都掏完
99×99保险箱核心区都给你装进去
五把内不出坦克，我开坦克清图
包封号，不封号全额退款",2025-03-29 17:33:00,0,0,中华人民共和国万岁！,未知,否,https://i2.hdslb.com/bfs/face/b4992f0e7afd65e43067b145d1fca9f33fd9f471.jpg
42,0,258211210241,49559370,取名花了六小时,6,男,我绝密航天一把在小兵盒子里开出超算单元、刀片服务器，小兵的盒子还是开过的，不知道是鼠鼠藏的货还是开盒子的人没仔细看，主要是第一个盒子出了超算后面清图了把碰到的小兵盒子都看了一眼，还真出了刀片[笑哭],2025-03-29 16:47:21,0,0,懒鬼,未知,是,https://i0.hdslb.com/bfs/face/7451b73ab8285437582a2815e2d7386493841876.jpg
43,0,258176232193,1160121184,三柒丶三柒,5,保密,"打个广告[doge]

100w哈夫币7.8

1000w78

在家没工作 跑刀挣点生活费 有意私聊。",2025-03-29 09:48:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f6779d24e01c1abae67be6404e031df83efbc689.jpg
44,0,258973007856,1717376500,初中生不是小初生,5,保密,我最牛逼的一把普通出了一个碳板还有一张红房卡快500万了,2025-03-29 04:04:20,0,0,……,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
45,0,258968403200,475692308,白云生-,5,男,普坝金库,2025-03-29 03:06:07,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d2356402de1cb2dbe40615bcd1c2d2c1d1c15483.jpg
46,0,258126738497,1083774897,Yuuuuuukino,5,男,普坝得吃[脱单doge],2025-03-28 17:31:27,0,0,你干嘛～哈哈～,未知,否,https://i0.hdslb.com/bfs/face/c44908c75d1b099bdd3e5132a1457eb69159e513.jpg
47,0,258940527088,486987533,坐忘道墨鱼,5,保密,"大学生纯红玩跑刀
100r一兆哈夫币
留金红卡备注
进去就不演了，直接转，纯AMD反插
十五秒绝航清场不留任何生物鸟蛋都掏碎
高科技9*9安全箱，中控桥给你搬仓库里
三把之内不出坦克我开坦克清图
定制视频当投稿加50
不封号我退全款[脱单doge]",2025-03-28 15:34:09,0,1,人生就是一场游戏,未知,否,https://i2.hdslb.com/bfs/face/ec4c398f51ccad5210190b3bf1a50b52b624f1fc.jpg
48,0,258051363377,354803293,小圡,4,男,哈哈哈哈,2025-03-27 23:27:39,0,0,,未知,否,https://i1.hdslb.com/bfs/face/bf12cf8e04684018d7585c444d94efd57846aab7.jpg
49,0,258045954017,22929173,兮_夜桑,6,男,鸟窝一定不能漏啊,2025-03-27 18:08:10,0,0,在某平行世界，大航海时代。。。算了，编不下去了,未知,否,https://i2.hdslb.com/bfs/face/c0030388a7644926b81320ece111e8187c398991.webp
50,0,258856618720,508404823,小朱宝起飞了,6,男,机枪兵出心,2025-03-27 15:45:30,2,5,hbhb蜘蛛无敌,未知,是,https://i1.hdslb.com/bfs/face/22c32dca9ab115ae173d3beece9dab1922c70c0d.webp
55,0,258832188832,345713710,官方首领-赛伊德,6,保密,难道那卡就捡不了吗？,2025-03-27 10:53:40,0,0,我很少在线。,未知,否,https://i1.hdslb.com/bfs/face/3db6b06e9d1b60c4fb41871f07f972751650e12e.jpg
56,0,258010293713,3493256518175167,什么神人,3,保密,普坝出卡,2025-03-27 09:56:25,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f02f5573b354436d6bef8493109daebeb031caa7.jpg
57,0,258824564224,57239211,咸鱼罢了QAQ,6,保密,省流:扫码封面党罢了，浪费时间,2025-03-27 09:15:14,0,0,,未知,否,https://i0.hdslb.com/bfs/face/2d8ee7b56c99938296c8f4acbe9eb8fc86c19604.jpg
58,0,257988222433,363083483,逸一时误一十,6,保密,昨天绝密巴克什跑刀，山城落地，摸完山城出了炮弹和除颤器和实验数据，营地又摸一个无人机，可惜最后拉闸还是被蹲撤离点的干死了[大哭]，不过后面猛攻机密巴克什又给我出货了阵列服务器，滑膛枪和坦克，简简单单得吃了,2025-03-27 04:09:22,0,1,,未知,是,https://i2.hdslb.com/bfs/face/f1b7c8072758be71b5be166a437d209c14e8d181.jpg
59,0,258800103504,44983229,飞翔的帝王企鹅,6,男,昨天刚从这里的火箭兵身上摸到个紫色卡[笑哭],2025-03-27 03:03:51,0,0,一般情况早睡早起,未知,是,https://i2.hdslb.com/bfs/face/1eb2915053ab59e219c9db3e1cd468ae5a66411e.jpg
60,0,257977267281,480875759,符決,5,保密,全是牛角,2025-03-27 01:06:21,4,1,,未知,否,https://i2.hdslb.com/bfs/face/39f5e5c9cc4b0e2868b7a610c1dc340f782172e5.jpg
