序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,245749943184,18217023,瑪蓮妮亞,6,保密,如果一枪击杀，那都跑去打狙了，这个问题很难办,2024-10-29 04:35:19,0,0,,未知,否,https://i0.hdslb.com/bfs/face/142e10635803a1df7fa687d742ce2a44f37b0da2.jpg
2,0,243855610689,2056574081,Fate让娜-达尔克,5,保密,AWM打身上死不了人就离谱,2024-10-07 03:31:58,0,0,,未知,是,https://i2.hdslb.com/bfs/face/aa97420006a3d9728a67504e7ac6c9a9bfd330b4.jpg
3,0,243877407072,599166420,看了PP,5,保密,筹划不是说在现实体验过枪械吗，AWM现实怎么可能就200米子弹就下坠了,2024-10-05 09:25:51,0,0,,未知,否,https://i0.hdslb.com/bfs/face/577b8732f573dba8a7ae8308e742dade3c896497.jpg
4,0,243683728064,11610107,淡定的弹丁,5,保密,比战地3、4的投石机好到哪里去了,2024-10-03 01:17:53,0,0,这个人有那么点神秘，写了一点点,未知,是,https://i2.hdslb.com/bfs/face/5bcec7b46177c2d461c8197e0e6a977817f8a3e4.jpg
5,0,243375610209,38915057,白笋不会嘤嘤嘤,6,男,加强了就全是狙了，现在这种就是不让你捞太多，但是有信号弹和信标补分,2024-09-30 21:43:47,0,3,银白天然呆和双马尾什么的だいすき,未知,是,https://i2.hdslb.com/bfs/face/8ae571018985bf327099c13d3c32aa6c5028bf20.jpg
6,0,243481522736,524762901,风荡去,6,男,我感觉挺好，冲锋战场比狙击战场有意思多了,2024-09-30 10:00:31,0,0,这个人很神秘，写了，但又没完全写,未知,是,https://i0.hdslb.com/bfs/face/29df9a8f687d166c36b656a15e5280843e22408d.jpg
7,0,243229627408,68123504,雷吉德芙,6,男,测试服只玩大战场 我感觉狙只拿来反对面狙 还差不多 我觉得也该这样,2024-09-27 03:42:31,0,1,一位兴趣使然的UP,未知,否,https://i2.hdslb.com/bfs/face/2f81ce90d764dfc727d4cc382e6f9feb1cc19906.jpg
8,0,241405236225,120333054,81丶,5,男,不过这游戏最大的问题还是跑步比乌龟都慢开镜简直原地罚站了都快，手感太差跟战地2042根本比不了抄都抄不明白，就那个干员开技能加速也勉强算是速度舒服一些跟2042还是没法比,2024-09-05 09:23:12,0,0,,未知,否,https://i0.hdslb.com/bfs/face/f689e39ceb083efa9fa33d038c35c17423ec7c1e.jpg
9,0,241372280849,1603511784,草原加半瓶酒,5,男,希望狙击的伤害不要动了，要打哪都是一枪秒，都去玩狙吧。看看cs跟 cf,2024-09-05 00:24:10,1,1,,未知,是,https://i0.hdslb.com/bfs/face/5f1af65736888ddb400fc77a58b298c7b2feae62.jpg
10,0,241401593776,336299919,咏春锟,5,男,不会没有人知道，这游戏可以和CF一样甩狙切刀打瞬狙吧？[脱单doge][doge_金箍][猴哥][生气_金箍],2024-09-04 17:55:03,0,1,"叶问系咏春拳第三代传人
零零后，一名武术健身爱好者，非高手，愿传承
终极志向:提升民族文化自信",未知,否,https://i0.hdslb.com/bfs/face/0c71e816d4fd65328b902f6e57addba6420d7caf.jpg
11,0,241243999088,529877819,热情的兽兽,5,保密,JU加强以后你就会发现，一个阵营一半的人都起侦察兵，起AWM，别问，问就是国服风格[doge][doge][doge],2024-09-03 00:07:06,0,1,,未知,是,https://i2.hdslb.com/bfs/face/6281681f0353a637016c7d71ba3382668224d7a1.jpg
12,0,241182356689,89998892,封狼居胥_霍去病,6,男,我用AWM打过800m静止目标一枪爆头，这游戏打狙的问题有两点，一是瞄准镜刻度瞎标的，远距离狙击子弹落点没法计算，300m与800m都是一格刻度内，只能靠子弹落点微调，而且弹道带尾气，落点看不清。二是远距离建筑物建模消失，只能看见个人，狙了六七枪一点事没有，原因是他前面有建筑物挡住子弹了。,2024-09-02 12:11:11,4,7,生当作人杰，死亦为鬼雄!,未知,是,https://i2.hdslb.com/bfs/face/4496cd9a86347d2581e01075d5adbe40fff8dd55.jpg
13,0,241132172832,1484510240,KlK__Official,5,男,大战场贴脸不打头也打不死[笑哭],2024-09-01 13:18:54,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c7b7764a3eea960825cf25b84fc0a8668ac1a128.jpg
14,0,240794258880,514115630,风灵玉影,5,保密,还是连狙mini好玩,2024-08-29 08:55:15,0,1,,未知,是,https://i2.hdslb.com/bfs/face/38933adaeadd1be02692e268592f7d59951dc315.jpg
15,0,240458179216,406158380,龙卷风R,6,保密,这枪是给摸金模式玩的[吃瓜],2024-08-27 07:43:28,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d2fb3881190d6d09fb9cc235ffafb6d7ffb2de87.webp
16,0,240425273856,1416863123,疼疼后藤,5,女,打91就老实了,2024-08-27 04:37:21,0,0,,未知,是,https://i2.hdslb.com/bfs/face/cc7c949f8bf5f0a1b7d0c079bdedddd4a04d6f0e.webp
17,0,240424887424,29628801,半幻妖梦,6,保密,改AWM的子弹不下坠 不如改成步枪下坠[辣眼睛],2024-08-27 04:34:41,0,0,,未知,否,http://i1.hdslb.com/bfs/face/fea1ee7037a9fe74ca5ed749a58c95947a17c84b.jpg
18,0,240237212064,487240935,゚゚伊薇特,6,保密,加强狙=进攻狙更多了=匹到进攻方直接退游戏,2024-08-26 06:17:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/4b0223fbbe2386d01067aa5ec23c80969dd8490b.jpg
19,0,240178089936,172103815,sweet39m1ku,6,男,把致死距离弄进来，就可以打冲锋狙了[妙啊],2024-08-26 00:16:59,0,1,,未知,是,https://i1.hdslb.com/bfs/face/257251b1f3e1e3668e42bdca8c8177829f649c69.jpg
