序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260885785824,3546668028922634,奥没读懂,4,保密,是你！！！（激动）,2025-04-20 15:53:19,0,0,,未知,否,https://i2.hdslb.com/bfs/face/136379ebb3860e411ad49955f57fbd822e31605f.jpg
2,0,260374015648,302591809,叉烧休禺,6,保密,简直是我的本命蛊[星星眼],2025-04-14 12:09:46,0,0,也曾抱剑去，斩得暮云归。,未知,否,https://i1.hdslb.com/bfs/face/f8f33757994f0137226b615be3f338ae1cab91f4.jpg
3,0,256344340193,288563193,无名氏谁都猜不透,6,保密,那脸模是你本人吗？😒,2025-03-06 11:34:35,0,1,,未知,否,https://i0.hdslb.com/bfs/face/b3179452c1ed297a68efca5411ccb600dab53031.jpg
4,0,256478824848,1068000008,海上的飞鱼y,5,保密,那我地多玩你了,2025-02-27 04:05:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0305061644997a035df54f73eb92801a7a0dd0d2.jpg
5,0,254827645217,396810186,Garand_Thumb,6,保密,走路时候这个胯的动作，太sexy太女人味了[星星眼],2025-02-16 02:19:38,0,0,,未知,是,https://i0.hdslb.com/bfs/face/fc6604d340976651e2c91e70554d7440066da129.jpg
6,0,254163504545,378530090,一抹寒光月,6,保密,我就说我玩这个干员人物的时候，怎么一股熟人的味道呢，原来如此[吃瓜][吃瓜][吃瓜],2025-02-09 03:12:14,0,1,我这个人很神秘，写了很多个性签名，最后都被管理员删除了,未知,是,http://i2.hdslb.com/bfs/face/1dc8de005f1e97f2147a325f8157b2d4831732ad.jpg
7,0,253183470321,3494350870808868,哇你在发光ye,2,女,@安安静静的看番私宅,2025-01-29 09:43:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/41f290f76feb59f42f87640e97534da646ae9d5e.jpg
8,0,252482397488,473417046,_王中王,4,保密,大战场能不能把干员技能禁用啊 全是闪光烟雾l,2025-01-15 14:58:05,1,1,,未知,否,https://i0.hdslb.com/bfs/face/9e84bc2ae3ec578b555450593991824309f4e532.jpg
9,0,251409617617,198765654,北街浊酒丷,6,男,最喜欢的动捕演员+最爱的干员。我就说为什么佐娅的看起来动作流畅又熟悉[打call][打call][打call],2025-01-09 17:19:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0a341a4d2d730fe17a463f78baa707e8b67e2f16.jpg
10,0,251879531008,295106316,龙女poi托尔,6,保密,唔！可以问一下为什么动捕的时候模型的手指不动呀，是要再后来单独做动画吗,2025-01-08 21:25:51,2,2,随心所欲！,未知,否,https://i0.hdslb.com/bfs/face/28ad6cadaf52d1ee412b18f00a65b35e7c53d964.jpg
11,0,250928075089,3546655051745785,起飞君233,4,保密,我去[星星眼],2025-01-04 02:07:43,0,5,,未知,否,https://i1.hdslb.com/bfs/face/e69c57c6a26f839620c6fb6738da7ab89d7167f8.jpg
12,0,250611456321,1995487559,ElectronicH2CO3,5,男,佐娅……嘿嘿，佐娅……[喜欢],2024-12-31 06:49:46,0,0,新人up，平常会玩点使命召唤，农，死亡细胞会少量更(因为我五细胞了)还有up的生活(猫猫，吃的) v：15514351525,未知,是,https://i2.hdslb.com/bfs/face/50b9f09d5b05c4a3b27dd4eec27bd451450ebbd3.jpg
13,0,250336805152,695726219,大叔爱喝五粮液,3,保密,怪不得蛊玩的人少，找到原因了。,2024-12-21 22:46:56,0,0,,未知,否,https://i2.hdslb.com/bfs/face/fd01a9f37bc830f06841a16e00c7be150109a6cb.jpg
14,0,249724945920,2341704,洗澡洗到一半外卖到了,6,男,麦晓雯是谁演的？,2024-12-15 00:28:05,0,0,又想吃外卖又想洗澡好烦躁,未知,是,http://i0.hdslb.com/bfs/face/063d7578dbdb558e883e3a581449bbae652e055a.jpg
15,0,249706360752,446619807,不想再见啊上校--,5,保密,太帅了老师，帅的我wet,2024-12-14 15:45:42,0,0,,未知,否,https://i0.hdslb.com/bfs/face/60de860fa3d1f369cc6d003489279f40ef73bd44.jpg
16,0,249207985713,1787868580,是安溪不是安息,5,保密,蛊姐是您呀啊啊啊啊啊[言和十一周年纪念_期待]太帅了啊啊啊啊啊,2024-12-14 04:21:12,0,0,小熊爱喝柠檬汽水。这里君灵墨，多平台同ID，爱发电：为了书写故事而活着,未知,是,https://i1.hdslb.com/bfs/face/fd8b7710e580fae7a3bf386c74c0c749b7e64273.jpg
17,0,249166589041,356234768,兰斯布里,5,保密,又美又帅,2024-12-13 14:01:22,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
18,0,249451201280,340345311,树叶赢风尙无生,6,保密,是帕南的配音吗[给心心],2024-12-11 20:38:39,0,0,诗与远方,未知,否,https://i0.hdslb.com/bfs/face/84beaeb3ca391ba67aef6d3edb4f02c56cc4edb0.jpg
19,0,248970130929,66013786,我就是丶短发控,6,男,屁股是真翘,2024-12-11 07:21:47,0,0,请看我的收藏，里面有你喜欢的。,未知,是,http://i1.hdslb.com/bfs/face/abe9b3055d683f3d3ef45721413f0b98717e3631.jpg
20,0,248828373697,455562175,神奇烤兔头,4,女,哎呦我,2024-12-09 11:28:26,0,0,嘿嘿嘿,未知,否,https://i1.hdslb.com/bfs/face/06a5a955a9c172c01214b56434ae7c61cc424593.jpg
24,0,248740507665,1732759,为了元老院和人民,6,保密,能单机吗？,2024-12-08 09:37:31,0,0,,未知,是,http://i1.hdslb.com/bfs/face/6985990d163a882c8ab33c47fc51e8a92c1e9e23.jpg
25,0,248702670193,8607259,不能说的秘密mmm,5,女,我一直以为这种是像动画一样做的,2024-12-08 00:55:37,0,0,,未知,否,http://i1.hdslb.com/bfs/face/d8fc10f70c8b7b1ae212acadb29383a3eb9c4952.jpg
26,0,248612672193,28713053,卡尔蜀黍,5,男,手型看来还是没办法捕捉。[笑哭],2024-12-06 22:16:28,0,0,技术宅～！拯救世界～！,未知,是,https://i2.hdslb.com/bfs/face/8c5e64be0231af2c383c4191806ba29b7232a6bb.jpg
27,0,248433972689,3546793553955393,牛蛙鱼Tra,5,保密,原来是你！这下更喜欢这个干员了[星星眼],2024-12-04 14:37:24,0,0,大家好 我是牛蛙鱼Tra喜欢打游戏也喜欢整活搞抽象！感谢支持和关注！游戏画面/笑话投稿邮箱：NiuwaFishTra@qq.com,未知,否,https://i0.hdslb.com/bfs/face/4e4974905f1535eb26f8b2a7b28e8a67371c6677.jpg
28,0,248806205376,519794528,摆渡人zz622,5,男,看来后面必有皮肤,2024-12-04 07:50:37,0,0,我确定每日挽着同样的手臂,未知,是,https://i2.hdslb.com/bfs/face/63680dfdc4328ffd757679ee38182bb236d939c2.png
29,0,248586781264,1587368428,花已慢慢枯萎,5,保密,@一起打电玩吗 刷到力,2024-12-01 16:01:42,0,0,,未知,否,https://i1.hdslb.com/bfs/face/89e4457f3cbb54737a3b073b05b57c93d19d50c4.jpg
30,0,248576085712,46187603,看肥鸡,6,保密,眼睛一下睁大了[星星眼],2024-12-01 13:58:16,0,0,我一点都不懒,未知,是,http://i2.hdslb.com/bfs/face/e312280fd5fa19598d7172ceceb1a97ac9121585.jpg
31,0,248540414240,271178905,跳跳小蜜蜂,6,保密,总感觉佐亚和威龙才是cp,2024-12-01 06:43:12,0,0,,未知,否,https://i1.hdslb.com/bfs/face/48d1e936a4c9d455663d59a54f2cfd7593c5369b.jpg
32,0,248509017392,481712926,Panda9K,6,保密,请鱼老师教我嚣张步法,2024-11-30 22:31:17,0,0,,未知,是,https://i1.hdslb.com/bfs/face/8faf76b6f741aa93076aa04e441cac9539af0334.jpg
33,0,248503819760,14254245,凛坂远,6,保密,堑壕战，八百米，全是坦克当狙使,2024-11-30 18:15:16,0,0,物极必反,未知,是,https://i0.hdslb.com/bfs/face/8285d92b0d137ca9c61ab52156b579814ddd2b59.jpg
