序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,257531954929,268594161,只有你所在的风景,6,男,我感受到了纪律的力量。,2025-03-21 11:11:52,0,0,与己对立之人,未知,是,https://i0.hdslb.com/bfs/face/07007d8d9ce6c904ba27003a15c3926020d30007.jpg
2,0,258292559296,87403006,八千流御行,6,保密,@在喝可乐的猫 这个好玩,2025-03-21 02:06:05,0,0,长风三万里，与君问归期。,未知,否,https://i1.hdslb.com/bfs/face/8c910ce701027b19ca4ce72bc1b44bbc26674720.jpg
3,0,257459830753,366009194,fwrkanter,5,保密,这是什么游戏？,2025-03-20 12:38:41,0,0,,未知,否,https://i2.hdslb.com/bfs/face/81321276735beb60bfc4c384f752db050b4b3cf0.jpg
4,0,257351623505,3461572630415472,暗区突围-碎梦,5,男,室内禁止开全自动,2025-03-19 03:47:17,0,1,,未知,否,https://i0.hdslb.com/bfs/face/0f4ea03baffaa7dab0e3f8945cc111b199a0445e.jpg
5,0,257916064784,3493127354583146,禁止转发,4,保密,腾讯你做的游戏真好玩儿啊，居然手机端不能玩。,2025-03-16 06:39:21,0,0,℠™℠™,未知,否,https://i2.hdslb.com/bfs/face/4c267b765ec20941de61767b3525ccc31b3b5bb6.jpg
6,0,257128940353,73474769,冰心一片WQ,2,男,想知道手游啥时候出来,2025-03-16 06:35:39,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c46fe783ac7a5291dac4773744b3d35d7cebd77f.jpg
7,0,257062632369,535046464,魔鬼蘑,5,保密,军盲，尖兵指的就是排头兵吗？,2025-03-15 11:58:18,0,0,lofi & Chill type beat.,未知,否,https://i1.hdslb.com/bfs/face/c53f81c9c894b407419e2c527d3b09fa2081ad5c.jpg
8,0,256981471361,1800672486,小猫の呆呆脑,3,保密,@贵志の猫 哈哈哈哈哈哈哈,2025-03-14 13:03:55,2,1,忆,未知,否,https://i0.hdslb.com/bfs/face/ab1b70af36d56154f797027da738c7a8c07c2dcd.jpg
9,0,257759401600,3493109398768214,其实都是我干的,5,保密,黑鹰坠落精英士兵跑两下就没力气了堪称肌无力,2025-03-14 12:13:27,0,0,,未知,否,https://i2.hdslb.com/bfs/face/501faa405719c13840b0b79d9c3c98f201351410.jpg
10,0,256909666545,1241365580,車雷連0fFiC1al,5,男,我记得叭叭呀嘎是俄罗斯的一个女巫[给心心][给心心],2025-03-13 14:51:23,1,0,"你想查甚么
",未知,否,https://i2.hdslb.com/bfs/face/a17f44338173b25637ef8f3a67c80afa5c7f0e2d.jpg
11,0,257679058592,3493291651762232,晴小姐触手怪,4,保密,@布若妮娅--扎伊切克,2025-03-13 12:45:07,0,0,,未知,否,https://i2.hdslb.com/bfs/face/bebf220195fbff711263fbede2857704d85dc20e.jpg
12,0,257677250128,1871461033,演员32767号,5,男,（对面）666遇到职业选手了,2025-03-13 12:23:37,0,0,我甜蜜有啥更啥,未知,否,https://i1.hdslb.com/bfs/face/920d026c63bacc6186a057d6a22d5806e325fb5f.jpg
13,0,256831666081,327017888,Dead_Cell,5,保密,有意思啊,2025-03-12 14:18:08,0,0,原来我是在追求一种解放,未知,否,https://i2.hdslb.com/bfs/face/3c7175f956199fe31a5a6792387b8fefbd251ba0.jpg
14,0,257599270096,3493259210918216,长闯不是轮椅,4,保密,好家伙这喷不了是真特种兵[妙啊],2025-03-12 12:14:55,0,0,我不是轮椅忍者！,未知,否,https://i2.hdslb.com/bfs/face/aa17179c0b4071068eab78a9bf4d7bcd856d653b.jpg
15,0,257554345504,3546383294400720,梁德意老匹夫,4,保密,这就是专业。,2025-03-12 00:57:44,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,257513828880,3546646669429321,GTI干员王宇昊,3,男,帕帕鸭噶,2025-03-11 10:59:57,0,0,Metro-鸽铁6号线,未知,否,https://i1.hdslb.com/bfs/face/bfed67c506935badbc6c85ebc8c41f9761504f64.jpg
17,0,257510535344,1335173722,언젠가는,5,女,@bili_恶战,2025-03-11 10:19:24,1,1,吃喝玩乐      贪财好色      不慌不忙      做一个善良的女流氓           ,未知,是,https://i1.hdslb.com/bfs/face/9bb43294b151b29b316e7a039560b76b2011a4b7.jpg
18,0,257494787008,277911711,重燃的火花,6,男,"步兵退伍的我对于大战场的各种反装甲载具真的是服气了。
装弹慢可以理解，当过反装甲手装过120筒。
射程短也能理解毕竟图就那么点大。
可你这射速能不能快点。
里面直升机的控制反应速度快得离谱。小直升机一个螺旋升空能甩两发同时来的毒刺。我当时都看傻了，这玩啥[疑惑]",2025-03-11 06:11:46,1,5,回忆是以后唯一能再见面的方式,未知,是,https://i0.hdslb.com/bfs/face/fa4204ebc796a58b405ce25e021ab5b66ce23f95.jpg
19,0,257491726256,59221134,我是伍仁宝宝,2,保密,我有个问题就是，他有没有一种在加班的感觉？,2025-03-11 05:19:56,0,0,,未知,否,https://i0.hdslb.com/bfs/face/d46ae63245e32043171c5c41325ea92d525035a1.jpg
20,0,256712655569,3493084646082779,红孔雀歌舞厅台柱子丶,3,男,我们武警也不学这些啊，每天就是打打嘿，擒敌拳，站岗,2025-03-11 04:08:57,2,3,BY刘回子给你奶一电炮,未知,否,https://i2.hdslb.com/bfs/face/53aeeb0ac98efa8f075dd45db2365675fbaf9398.jpg
28,0,256572563537,502953455,你真的太牛逼,5,保密,这种游戏我玩不来，我们那会都是手语。还敢说话……会死的很惨。交替掩护，门口防止爆炸物。恐怖分子！环境条件，客观因素都很复杂。,2025-03-09 07:21:38,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,256515683617,1358181357,憨憨的迅哥,5,男,大佬是哪年退役的？,2025-03-08 13:30:44,0,1,低调但不闷骚,未知,否,https://i0.hdslb.com/bfs/face/22c14d3a61e710e55e0e5987f8ad446e5ae6428a.jpg
30,0,257270678304,322934149,zeilouZU,5,男,我们玩是雇佣兵，人家玩是真特种兵[doge_金箍],2025-03-08 11:08:52,0,0,,未知,否,https://i1.hdslb.com/bfs/face/3f08517bb6b5d89c96f001e58e2f1452de1e8abe.jpg
31,0,256498469457,3546737889249455,三角洲小祝,2,男,手游是不是玩不了？黑鹰坠落模式？,2025-03-08 10:04:02,0,1,落魄谷中寒风吹，逆流河上万仙退,未知,否,https://i2.hdslb.com/bfs/face/79ab219b58310b46833b4720e94abd257cc14d2e.jpg
32,0,256488945329,287931589,千叶い羽,4,保密,三角洲:[doge]不好，遇到真家伙了,2025-03-08 07:53:05,0,0,,未知,是,https://i1.hdslb.com/bfs/face/ca24679ab782a65b0c7686d86632196bf3dd2dd9.jpg
33,0,257209315104,1650864415,_我有抑郁症,5,保密,史。我来都不至于跑两步就得喘，跟战场的超人对比太强烈了。,2025-03-07 16:09:42,1,0,旅行的话，你想去哪里？,未知,否,https://i1.hdslb.com/bfs/face/2b92b2f7ef6f352b101df05a5f13ca1962b0a689.jpg
34,0,256382354241,1802485556,E-Ace,5,男,"我刚打完旧版黑鹰坠落，评价是比腾讯版难太多了，只是因为能存档所以增加了容错
真不知道那些说腾讯版难的是怎么想的",2025-03-07 01:39:01,0,1,看我干嘛？你难道没有更重要的事情去做吗？,未知,否,https://i2.hdslb.com/bfs/face/872b145ad0249444de5a7ed9920b07afb3df8c8e.jpg
35,0,257124078512,295139725,楠花落雨声,5,男,是不是玩不起,2025-03-06 15:20:25,0,0,世界以痛吻我，我当报之以歌。,未知,否,http://i1.hdslb.com/bfs/face/7d227fd04e9d7fdf306a5777c22c1174029fec0c.jpg
36,0,256351976689,457015452,爱打游戏的牛仔,6,男,和专业人士开团太有沉浸感了[星星眼][星星眼][星星眼],2025-03-06 13:16:26,0,0,伊格伊格,未知,否,https://i0.hdslb.com/bfs/face/e48999e89e0c417c5e04f868cad1cfa904ffb6c7.jpg
37,0,256294171121,389227477,IHORAH,5,男,好奇一下，真人攻楼的时候会预瞄吗，瞄的话瞄大头还是小头还是胸口,2025-03-05 17:32:49,0,0,ⓘ该账号封禁中,未知,否,https://i1.hdslb.com/bfs/face/fafdbb989cad02fac19e6fd138b8f00775be7f73.jpg
38,0,256265052065,3493119714658959,Golven琉琅,5,男,看得我热血沸腾，去找朋友开一把[星星眼][星星眼][星星眼],2025-03-05 10:55:24,0,0,跟隨心中的“風”，向遠方流浪。,未知,否,https://i0.hdslb.com/bfs/face/3380eb32f1baeed10911944011dc06353d439b8c.jpg
39,0,256216993009,23055465,Blademast3r,6,男,闹斯特,2025-03-04 17:04:26,0,0,混子,未知,是,https://i0.hdslb.com/bfs/face/2d32c7beb42527a9c46d8233aa2dd4910147d4d8.jpg
40,0,256206800673,3494372058335286,是小徐啊喂,4,保密,《专业对口》,2025-03-04 14:42:12,0,0,一个什么都玩的新人UP,未知,是,https://i0.hdslb.com/bfs/face/f2dcb2688cd6b4c05448b4bee817b051b0238696.jpg
41,0,256164349041,1084651067,里昂又坑了队友,5,保密,逆天,2025-03-04 04:40:54,0,1,始于夏天，終于夏天.,未知,否,https://i2.hdslb.com/bfs/face/b3df98ac8b876d08724a43f6f037ee5aab5baeda.jpg
42,0,256915035056,1563421031,VC-Robin,4,女,要不你们也带带狐狸玩吧，他玩的真的好惨[笑哭],2025-03-04 03:47:23,0,0,欧泊小屋屋主,未知,是,https://i2.hdslb.com/bfs/face/9b28fea0d25eab16d9ecd01969720d31e0d4dfe5.jpg
43,0,256123402305,37806261,异世虚度,6,男,@Euarling,2025-03-03 13:15:42,1,1,(๑• . •๑),未知,否,https://i0.hdslb.com/bfs/face/4b06562369a313e09a9724381fb6d7348d7cbc6c.jpg
44,0,256872212800,6789017,举个油栗,6,男,悍匪：你们这样玩就没意思了嗷[doge],2025-03-03 12:21:01,0,0,,未知,是,https://i2.hdslb.com/bfs/face/04add88f334f68125aca9804219e568550bf848c.jpg
45,0,256106405089,3546846385408662,咸鱼水门,2,保密,手机版能玩了吗,2025-03-03 09:37:35,3,1,,未知,否,https://i0.hdslb.com/bfs/face/3f7b90bc0803030955c8af9b0760c5e69c246bbc.jpg
46,0,256842539744,10161911,-南絮音离,6,保密,对味,2025-03-03 05:21:04,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d3c4788b38c56ae7b9a895081fb740b0c8be138a.jpg
47,0,256842207488,478231502,青年博人冷门信仰玩家,5,保密,室内开手电不会暴露吗,2025-03-03 05:15:37,0,0,,未知,否,https://i2.hdslb.com/bfs/face/63989e685335ae31caf4f1e59b89b0d09e879236.jpg
53,0,256830942176,5797614,黄豆酱87,6,保密,我：死手快动啊！！！,2025-03-03 02:46:41,0,0,"IP地址福建
评论被举报了累计禁言30天60天后累计清零，7月17号才能发评论",未知,是,https://i0.hdslb.com/bfs/face/5ccb0e988931d557b3ebe036191b5344ff96ec93.jpg
54,0,256753937344,1325376116,不想写作业的鳄鱼,4,男,昨天玩这个模式的时候，我在队友后面一不小心摸到笔记本电脑的触摸板了，把队友干死了三次，搞得有血包都没了[笑哭],2025-03-02 05:00:18,1,1,互关互赞涨电磁等级,未知,否,https://i2.hdslb.com/bfs/face/9b1cd9e26bb7a3a66909e79e7b1c36ea02f2b9a7.jpg
55,0,255998448961,3546627230927385,bili_80688611561,2,保密,六,2025-03-02 03:43:56,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
56,0,256736806032,176313509,NKVD在行动,6,男,UP主的作品越来越好了，加油！,2025-03-02 01:35:09,0,0,一个平凡但遵纪守法的市场管理人员，人民英雄与民族英雄才是我心目中的明星。,未知,是,https://i2.hdslb.com/bfs/face/57a83f53ada328231430125528f1dfba922803e0.jpg
