序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261229490929,1371261086,拟星辰入梦,5,保密,跟一个,2025-05-06 10:18:59,0,0,有你之处，所到皆是星河,未知,否,https://i2.hdslb.com/bfs/face/24d225fbab8e572ae1656695565718cc4e0abe86.jpg
2,0,262133526080,34877611,猫猫卡尔,6,男,个人爆率，请勿上升地图,2025-05-05 22:44:50,0,0,魔物娘yyds,未知,否,https://i1.hdslb.com/bfs/face/4b24ade934f82847fb5f4d908344b41d15b5f220.jpg
3,0,262131345488,1215302504,牢大坠机后转生哥布林,4,男,就在刚刚我在这件衣服出了张380万的红卡[doge_金箍]就是大坝最贵的那张卡，叫啥来着我忘了,2025-05-05 19:55:47,0,1,你→干↑麻～哈→哈→唉↘哟～,未知,否,https://i2.hdslb.com/bfs/face/d44a8feb2b558a37a196d94c49ffdf63382c8c99.jpg
4,0,262067398544,109058560,百世无道,5,男,https://b23.tv/mall-7Nb72-15Y4lKtQ6fQ,2025-05-05 04:31:13,0,0,v：GODSHIXIN  粉群：693351360,未知,否,https://i1.hdslb.com/bfs/face/e92c5d70dddbcffb35d5cfd6bc67485cd4d21724.jpg
5,0,262067466192,109058560,百世无道,5,男,https://b23.tv/mall-7Nb72-k3Oa,2025-05-05 04:30:56,0,0,v：GODSHIXIN  粉群：693351360,未知,否,https://i1.hdslb.com/bfs/face/e92c5d70dddbcffb35d5cfd6bc67485cd4d21724.jpg
6,0,262038761392,439911508,東の門,5,男,问就是芝士卷进的普坝[doge],2025-05-04 17:18:23,0,0,,未知,否,https://i1.hdslb.com/bfs/face/dd0103ee8cf71c84c9c7f5a71aa0c7c20b78487a.jpg
7,0,261081927953,10448366,多多良小李,6,男,坝顶出过不少红和橙,2025-05-04 13:29:16,0,0,黑夜给了我黑色的眼睛，然而我晚上要睡觉。,未知,否,https://i2.hdslb.com/bfs/face/73c431c8ee495bcc0a85e4ee16b36bd1825f47d5.jpg
8,0,260960698113,352917065,喜盖i,3,保密,昨天整个任务是个保险箱，然后刚开第一个报了个黄金瞪羚,2025-05-03 06:32:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/6336ce76d6fda54558a3bf5cb8d14a808640afce.jpg
9,0,260837593921,6870772,Edw豆腐,5,男,求求bgm,2025-05-01 16:49:21,0,0,"主玩PC,Steam，XBOX,NS。喜欢发不罗嗦的视频！",未知,否,https://i1.hdslb.com/bfs/face/657546025aaf0fb02be554b040892fb2fb159abf.gif
10,0,260758161233,362030172,别闹快给我辣条,6,男,刚玩三天，第一天就在普坝变电室拉闸那掏衣服掏出来一张变电室的卡[doge],2025-04-30 17:54:45,0,0,呃啊啊啊啊！彻底！——疯狂！——,未知,否,https://i0.hdslb.com/bfs/face/f9b04dca98d54116cd568e28a6ac42f47a7d4012.jpg
11,0,261669240464,374328149,桐-子-木,6,男,"大学生纯绿跑刀不动仓库
8＝100W
15＝200w
38＝500w
80＝1000w
不动老板仓库，男大纯手跑
打前仓库截图，可以百万一结
欢迎老板下单[星星眼]",2025-04-30 13:35:48,0,0,"(｡ì _ í｡)需要代代的请联系wcu8577
",未知,否,https://i2.hdslb.com/bfs/face/649caf20fb8aaf2ddf021d4e8ed5ab0cbcb9c3b8.jpg
12,0,261608180272,576486419,无心之矢_,5,男,就跟我商务旅行箱出笔记本一样离谱[犹格索托斯的庭院-个性装扮_诶嘿],2025-04-29 19:46:55,0,1,（数据删除）,未知,否,https://i2.hdslb.com/bfs/face/15f2b7cb67de7a6a3ab07b10df72ea97475ba752.jpg
13,0,261600305872,435544547,扣1送04年男友,4,保密,望周知,2025-04-29 16:17:45,0,0,,未知,否,https://i2.hdslb.com/bfs/face/13b65006641d7053569f78a342978c7084be8207.jpg
14,0,260583317121,109058560,百世无道,5,男,"纯绿
九格- 7r=100万- 35r=500万-70r=1000万哈夫币
六格- 8r=100万- 38r=500万-75r=1000万哈夫币
四格- 9r=100万-40r=500万-80 r=1000万哈夫币
两格- 10r=100万- 50r=500万-100r=1000万哈夫币",2025-04-28 13:03:30,0,30,v：GODSHIXIN  粉群：693351360,未知,否,https://i1.hdslb.com/bfs/face/e92c5d70dddbcffb35d5cfd6bc67485cd4d21724.jpg
15,0,260529730401,294672958,鬼畜游戏大仙,5,男,一天出两颗一个盾哥一个金库哈哈[doge_金箍],2025-04-27 19:24:55,0,1,……,未知,是,http://i1.hdslb.com/bfs/face/c7b7fddfc1603b93c266c6da292fc985c4812e6b.jpg
16,0,260486494833,1433305076,为啥加布一个周才一集,5,保密,虽然但是,2025-04-27 08:02:22,0,0,吾辈当自强不息，天下兴亡，匹夫有责，高举反战旗帜，红星照耀大地。,未知,否,https://i2.hdslb.com/bfs/face/8d52ce44ef621d2e01d6cf060a191c39cbc35d82.jpg
17,0,260479216401,3546870215346564,菜与桃井,2,保密,"和up同一个地方,桌子上刷的[doge]",2025-04-27 05:45:24,0,0,"亘
恶",未知,否,https://i0.hdslb.com/bfs/face/24b6dcc8d89e70807dddba895b2cc1955b545387.jpg
18,0,260453344993,3546710030682372,莫乱鬼速爬,3,保密,跑普通大坝在水泥厂两个水泥管子中间捡了个反应堆[笑哭],2025-04-26 18:53:01,0,1,,未知,否,https://i0.hdslb.com/bfs/face/b146b3fa493c7cc5ffae91fb142cb0b3fc956f02.jpg
19,0,261290047248,73843841,梦碎常世,5,保密,纯纯标题党，只有容器外刷红的物资点才是真的会刷红需要去关注，这种容器里随机刷的红纯看脸。你把把都往这里钻？自己信吗？钻个十几次毛都不出你自己都骗不过自己[藏狐],2025-04-25 22:35:38,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
20,0,260359928993,25202265,悠悠非窝,5,保密,"大坝车里出了军用炮弹
😊😅",2025-04-25 15:20:10,0,0,,未知,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
21,0,260327345905,2038929586,世麻,4,保密,小保险摸了个心,2025-04-25 08:25:25,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
22,0,260277056769,3546690906753184,3点了小号,3,保密,我是新手，绝密大坝垃圾能赚钱吗？,2025-04-24 14:12:54,0,1,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,0,260222499777,1194515694,摆烂煜不会摸鱼,5,保密,猜猜我摸到什么了,2025-04-23 23:15:41,2,1,太好了！是铁煜！我们没救了！,未知,否,https://i0.hdslb.com/bfs/face/c94c290f9f143e26faaca07e1b1ee813f23391fb.jpg
24,0,260203089537,242477579,梦醒了没-没,5,男,去了n次，唯一一张红卡是老赛给的[笑][笑],2025-04-23 14:07:57,0,1,"已老实，求放过。不要关注我了ヾ(༎ຶД༎ຶ)ﾉ""",未知,否,https://i2.hdslb.com/bfs/face/78fc6face71b6ff75b61b256a7dc39cce433a397.jpg
25,0,260191848881,567678080,奇怪的雷布朗多,4,保密,"右边图是我和朋友在普通大坝的游客中心出的，他捡着香槟，我捡着手表，左边儿的图则是朋友在另一局掏着的，到手之后我先替他装着，快到地方我直接把包丢给他了
也是普通大坝，作为新手，我这才知道，原来普通大坝能出大红啊。。。。[笑哭]",2025-04-23 11:38:56,0,0,,未知,是,https://i2.hdslb.com/bfs/face/7e19283a263dbc47adb130bf74748ca3121be443.jpg
26,0,261053104096,690673742,只属于四糸乃的骑士,5,保密,[doge],2025-04-22 21:44:04,0,1,,未知,否,https://i2.hdslb.com/bfs/face/0b47433b0fe95eac361f1efab3bdb9e08265d27c.jpg
27,0,261044873008,688401442,到处点点,5,保密,在普坝地下通道捡到过军用炮弹,2025-04-22 16:20:59,0,1,,未知,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
28,0,260088452817,433479657,樱狼亿生推,6,保密,没啥必须去不去的，都有概率，就看出不出,2025-04-22 03:58:22,0,0,,未知,否,https://i0.hdslb.com/bfs/face/7e7e9cba7543e36a08620638847ffbd2eec2b29d.jpg
29,0,260083282321,3493133528598898,李小冉不爱吃香菜,4,男,昨天老赛出了一张被队友抢了[生气],2025-04-22 02:20:37,0,0,,未知,是,https://i1.hdslb.com/bfs/face/6f1ca956d8d092b8177bfcfe2b4d10099446a400.jpg
30,0,260081724097,97194956,1米58激素侏儒龟田哟西,6,女,啥也不说了，坝顶的第三张卡,2025-04-22 01:51:23,0,0,233333333,未知,否,https://i2.hdslb.com/bfs/face/231cfd9faccdb1fa04483826201abba7ed4a8a04.jpg
31,0,260920607392,375272436,江雪摆大烂,6,男,[doge]破产吃上福利局了,2025-04-21 05:39:36,0,0,O(∩_∩)O哈哈~,未知,否,https://i0.hdslb.com/bfs/face/b2f38079e83d1eb28d75c292fd145add0d29014d.jpg
32,0,259993514337,700763997,史上最坑代练,5,男,我塞不进去啊[大哭],2025-04-20 18:35:57,0,0,3元一颗星，无视段位，1.1120w典韦，我上分你放心,未知,否,https://i0.hdslb.com/bfs/face/693937000618bcc85f3157cbde7524688f3708e7.jpg
33,0,259992002145,101373884,满门忠烈巴爾坦,6,保密,萌新第一天[doge],2025-04-20 17:40:29,0,3,,未知,是,https://i2.hdslb.com/bfs/face/b9e143fc3cb7af3c48a8c4bb9bbe99349cbbae93.jpg
34,0,260883503600,483885018,改名六个币好贵,5,保密,每次出生在坝顶都没出过，别的地方过来的时候我也没出过[笑哭],2025-04-20 15:26:07,0,0,！该账号封禁中,未知,否,https://i0.hdslb.com/bfs/face/82c39399fce1da4f49d5565e8fb78fcc4e3c2b43.jpg
35,0,260799498848,1515329237,一只从雨丸,5,保密,一⚡️心⚡️永⚡️流⚡️传,2025-04-19 16:34:00,0,0,"湖南工作太开辜辣！
",未知,否,https://i2.hdslb.com/bfs/face/692e291c0543c0f3d3e3985317800998e7e60d0a.jpg
36,0,260761081744,3494379318675744,炭烧酸奶呐,3,保密,聊胜于无吧。,2025-04-19 09:15:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6b0be3d1200f55f32f6a5e0f899c73e4f2c78753.jpg
37,0,260760524976,667341433,氢麦呀,6,保密,陪一个[脱单doge],2025-04-19 09:08:28,0,0,ⓘ该帐号封禁中,未知,是,https://i1.hdslb.com/bfs/face/3b8626f2a61adb40d52a624d6d7f1ce3cb930768.jpg
38,0,260729317040,12654832,アビスノヴァ,6,保密,我在这也出过，好像是relink 的,2025-04-19 01:58:04,0,0,虽然id是abyss nova 但其实我厨的是探女来着,未知,否,http://i1.hdslb.com/bfs/face/d6421b12047d07852cdf13c1a026cb11dc7fce47.jpg
39,0,259795372177,350041573,硝子--,6,男,byd动态暴率[大哭],2025-04-18 11:49:57,0,0,Clannad,未知,是,https://i1.hdslb.com/bfs/face/378b20e50ae3d276dacee5e435422d6d4dfc99e0.jpg
42,0,259774719857,100239654,老年青黎在线养老,6,男,上号,2025-04-18 07:00:31,0,0,,未知,否,https://i0.hdslb.com/bfs/face/46955da5e942c8a824dcbe0d1e18f05734f087fe.jpg
43,0,259690350465,10063989,月白照人心,6,保密,二十六个小时，已经5个大红，4个小红了[doge],2025-04-17 04:20:53,0,0,择一人而终老，择一城而一生！,未知,是,https://i0.hdslb.com/bfs/face/0ad48fef5711bf0dc5779a9f33210803e37ceb70.jpg
44,0,259611627809,622538373,牢皇尼古拉二世,5,男,我在这里出了微型反应炉,2025-04-16 03:47:45,0,0,牢皇说的有道理,未知,否,https://i0.hdslb.com/bfs/face/c2e93567efae96455ffddcd6f2e459bdba36f19f.jpg
45,0,260309838720,630188845,嫩鱼六方,6,男,普坝，豪丸,2025-04-13 14:45:10,0,1,,未知,是,https://i1.hdslb.com/bfs/face/0f70818a52928e7d16851375bb76827341bc5e48.jpg
46,0,260293792832,1541325307,cc浪沫神bushi,3,保密,赛伊德包里出的🥰,2025-04-13 11:29:33,0,0,,未知,是,https://i1.hdslb.com/bfs/face/793d0222cf609a4a01620b3f326eb9969b03612d.jpg
47,0,259418209521,1844427285,衣带渐宽终不悔111,4,保密,这个点位基本已经不会出了可以摸集装箱上鸟蛋后面的衣服出过总裁,2025-04-13 11:09:55,0,0,,未知,否,https://i0.hdslb.com/bfs/face/6c7609fbebcc64d3cd8f588a4ff32830696b43b6.jpg
48,0,259376812337,62145276,药你的饭,6,男,单人天天发配坝顶，从没出过,2025-04-13 01:43:44,0,0,产出各类游戏内容。,未知,否,https://i0.hdslb.com/bfs/face/4b5c79c6446cdb0d97ac6865eb4bda5b26d9e526.webp
49,0,259345531713,1072474567,4-1秦建华,5,男,两张图告诉你赛伊德为什么要杀,2025-04-12 13:47:07,0,1,我姓秦，建华两个字随便取的QwQ,未知,否,https://i1.hdslb.com/bfs/face/f03c5de6778f75f27d9806635b29ee9f988f53d5.jpg
50,0,259318021985,1262965055,快乐的老茄子,5,保密,半夜我在普坝在衣服里摸一个航空基地总裁室的，我人都傻了[星星眼],2025-04-12 08:05:19,0,0,,未知,否,https://i2.hdslb.com/bfs/face/59ee95dcd0f1eea71657856fcc59d21d3408dd71.jpg
51,0,260156685776,3546765531810457,bili_3546765531810457,2,保密,666666666666666666666,2025-04-12 00:59:33,0,0,,未知,是,https://i1.hdslb.com/bfs/face/e5d622a9f248df068b069a2b0e539111938a1742.jpg
52,0,259264587233,319500362,夏树之上,4,男,今天看了你的视频心血来潮去了机坝出生点位刚好靠近坝顶我就去看了一眼真出了[微笑],2025-04-11 14:26:46,0,0,怎么活,未知,否,https://i2.hdslb.com/bfs/face/6664991904f3b36b6ad827d85a76817a66188348.jpg
53,0,259249059809,1113435672,氵少漠之周隹,5,保密,酒店衣服摸的，转半天感觉不对于是狂点就拿到了两百万,2025-04-11 11:16:11,0,0,重装编646963336,未知,否,https://i0.hdslb.com/bfs/face/d0671e23e5eb9d3b031df0e4cae9c08ec8b6b71d.jpg
54,0,259248051729,1321244860,青衫似故入,4,男,一号位跑刀的快乐，没人就爽吃有人就死给你看[doge_金箍][doge][doge],2025-04-11 11:04:26,0,0,佛系下饭娱乐ing,未知,是,https://i1.hdslb.com/bfs/face/8ddc0ff105b3dabf551d3f4539b3e39a43368ba6.jpg
55,0,260058247344,338215335,zzziper,6,保密,第二个房间那个手提包里面出了摄像机,2025-04-10 16:17:05,0,0,,未知,是,http://i0.hdslb.com/bfs/face/5db9a00f5ebe9ec9a2f702606c0e797ccd62a019.jpg
