序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261535476208,181009106,青葱握不住人已老,6,男,密码点在前是12345个点。。。然后67890是横杠,2025-04-29 00:44:38,0,0,,未知,否,https://i2.hdslb.com/bfs/face/acb3fd922e00278241e26d15d84f95a2eca66498.jpg
2,0,260598068785,473685566,求一个不重的昵称,6,男,密码门挺好的，大坝和长工刚好凑齐五套,2025-04-28 16:14:25,0,0,我到底想要什么？,未知,否,https://i2.hdslb.com/bfs/face/083081d06d6fe1136064ff7ad011338e4c900e57.jpg
3,0,259056214737,279609799,彳余文乐,5,保密,00:57，提前枪？,2025-04-09 01:50:22,0,0,,未知,是,https://i1.hdslb.com/bfs/face/45604d081235aa594e80439ce403ad37288e8b49.jpg
4,0,258901928753,3493281698679061,心与人都要好哇,4,保密,"礼貌借楼
只玩大坝跑刀
首单18＝300w
后续8 ＝100w
16＝200w
40＝550w 
75＝1000w
纯绿跑刀，有3x3可优惠 出红和房卡可沟通出售/保留  蹲蹲老板[脱单doge]
PS:附一张自己号80h摸的房卡（也可以老板帮跑卡[doge]）",2025-04-07 02:00:30,0,0,"三角洲纯绿代肝
v:1832฿286฿0724,去掉符号",未知,否,https://i1.hdslb.com/bfs/face/f8fce5fc11156d6600c70674fff7c254520f2300.jpg
5,0,258629733585,261083982,雨季揽我入梦,6,保密,老六在哪里直播呢？B站没见过呀,2025-04-03 17:53:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/3546ad72f16bd0786e1ae2c12155d46150717cac.jpg
6,0,258624889825,1641022791,一三乄二亖,5,男,队友的AWM子弹是哪来的啊，昨天我买了一把，刚准备开，没有卖子弹的。。,2025-04-03 16:21:27,0,0,,未知,是,https://i0.hdslb.com/bfs/face/fa8cf7abb2200742bcccac6cb94aea290ffc4c29.jpg
7,0,258396154481,443258559,一个简单的小昵称,5,保密,"大学生宿舍手打，需要联系
保险规格:3*3 保险
8r=100w
35r=500w
65r=1000w
120r=2000w
保险规格:2*3 保险
9r=100w
45r=500w
80r=1000w
150r=2000w
保险规格:2*2 
保险10r=100w
50r=500w
90r=1000w
170r=2000w
大学生自己在宿舍笔记本手打
需要的老板直接私信我，随时都在。",2025-04-01 02:21:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/bac04688229302c55a7dc4ec0cb4e863fc87abb4.jpg
8,0,259105810960,3546618949274136,我的名字非常特殊,4,保密,选我，三联给你安排所有视频都给，选我我哈弗币400万随便造，,2025-03-30 12:34:30,0,0,名字是随便起的,未知,否,https://i0.hdslb.com/bfs/face/1c8df8af1bf253692cc302f0b011e8d3d1346d42.jpg
9,0,256842505393,258570452,大宇宙-银河-乙醇,5,男,哇塞˶╹ꇴ╹˶！，哥哥打的真好(*/∇＼*),2025-03-12 16:41:46,0,2,,未知,是,https://i2.hdslb.com/bfs/face/e6466f82b687961cd7548f1309bd4a3257b4ac0b.jpg
10,0,257537053088,687901549,cc是代肝,5,保密,"接三角洲行动带干[打call][打call][打call][打call]看看孩子吧让孩子吃吃饭吧[大哭][大哭]
火箭燃料（不出一直打包亏损）
卫星锅
等级
哈弗b
通行证
段位
护航（可点指定大红单 不出打到相应保底）
9格保险
这些咱们都接哈效率都很高的哦 绿色无撞车 都是手打 有售后有保障不会存在毁号有喜欢的板板加我主页联系方式哟让你享受根本花不完哟[打call][打call][打call][给心心][给心心][给心心]",2025-03-11 15:36:28,0,0,"q 3691414763
v cc03021913
可代三角洲 
高价回收三角洲  暗区突围账号",未知,否,https://i1.hdslb.com/bfs/face/e83cfb4f22f7e743b15891e010c522aebfce3285.jpg
11,0,256760913281,448212192,星际甲甲玩家,5,男,有没有人告诉我调查需要摁哪个键？ 任务是怎么做的？,2025-03-11 15:25:11,2,0,,未知,否,https://i0.hdslb.com/bfs/face/93fdbd3426ed09d930b8064894f83af8dec94f34.jpg
12,0,257518413840,145948142,那是我的铜锣烧,6,保密,这就是为什么不能支架的理由，遇到栓狙就死了，他peek秒你是比你反应过来秒他要快得多的。,2025-03-11 11:54:02,0,0,,未知,否,https://i2.hdslb.com/bfs/face/0c33b41a68cc40ec50097bcfc78fe68ca7b372ab.jpg
13,0,257481676464,1658798629,莞中打工人,5,保密,看老6和78直播真能学东西，思路真好[笑哭],2025-03-11 03:02:13,0,0,求求进来看看,未知,否,https://i1.hdslb.com/bfs/face/15f0aee28ee9eff765d8618e645238cd099de054.jpg
14,0,256650426849,293655275,泠貓zhQAQ,5,男,怎么听到肉肉的声音,2025-03-10 07:43:27,0,0,这个人很勤快，虽然写了，但是没完全写... ...,未知,否,https://i2.hdslb.com/bfs/face/a3036fd26e7e4f1a6c6d2b1c10de5005ab50165a.jpg
15,0,257247598400,3493266745985701,江江tex,4,保密,這遊戲都這麼有效果的嗎?,2025-03-08 06:03:00,0,0,謝謝deepseek,未知,否,https://i1.hdslb.com/bfs/face/84ef51f9be7361a4618f3f5075867e5badde5128.jpg
16,0,257079738496,451936407,XxGuoi,5,保密,7r/100w，纯绿大学生跑刀,2025-03-06 05:07:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/9c5c2310c729847bed16cf634ef980a36a63a2d2.jpg
17,0,257018538832,266579570,bili_266579570,5,保密,现在都不想野排了，我真不知道这些人打个机密拿绿弹图个啥,2025-03-05 09:54:48,0,0,,未知,是,https://i2.hdslb.com/bfs/face/4f8e6b67cac83a4acbcca608fdd78461cc977a13.jpg
18,0,256116691665,3546576221898899,bili_3546576221898899,2,保密,有没有要做3×3任务的板板什么任务都接，在校男大学生（可以压学生证）赚点零花钱，需要可以联系我[星星眼],2025-03-03 11:51:17,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
19,0,256116309105,1297648657,戴假发的歪比巴卜,5,保密,"会开密码箱就会听声音开门啊，
如果是点有几个点就是几；
如果是杠，后面有几个点就是10-点数",2025-03-03 11:47:03,0,0,只需等待,未知,是,https://i1.hdslb.com/bfs/face/fb87e4758ea70c97d181281cc7db78533c28dcaf.jpg
20,0,256104549345,2112457687,西宫硝子和薇妹YYDS,5,保密,老六意识真的牛,2025-03-03 09:12:49,0,0,,未知,否,https://i1.hdslb.com/bfs/face/b7b41b94ed8eb409799948c83658892125049ca1.jpg
23,0,256099988177,306447377,大头玩偶,6,保密,那个屌密码门   我只能听到那个狗屎的音乐   至于“嘀”根本没听到过  是耳机的问题吗？,2025-03-03 08:03:41,2,0,观时间，我们只是亿万年华的一瞬，看宇宙，我们只是亿万星辰的尘埃,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
24,0,256591740000,3546384942762540,哲学的星,3,男,"up主这个送给你！[打call]
    
   
    
    
    
     
◢■■■■■■■■■■■◤
                      ■
                      ■
                      ■◣
                      ■ ◥◣
                      ■      ◥◣
                      ■
                      ■
                      ◤
◥◣               ◢◤
   ◥◣         ◢■■■■■■◤
      ◥◣   ◢◤      ■     ◢◤
              ◢◤        ■   ◢◤
                             ■
        ◢◤             ■
     ◢◤           ◢◤◥◣
  ◢◤          ◢◤        ◥◣
◢◤        ◢◤                ◥◣
️
️
️
️
◢■■■■■■■■■■■◤
️
️
️
️
                     ◥◣
    ◢■■■■■■■■■■◤
◢◤                               ◢◤
   ◢■■■■■■■■■◤
                     ■
        ◢         ■■■■■◤
       ■◣       ■
      ■ ◥◣   ■
  ◢◤      ◥■■■■■■■◣
一个赞拿走[doge]
复制去坑其他up主",2025-02-28 10:30:41,0,0,实力不详，遇强则强。,未知,否,https://i0.hdslb.com/bfs/face/9553a5b5236c7f0e866910c1bb81c3991b7c2464.jpg
25,0,256472717472,34104636,劫捷洁,5,男,所以谁能告诉我这个密码咋回事怎么开[笑哭],2025-02-27 02:34:50,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c1f26a6e4aa6d9d263ee06f8116b8c97b8d73178.jpg
26,0,256472736272,34104636,劫捷洁,5,男,哈哈哈,2025-02-27 02:34:26,0,0,,未知,否,https://i0.hdslb.com/bfs/face/c1f26a6e4aa6d9d263ee06f8116b8c97b8d73178.jpg
27,0,256324832368,11780943,莱茵河Achilles,6,男,我一打三打掉两个半，俩队友过来人头一收包一舔直接把我扔了，他们俩各250W撤离，什么cs都有,2025-02-25 05:53:37,0,1,"QAQ
",未知,否,https://i0.hdslb.com/bfs/face/9000c657673561b0d0841e19f2ef6d9d7982b1fb.jpg
28,0,255517782817,3546758919490498,bili_70843612709,3,保密,挑战全网出四红速度最快，出生在宿舍楼，航天箱出了咖啡豆，旅行箱出了个除颤仪，桌上刷两卫星锅，一分钟不到四红,2025-02-24 05:26:21,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
29,0,256174721344,35397615,-陆梁-,5,保密,我的建议是听的时候拿个摩斯密码本,2025-02-23 08:28:02,0,0,,未知,是,https://i0.hdslb.com/bfs/face/a54c532266e43cc72ee7c3972fc1cc27060d22e3.jpg
