序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261239498609,3461567054088298,饮雨抚雾,5,保密,第二颗,2025-05-06 12:29:03,0,0,最是一年春好处，绝胜烟柳满皇都,未知,否,https://i1.hdslb.com/bfs/face/f005036064517d9a64b687e169dec28ac04c95ed.jpg
2,0,262052157984,1289417324,开朗的双响炮,4,男,五一看的，今天来还愿[打call][打call][打call],2025-05-05 01:13:19,0,0,,未知,是,https://i2.hdslb.com/bfs/face/5509a18e0f622296f9a522bc98466dbcbe471241.jpg
3,0,261443041008,433645801,灵雨钰,4,保密,我确实也出了一颗,2025-04-27 16:09:16,1,0,,未知,否,https://i1.hdslb.com/bfs/face/302b3758f9e5d0792d025f97dbbfcb732fd0fe43.jpg
4,0,261430459136,279276237,当然-不可以,3,男,不是你六甲五头维克托告诉我高攻低放[吃瓜],2025-04-27 13:34:12,0,1,,未知,否,https://i0.hdslb.com/bfs/face/cf35cbac3542df693f20e7d5e6a54f0b043f206b.jpg
5,0,261429314608,1846252111,-疯帽匠-,4,保密,中国kb大王在2025年4月28号20：47分的对局抢了我一个大红包，望警惕,2025-04-27 13:20:02,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,259601602897,27898552,NoNo烟花,6,保密,不就是心嘛，不羡慕[墨镜],2025-04-16 00:47:56,0,0,铁甲依然在,未知,否,https://i1.hdslb.com/bfs/face/fd728fe4f760b35209934968e7c835f5d54678c0.jpg
7,0,260188618832,3546875403700304,bili_25767913872,2,保密,在哪直播？,2025-04-12 08:20:08,2,0,,未知,否,https://i2.hdslb.com/bfs/face/d5ca35627dfef1af66a1e7a43c8a34e66c13757c.jpg
8,0,260020461184,3546883880389412,阿Glass死,2,保密,六套五头配个维克托？,2025-04-10 08:11:37,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,259119486673,27677568,人生如幻梦里似真,6,男,我上次出心还没来得及拿就被偷死了[笑哭],2025-04-09 16:49:02,0,0,加油，到六级。,未知,否,https://i0.hdslb.com/bfs/face/73cbde7c2368cfcca7b90c16f3789adc8e4b4dd0.jpg
10,0,259113954913,3546831592098163,锦英网络招聘,2,保密,招人大量招人爆单了,2025-04-09 15:32:11,0,0,,未知,否,https://i1.hdslb.com/bfs/face/114f441ac741c70ab61966268033537755149642.jpg
