序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261127379281,646554589,cfer-想入菲菲,5,保密,没管赛义德直接开房卡被boss一脚踹死,2025-05-05 04:17:31,0,0,别看,未知,是,https://i1.hdslb.com/bfs/face/0fc07008186a89b5f6890df0acf80c4aaeec986e.jpg
2,0,261909526528,381365728,幹嘛哎喲,4,保密,什么？你怎么知道我开局十分钟行政楼大保险没人摸，我摸出非洲之心的,2025-05-03 09:51:54,0,0,,未知,否,https://i1.hdslb.com/bfs/face/d354ac75d27111ccb265c8812bfeeacef4260494.jpg
3,0,260883347233,3546760446216388,海月159号,3,保密,如果有没记错应该是Fazi吧[doge],2025-05-02 08:36:33,1,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,261743262768,407318902,劳大-赛伊德,5,保密,孩子们，放心开，我给你们架枪,2025-05-01 11:31:14,0,0,,未知,否,https://i1.hdslb.com/bfs/face/408e5ab24a6fff6f3b6880d6108a49d758c2db14.jpg
5,0,260605012017,240683460,青玉案宸曦,5,保密,@六氯苯环BenZenE @松松松奈,2025-04-28 19:19:23,0,0,高考加油,未知,否,https://i0.hdslb.com/bfs/face/ff32540223bc8db0f6c5002043df2df8dc7ae1ce.jpg
6,0,260250836481,48370056,nkz66450,2,保密,今天赛义德在变电站帮对面架枪，我一打三失败，望周知,2025-04-24 08:03:43,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,260197879985,14772983,被称作小花的花爷,6,男,[doge]老塞：你猜猜这一地的盒子为什么没人吃,2025-04-23 12:59:46,0,1,来啊，封面爆料是吧，见一个拉黑一个，我要看到血流成河,未知,否,https://i2.hdslb.com/bfs/face/18828bcca1dd846dbc5bf2e94212edb5db22b325.jpg
8,0,260052494945,497409790,一只大懒虫吖,5,女,牢赛锁人慢了点，但是锁到了刘涛也给不了自己安全感说实话[笑哭],2025-04-21 13:30:50,0,1,,未知,是,https://i1.hdslb.com/bfs/face/ac0cc2da11e43e095043dffefcae31fa32229ce2.jpg
9,0,259985176481,487856289,取名好难_QwQ_,5,男,每次看到开局扔C4的威龙被瞬间带走 都忍不住说一句赛伊德执行正义 当然这把结束后还是会举报一下,2025-04-20 15:45:07,0,0,QwQ,未知,否,https://i0.hdslb.com/bfs/face/bf12cf8e04684018d7585c444d94efd57846aab7.jpg
10,0,259952930385,30288187,污炸的夜夜,6,男,想我高配m250  金甲金头进机密大坝  被赛老大秒了,2025-04-20 08:52:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/0e6304bce9dfbfcee604aee0d625c8e72cded05c.webp
11,0,259450658097,87639995,燃殇丶,5,保密,@吹紫,2025-04-13 20:38:40,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d375472c32017479292d010d68430a9f07a111e0.jpg
12,0,259230645296,1885562535,因为塔善,5,男,我和队友去的，看见刷了我直接跑，过了十多分钟我从电站回来了，有很多盒子，开静步走过一个房间时门开着老塞屁股对着我，然后两刀过去就单杀了（唯一一次）[doge],2025-04-01 02:54:51,0,0,,未知,是,https://i0.hdslb.com/bfs/face/172e63647793e34ba020c661abf78d84e6649fcf.jpg
13,0,259225282912,1528256734,光羽隹LEE,5,男,有一次路过，就从窗户看了一眼，赛伊德一个急停给我两枪身子两枪头干似了,2025-04-01 01:29:09,0,0,,未知,否,https://i1.hdslb.com/bfs/face/e2ec3e4c7ed360e2a8c552fbdc4ae9fefcb62d3c.jpg
14,0,258208635297,552745576,Mayuri____,5,保密,孩子们，保险柜里全是起舞的老嫂子[微笑],2025-03-29 16:11:44,0,0,斜阳晚照,未知,否,https://i1.hdslb.com/bfs/face/94b46982db0a2ee42e294ff27f960ef97f3dd246.jpg
