序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261067632145,3546765764593678,火水天包袭,2,保密,"最强小队：补刀手：赛伊德
突击手：雷斯
狙击手：德穆兰",2025-05-04 10:46:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/803466f9f416fc3296aeeaa40efb7d8e1da34867.jpg
2,0,260759582129,449815455,ll此人危险ll,5,保密,有一把机密长弓酒店，手机晚上关声音玩，发现地上躺着两个人，不一会就成盒了，正吃一口呢，看声纹才发现脸上一个雷斯，喷气加两个C4弄死了，才发现一队吴涛哥真惨啊,2025-04-30 18:41:39,0,0,,未知,是,https://i0.hdslb.com/bfs/face/3e0dd0fb1c763bb84992e9bbd6e11342f20d1942.jpg
3,0,261330570992,3546635632118731,赛伊德出发了,4,男,歌名：贝利亚处刑曲,2025-04-26 09:16:06,0,0,你掉进陷阱了,未知,否,https://i1.hdslb.com/bfs/face/34874399bca7c2aa38175beb53dfb6e24bbdf12e.jpg
4,0,261082057904,37066832,梦神0825,6,保密,还有我 听说你起了刘涛？蟹腿[滑稽]胸挂 头甲枪背包 子弹 花来,2025-04-23 07:21:40,0,1,,未知,否,https://i2.hdslb.com/bfs/face/94f20add3218a49335e95e50d5cc9ce09b8f7c53.jpg
5,0,260939459248,388077606,丑陋浪子,6,男,"8=100w
15=200w
40=500w
75=1000w
纯绿跑刀丨移动端手搓",2025-04-21 10:33:52,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dd129bf71615fbe819a75827963fe57b0fffd4a2.jpg
6,0,259996998881,668330394,特维拉驻卡莫娜大使,4,男,可是我一般都用机枪，然后去雷达站一般普通的时候都能满载而归总有不长眼的小子和我一起去被我打死了,2025-04-20 22:24:39,0,0,是的，我很神秘，所以我不想写,未知,否,https://i0.hdslb.com/bfs/face/139d4cbd51ff2119dd955fcf51dcbaf86f640f44.jpg
7,0,260896287184,3546881242172230,古希腊掌管压路机的神,2,男,@怪奇图鉴 jo级生物吗？难怪打不过，那就一袋米带油！,2025-04-20 21:03:08,0,0,oi，孩子们，普奇神父要在假期发动天堂制造了，给我一个赞，我去欧拉他。,未知,是,https://i1.hdslb.com/bfs/face/fffb894ffb52734a0513f60d5924832f9266b24a.jpg
8,0,260809742784,2037850744,WC244698,5,男,🤔这三位登场的时候，后面不应该再升起一架直升机吗,2025-04-19 21:42:13,0,1,这个家伙什么都写了（大虚）,未知,否,https://i1.hdslb.com/bfs/face/346ce28e99cc0a7d9cc05b0c0951957445cbcb61.jpg
9,0,260504542016,90441810,超级无敌小熊虫大王_,5,男,这几个boss我真不怕，但是真的6套金弹m250被g18老鼠蹲撤离点修脚修死过,2025-04-16 05:58:27,0,0,我是小唐虫，别骂我呜呜呜,未知,是,https://i0.hdslb.com/bfs/face/6f99627a5c00361c68ffe070bb645885c6ca868e.jpg
10,0,259599392273,481725852,坟场蹦迪QAQ,5,保密,五套进机坝，撞上赛伊德，翻滚三枪头盔全碎，甲无伤(对了，你怎么知道我出了红卡),2025-04-15 23:49:25,0,1,生活告诉你，你应该长大了;梦想告诉你，你应该有一颗童心,未知,否,https://i0.hdslb.com/bfs/face/c8f0ffb55b4b7cea5aaf834b6d2b466b92754e12.jpg
