序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262131672752,381755227,尘渊公子,5,保密,[无语]我看了很久也没懂，为什么你可以不静步接近敌人15米范围内，比无名大招都牛批。而且这些人听不见你的脚步就算了，貌似好像看不见你一样。所以最后总结一下：咱俩玩的是一个游戏吗？,2025-05-05 20:23:50,0,0,离渊不破，百川成海,未知,否,https://i1.hdslb.com/bfs/face/2655f0a2345f0cd07848009572ccf760717ba603.jpg
2,0,261167720817,3546648739318172,討砚,3,男,"大学生时间多
三角洲行动纯手打代跑刀可直播
只想挣个拼好饭[大哭][大哭][大哭]
8=100w
16=200w
38=500w
78＝1100w",2025-05-05 12:58:22,0,0,游戏直播号～,未知,否,https://i2.hdslb.com/bfs/face/516868c8bd1595753deaa2c99774010d00ebed37.jpg
3,0,262039899392,3546590948100734,就打电话好的,4,保密,😵,2025-05-04 17:42:20,0,1,,未知,否,https://i2.hdslb.com/bfs/face/df6a5ae1ef8df40b1d667c1a90901ce77d2aa02e.jpg
4,0,261893679424,3546723662170420,智商已费欠awa,3,保密,什么游戏？,2025-05-03 06:06:25,0,0,"嘿嘿(¬◡¬)✧
",未知,是,https://i1.hdslb.com/bfs/face/35b2e9db9a4c815de6159a58af287c07a9f673c4.jpg
5,0,261884047152,241299034,随缘酱,5,女,我也很糖，只能和人机过过招遇见真人基本就寄[笑哭],2025-05-03 04:06:38,0,0,无聊,未知,否,https://i1.hdslb.com/bfs/face/e2b56b7f500b7f7e709cf2e36df5258efa0a9b3c.jpg
6,0,260927024193,203370799,机枪鱼喵,6,保密,@黑天的神隐 @少年清隽纸笔携忆 梅怡阁诗人[笑哭],2025-05-02 18:24:29,0,0,好好的看一遍我的ID，不要念错了！（恼,未知,否,https://i1.hdslb.com/bfs/face/1fe49a6e02c0a20ae9478f1a61ce11bac7a7c27e.jpg
7,0,260841738049,356241389,看月色渐浓,4,男,我得掉kd了，遇到的超雄人机都会来找我了，隔踏马四五十米呢开枪扫我，以后绝不杀人，看见鼠鼠也不杀,2025-05-01 18:24:09,0,0,,未知,否,https://i2.hdslb.com/bfs/face/9082c6fd4f2b49ccde994a03b0bf068df4248678.jpg
8,0,261757053936,160375914,三无の斯小文,5,男,sb游戏，玩的越好敌人越强越受罪，玩的菜的反而还好打,2025-05-01 14:16:56,0,0,恨妹不成Artoria啊,未知,否,http://i0.hdslb.com/bfs/face/2c4e9b486a1e8da3f61953678761d700448ac5a0.jpg
9,0,261716694608,212228649,紫蓝星河,5,保密,为什么我遇到的1都是露头就秒的了,2025-05-01 05:21:24,0,0,,未知,是,https://i0.hdslb.com/bfs/face/23ebb975e9568fd07e6c1f320d38bac7be15b2c1.jpg
10,0,261544715664,54922344,王意点,6,保密,@芋泥大软蛋,2025-04-29 03:33:12,1,0, ,未知,是,https://i0.hdslb.com/bfs/face/1b0bd16f87518e89fab0142505db84cc40db8490.jpg
11,0,261497638208,23369743,mchank9999,6,男,不是，看了老一会了才发现是qiqi？？怎么Mc都在转行.jpg,2025-04-28 11:13:38,0,0,"呼号BG4IST，这里是hank9999，某个不知名的小UP, 拖更ing... 原昵称 我的世界hank9999",未知,是,https://i1.hdslb.com/bfs/face/5b7597a92c88303d812c9dddd4a64fd4fad0375a.jpg
12,0,260535943537,1032416195,终末之灾-现号,4,男,🤔打红薯遇到和up同名的了，也不知道是不是真人。那把也是没蒸赢,2025-04-28 00:40:47,0,0,,未知,否,https://i2.hdslb.com/bfs/face/c1dc8b5b90875a0630e6d2930d72b1a91ea30250.jpg
13,0,261454097936,13010541,紫相公,6,男,"没人:放心大胆的吃
有人:提心吊胆的吃",2025-04-27 23:14:53,0,0,本不过一树尔,未知,是,http://i2.hdslb.com/bfs/face/604fa7a4878c3900476f7a576465675ee0bdd83b.jpg
14,0,260385125121,94870091,蜀山区阿溟,6,男,新手有人带带吗😭,2025-04-26 02:32:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a35ae1e19b3443be9bd77682d0644a65531acbfd.jpg
15,0,260373240817,511338552,bili_43362227747,2,保密,我就想知道为啥不打他们,2025-04-25 21:06:05,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
16,0,261218131632,309208540,箫以风为魂,3,保密,"6/100,绿的没边，有兄弟需要吗",2025-04-25 02:25:11,0,0,,未知,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
17,0,260289906145,334986776,Perfctocean,6,男,今天普坝跑刀美滋滋[呲牙],2025-04-24 17:27:05,0,0,,未知,否,http://i0.hdslb.com/bfs/face/5f6beffad516f63efd66915968ac0c3ff8efc859.jpg
18,0,260275212689,487856289,取名好难_QwQ_,5,男,我遇到跑刀仔都是狠狠的打 可恶的跑刀仔,2025-04-24 13:48:38,0,0,QwQ,未知,否,https://i0.hdslb.com/bfs/face/bf12cf8e04684018d7585c444d94efd57846aab7.jpg
19,0,260257356769,300857184,丨优凌丨,5,男,7r100w绿的没边，有需要的板子直接私信,2025-04-24 09:52:19,0,0,有点意思,未知,否,https://i0.hdslb.com/bfs/face/01f0fc9f7019540e67305d4827335b6059631850.jpg
