序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261138827377,674120754,星玉起爆王,5,男,啊呀，骇死我了,2025-05-05 06:40:29,0,0,什么角色？总不可能是自己一个人偷偷到图书馆紫薇还随身携带起爆器为了回到过去收集心之碎片的超自研社长兼魔女绫地宁宁吧?,未知,否,https://i0.hdslb.com/bfs/face/7894b8141332c022d9d41348f15b35d89a0992b0.jpg
2,0,261898594560,1597420332,不想被,5,男,@伊吕波酱卡哇伊呐,2025-05-03 07:16:05,1,1,我只是一个看视频的人 ,未知,否,https://i0.hdslb.com/bfs/face/bb8ac92658d85a9c2a996aecd2ff573eef2bea6b.jpg
3,0,260095889857,237622475,某U潜艇路过,6,男,挺好的，总比战地5一局载具佬用脚打打出80杀，全员被捞成阿巴怪好。[辣眼睛],2025-04-22 05:55:30,0,0,………………,未知,否,https://i2.hdslb.com/bfs/face/1e4e803270680ed2b82a5d9f99955a150563c3f6.jpg
4,0,259929904369,3537122650753381,凋零工作室,4,保密,1t威龙,2025-04-20 03:46:36,0,0,,未知,否,https://i1.hdslb.com/bfs/face/15030cd08aac66709b2c703144b6342d1024a769.jpg
5,0,259651394897,105720172,6885778,4,保密,"一辆陆地载具能活过两分钟只有这几个个可能
1躲着不肯出来甚至没人开
2电梯里
3队友有死人，人机，载具是他爹的杂种",2025-04-16 13:09:20,0,0,,未知,否,https://i1.hdslb.com/bfs/face/fff334cbe1708e5879b7831151df6b7d8ee3ca37.jpg
6,0,260473328064,3494355996248633,等冬装桃实装,3,保密,@毛线鸟awa,2025-04-15 17:18:20,0,0,,未知,否,https://i2.hdslb.com/bfs/face/8f611bbc35a24908177a9359fe12fe86586f0be8.jpg
7,0,260223855808,1648580427,哈夫克士兵一喷火兵,4,保密,喜欢我玩狙不打人到处标记高价值单位吗？,2025-04-12 15:12:30,0,0,,未知,是,https://i0.hdslb.com/bfs/face/82bca04e32d00283b48e3cac8c208c1375d31ce3.jpg
8,0,259379919296,1481435635,山海天泽,5,男,@k君明,2025-04-02 16:18:36,0,0,咕咕咪~嗝,未知,否,https://i1.hdslb.com/bfs/face/64c48c942e879af93ab5397807bda24bf7b81d4b.jpg
9,0,258986604000,3546877190474426,576628,2,保密,用步战车加上防御榴弹冲过去，给个榴弹威龙就都老实了,2025-03-29 06:51:59,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
10,0,257529389473,3493132580686584,白夜54,4,保密,@一只屑屑のZTZ-99A酱,2025-03-21 10:40:24,0,0,……,未知,否,https://i0.hdslb.com/bfs/face/d20ccfb4673d12ae9b593b47681748cac3f8958a.jpg
