序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,260678542881,1180925790,老实人肾冥,5,男,太矮没打到又叫上了😂,2025-04-29 17:46:25,0,0,"一个一直努力的up难道不值得关注吗？
群号:132538968
群是QQ群",未知,否,https://i0.hdslb.com/bfs/face/16b9cbaff4f0c4eab4f19105d4addb1917154668.jpg
2,0,261510435520,93338045,啵啵鲨,6,男,女角色穿高跟鞋很难理解吗？[吃瓜][吃瓜],2025-04-28 13:54:49,0,0,钻沙子里。,未知,是,http://i2.hdslb.com/bfs/face/4aba634bf4964541c60dcc2eaaf3c103083769fb.jpg
3,0,261491294096,628254526,割破现实,5,保密,骇爪一飞刀肉伤比aw还高[辣眼睛],2025-04-28 09:54:45,0,0,这是一个废物，非常废的废物,未知,否,https://i1.hdslb.com/bfs/face/7c33edabe8b1529d037483bd8271c275a887c9a8.jpg
4,0,260516406673,527028893,因为是你23幸好有你,4,保密,盾狗才是虚报,2025-04-27 14:50:25,0,0,,未知,否,https://i2.hdslb.com/bfs/face/983172c47c0a8e66f3306ddb2a06abdb27583550.jpg
5,0,260416893921,1209753459,bili_33138322136,4,保密,你要是那样的话长的越高，越大的受机面积不就越大吗？,2025-04-26 10:01:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,261311784896,471466312,披头盖脸,6,男,游戏还是玩少了，隔壁瓦的身高各不相同，建模都是一样高的,2025-04-26 04:48:59,0,0,,未知,是,https://i1.hdslb.com/bfs/face/8bb7a526bc1c2bdae75805a1ced7ea037c9ca365.jpg
7,0,260304488497,1861162651,希鑫呀,5,保密,@oldbloods,2025-04-25 02:14:07,0,0,接明日方舟 碧蓝航线 崩坏星穹铁道 日常代肝价格可以协商，清理内容可提,未知,是,https://i1.hdslb.com/bfs/face/7e2b65920d3ddf7875468598c152149871ca49c4.jpg
8,0,260237247825,2054086181,柚茶山楂,5,保密,真按身高做碰撞箱你又不乐意了,2025-04-24 04:15:21,0,0,代肝+v：13753139825 q：241292817,未知,否,https://i2.hdslb.com/bfs/face/f7ac3b6b5b76f55fde9dfbc8edbc395fbc1a8cfb.jpg
9,0,260202799505,3493113205099483,の鹅蛋糕点,4,保密,邮箱见了都得跑,2025-04-23 14:06:16,0,0,,未知,否,https://i1.hdslb.com/bfs/face/dcfc552bdc2a0341cc43a94dca0475d14eddbde1.jpg
10,0,260165149489,3546747244645080,陈皮炖陈某人Q,3,保密,有可能是人加穿了增高,2025-04-23 04:42:36,0,0,,未知,否,https://i0.hdslb.com/bfs/face/dc18808d4cb17ffd1589a6e08d50f620f62a02ee.jpg
11,0,261046159872,8291654,Z喵w,6,女,这照片是你吗……..？,2025-04-22 16:42:20,0,1,是Z（英文）不是zi（拼音）！！约稿请蹲工坊or同名米画师！！！ʕ •ᴥ•ʔ,未知,是,https://i2.hdslb.com/bfs/face/7ad470bf021d8c4ee554f729bc9aa21f0e3e832b.jpg
12,0,261043718464,1872523831,一只打狙非常水的企鹅,5,保密,"就有些人那边没招飞过吗,初中时不是都有吗,招飞体型严格控制,你这个时候超过1米8就没法进了,相同的在身体素质好的里面筛选肯定是体型越小越好,飞机座舱才多大？就但凡懂一过一点航天知识的都不会说出来威龙身高不正常,作为一个飞行员，他这再正常不过了",2025-04-22 16:03:20,1,0,,未知,否,https://i1.hdslb.com/bfs/face/62766b75c705ed6d07e819153c7fbce0d25e965f.jpg
13,0,261042691936,171395941,小迪的美好生活,6,保密,这都差不多高吧,2025-04-22 15:49:35,0,0,Don't you think that you have been hiding behind my back for too long?,未知,否,https://i1.hdslb.com/bfs/face/74552b9eff079a1b644c096ff8eb198fc73d3aae.jpg
14,0,260127504849,1752321485,裂了啊艹,5,保密,主要是模型太大影响游戏体验，如果盾构游戏里身高真是2m那还怎么躲，人家蹲下就进掩体他蹲下露个头让人打,2025-04-22 13:54:45,0,0,,未知,否,https://i2.hdslb.com/bfs/face/b9f66b0e880934aa0ae17d1fb6e8d961df017fdb.jpg
15,0,261026598288,3493295829289743,砂狼电棍,4,女,身高不一样你还得记他们爆头线，要是哪局你关键的几枪刚好擦着他脑袋过，你又不高兴[笑哭],2025-04-22 12:31:00,0,0,点击输入文字,未知,否,https://i0.hdslb.com/bfs/face/9d330bfa905038a889f21817f30bbf4bddb65a01.jpg
16,0,261024415856,220260134,拾壹_OvO,6,保密,有一说一，除了佐娅，感觉其他角色照片都开美颜了,2025-04-22 12:03:14,0,0,,未知,是,https://i2.hdslb.com/bfs/face/0026c37840d1191c353ed2b79b583138dd2b32af.jpg
17,0,260115035153,417918498,男皴裙童欺我狫无力,4,保密,因为人物骨架不用单独做呗,2025-04-22 11:14:39,0,1,,未知,是,https://i0.hdslb.com/bfs/face/c8227a3ecd67a4c9d832085316429aa15d7f07d2.jpg
