序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,261108740817,2041408287,Discretionand,5,男,三天两颗非洲之星，望周知[脱单doge],2025-05-04 23:04:15,0,0,南鞍北鸯，西楛北夔,未知,否,https://i0.hdslb.com/bfs/face/acf0b0e70b3861a49fc01fb0a96f1e668559c9ba.webp
2,0,260897159905,113820870,在校思考,6,男,这个don't shut motherfucker这个bgm叫什么啊，找了好久[笑哭],2025-05-02 11:33:31,0,0,?,未知,否,https://i0.hdslb.com/bfs/face/a97dba406f03c10cb1c137a95fc574df435966b8.jpg
3,0,258814927281,493574258,柳河网友,4,男,为什么你的浮力没有沙子啊🙀,2025-04-06 01:06:48,0,1,没素质的烂蒜，但还是有点素质，属于是薛定谔的素质 了bro,未知,是,https://i2.hdslb.com/bfs/face/f7a2fe4bd267fab108c1eeba149fd27ff1e85433.jpg
4,0,259605212432,1127257400,Ed_Frank,5,男,此事应加入三角洲琥珀，在YJFN笑传中仍有记载,2025-04-05 08:22:39,0,0,Nothing is set in stone.,未知,是,https://i2.hdslb.com/bfs/face/d3a0e2acef47105fe8b2cbb4ef92b18b93de42b1.jpg
5,0,258544231505,503049962,小辰睡不够,6,保密,@Luciferl灬z,2025-04-02 17:00:41,0,0,我要睡觉！！！,未知,否,https://i2.hdslb.com/bfs/face/78dc22f8d11b8f3f8c3e26fee250ae3636ed8aaf.jpg
6,0,258174526529,1334051488,ChrisMarshmallow,4,男,谢谢三角洲,2025-03-29 09:26:53,0,0,,未知,否,https://i1.hdslb.com/bfs/face/f637907c47552e0b2bb76b743d43d6c12d96672b.jpg
7,0,258600516864,3494349755124410,csscqP,4,保密,[微笑],2025-03-24 13:26:36,0,0,,未知,否,https://i2.hdslb.com/bfs/face/a1f8349ac045b6adc96f6d6ab3d55af4290dfddc.jpg
8,0,257482656705,375799486,就是那个杰哥啊,5,保密,@不铭飞行物 开局就绷不住,2025-03-20 18:27:45,0,0,林深时鹿隐，海蓝时浪涌，梦醒时夜续,未知,否,https://i1.hdslb.com/bfs/face/cb43c72d0fd0bbc99a5219b26c57ac5dae4c143e.jpg
9,0,257761999232,178360507,氵每山了,6,男,喜欢我停车场架坝顶，隔着五十米三枪全打脚鸡哥吗[笑哭],2025-03-14 12:44:18,0,0,经天纬地,未知,否,https://i1.hdslb.com/bfs/face/b7469fab96976257678a1a01b5f6288abba3e09e.jpg
10,0,256842472369,182723856,爱球哥,6,保密,"md,长弓那个撤离点我还真被人机打死过，上班摸鱼的时候玩的，想着到撤离点了，就把手机盖住了，再一翻过来，显示被人机打死了",2025-03-12 16:42:01,0,0,,未知,否,https://i0.hdslb.com/bfs/face/b297c1545f1d9c06a0a3e1c0e34c2154c5db9996.jpg
11,0,256629167569,22987481,土之国方丈,6,男,一伯万辣！恭喜恭喜！,2025-03-10 01:52:45,0,0,以和为贵,未知,否,https://i2.hdslb.com/bfs/face/e6ce389376e8ed3b940688a84371d018303e6c2c.jpg
12,0,255887419009,696001385,袅袅要收费,5,男,这些鼠鼠是不是永劫里玩苟分桃的啊，这么爱藏,2025-02-28 19:53:52,0,0,,未知,否,https://i2.hdslb.com/bfs/face/ea8887b372c0836a46027aee10591273cc516de2.jpg
13,0,255869761649,38580496,爱得深沉123,6,保密,西奥斯我了,2025-02-28 14:30:05,0,0,自己用着鸟的表情包，粉丝标签是鸟蛋。最后自己不承认冷鸟这个称号,未知,否,https://i1.hdslb.com/bfs/face/67d6aa1f15987985d1534334610c3d6570036d5a.jpg
14,0,255638199985,3494350608665163,三角洲野生护航,3,女,借楼[脱单doge],2025-02-25 15:56:45,0,0,陪丸/护航/代肝/3*3➕ Premise5200  Vx公众号：金三角洲,未知,否,https://i0.hdslb.com/bfs/face/2272dee3cdb71d47adfe08e89bcd4123d6c8286b.jpg
15,0,255447732849,246485399,六笔不想考试,6,男,百万咯！,2025-02-23 07:51:01,0,2,啦啦啦,未知,是,https://i2.hdslb.com/bfs/face/c577acedbdc910064145dc1249042dc33256809e.jpg
16,0,256171902224,280683001,金毛想吃饭,6,男,恭喜百万播放！！！！,2025-02-23 07:50:52,0,1,,未知,是,https://i1.hdslb.com/bfs/face/82e8b2c418982ac8e4c30281f9a98216b4c84759.jpg
