序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,262104019968,2010432422,最爱SOPMODII了,5,保密,招笑 还最有压迫感 真不怕人笑话,2025-05-05 12:14:05,0,0,又来查成分 别查了畏惧了 再查就要坏掉了(╥﹏╥),未知,否,https://i2.hdslb.com/bfs/face/8ef79b10c6852507934b5ddbe8465e225d1e439c.jpg
2,0,262000151072,1103674703,_木子李_li,5,男,又到了为师最喜欢的赛博斗蛐蛐环节😋👌,2025-05-04 09:53:49,0,0,"一个普普通通的高中牲罢了。
理想大学是河南大学，梦想是成为一名医生。",未知,否,https://i2.hdslb.com/bfs/face/a086d5a51aa5617381d9f73b365479dd06f0fc35.jpg
3,0,261980799120,1194681417,笑笑不打工,4,保密,暗区不应该是黑金应该是特遣队员或者是托兰德[笑哭],2025-05-04 05:34:04,0,0,,未知,否,https://i0.hdslb.com/bfs/face/445c1f0dc2b951105cb774c21e341e2b86d15246.jpg
4,0,261978354864,3546715340671205,K5列车炮,3,保密,…你们没有感觉到最后一个画风格格不入吗,2025-05-04 05:03:19,0,0,我们虽处于黑暗，但我们坚信，那炮火的雄光总会撕裂天幕,未知,否,https://i2.hdslb.com/bfs/face/245c276ab49d483c1f5aa83b9b979637a4ef286a.jpg
5,0,261023958113,2029992167,珠伊诺,4,男,暗区的反派是托兰德吧?,2025-05-04 01:05:26,0,0,一个爱打暗区的铁憨憨,未知,否,https://i2.hdslb.com/bfs/face/d95a0da4f81770e0fc6a01873fe9a0854f3781d0.jpg
6,0,260904118017,2010388152,使用硬币可修改昵称,3,保密,666，3款游戏都玩[doge][笑哭],2025-05-02 12:59:25,0,0,,未知,否,https://i0.hdslb.com/bfs/face/86d1ebb80612180d69c9d1504e33f105d8f4dfc5.jpg
7,0,260722352401,1253051870,地球唯一NPC_凑数用,5,保密,二游网游写几个字来跟我谈压迫感我都想笑[笑哭],2025-04-30 09:50:11,0,1,我就是想要个小号,未知,否,https://i2.hdslb.com/bfs/face/25eb931cfca9c9b3eeea3030034b8e762bff4d5d.jpg
8,0,261631666240,430305143,艾星光_,6,保密,碧蓝档案？你有点搞笑了,2025-04-30 05:01:11,0,0,"希望你可以天天开心，G2的xcs+孝子除外
正在向所有玩家高奏您的 MVP凯歌: Blitz Kids-有为青年( StatTrak)",未知,否,https://i2.hdslb.com/bfs/face/25a8509566f0e8aaeb00f941f135ad8e3f19e3fe.jpg
9,0,261584927632,3493112575953007,AUGAssaultRifle,4,保密,其实雷诺伊尔才算是吧，科伦啃了雷诺这块硬骨头这么久都没拿下，况且雷诺的底牌可是导弹,2025-04-29 13:02:35,0,0,,未知,否,https://i1.hdslb.com/bfs/face/66185edc64e1d9c37330c32b1e552e7dadb0b898.jpg
10,0,260453976289,315681,里脊山鸡,6,男,神经,2025-04-26 19:21:16,0,1,,未知,是,https://i0.hdslb.com/bfs/face/13181075162beaa5c1d0f5223fdc8f7f7b1c5c54.jpg
