序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,243515926113,2144109174,Jason-鸡歌,4,男,真想不到收藏量比点赞量还多,2024-10-02 15:59:29,0,0,,未知,否,https://i0.hdslb.com/bfs/face/93623d33b440167c15164984251f2aa8dff05ac1.jpg
2,0,238918380352,3546586992872108,恋绪季,2,保密,[打call]这个是假主播,2024-08-20 01:28:44,0,2,⁺✞ʚ小绪深度依赖ɞ✟₊,未知,否,https://i2.hdslb.com/bfs/face/588c6a345d0106aefb8390521ff7fa0f065c5387.jpg
3,0,238784259488,3546640231172475,B流,2,保密,智章,2024-08-19 09:15:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
4,0,238783997024,3546640231172475,B流,2,保密,[哦呼][哦呼][哦呼][喜极而泣][喜极而泣][笑][翻白眼][保卫萝卜_白眼],2024-08-19 09:15:03,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
5,0,238579700432,3546729454504055,最嗯,2,保密,免费你个蛋啊，鸡快点的染色款是要点餐的,2024-08-18 10:04:23,0,0,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
6,0,238344701264,3546710705965294,真是徐坤,2,保密,乐子建议重开,2024-08-17 08:14:08,0,3,,未知,否,https://i1.hdslb.com/bfs/face/265fd47d6e24b1446107686551a3920a6d135cb4.jpg
7,0,238159377504,3546608960539612,外星人jsjdndn,3,保密,注意他的视频全都是盗的。,2024-08-16 11:22:34,0,0,努力登上高能英雄最高段位退游了太久了。因为主播还是学生，所以更新比较慢。,未知,否,https://i1.hdslb.com/bfs/face/44335450f17d34d3244d01f7a27220219e7e0010.jpg
8,0,238108651600,3546676612565831,是糖果本糖呀,2,保密,假主播，还仿视频，一模一样,2024-08-16 07:20:23,0,1,,未知,否,https://i2.hdslb.com/bfs/face/61ffd9156f4878a08611b1d564c9e4f20770e0ee.jpg
9,0,238042054144,3546654888168257,卡布叨_芜湖,3,保密,假主播，已举报,2024-08-16 01:22:35,0,1,,未知,否,https://i2.hdslb.com/bfs/face/00f9eb6ac5ad7748caad784f83061ac3c407a8b9.jpg
10,0,237783626080,3537117110078290,一个小小糖果,3,保密,《那可他真温柔啊》,2024-08-14 16:06:27,0,0,,未知,否,https://i1.hdslb.com/bfs/face/43661c1555a22e5554fa24e91f387a0266f6e65c.jpg
11,0,237736996336,3546621367290711,一只小猫奶球,3,女,[哦呼][哦呼][哦呼][哦呼][哦呼][哦呼][哦呼],2024-08-14 12:27:01,0,0,希望每天都开开心心的,未知,否,https://i0.hdslb.com/bfs/face/ad0f56c271107787d640c72b9aa9b703bc2185fe.jpg
12,0,237713936160,1726732159,bili_99975996556,4,保密,注意头像,2024-08-14 10:39:41,0,1,,未知,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
13,0,237569559200,3546743213918474,如陵隐俢,3,保密,我嘞个烧干,2024-08-13 15:47:38,0,0,,未知,否,https://i2.hdslb.com/bfs/face/4b635046e0bc163f061dd9d235482c0efbb32796.jpg
14,0,237496785552,3493138186373246,tyyhyujujjj,3,保密,√,2024-08-13 09:55:12,0,0,,未知,否,https://i2.hdslb.com/bfs/face/d17811f677cd4c7c556dbd23e7293814d420fa43.jpg
15,0,237210267376,18057914,乄名字k彡罒,4,保密,我领到了  领到了作者的高玩,2024-08-12 01:42:34,0,1,"大家好啊  我是名字k 是一位新来的我的世界的up  喜爱打EC,起床  最擅长PVP了  希望大家喜欢的话支持一下 关注，投币，收藏，谢谢",未知,否,https://i2.hdslb.com/bfs/face/7a19cf567783c46d6e1d84804ff907e3eb2949c4.jpg
16,0,237055513888,3546630829639893,特反骨蛋贩子,3,保密,带我一个,2024-08-11 05:46:32,0,0,,未知,否,https://i0.hdslb.com/bfs/face/0867e01da141affce7ce31e68093a3ced16de804.jpg
